champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_sup_1_name,synergy_sup_1_winrate,synergy_sup_1_games,synergy_sup_1_lane_quality,synergy_sup_2_name,synergy_sup_2_winrate,synergy_sup_2_games,synergy_sup_2_lane_quality,synergy_sup_3_name,synergy_sup_3_winrate,synergy_sup_3_games,synergy_sup_3_lane_quality,synergy_sup_4_name,synergy_sup_4_winrate,synergy_sup_4_games,synergy_sup_4_lane_quality,synergy_sup_5_name,synergy_sup_5_winrate,synergy_sup_5_games,synergy_sup_5_lane_quality,synergy_sup_6_name,synergy_sup_6_winrate,synergy_sup_6_games,synergy_sup_6_lane_quality,synergy_sup_7_name,synergy_sup_7_winrate,synergy_sup_7_games,synergy_sup_7_lane_quality,synergy_sup_8_name,synergy_sup_8_winrate,synergy_sup_8_games,synergy_sup_8_lane_quality,synergy_sup_9_name,synergy_sup_9_winrate,synergy_sup_9_games,synergy_sup_9_lane_quality,synergy_sup_10_name,synergy_sup_10_winrate,synergy_sup_10_games,synergy_sup_10_lane_quality,synergy_sup_11_name,synergy_sup_11_winrate,synergy_sup_11_games,synergy_sup_11_lane_quality,synergy_sup_12_name,synergy_sup_12_winrate,synergy_sup_12_games,synergy_sup_12_lane_quality,synergy_sup_13_name,synergy_sup_13_winrate,synergy_sup_13_games,synergy_sup_13_lane_quality,synergy_sup_14_name,synergy_sup_14_winrate,synergy_sup_14_games,synergy_sup_14_lane_quality,synergy_sup_15_name,synergy_sup_15_winrate,synergy_sup_15_games,synergy_sup_15_lane_quality,synergy_sup_16_name,synergy_sup_16_winrate,synergy_sup_16_games,synergy_sup_16_lane_quality,synergy_sup_17_name,synergy_sup_17_winrate,synergy_sup_17_games,synergy_sup_17_lane_quality,synergy_sup_18_name,synergy_sup_18_winrate,synergy_sup_18_games,synergy_sup_18_lane_quality,synergy_sup_19_name,synergy_sup_19_winrate,synergy_sup_19_games,synergy_sup_19_lane_quality,synergy_sup_20_name,synergy_sup_20_winrate,synergy_sup_20_games,synergy_sup_20_lane_quality,synergy_sup_21_name,synergy_sup_21_winrate,synergy_sup_21_games,synergy_sup_21_lane_quality,synergy_sup_22_name,synergy_sup_22_winrate,synergy_sup_22_games,synergy_sup_22_lane_quality,synergy_sup_23_name,synergy_sup_23_winrate,synergy_sup_23_games,synergy_sup_23_lane_quality,synergy_sup_24_name,synergy_sup_24_winrate,synergy_sup_24_games,synergy_sup_24_lane_quality,synergy_sup_25_name,synergy_sup_25_winrate,synergy_sup_25_games,synergy_sup_25_lane_quality,synergy_sup_26_name,synergy_sup_26_winrate,synergy_sup_26_games,synergy_sup_26_lane_quality,synergy_sup_27_name,synergy_sup_27_winrate,synergy_sup_27_games,synergy_sup_27_lane_quality,synergy_sup_28_name,synergy_sup_28_winrate,synergy_sup_28_games,synergy_sup_28_lane_quality,synergy_sup_29_name,synergy_sup_29_winrate,synergy_sup_29_games,synergy_sup_29_lane_quality,synergy_sup_30_name,synergy_sup_30_winrate,synergy_sup_30_games,synergy_sup_30_lane_quality,synergy_sup_31_name,synergy_sup_31_winrate,synergy_sup_31_games,synergy_sup_31_lane_quality,synergy_sup_32_name,synergy_sup_32_winrate,synergy_sup_32_games,synergy_sup_32_lane_quality,synergy_sup_33_name,synergy_sup_33_winrate,synergy_sup_33_games,synergy_sup_33_lane_quality,synergy_sup_34_name,synergy_sup_34_winrate,synergy_sup_34_games,synergy_sup_34_lane_quality,synergy_sup_35_name,synergy_sup_35_winrate,synergy_sup_35_games,synergy_sup_35_lane_quality,synergy_sup_36_name,synergy_sup_36_winrate,synergy_sup_36_games,synergy_sup_36_lane_quality,synergy_sup_37_name,synergy_sup_37_winrate,synergy_sup_37_games,synergy_sup_37_lane_quality,synergy_sup_38_name,synergy_sup_38_winrate,synergy_sup_38_games,synergy_sup_38_lane_quality,synergy_sup_39_name,synergy_sup_39_winrate,synergy_sup_39_games,synergy_sup_39_lane_quality,synergy_sup_40_name,synergy_sup_40_winrate,synergy_sup_40_games,synergy_sup_40_lane_quality,synergy_sup_41_name,synergy_sup_41_winrate,synergy_sup_41_games,synergy_sup_41_lane_quality,synergy_sup_42_name,synergy_sup_42_winrate,synergy_sup_42_games,synergy_sup_42_lane_quality,synergy_sup_43_name,synergy_sup_43_winrate,synergy_sup_43_games,synergy_sup_43_lane_quality,synergy_sup_44_name,synergy_sup_44_winrate,synergy_sup_44_games,synergy_sup_44_lane_quality,synergy_sup_45_name,synergy_sup_45_winrate,synergy_sup_45_games,synergy_sup_45_lane_quality,synergy_sup_46_name,synergy_sup_46_winrate,synergy_sup_46_games,synergy_sup_46_lane_quality,synergy_sup_47_name,synergy_sup_47_winrate,synergy_sup_47_games,synergy_sup_47_lane_quality,synergy_sup_48_name,synergy_sup_48_winrate,synergy_sup_48_games,synergy_sup_48_lane_quality,synergy_sup_49_name,synergy_sup_49_winrate,synergy_sup_49_games,synergy_sup_49_lane_quality,synergy_sup_50_name,synergy_sup_50_winrate,synergy_sup_50_games,synergy_sup_50_lane_quality
Lillia,jun,95.3%,C,18 / 52,50.7 %,3.4 %,2.6 %,826259,https://dpm.lol/champions/Lillia/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Taric,54.20%,6671,,Milio,53.91%,29810,,Shen,53.66%,4031,,Soraka,53.40%,18789,,Nami,53.19%,41247,,Leona,53.06%,38641,,Amumu,52.99%,2825,,Maokai,52.94%,8465,,Galio,52.73%,2873,,Sona,52.63%,10248,,Rell,52.39%,12925,,Braum,52.30%,20528,,Teemo,52.27%,5669,,Poppy,51.98%,10722,,Janna,51.79%,11512,,Rakan,51.71%,13867,,Zyra,51.61%,16660,,Alistar,51.31%,15301,,Sylas,51.24%,3214,,TahmKench,51.21%,15293,,Swain,51.15%,19199,,Elise,51.07%,3648,,Blitzcrank,51.05%,25821,,Thresh,50.91%,42898,,Nautilus,50.76%,43833,,Brand,50.76%,15454,,Morgana,50.73%,30087,,Zilean,50.57%,8296,,Renata,50.35%,4544,,Velkoz,50.33%,11392,,Lulu,50.26%,26277,,Karma,50.21%,22352,,Seraphine,50.00%,24741,,Malphite,49.99%,6279,,Pantheon,49.95%,18572,,Pyke,49.83%,31450,,Xerath,49.81%,11545,,FiddleSticks,49.67%,2118,,Leblanc,49.29%,2045,,Lux,49.20%,41194,,Senna,49.10%,18172,,Bard,48.98%,17429,,Neeko,48.32%,12489,,Yuumi,48.31%,18370,,Zoe,47.82%,2451,,Ashe,46.79%,4482,,Veigar,46.51%,2518,,Mel,45.69%,17552,,,,,,,,,
Seraphine,sup,91.5%,C,24 / 39,49.9 %,6.3 %,1.7 %,1519391,https://dpm.lol/champions/Seraphine/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekko,mid,45.6%,C,25 / 47,50.7 %,3.5 %,2.2 %,842012,https://dpm.lol/champions/Ekko/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Teemo,53.78%,6240,,Milio,53.33%,31681,,Soraka,53.18%,20250,,Sona,53.11%,11860,,Nami,52.87%,43900,,Taric,52.82%,6753,,Zyra,52.80%,18618,,Janna,52.70%,12804,,Brand,52.68%,19475,,FiddleSticks,52.36%,2441,,Maokai,52.34%,7784,,Amumu,52.30%,2526,,Velkoz,52.25%,14307,,Veigar,52.07%,3134,,Swain,51.98%,21674,,Shaco,51.90%,6250,,Morgana,51.81%,34660,,Zilean,51.81%,8800,,Braum,51.72%,18760,,Elise,51.59%,4129,,Renata,51.51%,4714,,Leona,51.40%,34070,,Bard,51.39%,18111,,Xerath,51.38%,12418,,Shen,51.18%,3888,,Lux,51.14%,49447,,Poppy,50.96%,9547,,Seraphine,50.93%,27224,,Karma,50.78%,23868,,Zoe,50.38%,2858,,Galio,50.33%,2990,,Lulu,50.08%,26602,,TahmKench,50.04%,14843,,Senna,50.02%,18128,,Pantheon,49.77%,17196,,Malphite,49.72%,6350,,Thresh,49.70%,40423,,Hwei,49.63%,2182,,Blitzcrank,49.58%,23287,,Nautilus,49.48%,38761,,Neeko,49.10%,12890,,Leblanc,49.08%,2070,,Pyke,48.99%,29353,,Rell,48.77%,10737,,Rakan,48.72%,12807,,Sylas,48.66%,3220,,Alistar,48.59%,12954,,Yuumi,48.22%,17189,,Mel,46.88%,21701,,Ashe,46.84%,4588,
Aphelios,adc,97.9%,C,15 / 26,50.0 %,5.8 %,2.4 %,1385399,https://dpm.lol/champions/Aphelios/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Milio,53.08%,73560,,Janna,52.78%,25368,,Zilean,52.54%,15955,,Soraka,52.32%,44954,,Sona,52.14%,19739,,Nami,52.07%,69592,,Taric,51.99%,10519,,Teemo,51.75%,8567,,Renata,51.62%,9777,,Braum,51.56%,32982,,Velkoz,51.34%,19550,,Zyra,51.23%,25156,,Maokai,51.22%,11690,,Brand,51.09%,25967,,Thresh,50.79%,116059,,Karma,50.66%,42565,,Elise,50.58%,7600,,Poppy,50.47%,14851,,Swain,50.45%,31943,,Shaco,50.31%,8953,,Blitzcrank,50.25%,39438,,Morgana,50.12%,46404,,Leona,50.07%,46413,,Seraphine,49.90%,37844,,Leblanc,49.79%,3643,,Lux,49.77%,58906,,FiddleSticks,49.49%,4009,,TahmKench,49.20%,22698,,Lulu,49.14%,81586,,Sylas,49.11%,5315,,Xerath,49.10%,16360,,Galio,49.10%,4210,,Shen,48.99%,5505,,Alistar,48.92%,23149,,Bard,48.89%,29093,,Pyke,48.81%,43106,,Nautilus,48.64%,58647,,Malphite,48.63%,8061,,Rell,48.55%,17701,,Pantheon,48.25%,21637,,Hwei,48.23%,3653,,Veigar,48.10%,3665,,Senna,48.02%,23828,,Neeko,48.02%,19599,,Zoe,47.68%,4004,,Mel,46.12%,29057,,Yuumi,45.55%,27279,,Ashe,43.49%,5661,,,,,,,,,
Irelia,top,54.1%,C,21 / 50,49.6 %,3.5 %,9.1 %,846928,https://dpm.lol/champions/Irelia/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Taric,53.30%,6278,,Teemo,53.18%,6474,,Milio,52.36%,31163,,Nami,52.02%,44306,,Shaco,52.00%,6409,,Janna,51.95%,12691,,Renata,51.91%,4593,,FiddleSticks,51.57%,2670,,Brand,51.56%,18900,,Zilean,51.43%,9028,,Soraka,51.31%,20532,,Amumu,51.15%,2692,,Leona,51.08%,33810,,Zyra,51.06%,18969,,Velkoz,51.04%,14069,,Braum,50.92%,19252,,Sona,50.80%,11195,,Maokai,50.79%,7617,,Karma,50.78%,27232,,Shen,50.73%,3479,,Xerath,50.60%,13766,,Elise,50.57%,5179,,Swain,50.42%,21303,,Morgana,50.24%,33341,,Poppy,50.20%,9571,,Bard,50.07%,18870,,Lulu,49.75%,29678,,Thresh,49.51%,41135,,Rell,49.26%,11163,,Seraphine,49.26%,25985,,Lux,49.11%,46528,,Blitzcrank,49.08%,24224,,TahmKench,49.02%,13410,,Rakan,48.97%,13176,,Senna,48.90%,16484,,Leblanc,48.75%,2632,,Alistar,48.60%,14277,,Sylas,48.58%,3938,,Zoe,48.31%,3345,,Nautilus,48.29%,39347,,Galio,48.19%,2820,,Pantheon,48.10%,14944,,Hwei,48.01%,2283,,Neeko,48.01%,14325,,Veigar,47.97%,3123,,Malphite,47.95%,5777,,Yuumi,47.87%,19469,,Pyke,47.12%,27508,,Ashe,45.54%,4418,,Mel,44.86%,20642,
