champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_top_1_name,matchup_top_1_winrate,matchup_top_1_games,matchup_top_1_lane_quality,matchup_top_2_name,matchup_top_2_winrate,matchup_top_2_games,matchup_top_2_lane_quality,matchup_top_3_name,matchup_top_3_winrate,matchup_top_3_games,matchup_top_3_lane_quality,matchup_top_4_name,matchup_top_4_winrate,matchup_top_4_games,matchup_top_4_lane_quality,matchup_top_5_name,matchup_top_5_winrate,matchup_top_5_games,matchup_top_5_lane_quality,matchup_top_6_name,matchup_top_6_winrate,matchup_top_6_games,matchup_top_6_lane_quality,matchup_top_7_name,matchup_top_7_winrate,matchup_top_7_games,matchup_top_7_lane_quality,matchup_top_8_name,matchup_top_8_winrate,matchup_top_8_games,matchup_top_8_lane_quality,matchup_top_9_name,matchup_top_9_winrate,matchup_top_9_games,matchup_top_9_lane_quality,matchup_top_10_name,matchup_top_10_winrate,matchup_top_10_games,matchup_top_10_lane_quality,matchup_top_11_name,matchup_top_11_winrate,matchup_top_11_games,matchup_top_11_lane_quality,matchup_top_12_name,matchup_top_12_winrate,matchup_top_12_games,matchup_top_12_lane_quality,matchup_top_13_name,matchup_top_13_winrate,matchup_top_13_games,matchup_top_13_lane_quality,matchup_top_14_name,matchup_top_14_winrate,matchup_top_14_games,matchup_top_14_lane_quality,matchup_top_15_name,matchup_top_15_winrate,matchup_top_15_games,matchup_top_15_lane_quality,matchup_top_16_name,matchup_top_16_winrate,matchup_top_16_games,matchup_top_16_lane_quality,matchup_top_17_name,matchup_top_17_winrate,matchup_top_17_games,matchup_top_17_lane_quality,matchup_top_18_name,matchup_top_18_winrate,matchup_top_18_games,matchup_top_18_lane_quality,matchup_top_19_name,matchup_top_19_winrate,matchup_top_19_games,matchup_top_19_lane_quality,matchup_top_20_name,matchup_top_20_winrate,matchup_top_20_games,matchup_top_20_lane_quality,matchup_top_21_name,matchup_top_21_winrate,matchup_top_21_games,matchup_top_21_lane_quality,matchup_top_22_name,matchup_top_22_winrate,matchup_top_22_games,matchup_top_22_lane_quality,matchup_top_23_name,matchup_top_23_winrate,matchup_top_23_games,matchup_top_23_lane_quality,matchup_top_24_name,matchup_top_24_winrate,matchup_top_24_games,matchup_top_24_lane_quality,matchup_top_25_name,matchup_top_25_winrate,matchup_top_25_games,matchup_top_25_lane_quality,matchup_top_26_name,matchup_top_26_winrate,matchup_top_26_games,matchup_top_26_lane_quality,matchup_top_27_name,matchup_top_27_winrate,matchup_top_27_games,matchup_top_27_lane_quality,matchup_top_28_name,matchup_top_28_winrate,matchup_top_28_games,matchup_top_28_lane_quality,matchup_top_29_name,matchup_top_29_winrate,matchup_top_29_games,matchup_top_29_lane_quality,matchup_top_30_name,matchup_top_30_winrate,matchup_top_30_games,matchup_top_30_lane_quality,matchup_top_31_name,matchup_top_31_winrate,matchup_top_31_games,matchup_top_31_lane_quality,matchup_top_32_name,matchup_top_32_winrate,matchup_top_32_games,matchup_top_32_lane_quality,matchup_top_33_name,matchup_top_33_winrate,matchup_top_33_games,matchup_top_33_lane_quality,matchup_top_34_name,matchup_top_34_winrate,matchup_top_34_games,matchup_top_34_lane_quality,matchup_top_35_name,matchup_top_35_winrate,matchup_top_35_games,matchup_top_35_lane_quality,matchup_top_36_name,matchup_top_36_winrate,matchup_top_36_games,matchup_top_36_lane_quality,matchup_top_37_name,matchup_top_37_winrate,matchup_top_37_games,matchup_top_37_lane_quality,matchup_top_38_name,matchup_top_38_winrate,matchup_top_38_games,matchup_top_38_lane_quality,matchup_top_39_name,matchup_top_39_winrate,matchup_top_39_games,matchup_top_39_lane_quality,matchup_top_40_name,matchup_top_40_winrate,matchup_top_40_games,matchup_top_40_lane_quality,matchup_top_41_name,matchup_top_41_winrate,matchup_top_41_games,matchup_top_41_lane_quality,matchup_top_42_name,matchup_top_42_winrate,matchup_top_42_games,matchup_top_42_lane_quality,matchup_top_43_name,matchup_top_43_winrate,matchup_top_43_games,matchup_top_43_lane_quality,matchup_top_44_name,matchup_top_44_winrate,matchup_top_44_games,matchup_top_44_lane_quality,matchup_top_45_name,matchup_top_45_winrate,matchup_top_45_games,matchup_top_45_lane_quality,matchup_top_46_name,matchup_top_46_winrate,matchup_top_46_games,matchup_top_46_lane_quality,matchup_top_47_name,matchup_top_47_winrate,matchup_top_47_games,matchup_top_47_lane_quality,matchup_top_48_name,matchup_top_48_winrate,matchup_top_48_games,matchup_top_48_lane_quality,matchup_top_49_name,matchup_top_49_winrate,matchup_top_49_games,matchup_top_49_lane_quality,matchup_top_50_name,matchup_top_50_winrate,matchup_top_50_games,matchup_top_50_lane_quality,matchup_top_51_name,matchup_top_51_winrate,matchup_top_51_games,matchup_top_51_lane_quality,matchup_top_52_name,matchup_top_52_winrate,matchup_top_52_games,matchup_top_52_lane_quality,matchup_top_53_name,matchup_top_53_winrate,matchup_top_53_games,matchup_top_53_lane_quality,matchup_top_54_name,matchup_top_54_winrate,matchup_top_54_games,matchup_top_54_lane_quality,matchup_top_55_name,matchup_top_55_winrate,matchup_top_55_games,matchup_top_55_lane_quality,matchup_top_56_name,matchup_top_56_winrate,matchup_top_56_games,matchup_top_56_lane_quality,matchup_top_57_name,matchup_top_57_winrate,matchup_top_57_games,matchup_top_57_lane_quality,matchup_top_58_name,matchup_top_58_winrate,matchup_top_58_games,matchup_top_58_lane_quality
Twitch,adc,80.9%,C,16 / 26,49.7 %,4.3 %,5.6 %,1029291,https://dpm.lol/champions/Twitch/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Smolder,55.54%,3603,,Gangplank,54.81%,14039,,MasterYi,54.74%,4790,,KSante,54.64%,10766,,Jayce,53.21%,9574,,Rumble,52.21%,7613,,Varus,52.15%,3599,,Trundle,52.14%,6151,,Camille,52.13%,9716,,Gragas,51.87%,8639,,Ambessa,51.71%,15480,,Vladimir,51.61%,10374,,Darius,51.57%,42619,,Gnar,51.21%,13222,,Vayne,51.20%,10475,,Kennen,51.09%,9000,,Gwen,51.04%,19145,,Poppy,50.85%,3886,,Aatrox,50.73%,26229,,Akali,50.68%,6580,,Yone,50.56%,22098,,Irelia,50.43%,17721,,Pantheon,50.37%,9896,,Quinn,50.30%,10706,,Yasuo,50.19%,15341,,Fiora,49.97%,17744,,Renekton,49.95%,20282,,Jax,49.83%,26793,,Heimerdinger,49.82%,9813,,Tryndamere,49.78%,16253,,Olaf,49.59%,9836,,Riven,49.53%,18648,,TahmKench,49.46%,7095,,Sion,49.44%,22056,,MonkeyKing,49.33%,3118,,Zaahen,49.32%,44096,,Volibear,49.29%,16319,,Illaoi,49.27%,16433,,Chogath,49.24%,21827,,Shen,49.15%,16929,,Sylas,48.97%,3625,,Singed,48.94%,13086,,Yorick,48.85%,24797,,Ornn,48.73%,15521,,Swain,48.70%,7986,,Kled,48.67%,7458,,Teemo,48.65%,32528,,Garen,48.61%,46038,,Nasus,47.95%,23979,,Kayle,47.62%,25346,,Sett,47.53%,40123,,Warwick,47.52%,7445,,Urgot,47.47%,16877,,Mordekaiser,47.35%,40781,,Malphite,47.05%,41502,,DrMundo,46.88%,33644,,,,,,,,,
Kassadin,mid,96.9%,C,27 / 47,50.9 %,2.4 %,1.6 %,570430,https://dpm.lol/champions/Kassadin/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Smolder,55.62%,1805,,KSante,55.24%,6756,,Gragas,54.95%,5323,,MasterYi,54.20%,2533,,Gangplank,54.03%,8362,,Camille,53.79%,6509,,Rumble,53.64%,4489,,Jayce,53.59%,6038,,Poppy,53.29%,2464,,Yasuo,52.99%,8489,,Kennen,52.64%,4960,,Gwen,52.64%,10493,,Vladimir,52.60%,7025,,Trundle,52.58%,3153,,Tryndamere,52.58%,8342,,Fiora,52.35%,10765,,Darius,52.29%,22961,,Ambessa,52.17%,9225,,Ryze,52.06%,1771,,Aatrox,52.04%,15491,,Yone,51.90%,11660,,Varus,51.83%,2101,,Akali,51.48%,4244,,Gnar,51.45%,7829,,TahmKench,51.38%,3630,,Sion,51.18%,12449,,Jax,51.16%,15218,,Sylas,51.09%,2163,,Nasus,51.02%,12598,,Pantheon,50.96%,5391,,Irelia,50.90%,9939,,Ornn,50.75%,8887,,Heimerdinger,50.64%,4710,,Volibear,50.50%,9378,,Riven,50.44%,11040,,Swain,50.41%,4690,,Olaf,50.39%,5277,,Zaahen,50.18%,24908,,Renekton,50.17%,11911,,Vayne,49.94%,5569,,Quinn,49.90%,5872,,DrMundo,49.79%,17563,,Mordekaiser,49.78%,20760,,Malzahar,49.74%,1755,,Kayle,49.73%,14215,,Yorick,49.72%,12905,,MonkeyKing,49.47%,1779,,Chogath,49.29%,11345,,Garen,49.26%,23982,,Malphite,49.15%,22894,,Teemo,48.96%,16402,,Singed,48.87%,7550,,Shen,48.86%,9567,,Sett,48.77%,20548,,Illaoi,48.55%,8635,,Kled,47.98%,4350,,Warwick,47.61%,3955,,Urgot,46.57%,8875,
Sivir,adc,98.3%,C,17 / 26,50.3 %,4.2 %,1.8 %,1017421,https://dpm.lol/champions/Sivir/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,KSante,54.23%,13914,,MasterYi,54.10%,3950,,Gragas,52.97%,9183,,Jayce,52.67%,12712,,Smolder,52.41%,3614,,Gnar,52.15%,14018,,Ambessa,52.11%,18798,,Aatrox,52.06%,29382,,Sylas,51.90%,4106,,Gangplank,51.85%,15438,,Varus,51.60%,4442,,Trundle,51.58%,5539,,Yone,51.54%,23505,,Rumble,51.49%,9435,,Yasuo,51.46%,15545,,Darius,51.43%,40132,,Ryze,51.34%,3241,,Volibear,51.34%,16318,,Poppy,51.32%,4700,,Renekton,51.02%,22301,,Pantheon,50.97%,10164,,Chogath,50.91%,19613,,TahmKench,50.90%,6089,,Gwen,50.82%,18098,,Camille,50.79%,10800,,Shen,50.70%,16395,,Riven,50.68%,18021,,Sion,50.65%,22919,,Fiora,50.55%,18401,,Olaf,50.48%,9609,,Akali,50.46%,6690,,Heimerdinger,50.33%,9262,,Tryndamere,50.31%,14536,,MonkeyKing,50.19%,3236,,Zaahen,50.11%,42147,,Vladimir,49.96%,10588,,Kennen,49.95%,9275,,Quinn,49.90%,9666,,Ornn,49.78%,15879,,Irelia,49.73%,18315,,Illaoi,49.51%,15430,,Mordekaiser,49.17%,37626,,Warwick,49.06%,7102,,Malphite,49.00%,44564,,Nasus,48.98%,21711,,Vayne,48.82%,9104,,Swain,48.79%,7909,,Garen,48.69%,41944,,Yorick,48.66%,23730,,Teemo,48.61%,28308,,Urgot,48.53%,15365,,Sett,48.44%,36966,,DrMundo,48.28%,29962,,Kled,48.22%,7325,,Kayle,47.60%,21615,,Singed,46.97%,13117,,,,,,,,,
Leblanc,mid,86.1%,C,28 / 47,48.8 %,4.1 %,12.8 %,996014,https://dpm.lol/champions/Leblanc/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,MasterYi,55.63%,4217,,KSante,53.71%,13425,,Jayce,51.24%,13384,,Gangplank,50.96%,15371,,Trundle,50.94%,5436,,Tryndamere,50.73%,14723,,Ambessa,50.65%,18489,,Rumble,50.50%,9182,,Riven,50.45%,17918,,Yone,50.39%,24902,,Gwen,50.36%,17448,,Volibear,50.28%,16517,,Smolder,50.23%,3709,,Aatrox,50.17%,29090,,Olaf,50.15%,9091,,Gragas,50.06%,8846,,Camille,50.02%,10930,,Yasuo,49.99%,15580,,Darius,49.98%,40332,,Gnar,49.95%,13889,,Jax,49.92%,27332,,Zaahen,49.65%,42631,,Akali,49.55%,7189,,Sylas,49.53%,4080,,Renekton,49.42%,21689,,Fiora,49.36%,17711,,Irelia,49.29%,18408,,Pantheon,49.24%,9539,,Vayne,49.12%,9521,,Kennen,48.97%,9088,,Shen,48.96%,15828,,TahmKench,48.60%,5994,,Varus,48.55%,3936,,Vladimir,48.53%,9961,,Ornn,48.17%,15342,,Chogath,48.13%,18668,,Garen,47.91%,42026,,Nasus,47.81%,21678,,Mordekaiser,47.76%,37111,,Quinn,47.55%,9708,,Illaoi,47.49%,15081,,Sion,47.43%,21596,,Sett,47.17%,36611,,MonkeyKing,47.10%,3174,,Singed,47.07%,12456,,Heimerdinger,47.06%,8336,,Kled,46.79%,7157,,Warwick,46.54%,6743,,Teemo,46.51%,28829,,Urgot,46.39%,14478,,DrMundo,46.28%,28880,,Kayle,46.23%,21815,,Swain,46.13%,6971,,Yorick,46.01%,22958,,Poppy,45.49%,4660,,Malphite,45.48%,39845,,,,,,,,,
Trundle,jun,65.3%,C,20 / 52,50.9 %,2.4 %,1.3 %,565200,https://dpm.lol/champions/Trundle/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,KSante,56.31%,6122,,Smolder,54.23%,1774,,Olaf,53.99%,5399,,MasterYi,53.94%,2434,,Rumble,53.73%,4070,,Ambessa,53.38%,7637,,Camille,53.38%,4571,,Jayce,53.17%,4715,,Gangplank,53.07%,6761,,Pantheon,52.89%,5088,,Darius,52.82%,25318,,Gragas,52.47%,4113,,Fiora,52.36%,8298,,Varus,52.23%,1769,,Irelia,52.11%,8488,,Poppy,52.08%,2020,,Riven,52.08%,8278,,Vladimir,52.08%,4622,,Aatrox,51.91%,14195,,Renekton,51.87%,10426,,Gnar,51.73%,7110,,Nasus,51.72%,15088,,Tryndamere,51.60%,8735,,Gwen,51.56%,9728,,Yasuo,51.35%,7474,,Chogath,51.33%,12919,,Quinn,51.16%,5383,,Yone,51.14%,11978,,Zaahen,51.08%,23123,,Akali,50.96%,3222,,Ornn,50.89%,8738,,Vayne,50.80%,5250,,Illaoi,50.69%,10399,,Jax,50.67%,17874,,Volibear,50.61%,11123,,Urgot,50.48%,9311,,Garen,50.37%,26149,,Shen,50.29%,8739,,DrMundo,50.28%,21303,,TahmKench,50.24%,4198,,Kennen,49.84%,4557,,Sion,49.67%,12005,,Sett,49.34%,24003,,Kled,49.25%,3815,,Swain,49.21%,3792,,Warwick,49.14%,4473,,Yorick,49.03%,14956,,Mordekaiser,48.89%,24886,,Singed,48.79%,6739,,Teemo,48.69%,19340,,Sylas,48.65%,1710,,Kayle,48.25%,12642,,Heimerdinger,48.06%,5801,,Malphite,47.70%,25291,,,,,,,,,,,,,,,,,
