champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_top_1_name,matchup_top_1_winrate,matchup_top_1_games,matchup_top_1_lane_quality,matchup_top_2_name,matchup_top_2_winrate,matchup_top_2_games,matchup_top_2_lane_quality,matchup_top_3_name,matchup_top_3_winrate,matchup_top_3_games,matchup_top_3_lane_quality,matchup_top_4_name,matchup_top_4_winrate,matchup_top_4_games,matchup_top_4_lane_quality,matchup_top_5_name,matchup_top_5_winrate,matchup_top_5_games,matchup_top_5_lane_quality,matchup_top_6_name,matchup_top_6_winrate,matchup_top_6_games,matchup_top_6_lane_quality,matchup_top_7_name,matchup_top_7_winrate,matchup_top_7_games,matchup_top_7_lane_quality,matchup_top_8_name,matchup_top_8_winrate,matchup_top_8_games,matchup_top_8_lane_quality,matchup_top_9_name,matchup_top_9_winrate,matchup_top_9_games,matchup_top_9_lane_quality,matchup_top_10_name,matchup_top_10_winrate,matchup_top_10_games,matchup_top_10_lane_quality,matchup_top_11_name,matchup_top_11_winrate,matchup_top_11_games,matchup_top_11_lane_quality,matchup_top_12_name,matchup_top_12_winrate,matchup_top_12_games,matchup_top_12_lane_quality,matchup_top_13_name,matchup_top_13_winrate,matchup_top_13_games,matchup_top_13_lane_quality,matchup_top_14_name,matchup_top_14_winrate,matchup_top_14_games,matchup_top_14_lane_quality,matchup_top_15_name,matchup_top_15_winrate,matchup_top_15_games,matchup_top_15_lane_quality,matchup_top_16_name,matchup_top_16_winrate,matchup_top_16_games,matchup_top_16_lane_quality,matchup_top_17_name,matchup_top_17_winrate,matchup_top_17_games,matchup_top_17_lane_quality,matchup_top_18_name,matchup_top_18_winrate,matchup_top_18_games,matchup_top_18_lane_quality,matchup_top_19_name,matchup_top_19_winrate,matchup_top_19_games,matchup_top_19_lane_quality,matchup_top_20_name,matchup_top_20_winrate,matchup_top_20_games,matchup_top_20_lane_quality,matchup_top_21_name,matchup_top_21_winrate,matchup_top_21_games,matchup_top_21_lane_quality,matchup_top_22_name,matchup_top_22_winrate,matchup_top_22_games,matchup_top_22_lane_quality,matchup_top_23_name,matchup_top_23_winrate,matchup_top_23_games,matchup_top_23_lane_quality,matchup_top_24_name,matchup_top_24_winrate,matchup_top_24_games,matchup_top_24_lane_quality,matchup_top_25_name,matchup_top_25_winrate,matchup_top_25_games,matchup_top_25_lane_quality,matchup_top_26_name,matchup_top_26_winrate,matchup_top_26_games,matchup_top_26_lane_quality,matchup_top_27_name,matchup_top_27_winrate,matchup_top_27_games,matchup_top_27_lane_quality,matchup_top_28_name,matchup_top_28_winrate,matchup_top_28_games,matchup_top_28_lane_quality,matchup_top_29_name,matchup_top_29_winrate,matchup_top_29_games,matchup_top_29_lane_quality,matchup_top_30_name,matchup_top_30_winrate,matchup_top_30_games,matchup_top_30_lane_quality,matchup_top_31_name,matchup_top_31_winrate,matchup_top_31_games,matchup_top_31_lane_quality,matchup_top_32_name,matchup_top_32_winrate,matchup_top_32_games,matchup_top_32_lane_quality,matchup_top_33_name,matchup_top_33_winrate,matchup_top_33_games,matchup_top_33_lane_quality,matchup_top_34_name,matchup_top_34_winrate,matchup_top_34_games,matchup_top_34_lane_quality,matchup_top_35_name,matchup_top_35_winrate,matchup_top_35_games,matchup_top_35_lane_quality,matchup_top_36_name,matchup_top_36_winrate,matchup_top_36_games,matchup_top_36_lane_quality,matchup_top_37_name,matchup_top_37_winrate,matchup_top_37_games,matchup_top_37_lane_quality,matchup_top_38_name,matchup_top_38_winrate,matchup_top_38_games,matchup_top_38_lane_quality,matchup_top_39_name,matchup_top_39_winrate,matchup_top_39_games,matchup_top_39_lane_quality,matchup_top_40_name,matchup_top_40_winrate,matchup_top_40_games,matchup_top_40_lane_quality,matchup_top_41_name,matchup_top_41_winrate,matchup_top_41_games,matchup_top_41_lane_quality,matchup_top_42_name,matchup_top_42_winrate,matchup_top_42_games,matchup_top_42_lane_quality,matchup_top_43_name,matchup_top_43_winrate,matchup_top_43_games,matchup_top_43_lane_quality,matchup_top_44_name,matchup_top_44_winrate,matchup_top_44_games,matchup_top_44_lane_quality,matchup_top_45_name,matchup_top_45_winrate,matchup_top_45_games,matchup_top_45_lane_quality,matchup_top_46_name,matchup_top_46_winrate,matchup_top_46_games,matchup_top_46_lane_quality,matchup_top_47_name,matchup_top_47_winrate,matchup_top_47_games,matchup_top_47_lane_quality,matchup_top_48_name,matchup_top_48_winrate,matchup_top_48_games,matchup_top_48_lane_quality,matchup_top_49_name,matchup_top_49_winrate,matchup_top_49_games,matchup_top_49_lane_quality,matchup_top_50_name,matchup_top_50_winrate,matchup_top_50_games,matchup_top_50_lane_quality,matchup_top_51_name,matchup_top_51_winrate,matchup_top_51_games,matchup_top_51_lane_quality,matchup_top_52_name,matchup_top_52_winrate,matchup_top_52_games,matchup_top_52_lane_quality,matchup_top_53_name,matchup_top_53_winrate,matchup_top_53_games,matchup_top_53_lane_quality,matchup_top_54_name,matchup_top_54_winrate,matchup_top_54_games,matchup_top_54_lane_quality,matchup_top_55_name,matchup_top_55_winrate,matchup_top_55_games,matchup_top_55_lane_quality,matchup_top_56_name,matchup_top_56_winrate,matchup_top_56_games,matchup_top_56_lane_quality
Lillia,jun,95.3%,C,18 / 52,50.7 %,3.4 %,2.6 %,826259,https://dpm.lol/champions/Lillia/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,KSante,57.69%,11026,,MasterYi,54.33%,3013,,Chogath,53.72%,17241,,TahmKench,52.70%,5491,,Jax,52.68%,22986,,Kled,52.54%,5647,,Smolder,52.51%,2773,,Shen,52.37%,13371,,Tryndamere,52.34%,12176,,Gnar,52.21%,10564,,Renekton,52.14%,17611,,MonkeyKing,51.93%,2592,,Poppy,51.92%,3619,,Aatrox,51.88%,23345,,Akali,51.72%,5489,,Gragas,51.66%,6821,,Ornn,51.54%,13190,,Gwen,51.48%,14415,,Sion,51.48%,18991,,Olaf,51.47%,7739,,Trundle,51.27%,4833,,Darius,51.25%,33693,,Yasuo,51.19%,11971,,Zaahen,51.19%,35397,,Nasus,51.11%,18831,,Yone,51.10%,18631,,Volibear,51.10%,13908,,Camille,51.07%,8110,,Ambessa,51.03%,14436,,Gangplank,50.92%,10982,,Illaoi,50.90%,13360,,Vladimir,50.84%,7600,,Rumble,50.74%,7034,,DrMundo,50.70%,28811,,Pantheon,50.61%,7609,,Mordekaiser,50.40%,32877,,Jayce,50.38%,9165,,Malphite,50.24%,35154,,Swain,50.19%,5920,,Yorick,49.87%,20140,,Fiora,49.86%,13716,,Sylas,49.82%,2977,,Irelia,49.65%,14372,,Warwick,49.37%,5973,,Garen,49.34%,35630,,Riven,49.23%,13460,,Sett,49.00%,31665,,Singed,48.67%,10518,,Kennen,48.64%,7193,,Urgot,48.57%,12694,,Heimerdinger,47.91%,7285,,Vayne,47.73%,7394,,Quinn,47.48%,7233,,Teemo,47.05%,24459,,Kayle,46.73%,17620,,Varus,46.57%,3075,
Seraphine,sup,91.5%,C,24 / 39,49.9 %,6.3 %,1.7 %,1519391,https://dpm.lol/champions/Seraphine/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,KSante,54.25%,16786,,Smolder,53.33%,4802,,MasterYi,53.26%,6142,,Gragas,52.91%,11239,,Jayce,52.70%,14422,,Camille,52.36%,13154,,Ambessa,52.36%,23564,,Rumble,52.32%,11646,,Aatrox,51.77%,38649,,Gangplank,51.77%,19904,,Riven,51.67%,23989,,Darius,51.63%,64296,,Poppy,51.52%,5887,,Vladimir,51.49%,13281,,Gnar,51.47%,19062,,Pantheon,51.34%,14674,,Trundle,51.23%,9408,,Gwen,50.90%,28058,,Yone,50.72%,35483,,Renekton,50.64%,30275,,Zaahen,50.62%,62346,,Volibear,50.42%,24983,,Shen,50.31%,23087,,Varus,50.24%,5173,,Chogath,50.20%,31717,,Yasuo,50.20%,21911,,Quinn,50.15%,14987,,Tryndamere,50.07%,24144,,Kennen,50.06%,13166,,TahmKench,50.05%,10452,,Akali,49.95%,9683,,Ornn,49.83%,21852,,Vayne,49.76%,14034,,Irelia,49.72%,26361,,Jax,49.35%,40293,,Nasus,49.33%,36096,,Heimerdinger,49.27%,16598,,Sylas,49.18%,5456,,Swain,49.05%,10788,,Mordekaiser,48.95%,64541,,Illaoi,48.87%,26904,,Olaf,48.80%,14876,,Sion,48.49%,31658,,Warwick,48.48%,10137,,Teemo,48.37%,52265,,Urgot,48.35%,24621,,Kayle,48.20%,34484,,Garen,48.13%,67630,,DrMundo,47.96%,49081,,Yorick,47.85%,40636,,Malphite,47.78%,62099,,Singed,47.73%,18374,,Kled,47.54%,10397,,Sett,47.46%,62822,,,,,,,,,
Ekko,mid,45.6%,C,25 / 47,50.7 %,3.5 %,2.2 %,842012,https://dpm.lol/champions/Ekko/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,MasterYi,56.52%,3671,,KSante,54.88%,9710,,Rumble,53.60%,6627,,Gwen,53.50%,15456,,Gangplank,53.44%,11555,,Jayce,53.15%,8403,,Trundle,52.87%,5118,,Ambessa,52.82%,13353,,Aatrox,52.52%,22245,,Volibear,52.35%,13925,,Tryndamere,52.28%,13273,,Yasuo,52.22%,12427,,Camille,52.14%,7938,,Varus,51.97%,2748,,Riven,51.96%,14818,,Darius,51.94%,36125,,Gragas,51.86%,6903,,Yone,51.71%,18875,,Fiora,51.71%,14487,,Smolder,51.58%,2875,,Irelia,51.18%,14612,,Vladimir,51.12%,7877,,Kled,51.06%,5901,,Olaf,51.02%,7806,,Renekton,50.85%,17204,,Zaahen,50.69%,35673,,Sylas,50.68%,2997,,Gnar,50.57%,11238,,Shen,50.40%,13149,,Pantheon,50.39%,8206,,Jax,50.39%,22140,,Akali,50.33%,4922,,Mordekaiser,50.27%,34201,,Ornn,50.26%,12443,,Sion,49.99%,18128,,Kennen,49.96%,7342,,Nasus,49.92%,19364,,Quinn,49.89%,8281,,TahmKench,49.87%,5577,,Sett,49.81%,33726,,Chogath,49.67%,17648,,Warwick,49.61%,5779,,Poppy,49.52%,3411,,Garen,49.45%,37963,,DrMundo,49.38%,26829,,Illaoi,49.11%,14164,,Heimerdinger,49.08%,7788,,Swain,48.65%,6204,,Teemo,48.26%,26304,,Urgot,48.17%,13811,,Yorick,48.17%,20728,,Kayle,47.97%,19651,,Malphite,47.92%,33458,,Singed,47.64%,11020,,,,,,,,,
Aphelios,adc,97.9%,C,15 / 26,50.0 %,5.8 %,2.4 %,1385399,https://dpm.lol/champions/Aphelios/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,MasterYi,54.83%,5858,,KSante,53.72%,19993,,Smolder,52.75%,4957,,Ambessa,52.34%,26136,,Camille,52.33%,14492,,Gragas,52.09%,12415,,Gangplank,52.00%,20412,,Yone,51.73%,31518,,Rumble,51.68%,13428,,Gwen,51.62%,24655,,Trundle,51.58%,7557,,Akali,51.55%,9486,,Jayce,51.43%,17281,,Gnar,51.37%,19306,,Aatrox,51.26%,40366,,Vayne,51.03%,14038,,Tryndamere,51.02%,19765,,Ryze,50.88%,4520,,Darius,50.82%,56119,,Poppy,50.82%,6063,,Zaahen,50.63%,60071,,Yasuo,50.58%,21268,,Vladimir,50.57%,14195,,Riven,50.51%,24647,,Volibear,50.46%,22718,,Fiora,50.43%,24760,,Renekton,50.34%,29798,,MonkeyKing,49.89%,4366,,Quinn,49.86%,12722,,Irelia,49.84%,24918,,Pantheon,49.73%,12916,,Illaoi,49.67%,20751,,Sylas,49.66%,5505,,Singed,49.57%,17829,,Garen,49.50%,57823,,TahmKench,49.43%,8655,,Heimerdinger,49.27%,11931,,Mordekaiser,49.22%,51346,,Shen,49.21%,22343,,Yorick,49.21%,30514,,Ornn,49.06%,21980,,Kennen,49.05%,12627,,Teemo,49.01%,37889,,Chogath,49.00%,27045,,Olaf,48.85%,13349,,Nasus,48.75%,29875,,Jax,48.62%,36586,,Kayle,48.44%,29690,,Swain,48.38%,10517,,Warwick,48.35%,9480,,DrMundo,48.27%,41290,,Kled,48.13%,9986,,Sett,47.92%,51832,,Urgot,47.55%,20881,,Sion,47.36%,31926,,Malphite,46.23%,55016,
Irelia,top,54.1%,C,21 / 50,49.6 %,3.5 %,9.1 %,846928,https://dpm.lol/champions/Irelia/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Smolder,63.50%,3008,Good Lane,Ryze,58.32%,2644,Good Lane,Jayce,56.85%,16330,Good Lane,Yone,55.76%,20688,Good Lane,Varus,55.64%,3889,Good Lane,Ambessa,54.84%,17060,Good Lane,Quinn,54.76%,10155,Good Lane,Vladimir,54.43%,10153,Good Lane,Gnar,54.42%,15692,Good Lane,Rumble,54.29%,9043,Good Lane,Aatrox,54.08%,29155,Good Lane,Vayne,53.45%,6636,Good Lane,Gangplank,52.69%,15804,Average,Yorick,52.65%,30212,Good Lane,Kayle,52.31%,24455,Good Lane,Swain,52.25%,5694,Good Lane,Kennen,52.17%,8368,Good Lane,Gwen,51.76%,12748,Good Lane,DrMundo,51.69%,24718,Good Lane,Gragas,51.63%,7147,Average,KSante,51.56%,10159,Bad Lane,Sylas,51.48%,2638,Good Lane,Akali,51.44%,6961,Bad Lane,MasterYi,51.44%,3647,Good Lane,Pantheon,51.31%,7611,Average,Chogath,50.21%,14209,Good Lane,Sion,50.06%,15480,Bad Lane,Yasuo,49.92%,13831,Average,Camille,49.84%,8423,Good Lane,Teemo,49.38%,21610,Good Lane,Darius,49.19%,30869,Bad Lane,Olaf,48.90%,6092,Average,Mordekaiser,48.51%,27304,Bad Lane,Ornn,48.26%,10542,Average,Trundle,48.02%,4138,Bad Lane,Tryndamere,47.88%,10882,Bad Lane,TahmKench,47.82%,4711,Bad Lane,Heimerdinger,47.73%,8265,Bad Lane,Riven,47.73%,15362,Bad Lane,Fiora,47.70%,14638,Bad Lane,Illaoi,47.20%,11035,Bad Lane,Renekton,47.02%,18287,Bad Lane,Shen,46.98%,12078,Average,Poppy,46.90%,4168,Bad Lane,Kled,46.84%,5105,Bad Lane,Singed,46.70%,9185,Average,MonkeyKing,46.49%,2581,Bad Lane,Zaahen,46.20%,34523,Bad Lane,Urgot,45.65%,11339,Good Lane,Nasus,45.48%,15901,Average,Garen,44.99%,32251,Bad Lane,Volibear,44.31%,14490,Bad Lane,Sett,44.14%,34989,Bad Lane,Jax,43.82%,31268,Bad Lane,Malphite,42.74%,35292,Bad Lane,Warwick,41.68%,7718,Bad Lane
