champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_top_1_name,matchup_top_1_winrate,matchup_top_1_games,matchup_top_1_lane_quality,matchup_top_2_name,matchup_top_2_winrate,matchup_top_2_games,matchup_top_2_lane_quality,matchup_top_3_name,matchup_top_3_winrate,matchup_top_3_games,matchup_top_3_lane_quality,matchup_top_4_name,matchup_top_4_winrate,matchup_top_4_games,matchup_top_4_lane_quality,matchup_top_5_name,matchup_top_5_winrate,matchup_top_5_games,matchup_top_5_lane_quality,matchup_top_6_name,matchup_top_6_winrate,matchup_top_6_games,matchup_top_6_lane_quality,matchup_top_7_name,matchup_top_7_winrate,matchup_top_7_games,matchup_top_7_lane_quality,matchup_top_8_name,matchup_top_8_winrate,matchup_top_8_games,matchup_top_8_lane_quality,matchup_top_9_name,matchup_top_9_winrate,matchup_top_9_games,matchup_top_9_lane_quality,matchup_top_10_name,matchup_top_10_winrate,matchup_top_10_games,matchup_top_10_lane_quality,matchup_top_11_name,matchup_top_11_winrate,matchup_top_11_games,matchup_top_11_lane_quality,matchup_top_12_name,matchup_top_12_winrate,matchup_top_12_games,matchup_top_12_lane_quality,matchup_top_13_name,matchup_top_13_winrate,matchup_top_13_games,matchup_top_13_lane_quality,matchup_top_14_name,matchup_top_14_winrate,matchup_top_14_games,matchup_top_14_lane_quality,matchup_top_15_name,matchup_top_15_winrate,matchup_top_15_games,matchup_top_15_lane_quality,matchup_top_16_name,matchup_top_16_winrate,matchup_top_16_games,matchup_top_16_lane_quality,matchup_top_17_name,matchup_top_17_winrate,matchup_top_17_games,matchup_top_17_lane_quality,matchup_top_18_name,matchup_top_18_winrate,matchup_top_18_games,matchup_top_18_lane_quality,matchup_top_19_name,matchup_top_19_winrate,matchup_top_19_games,matchup_top_19_lane_quality,matchup_top_20_name,matchup_top_20_winrate,matchup_top_20_games,matchup_top_20_lane_quality,matchup_top_21_name,matchup_top_21_winrate,matchup_top_21_games,matchup_top_21_lane_quality,matchup_top_22_name,matchup_top_22_winrate,matchup_top_22_games,matchup_top_22_lane_quality,matchup_top_23_name,matchup_top_23_winrate,matchup_top_23_games,matchup_top_23_lane_quality,matchup_top_24_name,matchup_top_24_winrate,matchup_top_24_games,matchup_top_24_lane_quality,matchup_top_25_name,matchup_top_25_winrate,matchup_top_25_games,matchup_top_25_lane_quality,matchup_top_26_name,matchup_top_26_winrate,matchup_top_26_games,matchup_top_26_lane_quality,matchup_top_27_name,matchup_top_27_winrate,matchup_top_27_games,matchup_top_27_lane_quality,matchup_top_28_name,matchup_top_28_winrate,matchup_top_28_games,matchup_top_28_lane_quality,matchup_top_29_name,matchup_top_29_winrate,matchup_top_29_games,matchup_top_29_lane_quality,matchup_top_30_name,matchup_top_30_winrate,matchup_top_30_games,matchup_top_30_lane_quality,matchup_top_31_name,matchup_top_31_winrate,matchup_top_31_games,matchup_top_31_lane_quality,matchup_top_32_name,matchup_top_32_winrate,matchup_top_32_games,matchup_top_32_lane_quality,matchup_top_33_name,matchup_top_33_winrate,matchup_top_33_games,matchup_top_33_lane_quality,matchup_top_34_name,matchup_top_34_winrate,matchup_top_34_games,matchup_top_34_lane_quality,matchup_top_35_name,matchup_top_35_winrate,matchup_top_35_games,matchup_top_35_lane_quality,matchup_top_36_name,matchup_top_36_winrate,matchup_top_36_games,matchup_top_36_lane_quality,matchup_top_37_name,matchup_top_37_winrate,matchup_top_37_games,matchup_top_37_lane_quality,matchup_top_38_name,matchup_top_38_winrate,matchup_top_38_games,matchup_top_38_lane_quality,matchup_top_39_name,matchup_top_39_winrate,matchup_top_39_games,matchup_top_39_lane_quality,matchup_top_40_name,matchup_top_40_winrate,matchup_top_40_games,matchup_top_40_lane_quality,matchup_top_41_name,matchup_top_41_winrate,matchup_top_41_games,matchup_top_41_lane_quality,matchup_top_42_name,matchup_top_42_winrate,matchup_top_42_games,matchup_top_42_lane_quality,matchup_top_43_name,matchup_top_43_winrate,matchup_top_43_games,matchup_top_43_lane_quality,matchup_top_44_name,matchup_top_44_winrate,matchup_top_44_games,matchup_top_44_lane_quality,matchup_top_45_name,matchup_top_45_winrate,matchup_top_45_games,matchup_top_45_lane_quality,matchup_top_46_name,matchup_top_46_winrate,matchup_top_46_games,matchup_top_46_lane_quality,matchup_top_47_name,matchup_top_47_winrate,matchup_top_47_games,matchup_top_47_lane_quality,matchup_top_48_name,matchup_top_48_winrate,matchup_top_48_games,matchup_top_48_lane_quality,matchup_top_49_name,matchup_top_49_winrate,matchup_top_49_games,matchup_top_49_lane_quality,matchup_top_50_name,matchup_top_50_winrate,matchup_top_50_games,matchup_top_50_lane_quality,matchup_top_51_name,matchup_top_51_winrate,matchup_top_51_games,matchup_top_51_lane_quality,matchup_top_52_name,matchup_top_52_winrate,matchup_top_52_games,matchup_top_52_lane_quality,matchup_top_53_name,matchup_top_53_winrate,matchup_top_53_games,matchup_top_53_lane_quality,matchup_top_54_name,matchup_top_54_winrate,matchup_top_54_games,matchup_top_54_lane_quality,matchup_top_55_name,matchup_top_55_winrate,matchup_top_55_games,matchup_top_55_lane_quality,matchup_top_56_name,matchup_top_56_winrate,matchup_top_56_games,matchup_top_56_lane_quality
Graves,jun,94.0%,D,28 / 52,49.8 %,3.8 %,1.6 %,913998,https://dpm.lol/champions/Graves/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,MasterYi,55.62%,3846,,KSante,54.06%,13843,,Trundle,53.56%,4354,,Smolder,53.50%,4789,,Jayce,52.49%,17134,,Tryndamere,51.84%,14165,,Renekton,51.75%,21426,,Gangplank,51.58%,14147,,Yone,51.36%,23651,,Gragas,51.27%,8333,,Volibear,51.21%,14432,,Sylas,51.08%,4926,,Nasus,50.91%,19954,,Aatrox,50.90%,35153,,Gnar,50.89%,11919,,Rumble,50.85%,9088,,Gwen,50.81%,14986,,Jax,50.74%,25769,,Ambessa,50.68%,18122,,MonkeyKing,50.48%,3362,,Olaf,50.35%,7645,,Riven,50.29%,16839,,Varus,50.27%,3282,,Fiora,50.25%,14895,,Zaahen,50.25%,40768,,Camille,50.20%,10606,,Chogath,50.18%,16857,,Yasuo,50.15%,15404,,Quinn,50.07%,7955,,Darius,50.02%,36117,,Akali,49.87%,6655,,Illaoi,49.86%,12203,,Singed,49.83%,10984,,Pantheon,49.71%,8916,,Vladimir,49.67%,8687,,Irelia,49.47%,16468,,Shen,49.43%,13596,,Ornn,49.15%,14287,,Warwick,49.10%,5845,,Poppy,48.87%,3708,,Mordekaiser,48.83%,32296,,Garen,48.72%,37771,,Kennen,48.71%,7596,,Heimerdinger,48.54%,6533,,Ryze,48.51%,2851,,TahmKench,48.50%,4988,,Urgot,48.49%,12282,,Teemo,48.14%,22157,,Sett,47.86%,31046,,Yorick,47.78%,19018,,Kled,47.74%,6205,,Kayle,47.70%,17581,,Sion,47.47%,19552,,Swain,46.70%,5833,,DrMundo,46.50%,27020,,Malphite,46.33%,36953,
Mel,mid,53.8%,D,30 / 47,47.2 %,7.4 %,50.4 %,1774879,https://dpm.lol/champions/Mel/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Smolder,51.79%,6117,,KSante,51.73%,21353,,MasterYi,51.50%,7396,,Jayce,49.98%,19328,,Gragas,49.59%,14841,,Yasuo,49.13%,25470,,Gangplank,48.86%,25135,,Quinn,48.63%,17097,,Poppy,48.58%,6923,,Aatrox,48.57%,49134,,Trundle,48.56%,10679,,Yone,48.52%,41618,,Ambessa,48.49%,29863,,Darius,48.47%,74228,,Renekton,48.35%,36501,,Camille,48.31%,17006,,Tryndamere,48.27%,27068,,Gnar,48.27%,23923,,Riven,48.19%,29986,,Gwen,48.16%,32655,,Zaahen,48.13%,76407,,Rumble,48.10%,14740,,Vayne,47.88%,16126,,Shen,47.84%,28560,,Chogath,47.73%,36475,,Varus,47.72%,6373,,Ornn,47.64%,26765,,Vladimir,47.46%,16506,,Pantheon,47.45%,17040,,Irelia,47.44%,30491,,Volibear,47.44%,28807,,Sylas,47.31%,5975,,Akali,47.27%,11035,,Illaoi,47.26%,28726,,Jax,47.21%,46799,,TahmKench,46.68%,11979,,Teemo,46.63%,54300,,Urgot,46.49%,28009,,Heimerdinger,46.38%,16609,,Nasus,46.21%,40783,,Fiora,46.09%,30715,,Kled,45.95%,12612,,Olaf,45.94%,17186,,Swain,45.88%,12754,,Garen,45.77%,78819,,Warwick,45.66%,12089,,Yorick,45.65%,43628,,Mordekaiser,45.41%,71914,,Kayle,45.24%,40927,,Singed,44.97%,22007,,DrMundo,44.92%,56967,,Sett,44.88%,70444,,Malphite,44.81%,71588,,Sion,44.64%,39294,,,,,,,,,
Lucian,adc,96.1%,D,20 / 26,48.7 %,7.4 %,2.0 %,1788173,https://dpm.lol/champions/Lucian/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,MasterYi,54.17%,7297,,KSante,53.55%,26857,,Smolder,51.67%,6594,,Jayce,51.34%,25119,,Ambessa,51.33%,35102,,Gangplank,51.10%,27559,,Gragas,50.95%,17165,,Trundle,50.64%,9235,,Gnar,50.62%,26072,,Varus,50.47%,7753,,Camille,50.45%,19899,,Yone,50.40%,42389,,Aatrox,50.31%,55098,,Tryndamere,50.30%,25031,,Gwen,50.02%,30651,,Yasuo,49.98%,29023,,Rumble,49.87%,17775,,Zaahen,49.65%,77378,,Jax,49.65%,49174,,Fiora,49.54%,32242,,Renekton,49.51%,39994,,Ryze,49.49%,6141,,Riven,49.39%,32696,,Darius,49.38%,71074,,Olaf,49.34%,16373,,Sylas,49.22%,7929,,Volibear,49.10%,29402,,Irelia,48.98%,33053,,Akali,48.85%,12911,,Pantheon,48.84%,16893,,Shen,48.53%,28597,,Kennen,48.11%,17176,,Quinn,48.01%,16721,,Chogath,48.01%,33039,,Ornn,48.00%,28302,,Poppy,47.97%,8738,,Nasus,47.81%,37286,,MonkeyKing,47.78%,5867,,Illaoi,47.73%,25133,,TahmKench,47.53%,10652,,Vayne,47.53%,17776,,Sion,47.49%,39962,,Kled,47.03%,12697,,Heimerdinger,46.95%,14394,,Mordekaiser,46.83%,64079,,Sett,46.83%,63615,,Swain,46.78%,12935,,Garen,46.74%,71875,,Warwick,46.74%,12172,,Teemo,46.68%,47004,,Yorick,46.55%,37951,,DrMundo,46.34%,49430,,Urgot,46.27%,25198,,Singed,45.80%,22471,,Kayle,45.73%,36792,,Malphite,45.30%,73140,
Kha'Zix,jun,99.3%,D,29 / 52,49.3 %,5.0 %,2.9 %,1199029,https://dpm.lol/champions/Khazix/build?lane=jungle&tier=all&platform=all&timeframe=15.24,False,KSante,55.34%,14260,,MasterYi,54.78%,6530,,Smolder,53.32%,4859,,Jayce,52.69%,15841,,Gangplank,52.67%,17624,,Yasuo,51.39%,19742,,Trundle,51.32%,6555,,Rumble,51.27%,10079,,Gragas,51.27%,10451,,Gwen,51.09%,20572,,Yone,51.03%,28042,,Vayne,50.88%,12482,,Gnar,50.88%,15981,,Tryndamere,50.87%,19051,,Varus,50.78%,4655,,Aatrox,50.66%,35061,,Jax,50.65%,32100,,Ambessa,50.64%,20239,,Akali,50.63%,8503,,Vladimir,50.39%,12003,,Volibear,50.36%,18857,,Fiora,50.28%,20504,,Riven,50.15%,22552,,Camille,50.10%,12563,,Darius,50.09%,47578,,Poppy,50.05%,4721,,Sylas,49.99%,4993,,Zaahen,49.84%,51549,,Olaf,49.83%,10576,,Kennen,49.75%,10725,,Singed,48.95%,14640,,Pantheon,48.93%,11666,,Kayle,48.88%,28245,,Shen,48.87%,18511,,Ornn,48.85%,17753,,Irelia,48.85%,21436,,Mordekaiser,48.60%,43438,,Teemo,48.55%,37835,,Quinn,48.48%,12734,,TahmKench,48.37%,7350,,Sion,48.26%,26104,,Chogath,47.93%,23606,,Swain,47.91%,8678,,Illaoi,47.70%,16922,,Sett,47.49%,43527,,Nasus,47.38%,26474,,Garen,47.00%,50141,,Heimerdinger,46.92%,10421,,Urgot,46.33%,17452,,Kled,46.30%,8443,,Warwick,45.84%,8168,,Yorick,45.54%,25731,,DrMundo,45.29%,36854,,Malphite,45.10%,49433,,,,,,,,,
Fiora,top,97.3%,D,30 / 50,49.6 %,3.4 %,3.7 %,826005,https://dpm.lol/champions/Fiora/build?lane=top&tier=all&platform=all&timeframe=15.24,True,MasterYi,56.73%,3432,Good Lane,KSante,56.22%,12374,Average,Gwen,54.34%,14843,Good Lane,Aatrox,53.60%,28268,Good Lane,Yone,53.39%,18472,Good Lane,Jayce,53.24%,9300,Average,Chogath,53.00%,18173,Good Lane,Ornn,52.42%,15999,Good Lane,Irelia,52.32%,14638,Average,Kled,52.18%,5778,Average,Yasuo,51.71%,12360,Good Lane,Sion,51.31%,19532,Average,Gragas,51.24%,7074,Good Lane,Mordekaiser,51.07%,36530,Average,Pantheon,51.03%,8032,Average,Camille,50.90%,10980,Good Lane,Swain,50.85%,5166,Average,Volibear,50.40%,12476,Bad Lane,Olaf,50.21%,7206,Average,Kennen,50.13%,6862,Bad Lane,Rumble,50.09%,6794,Bad Lane,DrMundo,50.06%,24569,Good Lane,Jax,49.92%,24749,Good Lane,Gnar,49.91%,9820,Bad Lane,Ambessa,49.70%,15399,Bad Lane,Akali,49.61%,6392,Bad Lane,Gangplank,49.56%,11544,Bad Lane,Singed,49.49%,10066,Good Lane,Riven,49.40%,17646,Average,Zaahen,49.37%,40009,Good Lane,Vayne,49.33%,5895,Good Lane,Yorick,49.10%,19287,Bad Lane,Trundle,48.98%,4132,Average,Darius,48.53%,32500,Bad Lane,Renekton,48.40%,17756,Bad Lane,Vladimir,48.33%,8318,Bad Lane,Quinn,48.25%,6642,Good Lane,Shen,48.14%,13892,Good Lane,Garen,48.13%,33031,Bad Lane,Illaoi,47.80%,11191,Bad Lane,Poppy,47.73%,3759,Bad Lane,Tryndamere,47.63%,12886,Bad Lane,Teemo,47.46%,19444,Bad Lane,Nasus,47.02%,18375,Average,Urgot,46.97%,13990,Good Lane,TahmKench,46.73%,5639,Bad Lane,Sett,46.09%,33412,Bad Lane,MonkeyKing,45.89%,2811,Bad Lane,Heimerdinger,45.10%,5940,Bad Lane,Kayle,45.04%,19039,Good Lane,Warwick,44.80%,8462,Bad Lane,Malphite,43.22%,38345,Bad Lane,,,,,,,,,,,,,,,,
