champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_top_1_name,matchup_top_1_winrate,matchup_top_1_games,matchup_top_1_lane_quality,matchup_top_2_name,matchup_top_2_winrate,matchup_top_2_games,matchup_top_2_lane_quality,matchup_top_3_name,matchup_top_3_winrate,matchup_top_3_games,matchup_top_3_lane_quality,matchup_top_4_name,matchup_top_4_winrate,matchup_top_4_games,matchup_top_4_lane_quality,matchup_top_5_name,matchup_top_5_winrate,matchup_top_5_games,matchup_top_5_lane_quality,matchup_top_6_name,matchup_top_6_winrate,matchup_top_6_games,matchup_top_6_lane_quality,matchup_top_7_name,matchup_top_7_winrate,matchup_top_7_games,matchup_top_7_lane_quality,matchup_top_8_name,matchup_top_8_winrate,matchup_top_8_games,matchup_top_8_lane_quality,matchup_top_9_name,matchup_top_9_winrate,matchup_top_9_games,matchup_top_9_lane_quality,matchup_top_10_name,matchup_top_10_winrate,matchup_top_10_games,matchup_top_10_lane_quality,matchup_top_11_name,matchup_top_11_winrate,matchup_top_11_games,matchup_top_11_lane_quality,matchup_top_12_name,matchup_top_12_winrate,matchup_top_12_games,matchup_top_12_lane_quality,matchup_top_13_name,matchup_top_13_winrate,matchup_top_13_games,matchup_top_13_lane_quality,matchup_top_14_name,matchup_top_14_winrate,matchup_top_14_games,matchup_top_14_lane_quality,matchup_top_15_name,matchup_top_15_winrate,matchup_top_15_games,matchup_top_15_lane_quality,matchup_top_16_name,matchup_top_16_winrate,matchup_top_16_games,matchup_top_16_lane_quality,matchup_top_17_name,matchup_top_17_winrate,matchup_top_17_games,matchup_top_17_lane_quality,matchup_top_18_name,matchup_top_18_winrate,matchup_top_18_games,matchup_top_18_lane_quality,matchup_top_19_name,matchup_top_19_winrate,matchup_top_19_games,matchup_top_19_lane_quality,matchup_top_20_name,matchup_top_20_winrate,matchup_top_20_games,matchup_top_20_lane_quality,matchup_top_21_name,matchup_top_21_winrate,matchup_top_21_games,matchup_top_21_lane_quality,matchup_top_22_name,matchup_top_22_winrate,matchup_top_22_games,matchup_top_22_lane_quality,matchup_top_23_name,matchup_top_23_winrate,matchup_top_23_games,matchup_top_23_lane_quality,matchup_top_24_name,matchup_top_24_winrate,matchup_top_24_games,matchup_top_24_lane_quality,matchup_top_25_name,matchup_top_25_winrate,matchup_top_25_games,matchup_top_25_lane_quality,matchup_top_26_name,matchup_top_26_winrate,matchup_top_26_games,matchup_top_26_lane_quality,matchup_top_27_name,matchup_top_27_winrate,matchup_top_27_games,matchup_top_27_lane_quality,matchup_top_28_name,matchup_top_28_winrate,matchup_top_28_games,matchup_top_28_lane_quality,matchup_top_29_name,matchup_top_29_winrate,matchup_top_29_games,matchup_top_29_lane_quality,matchup_top_30_name,matchup_top_30_winrate,matchup_top_30_games,matchup_top_30_lane_quality,matchup_top_31_name,matchup_top_31_winrate,matchup_top_31_games,matchup_top_31_lane_quality,matchup_top_32_name,matchup_top_32_winrate,matchup_top_32_games,matchup_top_32_lane_quality,matchup_top_33_name,matchup_top_33_winrate,matchup_top_33_games,matchup_top_33_lane_quality,matchup_top_34_name,matchup_top_34_winrate,matchup_top_34_games,matchup_top_34_lane_quality,matchup_top_35_name,matchup_top_35_winrate,matchup_top_35_games,matchup_top_35_lane_quality,matchup_top_36_name,matchup_top_36_winrate,matchup_top_36_games,matchup_top_36_lane_quality,matchup_top_37_name,matchup_top_37_winrate,matchup_top_37_games,matchup_top_37_lane_quality,matchup_top_38_name,matchup_top_38_winrate,matchup_top_38_games,matchup_top_38_lane_quality,matchup_top_39_name,matchup_top_39_winrate,matchup_top_39_games,matchup_top_39_lane_quality,matchup_top_40_name,matchup_top_40_winrate,matchup_top_40_games,matchup_top_40_lane_quality,matchup_top_41_name,matchup_top_41_winrate,matchup_top_41_games,matchup_top_41_lane_quality,matchup_top_42_name,matchup_top_42_winrate,matchup_top_42_games,matchup_top_42_lane_quality,matchup_top_43_name,matchup_top_43_winrate,matchup_top_43_games,matchup_top_43_lane_quality,matchup_top_44_name,matchup_top_44_winrate,matchup_top_44_games,matchup_top_44_lane_quality,matchup_top_45_name,matchup_top_45_winrate,matchup_top_45_games,matchup_top_45_lane_quality,matchup_top_46_name,matchup_top_46_winrate,matchup_top_46_games,matchup_top_46_lane_quality,matchup_top_47_name,matchup_top_47_winrate,matchup_top_47_games,matchup_top_47_lane_quality,matchup_top_48_name,matchup_top_48_winrate,matchup_top_48_games,matchup_top_48_lane_quality,matchup_top_49_name,matchup_top_49_winrate,matchup_top_49_games,matchup_top_49_lane_quality,matchup_top_50_name,matchup_top_50_winrate,matchup_top_50_games,matchup_top_50_lane_quality,matchup_top_51_name,matchup_top_51_winrate,matchup_top_51_games,matchup_top_51_lane_quality,matchup_top_52_name,matchup_top_52_winrate,matchup_top_52_games,matchup_top_52_lane_quality,matchup_top_53_name,matchup_top_53_winrate,matchup_top_53_games,matchup_top_53_lane_quality,matchup_top_54_name,matchup_top_54_winrate,matchup_top_54_games,matchup_top_54_lane_quality,matchup_top_55_name,matchup_top_55_winrate,matchup_top_55_games,matchup_top_55_lane_quality,matchup_top_56_name,matchup_top_56_winrate,matchup_top_56_games,matchup_top_56_lane_quality
Nami,sup,99.8%,S+,2 / 39,52.3 %,10.4 %,2.2 %,2491832,https://dpm.lol/champions/Nami/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,MasterYi,57.06%,10993,,KSante,56.65%,30471,,Smolder,55.53%,7841,,Trundle,54.30%,13606,,Gangplank,54.18%,38754,,Jayce,53.90%,27688,,Ambessa,53.89%,44168,,Gragas,53.50%,23865,,Gwen,53.49%,45501,,Gnar,53.44%,34489,,Pantheon,53.41%,24535,,Tryndamere,53.27%,36726,,Darius,53.25%,99137,,Aatrox,53.23%,69742,,Renekton,53.22%,51967,,Camille,53.14%,27816,,Rumble,53.12%,20310,,Zaahen,53.10%,112777,,Volibear,53.02%,39413,,MonkeyKing,52.93%,8077,,Jax,52.93%,65662,,Yone,52.84%,52617,,Poppy,52.72%,11270,,Shen,52.62%,43277,,Chogath,52.47%,51187,,Varus,52.47%,8477,,Vladimir,52.38%,27151,,Fiora,52.24%,45780,,Sylas,52.23%,9508,,TahmKench,52.20%,16410,,Yasuo,52.14%,36627,,Irelia,52.11%,44577,,Olaf,52.10%,22785,,Riven,52.09%,50137,,Sion,51.95%,57220,,Akali,51.89%,17056,,Illaoi,51.88%,35473,,Ornn,51.87%,40694,,Swain,51.83%,20668,,Nasus,51.78%,53290,,Vayne,51.48%,22988,,DrMundo,51.28%,76021,,Quinn,51.22%,25872,,Mordekaiser,51.21%,87752,,Teemo,51.17%,68747,,Yorick,51.14%,55641,,Heimerdinger,51.02%,20446,,Warwick,50.87%,17245,,Kennen,50.87%,22638,,Sett,50.85%,89546,,Garen,50.77%,104753,,Kayle,50.61%,58260,,Singed,50.56%,32792,,Kled,50.55%,19196,,Urgot,50.42%,40049,,Malphite,49.30%,98655,
Dr.Mundo,top,60.3%,S,2 / 50,52.0 %,6.2 %,13.5 %,1495213,https://dpm.lol/champions/DrMundo/build?lane=top&tier=all&platform=all&timeframe=15.24,False,Kennen,58.68%,15807,Good Lane,Jayce,56.90%,14372,Average,Gragas,56.78%,13560,Good Lane,Jax,56.59%,39234,Good Lane,Akali,56.35%,7925,Bad Lane,Udyr,56.35%,4664,Good Lane,Gangplank,56.19%,21118,Bad Lane,Darius,55.97%,75215,Good Lane,Pantheon,55.78%,13560,Good Lane,MasterYi,55.63%,7084,Good Lane,Quinn,55.39%,13554,Good Lane,Chogath,55.37%,41243,Good Lane,Renekton,55.27%,26202,Bad Lane,Malphite,55.04%,69123,Good Lane,Swain,54.41%,9814,Good Lane,Vladimir,54.27%,12811,Average,Rumble,54.19%,11333,Average,Camille,54.03%,11888,Good Lane,Heimerdinger,53.99%,13637,Bad Lane,Gnar,53.96%,18578,Bad Lane,Smolder,53.68%,5455,Good Lane,KSante,53.49%,14705,Bad Lane,Teemo,53.36%,45840,Good Lane,Volibear,53.18%,23424,Good Lane,Urgot,53.02%,24669,Good Lane,Poppy,52.92%,5085,Average,Ornn,52.34%,22719,Good Lane,Riven,51.89%,23263,Bad Lane,Sion,51.80%,30851,Average,Olaf,51.46%,15074,Average,Tryndamere,51.34%,25880,Bad Lane,Vayne,51.28%,17543,Good Lane,Yasuo,51.27%,19903,Bad Lane,Shen,51.22%,23188,Good Lane,Trundle,51.13%,13096,Average,TahmKench,50.96%,10979,Average,Zaahen,50.79%,54994,Good Lane,Kayle,50.69%,31422,Good Lane,Ambessa,50.55%,21176,Bad Lane,Mordekaiser,50.17%,61311,Bad Lane,Singed,50.11%,19857,Good Lane,Fiora,49.95%,24569,Bad Lane,Sett,49.29%,58664,Bad Lane,Nasus,49.13%,36768,Average,Garen,48.54%,70354,Bad Lane,Irelia,48.32%,24718,Bad Lane,Yone,47.96%,39041,Bad Lane,Illaoi,47.90%,26356,Bad Lane,Aatrox,47.85%,43449,Bad Lane,Gwen,47.83%,50691,Bad Lane,Kled,47.21%,12236,Bad Lane,Kayn,46.68%,7567,Average,Warwick,46.57%,13740,Bad Lane,Yorick,45.26%,38137,Bad Lane,,,,,,,,
Viego,jun,97.5%,S,2 / 52,50.9 %,11.0 %,9.7 %,2645201,https://dpm.lol/champions/Viego/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,MasterYi,55.96%,12098,,KSante,54.69%,31541,,Smolder,54.22%,8700,,Gwen,53.34%,46465,,Ambessa,53.24%,43479,,Jayce,53.00%,28954,,Sylas,52.87%,10005,,Trundle,52.81%,15411,,Yasuo,52.81%,41206,,Gragas,52.78%,21434,,Gangplank,52.73%,36045,,Rumble,52.72%,21372,,Gnar,52.50%,35325,,Darius,52.42%,112879,,Aatrox,52.31%,73272,,Quinn,52.22%,24753,,Vladimir,52.20%,25370,,Camille,52.13%,25157,,Volibear,52.09%,43591,,Poppy,52.06%,10199,,Pantheon,52.01%,25883,,Yone,51.91%,60872,,Chogath,51.60%,53540,,Varus,51.42%,9774,,Riven,51.26%,45552,,Akali,51.17%,17382,,Vayne,51.16%,25041,,Fiora,51.15%,45137,,Zaahen,51.15%,116680,,TahmKench,50.97%,17568,,Tryndamere,50.94%,40190,,Renekton,50.83%,53892,,Ornn,50.59%,39732,,Jax,50.57%,70720,,Swain,50.57%,18728,,Shen,50.44%,41540,,DrMundo,50.30%,85365,,Irelia,50.28%,47000,,Sion,50.16%,58142,,Mordekaiser,50.09%,103342,,Kennen,49.88%,23238,,Olaf,49.78%,25030,,MonkeyKing,49.76%,8028,,Garen,49.68%,115724,,Teemo,49.63%,79349,,Nasus,49.60%,60081,,Illaoi,49.59%,41810,,Yorick,49.25%,62440,,Heimerdinger,48.98%,23815,,Sett,48.88%,104816,,Urgot,48.62%,41128,,Kayle,48.45%,59998,,Kled,48.19%,18319,,Singed,47.57%,32309,,Warwick,47.56%,18177,,Malphite,47.11%,110343,
Jax,jun,51.6%,S,3 / 52,52.0 %,5.9 %,11.6 %,1421552,https://dpm.lol/champions/Jax/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,MasterYi,58.89%,8129,,Camille,56.14%,9773,,KSante,55.74%,16407,,Trundle,55.72%,8912,,Gwen,55.63%,24102,,Gragas,54.86%,15572,,Volibear,54.78%,22950,,Yasuo,54.78%,19213,,Irelia,54.73%,20312,,Ambessa,54.66%,20106,,Riven,54.30%,22744,,Jayce,54.10%,12781,,Rumble,53.92%,11157,,Tryndamere,53.90%,22169,,Aatrox,53.90%,36720,,Yone,53.85%,29034,,Gangplank,53.52%,19068,,Zaahen,53.40%,56955,,Darius,53.39%,61703,,Fiora,53.20%,24500,,Poppy,53.15%,7340,,Renekton,53.12%,27584,,Pantheon,52.84%,15391,,Gnar,52.73%,17257,,Shen,52.73%,22899,,Kennen,52.47%,13548,,Vayne,52.29%,12386,,Quinn,52.24%,15893,,Warwick,52.17%,9930,,TahmKench,52.05%,10220,,Heimerdinger,51.90%,15359,,Vladimir,51.61%,14667,,Kayle,51.22%,30630,,Akali,51.12%,9887,,Nasus,51.04%,34741,,Ornn,50.84%,19967,,Mordekaiser,50.63%,63694,,Urgot,50.57%,25529,,Kled,50.45%,9846,,Illaoi,50.40%,28420,,Teemo,50.32%,47801,,Sion,50.31%,29437,,Yorick,50.16%,36076,,Sett,49.88%,58653,,Chogath,49.78%,31344,,Garen,49.49%,82451,,DrMundo,49.41%,52402,,Malphite,49.40%,65666,,Swain,48.67%,9671,,Singed,48.42%,20164,,,,,,,,,,,,,,,,,,,,,,,,,
Dr.Mundo,jun,35.0%,S,4 / 52,52.6 %,3.6 %,13.5 %,866732,https://dpm.lol/champions/DrMundo/build?lane=jungle&tier=all&platform=all&timeframe=15.24,False,MasterYi,56.46%,3620,,Gangplank,55.97%,10866,,Jayce,55.77%,8194,,Quinn,55.57%,6918,,KSante,55.44%,10130,,Gragas,55.25%,5587,,Chogath,54.99%,18195,,Poppy,54.96%,2955,,Kennen,54.83%,6110,,Tryndamere,54.74%,15580,,Smolder,54.49%,3494,,Renekton,54.43%,15267,,Pantheon,54.31%,7325,,Darius,54.29%,35314,,Teemo,54.05%,25404,,Gnar,53.94%,11050,,Camille,53.87%,7758,,Rumble,53.77%,7457,,Riven,53.48%,14853,,Jax,53.48%,21355,,Heimerdinger,53.44%,7803,,Olaf,53.22%,9373,,Yasuo,53.02%,12072,,Gwen,53.01%,30736,,Trundle,52.99%,7163,,Vladimir,52.95%,7181,,Akali,52.91%,4886,,Vayne,52.73%,11950,,Volibear,52.60%,14117,,Urgot,52.51%,12468,,Varus,52.49%,3591,,Shen,52.27%,12711,,Illaoi,52.12%,16895,,Irelia,52.08%,16831,,Ambessa,52.01%,14833,,Yone,52.01%,23686,,Kayn,51.97%,3804,,TahmKench,51.84%,5625,,Kayle,51.80%,20175,,Malphite,51.79%,29299,,Sylas,51.73%,2710,,Aatrox,51.73%,28607,,Sion,51.66%,17926,,Garen,51.52%,41953,,Zaahen,51.46%,37513,,Nasus,51.01%,21718,,Ornn,50.95%,12471,,Swain,50.77%,5464,,Sett,50.62%,35785,,Kled,50.46%,7446,,Mordekaiser,50.45%,34836,,Warwick,50.44%,8016,,Singed,49.12%,10399,,Yorick,48.81%,25437,,,,,,,,,
