champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_top_1_name,synergy_top_1_winrate,synergy_top_1_games,synergy_top_1_lane_quality,synergy_top_2_name,synergy_top_2_winrate,synergy_top_2_games,synergy_top_2_lane_quality,synergy_top_3_name,synergy_top_3_winrate,synergy_top_3_games,synergy_top_3_lane_quality,synergy_top_4_name,synergy_top_4_winrate,synergy_top_4_games,synergy_top_4_lane_quality,synergy_top_5_name,synergy_top_5_winrate,synergy_top_5_games,synergy_top_5_lane_quality,synergy_top_6_name,synergy_top_6_winrate,synergy_top_6_games,synergy_top_6_lane_quality,synergy_top_7_name,synergy_top_7_winrate,synergy_top_7_games,synergy_top_7_lane_quality,synergy_top_8_name,synergy_top_8_winrate,synergy_top_8_games,synergy_top_8_lane_quality,synergy_top_9_name,synergy_top_9_winrate,synergy_top_9_games,synergy_top_9_lane_quality,synergy_top_10_name,synergy_top_10_winrate,synergy_top_10_games,synergy_top_10_lane_quality,synergy_top_11_name,synergy_top_11_winrate,synergy_top_11_games,synergy_top_11_lane_quality,synergy_top_12_name,synergy_top_12_winrate,synergy_top_12_games,synergy_top_12_lane_quality,synergy_top_13_name,synergy_top_13_winrate,synergy_top_13_games,synergy_top_13_lane_quality,synergy_top_14_name,synergy_top_14_winrate,synergy_top_14_games,synergy_top_14_lane_quality,synergy_top_15_name,synergy_top_15_winrate,synergy_top_15_games,synergy_top_15_lane_quality,synergy_top_16_name,synergy_top_16_winrate,synergy_top_16_games,synergy_top_16_lane_quality,synergy_top_17_name,synergy_top_17_winrate,synergy_top_17_games,synergy_top_17_lane_quality,synergy_top_18_name,synergy_top_18_winrate,synergy_top_18_games,synergy_top_18_lane_quality,synergy_top_19_name,synergy_top_19_winrate,synergy_top_19_games,synergy_top_19_lane_quality,synergy_top_20_name,synergy_top_20_winrate,synergy_top_20_games,synergy_top_20_lane_quality,synergy_top_21_name,synergy_top_21_winrate,synergy_top_21_games,synergy_top_21_lane_quality,synergy_top_22_name,synergy_top_22_winrate,synergy_top_22_games,synergy_top_22_lane_quality,synergy_top_23_name,synergy_top_23_winrate,synergy_top_23_games,synergy_top_23_lane_quality,synergy_top_24_name,synergy_top_24_winrate,synergy_top_24_games,synergy_top_24_lane_quality,synergy_top_25_name,synergy_top_25_winrate,synergy_top_25_games,synergy_top_25_lane_quality,synergy_top_26_name,synergy_top_26_winrate,synergy_top_26_games,synergy_top_26_lane_quality,synergy_top_27_name,synergy_top_27_winrate,synergy_top_27_games,synergy_top_27_lane_quality,synergy_top_28_name,synergy_top_28_winrate,synergy_top_28_games,synergy_top_28_lane_quality,synergy_top_29_name,synergy_top_29_winrate,synergy_top_29_games,synergy_top_29_lane_quality,synergy_top_30_name,synergy_top_30_winrate,synergy_top_30_games,synergy_top_30_lane_quality,synergy_top_31_name,synergy_top_31_winrate,synergy_top_31_games,synergy_top_31_lane_quality,synergy_top_32_name,synergy_top_32_winrate,synergy_top_32_games,synergy_top_32_lane_quality,synergy_top_33_name,synergy_top_33_winrate,synergy_top_33_games,synergy_top_33_lane_quality,synergy_top_34_name,synergy_top_34_winrate,synergy_top_34_games,synergy_top_34_lane_quality,synergy_top_35_name,synergy_top_35_winrate,synergy_top_35_games,synergy_top_35_lane_quality,synergy_top_36_name,synergy_top_36_winrate,synergy_top_36_games,synergy_top_36_lane_quality,synergy_top_37_name,synergy_top_37_winrate,synergy_top_37_games,synergy_top_37_lane_quality,synergy_top_38_name,synergy_top_38_winrate,synergy_top_38_games,synergy_top_38_lane_quality,synergy_top_39_name,synergy_top_39_winrate,synergy_top_39_games,synergy_top_39_lane_quality,synergy_top_40_name,synergy_top_40_winrate,synergy_top_40_games,synergy_top_40_lane_quality,synergy_top_41_name,synergy_top_41_winrate,synergy_top_41_games,synergy_top_41_lane_quality,synergy_top_42_name,synergy_top_42_winrate,synergy_top_42_games,synergy_top_42_lane_quality,synergy_top_43_name,synergy_top_43_winrate,synergy_top_43_games,synergy_top_43_lane_quality,synergy_top_44_name,synergy_top_44_winrate,synergy_top_44_games,synergy_top_44_lane_quality,synergy_top_45_name,synergy_top_45_winrate,synergy_top_45_games,synergy_top_45_lane_quality,synergy_top_46_name,synergy_top_46_winrate,synergy_top_46_games,synergy_top_46_lane_quality,synergy_top_47_name,synergy_top_47_winrate,synergy_top_47_games,synergy_top_47_lane_quality,synergy_top_48_name,synergy_top_48_winrate,synergy_top_48_games,synergy_top_48_lane_quality,synergy_top_49_name,synergy_top_49_winrate,synergy_top_49_games,synergy_top_49_lane_quality,synergy_top_50_name,synergy_top_50_winrate,synergy_top_50_games,synergy_top_50_lane_quality,synergy_top_51_name,synergy_top_51_winrate,synergy_top_51_games,synergy_top_51_lane_quality,synergy_top_52_name,synergy_top_52_winrate,synergy_top_52_games,synergy_top_52_lane_quality,synergy_top_53_name,synergy_top_53_winrate,synergy_top_53_games,synergy_top_53_lane_quality,synergy_top_54_name,synergy_top_54_winrate,synergy_top_54_games,synergy_top_54_lane_quality,synergy_top_55_name,synergy_top_55_winrate,synergy_top_55_games,synergy_top_55_lane_quality,synergy_top_56_name,synergy_top_56_winrate,synergy_top_56_games,synergy_top_56_lane_quality,synergy_top_57_name,synergy_top_57_winrate,synergy_top_57_games,synergy_top_57_lane_quality,synergy_top_58_name,synergy_top_58_winrate,synergy_top_58_games,synergy_top_58_lane_quality,synergy_top_59_name,synergy_top_59_winrate,synergy_top_59_games,synergy_top_59_lane_quality,synergy_top_60_name,synergy_top_60_winrate,synergy_top_60_games,synergy_top_60_lane_quality,synergy_top_61_name,synergy_top_61_winrate,synergy_top_61_games,synergy_top_61_lane_quality,synergy_top_62_name,synergy_top_62_winrate,synergy_top_62_games,synergy_top_62_lane_quality,synergy_top_63_name,synergy_top_63_winrate,synergy_top_63_games,synergy_top_63_lane_quality,synergy_top_64_name,synergy_top_64_winrate,synergy_top_64_games,synergy_top_64_lane_quality,synergy_top_65_name,synergy_top_65_winrate,synergy_top_65_games,synergy_top_65_lane_quality,synergy_top_66_name,synergy_top_66_winrate,synergy_top_66_games,synergy_top_66_lane_quality
Diana,jun,59.9%,A,8 / 52,51.1 %,7.2 %,8.9 %,1737516,https://dpm.lol/champions/Diana/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Urgot,53.40%,30366,,Warwick,53.25%,13173,,Malphite,53.21%,74216,,Sett,53.07%,72037,,Yorick,52.97%,44017,,Singed,52.89%,18041,,Illaoi,52.69%,29247,,Garen,52.67%,83098,,Swain,52.64%,10374,,Kled,52.62%,13545,,Quinn,52.53%,17798,,Sylas,52.30%,4866,,DrMundo,52.29%,58225,,MonkeyKing,52.08%,5906,,Olaf,51.93%,17607,,Sion,51.92%,41371,,Ornn,51.80%,27946,,Kayle,51.80%,33000,,Nasus,51.66%,41403,,Teemo,51.49%,43542,,Vayne,51.43%,16690,,Fiora,51.37%,32121,,Mordekaiser,51.30%,53812,,Poppy,51.29%,7290,,Shen,51.22%,29908,,Renekton,51.22%,38406,,Heimerdinger,51.16%,12927,,Riven,51.13%,34023,,Pantheon,51.07%,18203,,TahmKench,51.02%,11752,,Zaahen,50.87%,78411,,Irelia,50.86%,32385,,Aatrox,50.84%,50862,,Kayn,50.70%,4767,,Jax,50.68%,48473,,Chogath,50.43%,34052,,Darius,50.40%,77317,,Tryndamere,50.32%,28398,,Volibear,50.00%,26806,,Gnar,49.94%,24662,,Trundle,49.90%,10904,,Camille,49.79%,17686,,Kennen,49.72%,11065,,Yone,49.62%,41130,,Gangplank,49.46%,25304,,Ambessa,49.11%,29497,,Jayce,49.10%,18759,,Rumble,49.03%,9549,,Varus,48.81%,5548,,Vladimir,48.80%,12442,,Akali,48.69%,8180,,Smolder,48.56%,5727,,Gwen,48.39%,22865,,Gragas,48.18%,10877,,KSante,47.24%,21001,,MasterYi,46.49%,8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashe,adc,88.8%,A,8 / 26,50.1 %,11.8 %,5.8 %,2834915,https://dpm.lol/champions/Ashe/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Urgot,52.44%,43741,,Sett,52.18%,109751,,Kled,52.04%,19870,,Yorick,51.99%,70720,,DrMundo,51.93%,87294,,Malphite,51.90%,114623,,Garen,51.85%,121885,,Kayle,51.74%,63058,,Sion,51.61%,61760,,Singed,51.56%,36346,,Warwick,51.56%,19179,,Swain,51.47%,20699,,MonkeyKing,51.45%,8682,,Mordekaiser,51.43%,115162,,Illaoi,50.93%,47039,,Olaf,50.88%,26911,,Zaahen,50.67%,118823,,Teemo,50.55%,86493,,Heimerdinger,50.51%,27524,,Nasus,50.48%,63910,,Vayne,50.37%,26718,,Renekton,50.34%,59579,,Chogath,50.27%,56857,,Fiora,50.24%,47794,,Irelia,50.24%,49886,,Jax,50.21%,76000,,Shen,50.06%,43819,,Quinn,50.06%,26806,,TahmKench,49.89%,18533,,Kennen,49.84%,25524,,Akali,49.77%,19239,,Ornn,49.76%,42467,,Volibear,49.66%,46993,,Sylas,49.63%,10525,,Aatrox,49.55%,78122,,Riven,49.48%,47299,,Pantheon,49.48%,27120,,Varus,49.45%,10879,,Kayn,49.41%,7446,,Ryze,49.37%,8368,,Cassiopeia,49.33%,7079,,Darius,49.23%,116740,,Yone,49.19%,65841,,Poppy,49.14%,12125,,Gwen,48.92%,52233,,Rumble,48.82%,25133,,Vladimir,48.80%,27408,,Yasuo,48.79%,41716,,Ambessa,48.71%,48879,,Tryndamere,48.52%,43102,,Gnar,48.51%,37145,,Malzahar,48.42%,7487,,Gangplank,48.39%,39842,,Camille,48.13%,27311,,Jayce,48.13%,31422,,Trundle,47.69%,16570,,Gragas,47.32%,23405,,Smolder,47.17%,9930,,KSante,45.97%,36162,,MasterYi,45.37%,11762,,,,,,,,,,,,,,,,,,,,,,,,,
Morgana,mid,19.3%,A,4 / 47,52.1 %,2.1 %,27.0 %,500614,https://dpm.lol/champions/Morgana/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Urgot,55.47%,8614,,DrMundo,54.65%,16288,,Malphite,54.58%,19581,,Sett,54.52%,20266,,Yorick,54.40%,13783,,Singed,54.40%,6092,,Garen,54.36%,23093,,Kled,53.96%,3836,,Kayle,53.84%,11153,,Illaoi,53.67%,8749,,Nasus,53.65%,12169,,Warwick,53.64%,3488,,Swain,53.52%,3513,,Vayne,53.25%,4800,,Sion,53.17%,11173,,Mordekaiser,53.09%,18654,,MonkeyKing,53.02%,1588,,Quinn,52.70%,5349,,Ornn,52.66%,7525,,Teemo,52.42%,14924,,Irelia,52.36%,8812,,Zaahen,52.28%,22012,,Fiora,52.25%,8457,,Chogath,52.04%,10598,,Olaf,52.03%,4945,,Poppy,51.95%,2056,,TahmKench,51.92%,3342,,Volibear,51.82%,8062,,Yone,51.80%,11474,,Pantheon,51.69%,4991,,Renekton,51.69%,10514,,Jax,51.61%,13487,,Heimerdinger,51.61%,4716,,Shen,51.60%,8167,,Akali,51.46%,2783,,Darius,51.36%,21175,,Yasuo,51.36%,7107,,Malzahar,51.35%,1260,,Varus,51.16%,1632,,Tryndamere,51.16%,8200,,Kennen,51.09%,3774,,Camille,51.01%,4732,,Gnar,50.95%,6705,,Riven,50.91%,8879,,Sylas,50.80%,1559,,Aatrox,50.68%,13646,,Vladimir,50.42%,4135,,Kayn,50.27%,1464,,Gragas,49.74%,3510,,Ambessa,49.72%,8335,,Gwen,49.69%,8254,,Jayce,49.67%,5273,,Trundle,49.30%,3124,,Gangplank,49.20%,7128,,Smolder,49.13%,1722,,Rumble,48.95%,3536,,MasterYi,48.60%,2253,,KSante,47.25%,5704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,mid,19.8%,A,5 / 47,53.0 %,2.0 %,6.0 %,469356,https://dpm.lol/champions/Swain/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Malphite,56.27%,18608,,Urgot,55.55%,8339,,Kayle,55.43%,11041,,Warwick,55.11%,3638,,Sett,55.07%,18608,,Garen,54.80%,22068,,DrMundo,54.63%,15294,,Singed,54.57%,5923,,Teemo,54.37%,14408,,Yorick,54.34%,11745,,Sion,54.34%,10663,,Nasus,54.30%,10754,,Shen,54.28%,8045,,Ornn,54.19%,6794,,Quinn,54.05%,5153,,Kled,53.93%,3738,,Pantheon,53.64%,4961,,Mordekaiser,53.55%,16526,,Heimerdinger,53.50%,4245,,Vayne,53.29%,4986,,Sylas,53.28%,1402,,TahmKench,53.17%,3233,,Illaoi,53.10%,7866,,Jax,53.08%,12342,,Yone,52.93%,10776,,Zaahen,52.90%,20714,,Volibear,52.85%,7170,,Tryndamere,52.83%,7456,,Irelia,52.58%,8421,,Kennen,52.58%,3722,,Chogath,52.56%,9500,,Fiora,52.45%,8486,,MonkeyKing,52.39%,1466,,Olaf,52.35%,4751,,Akali,52.16%,2920,,Varus,52.14%,1732,,Renekton,52.08%,10076,,Rumble,52.00%,3308,,Darius,51.87%,19526,,Camille,51.87%,4691,,Ambessa,51.74%,7859,,Yasuo,51.68%,7251,,Gwen,51.53%,8044,,Gnar,51.46%,6123,,Kayn,51.46%,1300,,Vladimir,51.43%,3939,,Riven,51.12%,8783,,Gangplank,50.94%,7063,,Jayce,50.85%,4883,,Aatrox,50.77%,12709,,Trundle,50.58%,2952,,MasterYi,50.40%,2359,,Poppy,50.05%,1996,,Gragas,49.73%,3346,,Smolder,49.49%,1651,,KSante,48.85%,5316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malphite,mid,8.2%,-,-/-,52.3 %,1.4 %,27.2 %,340104,https://dpm.lol/champions/Malphite/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Singed,55.38%,4388,,Yorick,55.06%,8500,,Garen,54.61%,15927,,Warwick,54.57%,2472,,Kled,54.47%,2350,,Sett,54.43%,12979,,Heimerdinger,54.37%,3750,,Naafiri,54.37%,824,,Kayle,54.36%,7774,,Teemo,54.14%,10915,,Ahri,54.13%,859,,DrMundo,53.89%,9945,,Mordekaiser,53.83%,12793,,Vayne,53.78%,3596,,Illaoi,53.74%,5592,,Cassiopeia,53.70%,1080,,Swain,53.67%,2441,,Sylas,53.56%,1684,,Urgot,53.51%,5304,,Sion,53.02%,6384,,Olaf,52.89%,3201,,Nasus,52.88%,8050,,Volibear,52.79%,5637,,Zaahen,52.77%,13535,,Ornn,52.73%,4096,,Renekton,52.59%,6623,,Malzahar,52.37%,2154,,Shen,52.36%,4895,,Yasuo,52.29%,11091,,Yone,52.20%,9328,,Kayn,52.15%,953,,Kennen,52.06%,3106,,Fiora,51.96%,5079,,TahmKench,51.94%,2137,,Chogath,51.94%,6521,,Jax,51.86%,8731,,Aatrox,51.84%,8604,,Darius,51.76%,14057,,Aurora,51.73%,1013,,Veigar,51.65%,968,,Irelia,51.64%,5734,,Gwen,51.56%,6049,,Vladimir,51.48%,3590,,Gragas,51.24%,2543,,Zed,51.20%,877,,Riven,50.92%,5151,,Akali,50.91%,3257,,Gangplank,50.85%,4755,,Smolder,50.74%,1752,,Rumble,50.57%,2648,,Galio,50.50%,903,,Gnar,50.42%,3832,,Varus,50.28%,1432,,Trundle,50.10%,2054,,Pantheon,50.06%,3278,,Camille,50.03%,2922,,MonkeyKing,49.90%,978,,Ambessa,49.88%,4902,,Ryze,49.85%,1314,,Jayce,49.72%,3387,,Poppy,49.46%,1193,,Tryndamere,49.35%,4995,,Mel,49.13%,861,,Quinn,48.89%,3121,,KSante,47.73%,3486,,MasterYi,47.15%,1616,
