champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_top_1_name,synergy_top_1_winrate,synergy_top_1_games,synergy_top_1_lane_quality,synergy_top_2_name,synergy_top_2_winrate,synergy_top_2_games,synergy_top_2_lane_quality,synergy_top_3_name,synergy_top_3_winrate,synergy_top_3_games,synergy_top_3_lane_quality,synergy_top_4_name,synergy_top_4_winrate,synergy_top_4_games,synergy_top_4_lane_quality,synergy_top_5_name,synergy_top_5_winrate,synergy_top_5_games,synergy_top_5_lane_quality,synergy_top_6_name,synergy_top_6_winrate,synergy_top_6_games,synergy_top_6_lane_quality,synergy_top_7_name,synergy_top_7_winrate,synergy_top_7_games,synergy_top_7_lane_quality,synergy_top_8_name,synergy_top_8_winrate,synergy_top_8_games,synergy_top_8_lane_quality,synergy_top_9_name,synergy_top_9_winrate,synergy_top_9_games,synergy_top_9_lane_quality,synergy_top_10_name,synergy_top_10_winrate,synergy_top_10_games,synergy_top_10_lane_quality,synergy_top_11_name,synergy_top_11_winrate,synergy_top_11_games,synergy_top_11_lane_quality,synergy_top_12_name,synergy_top_12_winrate,synergy_top_12_games,synergy_top_12_lane_quality,synergy_top_13_name,synergy_top_13_winrate,synergy_top_13_games,synergy_top_13_lane_quality,synergy_top_14_name,synergy_top_14_winrate,synergy_top_14_games,synergy_top_14_lane_quality,synergy_top_15_name,synergy_top_15_winrate,synergy_top_15_games,synergy_top_15_lane_quality,synergy_top_16_name,synergy_top_16_winrate,synergy_top_16_games,synergy_top_16_lane_quality,synergy_top_17_name,synergy_top_17_winrate,synergy_top_17_games,synergy_top_17_lane_quality,synergy_top_18_name,synergy_top_18_winrate,synergy_top_18_games,synergy_top_18_lane_quality,synergy_top_19_name,synergy_top_19_winrate,synergy_top_19_games,synergy_top_19_lane_quality,synergy_top_20_name,synergy_top_20_winrate,synergy_top_20_games,synergy_top_20_lane_quality,synergy_top_21_name,synergy_top_21_winrate,synergy_top_21_games,synergy_top_21_lane_quality,synergy_top_22_name,synergy_top_22_winrate,synergy_top_22_games,synergy_top_22_lane_quality,synergy_top_23_name,synergy_top_23_winrate,synergy_top_23_games,synergy_top_23_lane_quality,synergy_top_24_name,synergy_top_24_winrate,synergy_top_24_games,synergy_top_24_lane_quality,synergy_top_25_name,synergy_top_25_winrate,synergy_top_25_games,synergy_top_25_lane_quality,synergy_top_26_name,synergy_top_26_winrate,synergy_top_26_games,synergy_top_26_lane_quality,synergy_top_27_name,synergy_top_27_winrate,synergy_top_27_games,synergy_top_27_lane_quality,synergy_top_28_name,synergy_top_28_winrate,synergy_top_28_games,synergy_top_28_lane_quality,synergy_top_29_name,synergy_top_29_winrate,synergy_top_29_games,synergy_top_29_lane_quality,synergy_top_30_name,synergy_top_30_winrate,synergy_top_30_games,synergy_top_30_lane_quality,synergy_top_31_name,synergy_top_31_winrate,synergy_top_31_games,synergy_top_31_lane_quality,synergy_top_32_name,synergy_top_32_winrate,synergy_top_32_games,synergy_top_32_lane_quality,synergy_top_33_name,synergy_top_33_winrate,synergy_top_33_games,synergy_top_33_lane_quality,synergy_top_34_name,synergy_top_34_winrate,synergy_top_34_games,synergy_top_34_lane_quality,synergy_top_35_name,synergy_top_35_winrate,synergy_top_35_games,synergy_top_35_lane_quality,synergy_top_36_name,synergy_top_36_winrate,synergy_top_36_games,synergy_top_36_lane_quality,synergy_top_37_name,synergy_top_37_winrate,synergy_top_37_games,synergy_top_37_lane_quality,synergy_top_38_name,synergy_top_38_winrate,synergy_top_38_games,synergy_top_38_lane_quality,synergy_top_39_name,synergy_top_39_winrate,synergy_top_39_games,synergy_top_39_lane_quality,synergy_top_40_name,synergy_top_40_winrate,synergy_top_40_games,synergy_top_40_lane_quality,synergy_top_41_name,synergy_top_41_winrate,synergy_top_41_games,synergy_top_41_lane_quality,synergy_top_42_name,synergy_top_42_winrate,synergy_top_42_games,synergy_top_42_lane_quality,synergy_top_43_name,synergy_top_43_winrate,synergy_top_43_games,synergy_top_43_lane_quality,synergy_top_44_name,synergy_top_44_winrate,synergy_top_44_games,synergy_top_44_lane_quality,synergy_top_45_name,synergy_top_45_winrate,synergy_top_45_games,synergy_top_45_lane_quality,synergy_top_46_name,synergy_top_46_winrate,synergy_top_46_games,synergy_top_46_lane_quality,synergy_top_47_name,synergy_top_47_winrate,synergy_top_47_games,synergy_top_47_lane_quality,synergy_top_48_name,synergy_top_48_winrate,synergy_top_48_games,synergy_top_48_lane_quality,synergy_top_49_name,synergy_top_49_winrate,synergy_top_49_games,synergy_top_49_lane_quality,synergy_top_50_name,synergy_top_50_winrate,synergy_top_50_games,synergy_top_50_lane_quality,synergy_top_51_name,synergy_top_51_winrate,synergy_top_51_games,synergy_top_51_lane_quality,synergy_top_52_name,synergy_top_52_winrate,synergy_top_52_games,synergy_top_52_lane_quality,synergy_top_53_name,synergy_top_53_winrate,synergy_top_53_games,synergy_top_53_lane_quality,synergy_top_54_name,synergy_top_54_winrate,synergy_top_54_games,synergy_top_54_lane_quality,synergy_top_55_name,synergy_top_55_winrate,synergy_top_55_games,synergy_top_55_lane_quality,synergy_top_56_name,synergy_top_56_winrate,synergy_top_56_games,synergy_top_56_lane_quality,synergy_top_57_name,synergy_top_57_winrate,synergy_top_57_games,synergy_top_57_lane_quality,synergy_top_58_name,synergy_top_58_winrate,synergy_top_58_games,synergy_top_58_lane_quality,synergy_top_59_name,synergy_top_59_winrate,synergy_top_59_games,synergy_top_59_lane_quality,synergy_top_60_name,synergy_top_60_winrate,synergy_top_60_games,synergy_top_60_lane_quality
Shaco,jun,74.2%,C,17 / 52,49.1 %,5.3 %,27.5 %,1265986,https://dpm.lol/champions/Shaco/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,DrMundo,52.77%,41186,,Kayle,52.20%,28307,,Kled,51.61%,8840,,Urgot,51.36%,20789,,Yorick,51.24%,32917,,Warwick,51.16%,8837,,Sion,50.94%,27254,,Sett,50.90%,51377,,Singed,50.89%,16218,,Garen,50.89%,57759,,Ryze,50.76%,3079,,Nasus,50.65%,31768,,Mordekaiser,50.59%,50762,,Malphite,50.31%,53142,,Swain,50.16%,9316,,Illaoi,50.05%,21606,,Ornn,49.97%,18523,,TahmKench,49.76%,8821,,Teemo,49.71%,41195,,Varus,49.70%,4193,,Fiora,49.66%,20683,,Olaf,49.65%,12154,,Irelia,49.44%,22007,,Vayne,49.40%,11878,,MonkeyKing,49.38%,3619,,Zaahen,49.18%,53010,,Malzahar,49.00%,3588,,Heimerdinger,48.99%,12442,,Chogath,48.72%,27126,,Jax,48.65%,34811,,Tryndamere,48.64%,19906,,Vladimir,48.61%,12167,,Kayn,48.52%,3469,,Renekton,48.44%,25089,,Yone,48.15%,27725,,Quinn,48.11%,12791,,Volibear,48.04%,21664,,Yasuo,47.99%,17731,,Cassiopeia,47.92%,3107,,Sylas,47.86%,4601,,Aatrox,47.70%,32570,,Shen,47.70%,20238,,Ambessa,47.69%,18309,,Darius,47.60%,54672,,Gnar,47.59%,16425,,Riven,47.58%,21535,,Trundle,47.56%,7992,,Kennen,47.49%,10001,,Camille,47.48%,11107,,Gwen,47.41%,21417,,Pantheon,47.09%,11881,,Jayce,47.09%,11665,,Poppy,47.06%,5094,,Gangplank,46.76%,17122,,Rumble,46.73%,8842,,Akali,46.36%,7699,,Smolder,46.11%,4086,,Gragas,45.53%,9995,,MasterYi,44.34%,5656,,KSante,43.56%,13589,
Zed,mid,63.5%,C,20 / 47,48.7 %,6.5 %,21.7 %,1561717,https://dpm.lol/champions/Zed/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Singed,51.77%,22894,,Kayle,51.67%,42944,,Swain,51.56%,14798,,Mordekaiser,51.53%,84561,,Malphite,51.41%,62263,,Teemo,51.33%,56840,,Kennen,51.05%,20798,,Cassiopeia,51.04%,5813,,Heimerdinger,50.89%,17927,,DrMundo,50.26%,45228,,Chogath,50.21%,35000,,Yorick,50.19%,32378,,Sion,50.11%,28946,,Ornn,50.00%,21840,,Sett,49.99%,54896,,Aurora,49.95%,5247,,Malzahar,49.81%,5190,,Urgot,49.65%,20290,,Poppy,49.65%,5565,,Garen,49.50%,60922,,Vladimir,49.40%,24186,,Illaoi,49.39%,22806,,Warwick,49.35%,9662,,Nasus,49.28%,34424,,Ryze,49.15%,6989,,MonkeyKing,49.09%,4211,,TahmKench,49.07%,10005,,Kled,49.03%,9365,,Shen,49.03%,22243,,Renekton,48.29%,27813,,Olaf,48.27%,12746,,Gwen,48.26%,40119,,Varus,48.23%,5969,,Akali,48.20%,14522,,Vayne,47.92%,14223,,Sylas,47.88%,8391,,Jax,47.83%,38773,,Volibear,47.82%,28474,,Fiora,47.80%,23089,,Rumble,47.79%,20738,,Zaahen,47.57%,58509,,Quinn,47.28%,13087,,Gnar,47.27%,17992,,Pantheon,47.07%,13039,,Gragas,47.05%,18938,,Darius,47.01%,59565,,Irelia,47.00%,24289,,Riven,46.83%,23248,,Yone,46.74%,31548,,Aatrox,46.44%,38902,,Gangplank,46.39%,19617,,Trundle,46.05%,8230,,Yasuo,45.97%,22414,,Smolder,45.92%,5233,,Tryndamere,45.77%,20933,,Camille,45.58%,13092,,Jayce,45.44%,14873,,Ambessa,44.88%,20985,,KSante,44.71%,17318,,MasterYi,42.43%,6107,
Irelia,mid,44.6%,C,21 / 47,50.1 %,2.9 %,9.1 %,699054,https://dpm.lol/champions/Irelia/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Cassiopeia,54.37%,3136,,Teemo,53.34%,27136,,Malphite,53.12%,27825,,Heimerdinger,52.85%,8825,,Mordekaiser,52.73%,39282,,Singed,52.69%,10585,,Malzahar,52.66%,3023,,Kayle,52.59%,20055,,Swain,52.48%,6902,,Kennen,52.46%,9775,,Urgot,52.04%,9002,,Aurora,51.90%,2788,,Ryze,51.86%,3529,,Shen,51.58%,9703,,Varus,51.42%,3067,,Poppy,51.30%,2462,,Sion,51.26%,12318,,Ornn,51.25%,9264,,DrMundo,51.14%,19120,,Yorick,51.12%,14253,,Chogath,51.10%,14903,,Rumble,51.01%,9572,,Sett,51.01%,24488,,Illaoi,50.92%,10229,,Garen,50.69%,25978,,TahmKench,50.45%,4454,,Nasus,50.26%,14776,,Akali,50.20%,8466,,Vayne,50.14%,6659,,Renekton,50.08%,11915,,Warwick,49.93%,4374,,Pantheon,49.90%,5726,,Volibear,49.52%,12833,,Olaf,49.48%,5732,,Sylas,49.34%,4339,,Vladimir,49.21%,11600,,Gwen,49.14%,18650,,Kled,49.07%,4084,,Fiora,48.88%,10635,,Zaahen,48.63%,25400,,Quinn,48.63%,6513,,Gnar,48.42%,7647,,Gragas,48.41%,8403,,Riven,48.41%,10308,,MonkeyKing,48.40%,1777,,Jax,48.33%,16674,,Darius,47.85%,26149,,Yasuo,47.84%,10493,,Gangplank,47.80%,8458,,Yone,47.78%,15673,,Ambessa,47.68%,9108,,Aatrox,47.64%,16277,,Trundle,47.48%,3635,,Tryndamere,47.04%,9066,,KSante,46.96%,7441,,Jayce,46.95%,5945,,Kayn,46.90%,1680,,Camille,46.80%,5707,,Smolder,46.70%,2287,,MasterYi,42.96%,2591,
Xerath,sup,46.0%,C,22 / 39,50.5 %,3.2 %,5.7 %,758138,https://dpm.lol/champions/Xerath/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Warwick,54.00%,5102,,TahmKench,53.74%,4974,,DrMundo,53.73%,24203,,Sett,53.23%,30197,,Yorick,53.14%,17956,,Malphite,52.80%,31974,,Illaoi,52.64%,12565,,Nasus,52.64%,17988,,Garen,52.42%,34272,,Teemo,52.41%,20964,,Urgot,52.09%,11004,,Swain,52.09%,4713,,Singed,52.07%,8555,,Olaf,51.96%,7217,,Mordekaiser,51.44%,27302,,Quinn,51.43%,6942,,Heimerdinger,51.43%,6242,,Kled,51.33%,5114,,Sion,51.33%,17694,,MonkeyKing,51.32%,2496,,Kayle,51.01%,14184,,Ornn,50.80%,11965,,Poppy,50.72%,3336,,Irelia,50.60%,13766,,Shen,50.43%,11695,,Pantheon,50.28%,7633,,Fiora,50.25%,12884,,Zaahen,50.23%,32124,,Jax,50.17%,20926,,Renekton,49.87%,17298,,Chogath,49.84%,14487,,Kayn,49.81%,2064,,Trundle,49.78%,4355,,Darius,49.68%,32034,,Tryndamere,49.57%,11526,,Ryze,49.55%,1988,,Vayne,49.49%,7106,,Aatrox,49.35%,23602,,Yone,49.21%,19627,,Sylas,48.99%,3154,,Malzahar,48.91%,1838,,Gnar,48.84%,10112,,Riven,48.76%,12560,,Yasuo,48.69%,11689,,Camille,48.64%,7630,,Akali,48.47%,4702,,Kennen,48.44%,5630,,Vladimir,48.38%,6116,,Rumble,48.33%,5711,,Ambessa,48.26%,13582,,Jayce,48.13%,10690,,Gangplank,47.76%,10738,,Varus,47.64%,2951,,Gwen,47.60%,11207,,Gragas,47.54%,5578,,Smolder,46.77%,3062,,KSante,46.52%,11020,,MasterYi,45.00%,3189,,,,,,,,,
Vex,mid,95.1%,C,22 / 47,50.7 %,3.4 %,3.6 %,821455,https://dpm.lol/champions/Vex/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Warwick,53.53%,5741,,Sett,53.14%,34465,,Urgot,53.03%,13740,,Kled,52.87%,5992,,Malphite,52.74%,33936,,DrMundo,52.69%,27152,,Yorick,52.60%,21698,,Garen,52.59%,37377,,MonkeyKing,52.46%,2503,,Kayle,52.37%,17315,,Swain,51.82%,5297,,Singed,51.67%,9324,,Ornn,51.57%,12415,,Illaoi,51.36%,14242,,Sion,51.23%,18657,,Poppy,51.17%,3365,,Olaf,51.12%,8324,,Nasus,51.10%,19524,,Heimerdinger,51.06%,7579,,Mordekaiser,51.05%,31354,,Renekton,51.04%,17922,,Teemo,50.90%,24477,,Irelia,50.89%,15008,,Jax,50.84%,22407,,Chogath,50.73%,16712,,Zaahen,50.67%,35720,,Shen,50.62%,13222,,Fiora,50.50%,14239,,Sylas,50.30%,2700,,Akali,50.16%,4719,,Gnar,50.13%,11010,,Quinn,50.07%,8068,,Volibear,49.95%,13144,,Aatrox,49.94%,22840,,Ambessa,49.81%,14107,,Riven,49.76%,13617,,Yone,49.72%,20177,,Yasuo,49.71%,11821,,Vladimir,49.67%,6611,,Tryndamere,49.66%,12984,,Darius,49.66%,35730,,Kennen,49.57%,6327,,Pantheon,49.46%,8483,,Kayn,49.43%,2185,,Rumble,49.30%,5623,,Vayne,49.14%,7764,,Trundle,49.13%,5105,,Smolder,49.06%,2662,,Jayce,48.88%,8821,,Camille,48.79%,7829,,Gangplank,48.62%,11247,,Varus,48.31%,2954,,Gragas,48.18%,5720,,Gwen,47.98%,13135,,KSante,47.17%,10085,,MasterYi,45.84%,3630,,,,,,,,,,,,,,,,,
