champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_top_1_name,synergy_top_1_winrate,synergy_top_1_games,synergy_top_1_lane_quality,synergy_top_2_name,synergy_top_2_winrate,synergy_top_2_games,synergy_top_2_lane_quality,synergy_top_3_name,synergy_top_3_winrate,synergy_top_3_games,synergy_top_3_lane_quality,synergy_top_4_name,synergy_top_4_winrate,synergy_top_4_games,synergy_top_4_lane_quality,synergy_top_5_name,synergy_top_5_winrate,synergy_top_5_games,synergy_top_5_lane_quality,synergy_top_6_name,synergy_top_6_winrate,synergy_top_6_games,synergy_top_6_lane_quality,synergy_top_7_name,synergy_top_7_winrate,synergy_top_7_games,synergy_top_7_lane_quality,synergy_top_8_name,synergy_top_8_winrate,synergy_top_8_games,synergy_top_8_lane_quality,synergy_top_9_name,synergy_top_9_winrate,synergy_top_9_games,synergy_top_9_lane_quality,synergy_top_10_name,synergy_top_10_winrate,synergy_top_10_games,synergy_top_10_lane_quality,synergy_top_11_name,synergy_top_11_winrate,synergy_top_11_games,synergy_top_11_lane_quality,synergy_top_12_name,synergy_top_12_winrate,synergy_top_12_games,synergy_top_12_lane_quality,synergy_top_13_name,synergy_top_13_winrate,synergy_top_13_games,synergy_top_13_lane_quality,synergy_top_14_name,synergy_top_14_winrate,synergy_top_14_games,synergy_top_14_lane_quality,synergy_top_15_name,synergy_top_15_winrate,synergy_top_15_games,synergy_top_15_lane_quality,synergy_top_16_name,synergy_top_16_winrate,synergy_top_16_games,synergy_top_16_lane_quality,synergy_top_17_name,synergy_top_17_winrate,synergy_top_17_games,synergy_top_17_lane_quality,synergy_top_18_name,synergy_top_18_winrate,synergy_top_18_games,synergy_top_18_lane_quality,synergy_top_19_name,synergy_top_19_winrate,synergy_top_19_games,synergy_top_19_lane_quality,synergy_top_20_name,synergy_top_20_winrate,synergy_top_20_games,synergy_top_20_lane_quality,synergy_top_21_name,synergy_top_21_winrate,synergy_top_21_games,synergy_top_21_lane_quality,synergy_top_22_name,synergy_top_22_winrate,synergy_top_22_games,synergy_top_22_lane_quality,synergy_top_23_name,synergy_top_23_winrate,synergy_top_23_games,synergy_top_23_lane_quality,synergy_top_24_name,synergy_top_24_winrate,synergy_top_24_games,synergy_top_24_lane_quality,synergy_top_25_name,synergy_top_25_winrate,synergy_top_25_games,synergy_top_25_lane_quality,synergy_top_26_name,synergy_top_26_winrate,synergy_top_26_games,synergy_top_26_lane_quality,synergy_top_27_name,synergy_top_27_winrate,synergy_top_27_games,synergy_top_27_lane_quality,synergy_top_28_name,synergy_top_28_winrate,synergy_top_28_games,synergy_top_28_lane_quality,synergy_top_29_name,synergy_top_29_winrate,synergy_top_29_games,synergy_top_29_lane_quality,synergy_top_30_name,synergy_top_30_winrate,synergy_top_30_games,synergy_top_30_lane_quality,synergy_top_31_name,synergy_top_31_winrate,synergy_top_31_games,synergy_top_31_lane_quality,synergy_top_32_name,synergy_top_32_winrate,synergy_top_32_games,synergy_top_32_lane_quality,synergy_top_33_name,synergy_top_33_winrate,synergy_top_33_games,synergy_top_33_lane_quality,synergy_top_34_name,synergy_top_34_winrate,synergy_top_34_games,synergy_top_34_lane_quality,synergy_top_35_name,synergy_top_35_winrate,synergy_top_35_games,synergy_top_35_lane_quality,synergy_top_36_name,synergy_top_36_winrate,synergy_top_36_games,synergy_top_36_lane_quality,synergy_top_37_name,synergy_top_37_winrate,synergy_top_37_games,synergy_top_37_lane_quality,synergy_top_38_name,synergy_top_38_winrate,synergy_top_38_games,synergy_top_38_lane_quality,synergy_top_39_name,synergy_top_39_winrate,synergy_top_39_games,synergy_top_39_lane_quality,synergy_top_40_name,synergy_top_40_winrate,synergy_top_40_games,synergy_top_40_lane_quality,synergy_top_41_name,synergy_top_41_winrate,synergy_top_41_games,synergy_top_41_lane_quality,synergy_top_42_name,synergy_top_42_winrate,synergy_top_42_games,synergy_top_42_lane_quality,synergy_top_43_name,synergy_top_43_winrate,synergy_top_43_games,synergy_top_43_lane_quality,synergy_top_44_name,synergy_top_44_winrate,synergy_top_44_games,synergy_top_44_lane_quality,synergy_top_45_name,synergy_top_45_winrate,synergy_top_45_games,synergy_top_45_lane_quality,synergy_top_46_name,synergy_top_46_winrate,synergy_top_46_games,synergy_top_46_lane_quality,synergy_top_47_name,synergy_top_47_winrate,synergy_top_47_games,synergy_top_47_lane_quality,synergy_top_48_name,synergy_top_48_winrate,synergy_top_48_games,synergy_top_48_lane_quality,synergy_top_49_name,synergy_top_49_winrate,synergy_top_49_games,synergy_top_49_lane_quality,synergy_top_50_name,synergy_top_50_winrate,synergy_top_50_games,synergy_top_50_lane_quality,synergy_top_51_name,synergy_top_51_winrate,synergy_top_51_games,synergy_top_51_lane_quality,synergy_top_52_name,synergy_top_52_winrate,synergy_top_52_games,synergy_top_52_lane_quality,synergy_top_53_name,synergy_top_53_winrate,synergy_top_53_games,synergy_top_53_lane_quality,synergy_top_54_name,synergy_top_54_winrate,synergy_top_54_games,synergy_top_54_lane_quality,synergy_top_55_name,synergy_top_55_winrate,synergy_top_55_games,synergy_top_55_lane_quality,synergy_top_56_name,synergy_top_56_winrate,synergy_top_56_games,synergy_top_56_lane_quality,synergy_top_57_name,synergy_top_57_winrate,synergy_top_57_games,synergy_top_57_lane_quality,synergy_top_58_name,synergy_top_58_winrate,synergy_top_58_games,synergy_top_58_lane_quality,synergy_top_59_name,synergy_top_59_winrate,synergy_top_59_games,synergy_top_59_lane_quality,synergy_top_60_name,synergy_top_60_winrate,synergy_top_60_games,synergy_top_60_lane_quality
Soraka,sup,97.9%,A,9 / 39,51.8 %,4.7 %,2.6 %,1141132,https://dpm.lol/champions/Soraka/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Singed,55.58%,14681,,Malphite,54.87%,46340,,Urgot,54.06%,18229,,Kayle,53.58%,26236,,Mordekaiser,53.57%,43735,,Yorick,53.48%,27004,,MonkeyKing,53.38%,3612,,Heimerdinger,53.33%,9728,,Garen,53.18%,48397,,Teemo,53.10%,32270,,Sett,53.04%,43391,,Kled,53.02%,8334,,Quinn,53.01%,11093,,Vayne,52.98%,10033,,Swain,52.88%,9313,,Ornn,52.74%,18338,,Akali,52.47%,7840,,Kennen,52.47%,9755,,Varus,52.46%,3795,,Olaf,52.46%,10583,,Aurora,52.36%,2802,,Jax,52.31%,30123,,Sion,52.31%,25642,,Shen,52.31%,19848,,Pantheon,52.04%,11211,,Warwick,52.03%,7918,,Nasus,52.02%,25849,,Ryze,51.86%,3226,,Illaoi,51.76%,17537,,Cassiopeia,51.70%,3029,,Chogath,51.57%,23847,,Riven,51.57%,21879,,Gragas,51.56%,10373,,Volibear,51.47%,18575,,TahmKench,51.46%,7860,,Gnar,51.40%,15055,,DrMundo,51.39%,35485,,Irelia,51.31%,20532,,Rumble,51.29%,8970,,Camille,51.26%,11905,,Poppy,51.17%,5134,,Yasuo,51.16%,16336,,Fiora,50.98%,20242,,Darius,50.98%,46670,,Renekton,50.96%,23225,,Zaahen,50.70%,50684,,Ambessa,50.53%,18680,,Gwen,50.51%,21181,,Jayce,50.36%,11681,,Malzahar,50.36%,3052,,Sylas,50.28%,4415,,Vladimir,50.22%,12092,,Aatrox,49.73%,31311,,Trundle,49.53%,6433,,Gangplank,49.46%,16470,,Tryndamere,49.42%,16369,,Smolder,49.36%,3503,,Kayn,48.83%,3133,,KSante,47.68%,13846,,MasterYi,46.23%,5144,
Nautilus,sup,96.7%,A,10 / 39,49.0 %,9.3 %,11.8 %,2243634,https://dpm.lol/champions/Nautilus/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Singed,51.58%,28186,,Malphite,51.22%,89644,,Kayle,51.07%,52895,,Swain,51.05%,16991,,Teemo,50.95%,73208,,Urgot,50.86%,33273,,Yorick,50.76%,51782,,Sett,50.74%,81762,,Heimerdinger,50.66%,22428,,Mordekaiser,50.64%,91301,,Cassiopeia,50.57%,6666,,DrMundo,50.56%,64017,,Sion,50.32%,45327,,Garen,50.26%,93407,,Ornn,50.19%,31018,,Kled,50.16%,15158,,Warwick,50.01%,14868,,Illaoi,49.85%,34453,,Malzahar,49.69%,6371,,Sylas,49.68%,9484,,Chogath,49.64%,42836,,MonkeyKing,49.64%,6489,,Varus,49.56%,9314,,Vayne,49.47%,22833,,Kennen,49.27%,23098,,Nasus,49.19%,48049,,Olaf,49.10%,20797,,Renekton,49.08%,46744,,Jax,49.01%,59163,,Vladimir,49.01%,23907,,Zaahen,48.74%,93088,,Ryze,48.68%,7321,,Shen,48.58%,33302,,Fiora,48.51%,38564,,Akali,48.43%,16280,,Yasuo,48.40%,36925,,Quinn,48.38%,22396,,Volibear,48.36%,35844,,Kayn,48.30%,5692,,Irelia,48.29%,39347,,TahmKench,48.20%,13729,,Aatrox,48.18%,61910,,Poppy,48.13%,9055,,Gnar,48.05%,30314,,Pantheon,47.95%,21592,,Gwen,47.90%,43420,,Gangplank,47.88%,32374,,Aurora,47.82%,5999,,Darius,47.76%,90427,,Riven,47.68%,37661,,Yone,47.57%,52343,,Smolder,47.46%,8508,,Trundle,47.18%,12303,,Ambessa,47.05%,39866,,Gragas,47.02%,20051,,Jayce,46.99%,27463,,Camille,46.98%,22384,,Tryndamere,46.96%,32944,,KSante,44.67%,28019,,MasterYi,42.92%,9432,
Shaco,sup,21.4%,A,11 / 39,51.3 %,1.5 %,27.5 %,364900,https://dpm.lol/champions/Shaco/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Kayle,54.45%,7918,,DrMundo,53.99%,11425,,Ryze,53.72%,1076,,Sett,53.69%,14071,,Urgot,53.62%,5571,,Singed,53.53%,4743,,Yorick,53.50%,8696,,Kled,53.42%,2441,,Malzahar,53.33%,1005,,Malphite,53.09%,14456,,Warwick,53.03%,2608,,Garen,53.02%,16164,,Teemo,52.95%,10838,,Volibear,52.70%,6118,,Quinn,52.69%,3342,,Mordekaiser,52.65%,13697,,Heimerdinger,52.57%,3253,,Sion,52.49%,8366,,Illaoi,52.41%,5919,,TahmKench,52.24%,2429,,Swain,52.07%,2710,,Irelia,52.00%,6409,,Fiora,51.82%,6305,,Cassiopeia,51.59%,911,,Tryndamere,51.45%,5751,,Kennen,51.43%,3107,,Olaf,51.41%,3612,,Trundle,51.39%,2197,,Smolder,51.33%,1465,,Nasus,51.15%,8217,,Ornn,51.10%,5460,,Pantheon,51.03%,3439,,Vayne,51.03%,3657,,Chogath,51.00%,7284,,Renekton,50.98%,7588,,MonkeyKing,50.85%,1123,,Yone,50.74%,8662,,Varus,50.68%,1466,,Akali,50.66%,2489,,Shen,50.64%,5717,,Poppy,50.62%,1614,,Jax,50.35%,9582,,Vladimir,50.34%,3361,,Aatrox,50.25%,10240,,Sylas,50.17%,1503,,Zaahen,50.02%,15096,,Darius,50.00%,15393,,Kayn,49.85%,993,,Gangplank,49.82%,5026,,Ambessa,49.78%,6024,,Gnar,49.78%,4610,,Jayce,49.37%,4341,,Riven,49.31%,6346,,Camille,49.02%,3586,,Yasuo,48.65%,5517,,Gwen,48.47%,6353,,Gragas,48.01%,3014,,KSante,47.43%,4700,,Rumble,46.91%,3025,,MasterYi,46.25%,1667,
Nilah,adc,97.8%,B,9 / 26,52.5 %,1.7 %,2.6 %,410843,https://dpm.lol/champions/Nilah/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Malphite,55.92%,16626,,Singed,55.34%,5309,,Mordekaiser,55.03%,16555,,Shen,54.91%,6731,,Swain,54.78%,3160,,Malzahar,54.69%,1152,,Urgot,54.59%,6573,,Sion,54.54%,8880,,Teemo,54.51%,13213,,Cassiopeia,54.37%,1065,,Chogath,54.27%,8787,,Varus,54.04%,1425,,Kled,53.91%,2916,,Kayle,53.65%,10273,,Warwick,53.50%,2832,,Rumble,53.46%,3249,,Akali,53.41%,2668,,Ornn,53.37%,6187,,Heimerdinger,53.35%,4045,,Yorick,53.24%,9933,,DrMundo,53.09%,13329,,Vladimir,53.09%,4157,,Kennen,53.06%,3681,,Garen,52.97%,18392,,Sett,52.87%,16133,,Quinn,52.86%,4026,,Pantheon,52.74%,3866,,Poppy,52.72%,1525,,MonkeyKing,52.69%,1226,,Nasus,52.62%,9468,,Illaoi,52.48%,6650,,Vayne,52.39%,4136,,Zaahen,52.24%,17281,,Volibear,52.07%,6612,,Ryze,52.00%,1048,,Renekton,51.96%,7996,,TahmKench,51.95%,2849,,Yasuo,51.90%,6254,,Gragas,51.77%,3496,,Camille,51.63%,3721,,Aatrox,51.56%,10723,,Gwen,51.54%,7914,,Smolder,51.49%,1379,,Riven,51.32%,7215,,Jax,51.27%,10298,,Sylas,51.18%,1489,,Jayce,51.06%,3972,,Olaf,51.05%,4037,,Ambessa,50.89%,5868,,Yone,50.88%,8771,,Tryndamere,50.81%,6390,,Darius,50.75%,16867,,Fiora,50.71%,6798,,Irelia,50.67%,7048,,Trundle,50.54%,2485,,Gnar,50.47%,5136,,Gangplank,50.45%,5510,,Kayn,49.81%,1048,,KSante,48.39%,4404,,MasterYi,46.47%,1928,
Swain,sup,51.7%,B,12 / 39,51.0 %,5.1 %,6.0 %,1222615,https://dpm.lol/champions/Swain/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Warwick,54.12%,8782,,Malphite,53.88%,50529,,Sett,53.57%,52091,,DrMundo,53.50%,40047,,Yorick,53.17%,31961,,Urgot,52.99%,20158,,Kled,52.89%,8800,,Teemo,52.84%,40208,,Garen,52.82%,57974,,Singed,52.68%,14101,,Sion,52.67%,26136,,Illaoi,52.62%,21285,,Kayle,52.61%,27759,,TahmKench,52.31%,8698,,Nasus,52.28%,30495,,Mordekaiser,52.15%,48452,,Heimerdinger,51.99%,11724,,Malzahar,51.96%,3320,,Shen,51.87%,18975,,Ornn,51.77%,17476,,Olaf,51.51%,11793,,Vayne,50.84%,12696,,Quinn,50.82%,12507,,Kennen,50.63%,9646,,Poppy,50.60%,4711,,Jax,50.60%,32682,,Tryndamere,50.59%,19992,,Zaahen,50.58%,51197,,Irelia,50.42%,21303,,Volibear,50.36%,20169,,Varus,50.29%,4281,,Chogath,50.23%,24923,,MonkeyKing,50.19%,3640,,Pantheon,50.02%,12460,,Akali,49.95%,7276,,Gnar,49.93%,16361,,Yone,49.83%,28904,,Aatrox,49.68%,32569,,Fiora,49.67%,20477,,Sylas,49.56%,3886,,Darius,49.46%,54798,,Ambessa,49.41%,18290,,Rumble,49.30%,8324,,Trundle,49.10%,7748,,Gwen,48.91%,20126,,Riven,48.78%,20388,,Yasuo,48.68%,18656,,Smolder,48.62%,4420,,Jayce,48.59%,11927,,Kayn,48.56%,3552,,Vladimir,48.45%,10410,,Camille,48.09%,10872,,Gangplank,47.54%,16548,,Gragas,47.49%,8316,,KSante,46.89%,13314,,MasterYi,46.37%,5605,,,,,,,,,,,,,,,,,
