champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_top_1_name,synergy_top_1_winrate,synergy_top_1_games,synergy_top_1_lane_quality,synergy_top_2_name,synergy_top_2_winrate,synergy_top_2_games,synergy_top_2_lane_quality,synergy_top_3_name,synergy_top_3_winrate,synergy_top_3_games,synergy_top_3_lane_quality,synergy_top_4_name,synergy_top_4_winrate,synergy_top_4_games,synergy_top_4_lane_quality,synergy_top_5_name,synergy_top_5_winrate,synergy_top_5_games,synergy_top_5_lane_quality,synergy_top_6_name,synergy_top_6_winrate,synergy_top_6_games,synergy_top_6_lane_quality,synergy_top_7_name,synergy_top_7_winrate,synergy_top_7_games,synergy_top_7_lane_quality,synergy_top_8_name,synergy_top_8_winrate,synergy_top_8_games,synergy_top_8_lane_quality,synergy_top_9_name,synergy_top_9_winrate,synergy_top_9_games,synergy_top_9_lane_quality,synergy_top_10_name,synergy_top_10_winrate,synergy_top_10_games,synergy_top_10_lane_quality,synergy_top_11_name,synergy_top_11_winrate,synergy_top_11_games,synergy_top_11_lane_quality,synergy_top_12_name,synergy_top_12_winrate,synergy_top_12_games,synergy_top_12_lane_quality,synergy_top_13_name,synergy_top_13_winrate,synergy_top_13_games,synergy_top_13_lane_quality,synergy_top_14_name,synergy_top_14_winrate,synergy_top_14_games,synergy_top_14_lane_quality,synergy_top_15_name,synergy_top_15_winrate,synergy_top_15_games,synergy_top_15_lane_quality,synergy_top_16_name,synergy_top_16_winrate,synergy_top_16_games,synergy_top_16_lane_quality,synergy_top_17_name,synergy_top_17_winrate,synergy_top_17_games,synergy_top_17_lane_quality,synergy_top_18_name,synergy_top_18_winrate,synergy_top_18_games,synergy_top_18_lane_quality,synergy_top_19_name,synergy_top_19_winrate,synergy_top_19_games,synergy_top_19_lane_quality,synergy_top_20_name,synergy_top_20_winrate,synergy_top_20_games,synergy_top_20_lane_quality,synergy_top_21_name,synergy_top_21_winrate,synergy_top_21_games,synergy_top_21_lane_quality,synergy_top_22_name,synergy_top_22_winrate,synergy_top_22_games,synergy_top_22_lane_quality,synergy_top_23_name,synergy_top_23_winrate,synergy_top_23_games,synergy_top_23_lane_quality,synergy_top_24_name,synergy_top_24_winrate,synergy_top_24_games,synergy_top_24_lane_quality,synergy_top_25_name,synergy_top_25_winrate,synergy_top_25_games,synergy_top_25_lane_quality,synergy_top_26_name,synergy_top_26_winrate,synergy_top_26_games,synergy_top_26_lane_quality,synergy_top_27_name,synergy_top_27_winrate,synergy_top_27_games,synergy_top_27_lane_quality,synergy_top_28_name,synergy_top_28_winrate,synergy_top_28_games,synergy_top_28_lane_quality,synergy_top_29_name,synergy_top_29_winrate,synergy_top_29_games,synergy_top_29_lane_quality,synergy_top_30_name,synergy_top_30_winrate,synergy_top_30_games,synergy_top_30_lane_quality,synergy_top_31_name,synergy_top_31_winrate,synergy_top_31_games,synergy_top_31_lane_quality,synergy_top_32_name,synergy_top_32_winrate,synergy_top_32_games,synergy_top_32_lane_quality,synergy_top_33_name,synergy_top_33_winrate,synergy_top_33_games,synergy_top_33_lane_quality,synergy_top_34_name,synergy_top_34_winrate,synergy_top_34_games,synergy_top_34_lane_quality,synergy_top_35_name,synergy_top_35_winrate,synergy_top_35_games,synergy_top_35_lane_quality,synergy_top_36_name,synergy_top_36_winrate,synergy_top_36_games,synergy_top_36_lane_quality,synergy_top_37_name,synergy_top_37_winrate,synergy_top_37_games,synergy_top_37_lane_quality,synergy_top_38_name,synergy_top_38_winrate,synergy_top_38_games,synergy_top_38_lane_quality,synergy_top_39_name,synergy_top_39_winrate,synergy_top_39_games,synergy_top_39_lane_quality,synergy_top_40_name,synergy_top_40_winrate,synergy_top_40_games,synergy_top_40_lane_quality,synergy_top_41_name,synergy_top_41_winrate,synergy_top_41_games,synergy_top_41_lane_quality,synergy_top_42_name,synergy_top_42_winrate,synergy_top_42_games,synergy_top_42_lane_quality,synergy_top_43_name,synergy_top_43_winrate,synergy_top_43_games,synergy_top_43_lane_quality,synergy_top_44_name,synergy_top_44_winrate,synergy_top_44_games,synergy_top_44_lane_quality,synergy_top_45_name,synergy_top_45_winrate,synergy_top_45_games,synergy_top_45_lane_quality,synergy_top_46_name,synergy_top_46_winrate,synergy_top_46_games,synergy_top_46_lane_quality,synergy_top_47_name,synergy_top_47_winrate,synergy_top_47_games,synergy_top_47_lane_quality,synergy_top_48_name,synergy_top_48_winrate,synergy_top_48_games,synergy_top_48_lane_quality,synergy_top_49_name,synergy_top_49_winrate,synergy_top_49_games,synergy_top_49_lane_quality,synergy_top_50_name,synergy_top_50_winrate,synergy_top_50_games,synergy_top_50_lane_quality,synergy_top_51_name,synergy_top_51_winrate,synergy_top_51_games,synergy_top_51_lane_quality,synergy_top_52_name,synergy_top_52_winrate,synergy_top_52_games,synergy_top_52_lane_quality,synergy_top_53_name,synergy_top_53_winrate,synergy_top_53_games,synergy_top_53_lane_quality,synergy_top_54_name,synergy_top_54_winrate,synergy_top_54_games,synergy_top_54_lane_quality,synergy_top_55_name,synergy_top_55_winrate,synergy_top_55_games,synergy_top_55_lane_quality,synergy_top_56_name,synergy_top_56_winrate,synergy_top_56_games,synergy_top_56_lane_quality,synergy_top_57_name,synergy_top_57_winrate,synergy_top_57_games,synergy_top_57_lane_quality,synergy_top_58_name,synergy_top_58_winrate,synergy_top_58_games,synergy_top_58_lane_quality,synergy_top_59_name,synergy_top_59_winrate,synergy_top_59_games,synergy_top_59_lane_quality,synergy_top_60_name,synergy_top_60_winrate,synergy_top_60_games,synergy_top_60_lane_quality,synergy_top_61_name,synergy_top_61_winrate,synergy_top_61_games,synergy_top_61_lane_quality,synergy_top_62_name,synergy_top_62_winrate,synergy_top_62_games,synergy_top_62_lane_quality
Riven,top,84.1%,D,40 / 50,48.8 %,3.5 %,1.7 %,175061,https://dpm.lol/champions/Riven/build?lane=top&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel'Veth,jun,97.0%,D,37 / 50,49.4 %,1.8 %,2.3 %,89205,https://dpm.lol/champions/Belveth/build?lane=jungle&tier=all&platform=all&timeframe=15.24,False,Zac,59.34%,241,,Cassiopeia,57.74%,265,,Malzahar,55.99%,284,,Swain,55.04%,912,,Ryze,53.18%,299,,Malphite,52.95%,3707,,Urgot,52.07%,1448,,Teemo,51.77%,2855,,Aurora,51.69%,236,,Irelia,51.44%,1493,,Nasus,51.28%,1878,,Heimerdinger,50.95%,840,,Singed,50.85%,1229,,Garen,50.84%,3737,,Sion,50.76%,2047,,Kled,50.75%,668,,Shen,50.66%,1603,,TahmKench,50.66%,687,,Kayle,50.54%,2032,,Mordekaiser,50.27%,3565,,Rumble,50.17%,889,,Sylas,50.13%,397,,Ornn,50.10%,1487,,DrMundo,50.05%,2919,,Sett,50.03%,3242,,Yorick,49.88%,2113,,Darius,49.65%,3438,,Warwick,49.61%,649,,Olaf,49.61%,897,,Vayne,49.35%,770,,Quinn,49.33%,823,,MonkeyKing,49.20%,250,,Aatrox,49.15%,2342,,Gnar,49.10%,1112,,Riven,49.09%,1646,,Fiora,49.07%,1561,,Renekton,49.00%,1692,,Volibear,48.88%,1655,,Jayce,48.88%,894,,Camille,48.66%,781,,Kennen,48.65%,851,,Chogath,48.50%,2132,,Jax,48.10%,2162,,Akali,48.01%,652,,Gwen,47.95%,1608,,Gangplank,47.94%,1214,,Gragas,47.90%,883,,Yasuo,47.81%,1280,,Pantheon,47.80%,862,,Ambessa,47.74%,1303,,Yone,47.70%,1803,,KSante,47.01%,1153,,Zaahen,46.91%,2737,,Tryndamere,46.80%,1408,,Trundle,46.53%,447,,Illaoi,45.85%,1385,,Poppy,45.59%,408,,Kayn,45.59%,272,,Vladimir,45.54%,896,,Varus,45.42%,295,,MasterYi,43.05%,374,,Smolder,41.25%,320,
Annie,mid,81.7%,D,37 / 47,49.6 %,1.5 %,0.6 %,77630,https://dpm.lol/champions/Annie/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Kled,54.05%,555,,Sett,53.56%,3034,,Olaf,53.22%,791,,Singed,52.64%,1024,,Yorick,52.24%,2027,,Kayle,51.75%,1689,,Urgot,51.74%,1295,,Irelia,51.62%,1362,,MonkeyKing,51.59%,252,,TahmKench,51.56%,578,,Nasus,51.52%,1943,,Pantheon,51.34%,822,,Malphite,51.12%,3128,,DrMundo,51.07%,2485,,Warwick,51.06%,566,,Kennen,50.90%,558,,Darius,50.65%,3325,,Sion,50.49%,1820,,Garen,50.45%,3699,,Aatrox,50.43%,2106,,Vayne,50.41%,732,,Gnar,50.39%,1018,,Zaahen,50.34%,2503,,Swain,50.16%,638,,Ornn,50.12%,1241,,Chogath,50.06%,1572,,Mordekaiser,50.04%,2790,,Gangplank,49.87%,1151,,Volibear,49.48%,1433,,Yasuo,49.47%,1223,,Renekton,49.43%,1673,,Jax,49.26%,2036,,Vladimir,49.22%,638,,Shen,49.06%,1329,,Riven,49.01%,1416,,Fiora,48.98%,1372,,Malzahar,48.98%,196,,Yone,48.94%,1839,,Poppy,48.57%,315,,Rumble,48.53%,577,,Varus,48.45%,258,,Heimerdinger,48.35%,699,,Tryndamere,48.24%,1339,,Ambessa,48.18%,1152,,Quinn,48.07%,803,,Trundle,47.89%,522,,Illaoi,47.55%,1327,,Teemo,47.34%,2442,,Jayce,46.78%,808,,Akali,46.44%,463,,Smolder,46.11%,334,,Camille,46.10%,705,,KSante,45.27%,919,,Kayn,45.11%,235,,Gragas,44.14%,580,,Gwen,43.85%,1113,,MasterYi,43.50%,331,,Sylas,42.65%,272,,,,,,,,,,,,,,,,,
Zeri,adc,95.3%,D,22 / 26,49.4 %,2.2 %,0.3 %,112139,https://dpm.lol/champions/Zeri/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Warwick,53.65%,768,,Aurora,53.29%,289,,Malphite,53.20%,4457,,Malzahar,52.96%,304,,Kennen,52.58%,1103,,Zac,51.55%,291,,Mordekaiser,51.32%,4211,,Yorick,50.96%,2500,,Olaf,50.91%,1153,,Sett,50.81%,4054,,Garen,50.79%,4615,,Sion,50.70%,2710,,Urgot,50.63%,1671,,Akali,50.48%,830,,Swain,50.29%,1044,,Quinn,50.28%,1066,,Poppy,50.25%,601,,DrMundo,50.22%,3375,,Rumble,50.18%,1138,,Singed,50.16%,1573,,Illaoi,50.09%,1729,,Fiora,50.00%,2014,,Shen,50.00%,1972,,Kled,50.00%,748,,Trundle,49.92%,597,,Kayle,49.87%,2312,,Teemo,49.82%,3079,,Vayne,49.81%,1080,,Volibear,49.79%,2143,,Chogath,49.75%,2223,,Gwen,49.63%,1872,,Nasus,49.53%,2346,,Jax,49.40%,2850,,Pantheon,49.18%,1096,,Vladimir,49.09%,1151,,Heimerdinger,49.00%,951,,Riven,48.99%,2031,,Irelia,48.99%,1978,,Ryze,48.98%,392,,Camille,48.85%,1130,,Darius,48.78%,4348,,TahmKench,48.68%,758,,Kayn,48.57%,315,,Gangplank,48.55%,1619,,Gnar,48.52%,1556,,Ornn,48.49%,1953,,Gragas,48.45%,1032,,Renekton,48.40%,2399,,MasterYi,48.26%,431,,Zaahen,48.17%,3602,,Sylas,47.93%,507,,Smolder,47.55%,429,,Aatrox,47.53%,3213,,Tryndamere,47.40%,1751,,Ambessa,47.37%,1902,,Jayce,47.36%,1271,,Yasuo,47.29%,1734,,Varus,46.45%,422,,Yone,46.02%,2612,,Cassiopeia,45.25%,305,,MonkeyKing,44.13%,383,,KSante,44.04%,1744,
Gwen,top,78.2%,D,39 / 50,48.6 %,3.1 %,3.5 %,157649,https://dpm.lol/champions/Gwen/build?lane=top&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
