champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_top_1_name,synergy_top_1_winrate,synergy_top_1_games,synergy_top_1_lane_quality,synergy_top_2_name,synergy_top_2_winrate,synergy_top_2_games,synergy_top_2_lane_quality,synergy_top_3_name,synergy_top_3_winrate,synergy_top_3_games,synergy_top_3_lane_quality,synergy_top_4_name,synergy_top_4_winrate,synergy_top_4_games,synergy_top_4_lane_quality,synergy_top_5_name,synergy_top_5_winrate,synergy_top_5_games,synergy_top_5_lane_quality,synergy_top_6_name,synergy_top_6_winrate,synergy_top_6_games,synergy_top_6_lane_quality,synergy_top_7_name,synergy_top_7_winrate,synergy_top_7_games,synergy_top_7_lane_quality,synergy_top_8_name,synergy_top_8_winrate,synergy_top_8_games,synergy_top_8_lane_quality,synergy_top_9_name,synergy_top_9_winrate,synergy_top_9_games,synergy_top_9_lane_quality,synergy_top_10_name,synergy_top_10_winrate,synergy_top_10_games,synergy_top_10_lane_quality,synergy_top_11_name,synergy_top_11_winrate,synergy_top_11_games,synergy_top_11_lane_quality,synergy_top_12_name,synergy_top_12_winrate,synergy_top_12_games,synergy_top_12_lane_quality,synergy_top_13_name,synergy_top_13_winrate,synergy_top_13_games,synergy_top_13_lane_quality,synergy_top_14_name,synergy_top_14_winrate,synergy_top_14_games,synergy_top_14_lane_quality,synergy_top_15_name,synergy_top_15_winrate,synergy_top_15_games,synergy_top_15_lane_quality,synergy_top_16_name,synergy_top_16_winrate,synergy_top_16_games,synergy_top_16_lane_quality,synergy_top_17_name,synergy_top_17_winrate,synergy_top_17_games,synergy_top_17_lane_quality,synergy_top_18_name,synergy_top_18_winrate,synergy_top_18_games,synergy_top_18_lane_quality,synergy_top_19_name,synergy_top_19_winrate,synergy_top_19_games,synergy_top_19_lane_quality,synergy_top_20_name,synergy_top_20_winrate,synergy_top_20_games,synergy_top_20_lane_quality,synergy_top_21_name,synergy_top_21_winrate,synergy_top_21_games,synergy_top_21_lane_quality,synergy_top_22_name,synergy_top_22_winrate,synergy_top_22_games,synergy_top_22_lane_quality,synergy_top_23_name,synergy_top_23_winrate,synergy_top_23_games,synergy_top_23_lane_quality,synergy_top_24_name,synergy_top_24_winrate,synergy_top_24_games,synergy_top_24_lane_quality,synergy_top_25_name,synergy_top_25_winrate,synergy_top_25_games,synergy_top_25_lane_quality,synergy_top_26_name,synergy_top_26_winrate,synergy_top_26_games,synergy_top_26_lane_quality,synergy_top_27_name,synergy_top_27_winrate,synergy_top_27_games,synergy_top_27_lane_quality,synergy_top_28_name,synergy_top_28_winrate,synergy_top_28_games,synergy_top_28_lane_quality,synergy_top_29_name,synergy_top_29_winrate,synergy_top_29_games,synergy_top_29_lane_quality,synergy_top_30_name,synergy_top_30_winrate,synergy_top_30_games,synergy_top_30_lane_quality,synergy_top_31_name,synergy_top_31_winrate,synergy_top_31_games,synergy_top_31_lane_quality,synergy_top_32_name,synergy_top_32_winrate,synergy_top_32_games,synergy_top_32_lane_quality,synergy_top_33_name,synergy_top_33_winrate,synergy_top_33_games,synergy_top_33_lane_quality,synergy_top_34_name,synergy_top_34_winrate,synergy_top_34_games,synergy_top_34_lane_quality,synergy_top_35_name,synergy_top_35_winrate,synergy_top_35_games,synergy_top_35_lane_quality,synergy_top_36_name,synergy_top_36_winrate,synergy_top_36_games,synergy_top_36_lane_quality,synergy_top_37_name,synergy_top_37_winrate,synergy_top_37_games,synergy_top_37_lane_quality,synergy_top_38_name,synergy_top_38_winrate,synergy_top_38_games,synergy_top_38_lane_quality,synergy_top_39_name,synergy_top_39_winrate,synergy_top_39_games,synergy_top_39_lane_quality,synergy_top_40_name,synergy_top_40_winrate,synergy_top_40_games,synergy_top_40_lane_quality,synergy_top_41_name,synergy_top_41_winrate,synergy_top_41_games,synergy_top_41_lane_quality,synergy_top_42_name,synergy_top_42_winrate,synergy_top_42_games,synergy_top_42_lane_quality,synergy_top_43_name,synergy_top_43_winrate,synergy_top_43_games,synergy_top_43_lane_quality,synergy_top_44_name,synergy_top_44_winrate,synergy_top_44_games,synergy_top_44_lane_quality,synergy_top_45_name,synergy_top_45_winrate,synergy_top_45_games,synergy_top_45_lane_quality,synergy_top_46_name,synergy_top_46_winrate,synergy_top_46_games,synergy_top_46_lane_quality,synergy_top_47_name,synergy_top_47_winrate,synergy_top_47_games,synergy_top_47_lane_quality,synergy_top_48_name,synergy_top_48_winrate,synergy_top_48_games,synergy_top_48_lane_quality,synergy_top_49_name,synergy_top_49_winrate,synergy_top_49_games,synergy_top_49_lane_quality,synergy_top_50_name,synergy_top_50_winrate,synergy_top_50_games,synergy_top_50_lane_quality,synergy_top_51_name,synergy_top_51_winrate,synergy_top_51_games,synergy_top_51_lane_quality,synergy_top_52_name,synergy_top_52_winrate,synergy_top_52_games,synergy_top_52_lane_quality,synergy_top_53_name,synergy_top_53_winrate,synergy_top_53_games,synergy_top_53_lane_quality,synergy_top_54_name,synergy_top_54_winrate,synergy_top_54_games,synergy_top_54_lane_quality,synergy_top_55_name,synergy_top_55_winrate,synergy_top_55_games,synergy_top_55_lane_quality,synergy_top_56_name,synergy_top_56_winrate,synergy_top_56_games,synergy_top_56_lane_quality,synergy_top_57_name,synergy_top_57_winrate,synergy_top_57_games,synergy_top_57_lane_quality,synergy_top_58_name,synergy_top_58_winrate,synergy_top_58_games,synergy_top_58_lane_quality,synergy_top_59_name,synergy_top_59_winrate,synergy_top_59_games,synergy_top_59_lane_quality,synergy_top_60_name,synergy_top_60_winrate,synergy_top_60_games,synergy_top_60_lane_quality
Qiyana,mid,45.4%,D,45 / 47,48.2 %,2.0 %,2.9 %,101534,https://dpm.lol/champions/Qiyana/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Kennen,53.02%,1375,,Warwick,51.66%,664,,Malzahar,51.57%,351,,TahmKench,51.33%,678,,Malphite,50.94%,3899,,Vladimir,50.64%,1477,,Singed,50.58%,1649,,Kayle,50.50%,2612,,Nasus,50.45%,1998,,Olaf,50.40%,875,,Mordekaiser,50.15%,5005,,Teemo,50.13%,3411,,Gwen,49.75%,2364,,Poppy,49.74%,390,,Swain,49.74%,1148,,DrMundo,49.58%,2874,,Sion,49.58%,2033,,Chogath,49.50%,2285,,Ambessa,49.39%,1403,,Yorick,49.31%,2030,,Urgot,49.30%,1426,,Heimerdinger,49.18%,1033,,Ornn,49.10%,1499,,Jayce,48.88%,1156,,Jax,48.86%,2458,,Fiora,48.44%,1598,,Akali,48.31%,1062,,Garen,48.27%,3841,,Sett,48.20%,3297,,Ryze,48.09%,445,,Riven,48.07%,1708,,Vayne,48.01%,929,,Cassiopeia,47.92%,336,,Zaahen,47.83%,2925,,Rumble,47.81%,1529,,Volibear,47.60%,1937,,Pantheon,47.59%,851,,Aatrox,47.35%,2813,,Renekton,47.26%,1913,,Gragas,47.07%,1298,,Kled,47.00%,634,,Illaoi,46.82%,1354,,Yasuo,46.52%,1625,,Gnar,46.43%,1176,,Sylas,46.36%,645,,Darius,46.04%,3775,,Aurora,45.89%,353,,Irelia,45.84%,1621,,Gangplank,45.75%,1283,,Camille,45.73%,879,,Smolder,45.63%,412,,Tryndamere,45.22%,1411,,KSante,45.04%,1279,,Trundle,44.26%,488,,Yone,43.88%,2174,,Varus,43.86%,383,,MasterYi,42.98%,349,,Kayn,42.64%,258,,Quinn,42.62%,833,,MonkeyKing,41.23%,325,
Karthus,jun,75.3%,D,45 / 50,48.6 %,1.5 %,0.7 %,73584,https://dpm.lol/champions/Karthus/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Olaf,53.47%,763,,Naafiri,53.23%,201,,Kled,52.91%,550,,Garen,52.44%,3358,,Warwick,51.98%,531,,Sett,51.89%,2885,,Sylas,51.88%,239,,DrMundo,51.47%,2374,,Sion,51.28%,1909,,Nasus,51.19%,1674,,Poppy,51.09%,366,,Camille,50.98%,765,,Quinn,50.77%,780,,Pantheon,50.64%,776,,Yorick,50.56%,1879,,Vayne,50.41%,728,,TahmKench,50.09%,529,,Heimerdinger,50.00%,532,,Trundle,49.88%,427,,Irelia,49.63%,1491,,Urgot,49.33%,1194,,Illaoi,49.32%,1241,,Teemo,49.08%,1803,,Malphite,49.05%,2999,,Swain,48.80%,498,,Renekton,48.78%,1718,,Gragas,48.72%,429,,Jax,48.67%,1997,,Fiora,48.61%,1442,,Riven,48.20%,1415,,Varus,48.16%,245,,Gangplank,48.16%,1167,,Aatrox,48.11%,2378,,Darius,48.09%,3134,,Kayle,47.96%,1274,,Ornn,47.79%,1199,,Zaahen,47.62%,2564,,Mordekaiser,47.53%,2081,,Yone,47.38%,1929,,Chogath,47.11%,1384,,Kayn,47.06%,238,,Tryndamere,47.00%,1217,,KSante,46.89%,1190,,Jayce,46.84%,1014,,Gnar,46.56%,1046,,Singed,46.44%,872,,Rumble,46.39%,416,,Shen,46.07%,1235,,Ambessa,46.01%,1352,,Kennen,45.95%,457,,MonkeyKing,45.90%,244,,Volibear,45.54%,1324,,Yasuo,45.36%,1153,,Gwen,45.11%,756,,MasterYi,44.20%,319,,Akali,44.06%,379,,Smolder,42.49%,273,,Vladimir,42.00%,531,,,,,,,,,
Rumble,top,81.7%,D,46 / 50,48.3 %,1.8 %,0.6 %,89966,https://dpm.lol/champions/Rumble/build?lane=top&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camille,top,85.6%,D,47 / 50,48.3 %,1.8 %,0.7 %,92239,https://dpm.lol/champions/Camille/build?lane=top&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,top,86.9%,D,44 / 50,48.1 %,2.8 %,1.3 %,139625,https://dpm.lol/champions/Gangplank/build?lane=top&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
