champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_top_1_name,synergy_top_1_winrate,synergy_top_1_games,synergy_top_1_lane_quality,synergy_top_2_name,synergy_top_2_winrate,synergy_top_2_games,synergy_top_2_lane_quality,synergy_top_3_name,synergy_top_3_winrate,synergy_top_3_games,synergy_top_3_lane_quality,synergy_top_4_name,synergy_top_4_winrate,synergy_top_4_games,synergy_top_4_lane_quality,synergy_top_5_name,synergy_top_5_winrate,synergy_top_5_games,synergy_top_5_lane_quality,synergy_top_6_name,synergy_top_6_winrate,synergy_top_6_games,synergy_top_6_lane_quality,synergy_top_7_name,synergy_top_7_winrate,synergy_top_7_games,synergy_top_7_lane_quality,synergy_top_8_name,synergy_top_8_winrate,synergy_top_8_games,synergy_top_8_lane_quality,synergy_top_9_name,synergy_top_9_winrate,synergy_top_9_games,synergy_top_9_lane_quality,synergy_top_10_name,synergy_top_10_winrate,synergy_top_10_games,synergy_top_10_lane_quality,synergy_top_11_name,synergy_top_11_winrate,synergy_top_11_games,synergy_top_11_lane_quality,synergy_top_12_name,synergy_top_12_winrate,synergy_top_12_games,synergy_top_12_lane_quality,synergy_top_13_name,synergy_top_13_winrate,synergy_top_13_games,synergy_top_13_lane_quality,synergy_top_14_name,synergy_top_14_winrate,synergy_top_14_games,synergy_top_14_lane_quality,synergy_top_15_name,synergy_top_15_winrate,synergy_top_15_games,synergy_top_15_lane_quality,synergy_top_16_name,synergy_top_16_winrate,synergy_top_16_games,synergy_top_16_lane_quality,synergy_top_17_name,synergy_top_17_winrate,synergy_top_17_games,synergy_top_17_lane_quality,synergy_top_18_name,synergy_top_18_winrate,synergy_top_18_games,synergy_top_18_lane_quality,synergy_top_19_name,synergy_top_19_winrate,synergy_top_19_games,synergy_top_19_lane_quality,synergy_top_20_name,synergy_top_20_winrate,synergy_top_20_games,synergy_top_20_lane_quality,synergy_top_21_name,synergy_top_21_winrate,synergy_top_21_games,synergy_top_21_lane_quality,synergy_top_22_name,synergy_top_22_winrate,synergy_top_22_games,synergy_top_22_lane_quality,synergy_top_23_name,synergy_top_23_winrate,synergy_top_23_games,synergy_top_23_lane_quality,synergy_top_24_name,synergy_top_24_winrate,synergy_top_24_games,synergy_top_24_lane_quality,synergy_top_25_name,synergy_top_25_winrate,synergy_top_25_games,synergy_top_25_lane_quality,synergy_top_26_name,synergy_top_26_winrate,synergy_top_26_games,synergy_top_26_lane_quality,synergy_top_27_name,synergy_top_27_winrate,synergy_top_27_games,synergy_top_27_lane_quality,synergy_top_28_name,synergy_top_28_winrate,synergy_top_28_games,synergy_top_28_lane_quality,synergy_top_29_name,synergy_top_29_winrate,synergy_top_29_games,synergy_top_29_lane_quality,synergy_top_30_name,synergy_top_30_winrate,synergy_top_30_games,synergy_top_30_lane_quality,synergy_top_31_name,synergy_top_31_winrate,synergy_top_31_games,synergy_top_31_lane_quality,synergy_top_32_name,synergy_top_32_winrate,synergy_top_32_games,synergy_top_32_lane_quality,synergy_top_33_name,synergy_top_33_winrate,synergy_top_33_games,synergy_top_33_lane_quality,synergy_top_34_name,synergy_top_34_winrate,synergy_top_34_games,synergy_top_34_lane_quality,synergy_top_35_name,synergy_top_35_winrate,synergy_top_35_games,synergy_top_35_lane_quality,synergy_top_36_name,synergy_top_36_winrate,synergy_top_36_games,synergy_top_36_lane_quality,synergy_top_37_name,synergy_top_37_winrate,synergy_top_37_games,synergy_top_37_lane_quality,synergy_top_38_name,synergy_top_38_winrate,synergy_top_38_games,synergy_top_38_lane_quality,synergy_top_39_name,synergy_top_39_winrate,synergy_top_39_games,synergy_top_39_lane_quality,synergy_top_40_name,synergy_top_40_winrate,synergy_top_40_games,synergy_top_40_lane_quality,synergy_top_41_name,synergy_top_41_winrate,synergy_top_41_games,synergy_top_41_lane_quality,synergy_top_42_name,synergy_top_42_winrate,synergy_top_42_games,synergy_top_42_lane_quality,synergy_top_43_name,synergy_top_43_winrate,synergy_top_43_games,synergy_top_43_lane_quality,synergy_top_44_name,synergy_top_44_winrate,synergy_top_44_games,synergy_top_44_lane_quality,synergy_top_45_name,synergy_top_45_winrate,synergy_top_45_games,synergy_top_45_lane_quality,synergy_top_46_name,synergy_top_46_winrate,synergy_top_46_games,synergy_top_46_lane_quality,synergy_top_47_name,synergy_top_47_winrate,synergy_top_47_games,synergy_top_47_lane_quality,synergy_top_48_name,synergy_top_48_winrate,synergy_top_48_games,synergy_top_48_lane_quality,synergy_top_49_name,synergy_top_49_winrate,synergy_top_49_games,synergy_top_49_lane_quality,synergy_top_50_name,synergy_top_50_winrate,synergy_top_50_games,synergy_top_50_lane_quality,synergy_top_51_name,synergy_top_51_winrate,synergy_top_51_games,synergy_top_51_lane_quality,synergy_top_52_name,synergy_top_52_winrate,synergy_top_52_games,synergy_top_52_lane_quality,synergy_top_53_name,synergy_top_53_winrate,synergy_top_53_games,synergy_top_53_lane_quality,synergy_top_54_name,synergy_top_54_winrate,synergy_top_54_games,synergy_top_54_lane_quality,synergy_top_55_name,synergy_top_55_winrate,synergy_top_55_games,synergy_top_55_lane_quality,synergy_top_56_name,synergy_top_56_winrate,synergy_top_56_games,synergy_top_56_lane_quality,synergy_top_57_name,synergy_top_57_winrate,synergy_top_57_games,synergy_top_57_lane_quality,synergy_top_58_name,synergy_top_58_winrate,synergy_top_58_games,synergy_top_58_lane_quality,synergy_top_59_name,synergy_top_59_winrate,synergy_top_59_games,synergy_top_59_lane_quality,synergy_top_60_name,synergy_top_60_winrate,synergy_top_60_games,synergy_top_60_lane_quality
Samira,adc,98.3%,B,10 / 26,50.1 %,5.4 %,10.1 %,1292221,https://dpm.lol/champions/Samira/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Malphite,53.58%,54451,,Malzahar,52.92%,3751,,Kayle,52.85%,31591,,Singed,52.36%,16291,,Teemo,52.16%,42576,,Swain,52.15%,9994,,Sett,52.08%,52057,,Heimerdinger,52.04%,12912,,DrMundo,51.90%,41303,,Ornn,51.63%,19184,,Sion,51.62%,26660,,Urgot,51.55%,19863,,Mordekaiser,51.47%,54802,,Warwick,51.41%,9234,,Kennen,51.34%,12276,,Shen,51.22%,20566,,Yorick,51.17%,30270,,Varus,51.16%,4740,,Ryze,51.16%,3495,,Kled,50.88%,8769,,Garen,50.59%,56389,,TahmKench,50.22%,8978,,Chogath,50.21%,26928,,Pantheon,50.19%,12342,,Cassiopeia,50.13%,3471,,Nasus,50.11%,29821,,Vladimir,50.09%,13334,,Vayne,49.92%,12818,,Olaf,49.91%,12058,,Quinn,49.87%,12314,,Illaoi,49.82%,20804,,Sylas,49.76%,4940,,Renekton,49.46%,24685,,Zaahen,49.43%,53784,,Jax,49.36%,33211,,Volibear,49.33%,21673,,Akali,49.18%,8891,,Yone,49.17%,29184,,Fiora,48.97%,21186,,Poppy,48.91%,4672,,Gnar,48.87%,16558,,Irelia,48.85%,21999,,Yasuo,48.83%,20276,,Aatrox,48.79%,33374,,Rumble,48.78%,10155,,Gragas,48.72%,10876,,Tryndamere,48.70%,19514,,Trundle,48.61%,7649,,MonkeyKing,48.55%,3734,,Darius,48.48%,55026,,Gwen,48.38%,24623,,Riven,48.32%,21175,,Gangplank,48.25%,16875,,Jayce,48.19%,12012,,Smolder,47.43%,4415,,Kayn,47.39%,3406,,Ambessa,47.24%,18633,,Camille,46.98%,11489,,KSante,45.78%,13835,,MasterYi,44.61%,5694,
Urgot,top,94.3%,B,12 / 50,52.0 %,3.1 %,1.7 %,743718,https://dpm.lol/champions/Urgot/build?lane=top&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor,mid,95.0%,B,15 / 47,51.1 %,5.6 %,2.5 %,1356568,https://dpm.lol/champions/Viktor/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Warwick,54.29%,9426,,Kled,53.26%,10150,,Malphite,53.24%,54715,,DrMundo,53.03%,39615,,Olaf,52.94%,13829,,Sett,52.85%,48854,,Yorick,52.84%,30897,,Garen,52.71%,55725,,Singed,52.68%,16184,,Urgot,52.55%,20286,,Quinn,52.49%,12485,,Vayne,52.40%,12604,,Nasus,52.03%,28184,,TahmKench,52.03%,7947,,Teemo,51.99%,30913,,Sylas,51.82%,5075,,Sion,51.82%,33907,,Kayle,51.76%,24615,,Mordekaiser,51.69%,41285,,Illaoi,51.68%,20041,,Shen,51.51%,22901,,Poppy,51.50%,7270,,Renekton,51.43%,33741,,Ornn,51.41%,23643,,Irelia,51.31%,26262,,Volibear,51.28%,21690,,Swain,51.25%,8739,,MonkeyKing,51.24%,4715,,Jax,51.19%,39347,,Darius,50.83%,54355,,Camille,50.82%,16400,,Heimerdinger,50.78%,9093,,Pantheon,50.70%,13603,,Akali,50.68%,7886,,Fiora,50.64%,25929,,Vladimir,50.63%,11440,,Zaahen,50.56%,62574,,Aatrox,50.50%,45644,,Ryze,50.40%,3724,,Chogath,50.40%,23656,,Kennen,50.29%,10776,,Tryndamere,50.26%,19349,,Kayn,50.25%,3552,,Gnar,50.04%,20707,,Gwen,50.04%,19634,,Ambessa,49.88%,31100,,Yone,49.80%,34200,,Yasuo,49.73%,20601,,Gragas,49.45%,11320,,Varus,49.23%,5615,,Gangplank,49.14%,22780,,Trundle,49.03%,6830,,Rumble,49.03%,11649,,Jayce,49.02%,22658,,KSante,48.02%,23630,,Sejuani,47.67%,3740,,MasterYi,46.67%,5526,,Smolder,45.52%,4945,,,,,,,,,
Taric,sup,93.2%,B,13 / 39,52.6 %,1.5 %,0.4 %,370065,https://dpm.lol/champions/Taric/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Singed,55.81%,4915,,Malphite,55.54%,14565,,Swain,55.49%,3071,,Kled,55.04%,2760,,Sett,54.76%,13943,,Kayle,54.53%,9159,,Urgot,54.44%,6187,,Mordekaiser,54.33%,14597,,DrMundo,53.99%,11425,,Ornn,53.82%,5448,,Garen,53.80%,15913,,Heimerdinger,53.65%,3612,,Teemo,53.60%,12095,,Malzahar,53.47%,1038,,Irelia,53.30%,6278,,Yorick,53.23%,8842,,Chogath,53.22%,7655,,Kennen,53.16%,3416,,Jax,53.15%,9449,,Aurora,53.06%,931,,Nasus,52.98%,8334,,Olaf,52.83%,3521,,Illaoi,52.81%,5991,,TahmKench,52.72%,2519,,Vayne,52.71%,3749,,Sion,52.68%,7957,,Warwick,52.67%,2603,,Zaahen,52.50%,16048,,Yasuo,52.48%,5050,,Renekton,52.38%,7234,,Shen,52.34%,6053,,Varus,52.19%,1326,,Cassiopeia,52.16%,974,,Gwen,52.14%,7136,,Darius,52.13%,14939,,Akali,52.09%,2536,,Smolder,51.92%,1225,,Camille,51.91%,3614,,Volibear,51.74%,5734,,Poppy,51.61%,1550,,MonkeyKing,51.56%,1125,,Fiora,51.54%,6411,,Rumble,51.37%,3066,,Tryndamere,51.25%,5738,,Yone,51.18%,7861,,Riven,51.16%,6529,,Jayce,51.08%,3549,,Quinn,51.08%,3829,,Trundle,50.92%,2178,,Ambessa,50.85%,5760,,Gnar,50.66%,4911,,Aatrox,50.51%,9380,,Sylas,50.47%,1391,,Vladimir,50.39%,3812,,Gangplank,50.24%,5414,,Gragas,49.87%,3176,,Kayn,48.92%,975,,Ryze,48.62%,1018,,KSante,48.09%,4055,,MasterYi,47.35%,1888,
Yasuo,adc,8.1%,-,-/-,51.0 %,1.1 %,18.3 %,275145,https://dpm.lol/champions/Yasuo/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Kayle,54.31%,7129,,Heimerdinger,53.97%,2798,,Sett,53.69%,10395,,Malphite,53.58%,13653,,Swain,53.48%,2298,,Cassiopeia,53.20%,812,,Sion,53.16%,5619,,Singed,53.00%,3700,,Mordekaiser,52.87%,11289,,Yorick,52.70%,5971,,Ornn,52.44%,4331,,DrMundo,52.40%,8203,,Illaoi,52.39%,4211,,Teemo,52.35%,9224,,Vayne,52.22%,4096,,Chogath,52.00%,6002,,MonkeyKing,51.97%,964,,Kled,51.78%,1825,,Shen,51.70%,4029,,Garen,51.56%,11343,,Nasus,51.47%,5867,,Varus,51.27%,1422,,Urgot,51.26%,4253,,Kennen,50.95%,2622,,Smolder,50.79%,1514,,Kayn,50.77%,776,,Riven,50.73%,4725,,Sylas,50.69%,1156,,Fiora,50.64%,4358,,Jax,50.63%,6654,,Gragas,50.51%,3015,,Zaahen,50.33%,11163,,Aurora,50.31%,799,,Yone,50.31%,6951,,Olaf,50.24%,2494,,Renekton,50.12%,4906,,Gwen,50.10%,5483,,Vladimir,50.03%,2898,,Warwick,49.95%,1882,,Aatrox,49.78%,6922,,Volibear,49.78%,4375,,TahmKench,49.76%,1879,,Camille,49.75%,2416,,Pantheon,49.67%,2390,,Irelia,49.61%,4455,,Gnar,49.56%,3402,,Darius,49.54%,11275,,Rumble,49.40%,2251,,Tryndamere,49.37%,3950,,Quinn,49.35%,2936,,Ambessa,49.26%,3845,,Poppy,49.11%,957,,Akali,49.05%,1894,,Gangplank,48.94%,3578,,Ryze,48.87%,755,,Jayce,48.67%,2511,,Malzahar,48.64%,736,,Trundle,47.68%,1510,,MasterYi,46.87%,1167,,KSante,44.97%,2962,
