champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_top_1_name,synergy_top_1_winrate,synergy_top_1_games,synergy_top_1_lane_quality,synergy_top_2_name,synergy_top_2_winrate,synergy_top_2_games,synergy_top_2_lane_quality,synergy_top_3_name,synergy_top_3_winrate,synergy_top_3_games,synergy_top_3_lane_quality,synergy_top_4_name,synergy_top_4_winrate,synergy_top_4_games,synergy_top_4_lane_quality,synergy_top_5_name,synergy_top_5_winrate,synergy_top_5_games,synergy_top_5_lane_quality,synergy_top_6_name,synergy_top_6_winrate,synergy_top_6_games,synergy_top_6_lane_quality,synergy_top_7_name,synergy_top_7_winrate,synergy_top_7_games,synergy_top_7_lane_quality,synergy_top_8_name,synergy_top_8_winrate,synergy_top_8_games,synergy_top_8_lane_quality,synergy_top_9_name,synergy_top_9_winrate,synergy_top_9_games,synergy_top_9_lane_quality,synergy_top_10_name,synergy_top_10_winrate,synergy_top_10_games,synergy_top_10_lane_quality,synergy_top_11_name,synergy_top_11_winrate,synergy_top_11_games,synergy_top_11_lane_quality,synergy_top_12_name,synergy_top_12_winrate,synergy_top_12_games,synergy_top_12_lane_quality,synergy_top_13_name,synergy_top_13_winrate,synergy_top_13_games,synergy_top_13_lane_quality,synergy_top_14_name,synergy_top_14_winrate,synergy_top_14_games,synergy_top_14_lane_quality,synergy_top_15_name,synergy_top_15_winrate,synergy_top_15_games,synergy_top_15_lane_quality,synergy_top_16_name,synergy_top_16_winrate,synergy_top_16_games,synergy_top_16_lane_quality,synergy_top_17_name,synergy_top_17_winrate,synergy_top_17_games,synergy_top_17_lane_quality,synergy_top_18_name,synergy_top_18_winrate,synergy_top_18_games,synergy_top_18_lane_quality,synergy_top_19_name,synergy_top_19_winrate,synergy_top_19_games,synergy_top_19_lane_quality,synergy_top_20_name,synergy_top_20_winrate,synergy_top_20_games,synergy_top_20_lane_quality,synergy_top_21_name,synergy_top_21_winrate,synergy_top_21_games,synergy_top_21_lane_quality,synergy_top_22_name,synergy_top_22_winrate,synergy_top_22_games,synergy_top_22_lane_quality,synergy_top_23_name,synergy_top_23_winrate,synergy_top_23_games,synergy_top_23_lane_quality,synergy_top_24_name,synergy_top_24_winrate,synergy_top_24_games,synergy_top_24_lane_quality,synergy_top_25_name,synergy_top_25_winrate,synergy_top_25_games,synergy_top_25_lane_quality,synergy_top_26_name,synergy_top_26_winrate,synergy_top_26_games,synergy_top_26_lane_quality,synergy_top_27_name,synergy_top_27_winrate,synergy_top_27_games,synergy_top_27_lane_quality,synergy_top_28_name,synergy_top_28_winrate,synergy_top_28_games,synergy_top_28_lane_quality,synergy_top_29_name,synergy_top_29_winrate,synergy_top_29_games,synergy_top_29_lane_quality,synergy_top_30_name,synergy_top_30_winrate,synergy_top_30_games,synergy_top_30_lane_quality,synergy_top_31_name,synergy_top_31_winrate,synergy_top_31_games,synergy_top_31_lane_quality,synergy_top_32_name,synergy_top_32_winrate,synergy_top_32_games,synergy_top_32_lane_quality,synergy_top_33_name,synergy_top_33_winrate,synergy_top_33_games,synergy_top_33_lane_quality,synergy_top_34_name,synergy_top_34_winrate,synergy_top_34_games,synergy_top_34_lane_quality,synergy_top_35_name,synergy_top_35_winrate,synergy_top_35_games,synergy_top_35_lane_quality,synergy_top_36_name,synergy_top_36_winrate,synergy_top_36_games,synergy_top_36_lane_quality,synergy_top_37_name,synergy_top_37_winrate,synergy_top_37_games,synergy_top_37_lane_quality,synergy_top_38_name,synergy_top_38_winrate,synergy_top_38_games,synergy_top_38_lane_quality,synergy_top_39_name,synergy_top_39_winrate,synergy_top_39_games,synergy_top_39_lane_quality,synergy_top_40_name,synergy_top_40_winrate,synergy_top_40_games,synergy_top_40_lane_quality,synergy_top_41_name,synergy_top_41_winrate,synergy_top_41_games,synergy_top_41_lane_quality,synergy_top_42_name,synergy_top_42_winrate,synergy_top_42_games,synergy_top_42_lane_quality,synergy_top_43_name,synergy_top_43_winrate,synergy_top_43_games,synergy_top_43_lane_quality,synergy_top_44_name,synergy_top_44_winrate,synergy_top_44_games,synergy_top_44_lane_quality,synergy_top_45_name,synergy_top_45_winrate,synergy_top_45_games,synergy_top_45_lane_quality,synergy_top_46_name,synergy_top_46_winrate,synergy_top_46_games,synergy_top_46_lane_quality,synergy_top_47_name,synergy_top_47_winrate,synergy_top_47_games,synergy_top_47_lane_quality,synergy_top_48_name,synergy_top_48_winrate,synergy_top_48_games,synergy_top_48_lane_quality,synergy_top_49_name,synergy_top_49_winrate,synergy_top_49_games,synergy_top_49_lane_quality,synergy_top_50_name,synergy_top_50_winrate,synergy_top_50_games,synergy_top_50_lane_quality,synergy_top_51_name,synergy_top_51_winrate,synergy_top_51_games,synergy_top_51_lane_quality,synergy_top_52_name,synergy_top_52_winrate,synergy_top_52_games,synergy_top_52_lane_quality,synergy_top_53_name,synergy_top_53_winrate,synergy_top_53_games,synergy_top_53_lane_quality,synergy_top_54_name,synergy_top_54_winrate,synergy_top_54_games,synergy_top_54_lane_quality,synergy_top_55_name,synergy_top_55_winrate,synergy_top_55_games,synergy_top_55_lane_quality,synergy_top_56_name,synergy_top_56_winrate,synergy_top_56_games,synergy_top_56_lane_quality,synergy_top_57_name,synergy_top_57_winrate,synergy_top_57_games,synergy_top_57_lane_quality,synergy_top_58_name,synergy_top_58_winrate,synergy_top_58_games,synergy_top_58_lane_quality,synergy_top_59_name,synergy_top_59_winrate,synergy_top_59_games,synergy_top_59_lane_quality,synergy_top_60_name,synergy_top_60_winrate,synergy_top_60_games,synergy_top_60_lane_quality
Gnar,top,96.5%,D,43 / 50,48.8 %,2.7 %,0.7 %,134089,https://dpm.lol/champions/Gnar/build?lane=top&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoe,mid,80.8%,D,43 / 47,48.1 %,3.4 %,3.5 %,173114,https://dpm.lol/champions/Zoe/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,MonkeyKing,51.25%,562,,Olaf,50.52%,1738,,Ornn,50.51%,2958,,Sylas,50.49%,709,,Warwick,50.45%,1209,,Sion,50.15%,3992,,Kled,50.04%,1331,,Swain,50.00%,1328,,Malphite,49.94%,6976,,Urgot,49.91%,2739,,Singed,49.85%,2042,,Yorick,49.75%,4074,,DrMundo,49.72%,5380,,Sett,49.46%,6761,,Varus,49.44%,627,,Mordekaiser,49.40%,6071,,Vayne,49.26%,1624,,Garen,49.14%,7301,,Illaoi,49.06%,2919,,Poppy,49.01%,861,,Akali,49.00%,1149,,Kayle,48.95%,3522,,Teemo,48.90%,4642,,Quinn,48.74%,1713,,Chogath,48.50%,3536,,Renekton,48.27%,3901,,Nasus,48.20%,3886,,Pantheon,48.16%,1742,,Riven,47.83%,3184,,Zaahen,47.82%,5640,,Rumble,47.73%,1368,,Jax,47.71%,4611,,Aatrox,47.60%,5357,,Vladimir,47.55%,1510,,TahmKench,47.52%,1229,,Fiora,47.48%,3210,,Volibear,47.46%,3409,,Yasuo,47.36%,2876,,Jayce,47.09%,2268,,Gnar,47.07%,2505,,Heimerdinger,47.03%,1448,,Smolder,46.92%,633,,Yone,46.90%,4324,,Gangplank,46.80%,2609,,Kennen,46.78%,1415,,Darius,46.74%,7229,,Ambessa,46.52%,2913,,Kayn,46.36%,522,,Camille,46.27%,1731,,Shen,46.06%,2905,,Tryndamere,45.98%,2775,,Trundle,45.94%,973,,Gragas,45.16%,1375,,KSante,45.09%,2677,,Gwen,44.80%,2402,,MasterYi,42.26%,620,,,,,,,,,,,,,,,,,
Yuumi,sup,98.7%,D,34 / 39,48.1 %,4.6 %,4.6 %,231217,https://dpm.lol/champions/Yuumi/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Ryze,52.11%,758,,Swain,51.72%,2090,,Malphite,51.65%,9521,,Kennen,51.49%,2187,,MonkeyKing,50.87%,749,,Singed,50.57%,2990,,Sion,50.51%,5280,,Kayle,50.25%,5039,,Sett,50.14%,8470,,Shen,50.13%,3974,,Ornn,49.86%,3797,,Varus,49.83%,891,,Teemo,49.75%,6694,,Warwick,49.58%,1682,,Renekton,49.46%,4877,,Garen,49.38%,9619,,Jax,49.20%,5892,,DrMundo,49.01%,6968,,Olaf,48.96%,2396,,Heimerdinger,48.93%,1921,,Fiora,48.66%,4081,,TahmKench,48.64%,1616,,Malzahar,48.62%,654,,Volibear,48.61%,4557,,Kled,48.59%,1490,,Yorick,48.52%,4843,,Mordekaiser,48.45%,8642,,Cassiopeia,48.37%,583,,Nasus,48.26%,5209,,Irelia,48.18%,4286,,Poppy,48.13%,1070,,Illaoi,48.09%,3633,,Vladimir,48.06%,2532,,Rumble,48.04%,2088,,Urgot,47.98%,3266,,Pantheon,47.91%,2060,,Gangplank,47.74%,3203,,Sylas,47.73%,1100,,Quinn,47.62%,2146,,Gwen,47.61%,3642,,Riven,47.55%,3979,,Vayne,47.37%,2280,,Chogath,47.03%,4525,,Gnar,46.83%,3032,,Aatrox,46.72%,6930,,Gragas,46.66%,2139,,Tryndamere,46.26%,3569,,Yone,46.17%,5848,,Yasuo,46.08%,3683,,Akali,45.97%,1688,,Darius,45.91%,9177,,Camille,45.85%,2253,,Jayce,45.73%,2812,,Zaahen,45.71%,7206,,KSante,45.42%,3459,,Ambessa,45.33%,3543,,Kayn,44.78%,632,,Smolder,43.65%,811,,Trundle,43.56%,1226,,MasterYi,42.69%,937,
Vi,jun,93.3%,D,42 / 50,48.7 %,3.4 %,0.6 %,173863,https://dpm.lol/champions/Vi/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Singed,52.32%,2395,,Kled,52.09%,1052,,Swain,52.01%,1569,,TahmKench,51.72%,1189,,Malphite,51.29%,7542,,Varus,51.25%,679,,Heimerdinger,51.22%,1759,,Rumble,51.17%,2087,,DrMundo,50.97%,5284,,Teemo,50.96%,5528,,Mordekaiser,50.83%,7258,,Urgot,50.76%,2642,,Garen,50.70%,7040,,Kayle,50.58%,3709,,Malzahar,50.46%,543,,Kayn,50.42%,472,,Kennen,50.40%,1895,,Cassiopeia,50.22%,464,,Sett,50.07%,6120,,Aurora,50.00%,450,,Shen,49.65%,2862,,Yorick,49.55%,4077,,Quinn,49.34%,1678,,Chogath,49.14%,3651,,Warwick,49.01%,1214,,Renekton,48.91%,3500,,Ryze,48.82%,635,,Vayne,48.82%,1606,,MasterYi,48.74%,636,,Poppy,48.74%,833,,Tryndamere,48.67%,2511,,Olaf,48.43%,1625,,Akali,48.40%,1345,,Nasus,48.26%,3732,,Jax,47.91%,4640,,Sylas,47.88%,848,,Fiora,47.82%,2907,,Riven,47.77%,2696,,Illaoi,47.76%,2789,,Gwen,47.72%,2896,,Aatrox,47.69%,4705,,Vladimir,47.68%,1833,,Pantheon,47.66%,1536,,Camille,47.39%,1608,,Volibear,47.39%,3729,,Yasuo,47.31%,2636,,Ornn,47.26%,2643,,Trundle,47.23%,1012,,Darius,47.22%,6567,,Gnar,47.10%,2433,,Irelia,46.63%,2949,,Ambessa,46.33%,3130,,Zaahen,46.26%,5039,,Yone,46.05%,3941,,Gangplank,46.03%,2340,,Jayce,45.99%,1994,,Gragas,45.92%,1690,,MonkeyKing,45.26%,506,,KSante,45.00%,2351,,Smolder,43.87%,652,
Kindred,jun,96.6%,D,44 / 50,48.3 %,2.6 %,1.3 %,132791,https://dpm.lol/champions/Kindred/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Singed,51.65%,1942,,Malphite,51.57%,5713,,Swain,51.00%,1247,,Warwick,50.98%,922,,MonkeyKing,50.90%,446,,Mordekaiser,50.86%,5706,,Chogath,50.61%,3191,,TahmKench,50.60%,1004,,Sett,50.34%,5018,,Sylas,50.24%,613,,Sion,50.24%,3189,,Nasus,50.19%,3128,,Kled,50.16%,963,,Aurora,50.15%,323,,DrMundo,50.10%,4507,,Kennen,49.74%,1172,,Kayle,49.73%,2821,,Olaf,49.53%,1282,,Riven,49.53%,2215,,Shen,48.98%,2211,,Volibear,48.88%,2492,,Urgot,48.78%,2130,,Poppy,48.64%,588,,Garen,48.63%,5782,,Trundle,48.62%,761,,Renekton,48.61%,2619,,Yorick,48.44%,3175,,Yasuo,48.33%,1769,,Irelia,48.24%,2268,,Fiora,48.17%,2159,,Ornn,48.14%,2237,,Jayce,48.10%,1318,,Vladimir,48.10%,1339,,Jax,47.86%,3387,,Tryndamere,47.73%,2133,,Gragas,47.58%,1259,,Gnar,47.56%,1657,,Teemo,47.44%,3883,,Zaahen,47.28%,4203,,Illaoi,47.20%,2235,,Ryze,46.84%,380,,Pantheon,46.80%,1267,,Ambessa,46.78%,1862,,Yone,46.67%,2856,,Aatrox,46.55%,3897,,Darius,46.09%,5285,,Heimerdinger,45.91%,1235,,Malzahar,45.88%,388,,Quinn,45.84%,1106,,Camille,45.77%,1112,,Gwen,45.45%,2099,,Vayne,45.37%,1047,,Rumble,45.24%,1209,,Kayn,45.17%,383,,Smolder,45.10%,439,,Varus,45.07%,406,,Akali,44.98%,876,,Gangplank,44.52%,1671,,KSante,44.13%,1779,,MasterYi,42.77%,477,
