champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_mid_1_name,matchup_mid_1_winrate,matchup_mid_1_games,matchup_mid_1_lane_quality,matchup_mid_2_name,matchup_mid_2_winrate,matchup_mid_2_games,matchup_mid_2_lane_quality,matchup_mid_3_name,matchup_mid_3_winrate,matchup_mid_3_games,matchup_mid_3_lane_quality,matchup_mid_4_name,matchup_mid_4_winrate,matchup_mid_4_games,matchup_mid_4_lane_quality,matchup_mid_5_name,matchup_mid_5_winrate,matchup_mid_5_games,matchup_mid_5_lane_quality,matchup_mid_6_name,matchup_mid_6_winrate,matchup_mid_6_games,matchup_mid_6_lane_quality,matchup_mid_7_name,matchup_mid_7_winrate,matchup_mid_7_games,matchup_mid_7_lane_quality,matchup_mid_8_name,matchup_mid_8_winrate,matchup_mid_8_games,matchup_mid_8_lane_quality,matchup_mid_9_name,matchup_mid_9_winrate,matchup_mid_9_games,matchup_mid_9_lane_quality,matchup_mid_10_name,matchup_mid_10_winrate,matchup_mid_10_games,matchup_mid_10_lane_quality,matchup_mid_11_name,matchup_mid_11_winrate,matchup_mid_11_games,matchup_mid_11_lane_quality,matchup_mid_12_name,matchup_mid_12_winrate,matchup_mid_12_games,matchup_mid_12_lane_quality,matchup_mid_13_name,matchup_mid_13_winrate,matchup_mid_13_games,matchup_mid_13_lane_quality,matchup_mid_14_name,matchup_mid_14_winrate,matchup_mid_14_games,matchup_mid_14_lane_quality,matchup_mid_15_name,matchup_mid_15_winrate,matchup_mid_15_games,matchup_mid_15_lane_quality,matchup_mid_16_name,matchup_mid_16_winrate,matchup_mid_16_games,matchup_mid_16_lane_quality,matchup_mid_17_name,matchup_mid_17_winrate,matchup_mid_17_games,matchup_mid_17_lane_quality,matchup_mid_18_name,matchup_mid_18_winrate,matchup_mid_18_games,matchup_mid_18_lane_quality,matchup_mid_19_name,matchup_mid_19_winrate,matchup_mid_19_games,matchup_mid_19_lane_quality,matchup_mid_20_name,matchup_mid_20_winrate,matchup_mid_20_games,matchup_mid_20_lane_quality,matchup_mid_21_name,matchup_mid_21_winrate,matchup_mid_21_games,matchup_mid_21_lane_quality,matchup_mid_22_name,matchup_mid_22_winrate,matchup_mid_22_games,matchup_mid_22_lane_quality,matchup_mid_23_name,matchup_mid_23_winrate,matchup_mid_23_games,matchup_mid_23_lane_quality,matchup_mid_24_name,matchup_mid_24_winrate,matchup_mid_24_games,matchup_mid_24_lane_quality,matchup_mid_25_name,matchup_mid_25_winrate,matchup_mid_25_games,matchup_mid_25_lane_quality,matchup_mid_26_name,matchup_mid_26_winrate,matchup_mid_26_games,matchup_mid_26_lane_quality,matchup_mid_27_name,matchup_mid_27_winrate,matchup_mid_27_games,matchup_mid_27_lane_quality,matchup_mid_28_name,matchup_mid_28_winrate,matchup_mid_28_games,matchup_mid_28_lane_quality,matchup_mid_29_name,matchup_mid_29_winrate,matchup_mid_29_games,matchup_mid_29_lane_quality,matchup_mid_30_name,matchup_mid_30_winrate,matchup_mid_30_games,matchup_mid_30_lane_quality,matchup_mid_31_name,matchup_mid_31_winrate,matchup_mid_31_games,matchup_mid_31_lane_quality,matchup_mid_32_name,matchup_mid_32_winrate,matchup_mid_32_games,matchup_mid_32_lane_quality,matchup_mid_33_name,matchup_mid_33_winrate,matchup_mid_33_games,matchup_mid_33_lane_quality,matchup_mid_34_name,matchup_mid_34_winrate,matchup_mid_34_games,matchup_mid_34_lane_quality,matchup_mid_35_name,matchup_mid_35_winrate,matchup_mid_35_games,matchup_mid_35_lane_quality,matchup_mid_36_name,matchup_mid_36_winrate,matchup_mid_36_games,matchup_mid_36_lane_quality,matchup_mid_37_name,matchup_mid_37_winrate,matchup_mid_37_games,matchup_mid_37_lane_quality,matchup_mid_38_name,matchup_mid_38_winrate,matchup_mid_38_games,matchup_mid_38_lane_quality,matchup_mid_39_name,matchup_mid_39_winrate,matchup_mid_39_games,matchup_mid_39_lane_quality,matchup_mid_40_name,matchup_mid_40_winrate,matchup_mid_40_games,matchup_mid_40_lane_quality,matchup_mid_41_name,matchup_mid_41_winrate,matchup_mid_41_games,matchup_mid_41_lane_quality,matchup_mid_42_name,matchup_mid_42_winrate,matchup_mid_42_games,matchup_mid_42_lane_quality,matchup_mid_43_name,matchup_mid_43_winrate,matchup_mid_43_games,matchup_mid_43_lane_quality,matchup_mid_44_name,matchup_mid_44_winrate,matchup_mid_44_games,matchup_mid_44_lane_quality,matchup_mid_45_name,matchup_mid_45_winrate,matchup_mid_45_games,matchup_mid_45_lane_quality,matchup_mid_46_name,matchup_mid_46_winrate,matchup_mid_46_games,matchup_mid_46_lane_quality,matchup_mid_47_name,matchup_mid_47_winrate,matchup_mid_47_games,matchup_mid_47_lane_quality,matchup_mid_48_name,matchup_mid_48_winrate,matchup_mid_48_games,matchup_mid_48_lane_quality,matchup_mid_49_name,matchup_mid_49_winrate,matchup_mid_49_games,matchup_mid_49_lane_quality,matchup_mid_50_name,matchup_mid_50_winrate,matchup_mid_50_games,matchup_mid_50_lane_quality,matchup_mid_51_name,matchup_mid_51_winrate,matchup_mid_51_games,matchup_mid_51_lane_quality,matchup_mid_52_name,matchup_mid_52_winrate,matchup_mid_52_games,matchup_mid_52_lane_quality,matchup_mid_53_name,matchup_mid_53_winrate,matchup_mid_53_games,matchup_mid_53_lane_quality,matchup_mid_54_name,matchup_mid_54_winrate,matchup_mid_54_games,matchup_mid_54_lane_quality
Gnar,top,96.5%,D,43 / 50,48.8 %,2.7 %,0.7 %,639848,https://dpm.lol/champions/Gnar/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Azir,53.84%,6577,,Mel,51.74%,23923,,Qiyana,51.22%,6119,,Smolder,50.89%,4042,,Yone,50.78%,19493,,Taliyah,50.65%,4815,,Orianna,50.61%,15946,,Ryze,50.37%,9141,,Galio,50.07%,12191,,Leblanc,50.05%,13889,,TwistedFate,50.02%,9232,,Aurora,49.98%,7483,,Zoe,49.93%,11902,,Zed,49.87%,20933,,Chogath,49.48%,2302,,Ekko,49.47%,11238,,Lissandra,49.30%,8102,,Akshan,49.26%,7928,,Hwei,49.25%,10040,,Akali,49.18%,22660,,Neeko,49.00%,2010,,Annie,48.95%,4995,,Vladimir,48.84%,9777,,Yasuo,48.80%,29660,,Talon,48.75%,4488,,Sylas,48.75%,21519,,Katarina,48.74%,23768,,Anivia,48.65%,7747,,Kassadin,48.55%,7829,,Ziggs,48.48%,3494,,AurelionSol,48.31%,7849,,Viktor,48.14%,19511,,Syndra,47.98%,18415,,Fizz,47.88%,17925,,Ahri,47.87%,30039,,Irelia,47.77%,7975,,Cassiopeia,47.77%,4865,,Xerath,47.64%,11448,,Kennen,47.58%,2972,,Brand,47.57%,3845,,Jayce,47.49%,1956,,Vex,47.49%,10623,,Morgana,46.96%,6519,,Lux,46.85%,16103,,Veigar,46.84%,20476,,Malzahar,46.69%,25781,,Kayle,46.66%,3710,,Diana,46.58%,14986,,Pantheon,46.42%,2419,,Swain,46.41%,6053,,Malphite,46.26%,3716,,Velkoz,46.06%,4299,,Naafiri,45.88%,8318,,Heimerdinger,44.56%,2013,
Zoe,mid,80.7%,D,43 / 47,48.1 %,3.5 %,3.5 %,839699,https://dpm.lol/champions/Zoe/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Azir,53.70%,9237,Good Lane,Qiyana,52.01%,8695,Average,Taliyah,51.91%,5924,Good Lane,Smolder,51.18%,4525,Good Lane,Orianna,50.97%,20627,Average,Sylas,50.60%,26793,Good Lane,Vladimir,50.58%,12628,Good Lane,Yone,50.08%,24580,Good Lane,Mel,50.03%,32653,Bad Lane,Zed,49.93%,28478,Bad Lane,Aurora,49.82%,10821,Average,Cassiopeia,49.77%,5988,Good Lane,Viktor,49.37%,25789,Average,Ryze,49.19%,10405,Good Lane,Hwei,49.11%,14263,Average,Akali,49.00%,31423,Good Lane,Lissandra,48.64%,9139,Good Lane,Leblanc,48.63%,20736,Bad Lane,Syndra,48.49%,26408,Bad Lane,Jayce,48.36%,2562,Bad Lane,Xerath,48.35%,15197,Average,TwistedFate,48.29%,14039,Average,Pantheon,48.23%,2683,Good Lane,Neeko,48.21%,3070,Good Lane,Ahri,48.09%,46238,Good Lane,Vex,47.97%,14731,Good Lane,Katarina,47.94%,30680,Average,Galio,47.81%,14667,Good Lane,Irelia,47.79%,11076,Bad Lane,Velkoz,47.70%,6017,Average,AurelionSol,47.62%,9731,Good Lane,Kayle,47.49%,4534,Good Lane,Talon,47.27%,5820,Average,Yasuo,47.24%,37066,Bad Lane,Annie,47.18%,7099,Good Lane,Swain,47.10%,6892,Good Lane,Veigar,47.08%,28313,Good Lane,Fizz,47.01%,23977,Bad Lane,Ekko,46.91%,14156,Average,Kennen,46.88%,3430,Good Lane,Ziggs,46.68%,4702,Bad Lane,Diana,46.42%,18731,Bad Lane,Lux,46.35%,25946,Bad Lane,Brand,45.99%,5238,Good Lane,Malphite,45.87%,4500,Good Lane,Anivia,45.81%,10237,Bad Lane,Kassadin,45.54%,10724,Good Lane,Morgana,44.51%,11753,Bad Lane,Malzahar,42.38%,33911,Bad Lane,Naafiri,42.28%,13696,Bad Lane,,,,,,,,,,,,,,,,
Yuumi,sup,98.7%,D,37 / 39,47.7 %,4.3 %,4.4 %,1042067,https://dpm.lol/champions/Yuumi/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Smolder,52.61%,6607,,Azir,51.70%,11079,,Aurora,51.35%,11356,,Mel,50.57%,40836,,Qiyana,50.37%,10251,,Zoe,50.09%,18919,,Taliyah,49.79%,7701,,Akali,49.27%,38867,,Zed,49.25%,34732,,Orianna,49.07%,25059,,Vladimir,49.05%,15757,,TwistedFate,48.94%,15199,,Jayce,48.78%,3292,,Akshan,48.77%,12955,,Katarina,48.70%,38967,,Leblanc,48.57%,22244,,Hwei,48.38%,15797,,Yone,48.20%,33866,,Ziggs,48.20%,5210,,Talon,48.11%,7724,,Sylas,48.06%,32177,,Neeko,47.96%,3286,,Xerath,47.96%,18218,,AurelionSol,47.87%,12127,,Viktor,47.75%,30811,,Ryze,47.65%,13972,,Kassadin,47.50%,12103,,Syndra,47.38%,28902,,Irelia,47.32%,15283,,Ahri,47.16%,49012,,Galio,47.12%,18047,,Cassiopeia,47.02%,8263,,Ekko,46.94%,17112,,Annie,46.93%,8073,,Diana,46.84%,24353,,Vex,46.83%,17694,,Morgana,46.77%,10855,,Lux,46.67%,26526,,Brand,46.41%,6516,,Swain,46.37%,9823,,Velkoz,46.31%,6901,,Chogath,46.29%,3549,,Fizz,46.07%,28139,,Naafiri,45.94%,13854,,Pantheon,45.73%,4207,,Yasuo,45.72%,51574,,Anivia,45.69%,12055,,Veigar,45.50%,32384,,Kennen,45.50%,4297,,Malzahar,44.85%,41079,,Kayle,44.45%,5968,,Malphite,44.15%,7359,,,,,,,,,
Vi,jun,93.5%,D,44 / 52,48.6 %,3.2 %,0.6 %,767335,https://dpm.lol/champions/Vi/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Azir,53.16%,8381,,Mel,51.36%,28382,,Zoe,51.14%,13813,,Smolder,51.12%,5008,,Taliyah,51.10%,5924,,Qiyana,50.66%,6924,,Katarina,50.27%,27098,,Akshan,50.23%,9322,,Zed,49.97%,25312,,Yone,49.92%,24530,,Ryze,49.89%,10298,,Akali,49.73%,28678,,Sylas,49.72%,26683,,TwistedFate,49.62%,10603,,Leblanc,49.50%,16799,,Pantheon,49.30%,3061,,Aurora,49.23%,8732,,Talon,49.21%,5395,,Orianna,49.02%,18446,,Chogath,49.01%,2634,,Irelia,49.01%,11081,,Annie,48.84%,5594,,Hwei,48.71%,11937,,Galio,48.63%,14369,,Neeko,48.59%,2482,,Yasuo,48.59%,35920,,Syndra,48.40%,20545,,Fizz,48.39%,21783,,Vladimir,48.30%,11109,,Ahri,48.11%,38021,,AurelionSol,47.72%,9639,,Vex,47.58%,13134,,Anivia,47.44%,8759,,Ekko,47.41%,13263,,Diana,47.32%,17715,,Cassiopeia,47.30%,5700,,Lissandra,47.26%,9293,,Velkoz,46.95%,5231,,Naafiri,46.87%,10598,,Xerath,46.78%,13377,,Ziggs,46.66%,4297,,Viktor,46.55%,22943,,Lux,46.35%,18987,,Malzahar,46.28%,29776,,Morgana,46.12%,8373,,Malphite,45.97%,5343,,Veigar,45.78%,25829,,Kayle,45.77%,4033,,Brand,45.54%,4881,,Heimerdinger,45.50%,2347,,Kennen,45.31%,3251,,Swain,44.03%,7206,,,,,,,,,
Kindred,jun,96.9%,D,45 / 52,48.6 %,2.6 %,1.3 %,629381,https://dpm.lol/champions/Kindred/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Azir,55.25%,6414,,Smolder,52.89%,4545,,Taliyah,52.57%,4567,,Mel,51.40%,23319,,Neeko,51.21%,2113,,Sylas,51.09%,20587,,Ryze,50.74%,7879,,Orianna,50.70%,13818,,Lissandra,50.55%,6977,,Qiyana,50.37%,6248,,Yone,50.18%,19859,,Zed,49.99%,19913,,Talon,49.82%,4330,,Hwei,49.77%,9739,,Aurora,49.72%,7050,,Zoe,49.57%,11285,,Galio,49.14%,11243,,Akshan,49.13%,8188,,Leblanc,49.11%,12779,,TwistedFate,49.10%,8786,,Syndra,48.78%,17269,,Anivia,48.68%,7270,,Jayce,48.67%,2073,,Ziggs,48.46%,3745,,Ahri,48.40%,30391,,Katarina,48.34%,22110,,Vladimir,48.29%,8718,,Ekko,48.21%,11368,,Viktor,48.12%,17959,,Akali,48.05%,22150,,Kassadin,48.01%,7651,,Morgana,47.85%,6869,,AurelionSol,47.78%,8255,,Irelia,47.71%,8650,,Brand,47.70%,4327,,Cassiopeia,47.57%,4648,,Veigar,47.55%,21576,,Kayle,47.50%,3880,,Velkoz,47.34%,4461,,Lux,47.16%,16540,,Vex,47.13%,10490,,Swain,47.12%,6297,,Yasuo,46.99%,29405,,Pantheon,46.92%,2321,,Kennen,46.87%,2831,,Chogath,46.69%,2463,,Malzahar,46.62%,25633,,Annie,46.42%,4785,,Fizz,46.33%,17971,,Xerath,46.32%,11713,,Heimerdinger,45.88%,2027,,Naafiri,45.58%,8903,,Malphite,44.91%,4378,,Diana,44.73%,14620,
