champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_mid_1_name,matchup_mid_1_winrate,matchup_mid_1_games,matchup_mid_1_lane_quality,matchup_mid_2_name,matchup_mid_2_winrate,matchup_mid_2_games,matchup_mid_2_lane_quality,matchup_mid_3_name,matchup_mid_3_winrate,matchup_mid_3_games,matchup_mid_3_lane_quality,matchup_mid_4_name,matchup_mid_4_winrate,matchup_mid_4_games,matchup_mid_4_lane_quality,matchup_mid_5_name,matchup_mid_5_winrate,matchup_mid_5_games,matchup_mid_5_lane_quality,matchup_mid_6_name,matchup_mid_6_winrate,matchup_mid_6_games,matchup_mid_6_lane_quality,matchup_mid_7_name,matchup_mid_7_winrate,matchup_mid_7_games,matchup_mid_7_lane_quality,matchup_mid_8_name,matchup_mid_8_winrate,matchup_mid_8_games,matchup_mid_8_lane_quality,matchup_mid_9_name,matchup_mid_9_winrate,matchup_mid_9_games,matchup_mid_9_lane_quality,matchup_mid_10_name,matchup_mid_10_winrate,matchup_mid_10_games,matchup_mid_10_lane_quality,matchup_mid_11_name,matchup_mid_11_winrate,matchup_mid_11_games,matchup_mid_11_lane_quality,matchup_mid_12_name,matchup_mid_12_winrate,matchup_mid_12_games,matchup_mid_12_lane_quality,matchup_mid_13_name,matchup_mid_13_winrate,matchup_mid_13_games,matchup_mid_13_lane_quality,matchup_mid_14_name,matchup_mid_14_winrate,matchup_mid_14_games,matchup_mid_14_lane_quality,matchup_mid_15_name,matchup_mid_15_winrate,matchup_mid_15_games,matchup_mid_15_lane_quality,matchup_mid_16_name,matchup_mid_16_winrate,matchup_mid_16_games,matchup_mid_16_lane_quality,matchup_mid_17_name,matchup_mid_17_winrate,matchup_mid_17_games,matchup_mid_17_lane_quality,matchup_mid_18_name,matchup_mid_18_winrate,matchup_mid_18_games,matchup_mid_18_lane_quality,matchup_mid_19_name,matchup_mid_19_winrate,matchup_mid_19_games,matchup_mid_19_lane_quality,matchup_mid_20_name,matchup_mid_20_winrate,matchup_mid_20_games,matchup_mid_20_lane_quality,matchup_mid_21_name,matchup_mid_21_winrate,matchup_mid_21_games,matchup_mid_21_lane_quality,matchup_mid_22_name,matchup_mid_22_winrate,matchup_mid_22_games,matchup_mid_22_lane_quality,matchup_mid_23_name,matchup_mid_23_winrate,matchup_mid_23_games,matchup_mid_23_lane_quality,matchup_mid_24_name,matchup_mid_24_winrate,matchup_mid_24_games,matchup_mid_24_lane_quality,matchup_mid_25_name,matchup_mid_25_winrate,matchup_mid_25_games,matchup_mid_25_lane_quality,matchup_mid_26_name,matchup_mid_26_winrate,matchup_mid_26_games,matchup_mid_26_lane_quality,matchup_mid_27_name,matchup_mid_27_winrate,matchup_mid_27_games,matchup_mid_27_lane_quality,matchup_mid_28_name,matchup_mid_28_winrate,matchup_mid_28_games,matchup_mid_28_lane_quality,matchup_mid_29_name,matchup_mid_29_winrate,matchup_mid_29_games,matchup_mid_29_lane_quality,matchup_mid_30_name,matchup_mid_30_winrate,matchup_mid_30_games,matchup_mid_30_lane_quality,matchup_mid_31_name,matchup_mid_31_winrate,matchup_mid_31_games,matchup_mid_31_lane_quality,matchup_mid_32_name,matchup_mid_32_winrate,matchup_mid_32_games,matchup_mid_32_lane_quality,matchup_mid_33_name,matchup_mid_33_winrate,matchup_mid_33_games,matchup_mid_33_lane_quality,matchup_mid_34_name,matchup_mid_34_winrate,matchup_mid_34_games,matchup_mid_34_lane_quality,matchup_mid_35_name,matchup_mid_35_winrate,matchup_mid_35_games,matchup_mid_35_lane_quality,matchup_mid_36_name,matchup_mid_36_winrate,matchup_mid_36_games,matchup_mid_36_lane_quality,matchup_mid_37_name,matchup_mid_37_winrate,matchup_mid_37_games,matchup_mid_37_lane_quality,matchup_mid_38_name,matchup_mid_38_winrate,matchup_mid_38_games,matchup_mid_38_lane_quality,matchup_mid_39_name,matchup_mid_39_winrate,matchup_mid_39_games,matchup_mid_39_lane_quality,matchup_mid_40_name,matchup_mid_40_winrate,matchup_mid_40_games,matchup_mid_40_lane_quality,matchup_mid_41_name,matchup_mid_41_winrate,matchup_mid_41_games,matchup_mid_41_lane_quality,matchup_mid_42_name,matchup_mid_42_winrate,matchup_mid_42_games,matchup_mid_42_lane_quality,matchup_mid_43_name,matchup_mid_43_winrate,matchup_mid_43_games,matchup_mid_43_lane_quality,matchup_mid_44_name,matchup_mid_44_winrate,matchup_mid_44_games,matchup_mid_44_lane_quality,matchup_mid_45_name,matchup_mid_45_winrate,matchup_mid_45_games,matchup_mid_45_lane_quality,matchup_mid_46_name,matchup_mid_46_winrate,matchup_mid_46_games,matchup_mid_46_lane_quality,matchup_mid_47_name,matchup_mid_47_winrate,matchup_mid_47_games,matchup_mid_47_lane_quality,matchup_mid_48_name,matchup_mid_48_winrate,matchup_mid_48_games,matchup_mid_48_lane_quality,matchup_mid_49_name,matchup_mid_49_winrate,matchup_mid_49_games,matchup_mid_49_lane_quality,matchup_mid_50_name,matchup_mid_50_winrate,matchup_mid_50_games,matchup_mid_50_lane_quality,matchup_mid_51_name,matchup_mid_51_winrate,matchup_mid_51_games,matchup_mid_51_lane_quality,matchup_mid_52_name,matchup_mid_52_winrate,matchup_mid_52_games,matchup_mid_52_lane_quality
Vel'Koz,mid,27.6%,C,19 / 47,51.8 %,1.4 %,1.8 %,338846,https://dpm.lol/champions/Velkoz/build?lane=middle&tier=all&platform=all&timeframe=15.24,False,Smolder,58.00%,1926,Good Lane,Chogath,56.60%,1212,Good Lane,Taliyah,56.05%,2248,Good Lane,Azir,55.51%,3169,Good Lane,Cassiopeia,55.19%,3629,Good Lane,Orianna,55.08%,9203,Good Lane,Mel,54.86%,13464,Bad Lane,Galio,54.84%,5852,Good Lane,Ryze,54.77%,4838,Good Lane,Neeko,54.52%,1117,Good Lane,Annie,54.34%,2788,Good Lane,Sylas,53.96%,9756,Good Lane,Talon,53.95%,1935,Average,Vex,53.79%,6090,Good Lane,Kennen,53.00%,1949,Good Lane,Lissandra,52.93%,3554,Good Lane,Ziggs,52.89%,2352,Bad Lane,Qiyana,52.73%,3163,Average,Aurora,52.58%,4285,Average,Vladimir,52.45%,5155,Good Lane,Viktor,52.33%,12353,Average,Zoe,52.30%,6017,Bad Lane,Swain,52.21%,3842,Good Lane,Yone,52.13%,8810,Good Lane,Malphite,52.02%,1807,Good Lane,TwistedFate,51.79%,4140,Average,Anivia,51.75%,4497,Average,Akali,51.70%,9863,Bad Lane,Irelia,51.66%,4251,Bad Lane,Syndra,51.65%,11420,Bad Lane,Hwei,51.61%,5844,Average,Lux,51.25%,10449,Good Lane,Brand,51.23%,2528,Good Lane,AurelionSol,51.22%,4934,Good Lane,Veigar,51.17%,13377,Good Lane,Akshan,50.89%,4527,Bad Lane,Kayle,50.80%,2061,Good Lane,Zed,50.61%,8860,Bad Lane,Morgana,50.22%,3670,Average,Ahri,50.08%,16478,Average,Diana,49.98%,7377,Bad Lane,Malzahar,49.95%,17238,Bad Lane,Yasuo,49.91%,13273,Bad Lane,Ekko,49.65%,5917,Bad Lane,Katarina,49.61%,11146,Bad Lane,Leblanc,49.25%,6788,Bad Lane,Kassadin,49.19%,3806,Good Lane,Xerath,48.86%,8000,Bad Lane,Fizz,47.96%,8967,Bad Lane,Naafiri,47.52%,4716,Bad Lane,,,,,,,,
Karma,sup,93.1%,C,21 / 39,50.3 %,5.9 %,2.9 %,1427144,https://dpm.lol/champions/Karma/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Azir,55.29%,15732,,Mel,54.12%,52207,,Taliyah,53.61%,11050,,Smolder,52.85%,9542,,Orianna,51.92%,36877,,Ziggs,51.89%,7238,,Aurora,51.62%,16723,,Yone,51.51%,41448,,Sylas,51.45%,43665,,Hwei,51.35%,23624,,Zoe,51.31%,26855,,Akshan,51.24%,19287,,Vladimir,51.10%,23640,,Ryze,51.07%,21109,,Zed,51.02%,47071,,Leblanc,50.56%,32207,,TwistedFate,50.52%,22225,,Viktor,50.48%,46694,,Akali,50.47%,49646,,Galio,50.35%,26232,,Yasuo,50.34%,65279,,Qiyana,50.23%,15089,,Annie,50.05%,10989,,Syndra,50.03%,43548,,Xerath,49.97%,25638,,Lissandra,49.88%,18684,,Vex,49.60%,21603,,Veigar,49.49%,40236,,Ahri,49.36%,66798,,Jayce,49.35%,5175,,Ekko,49.32%,23867,,AurelionSol,49.28%,16663,,Malzahar,49.27%,54780,,Irelia,49.26%,20404,,Chogath,49.22%,4850,,Talon,49.14%,10933,,Fizz,49.11%,36848,,Katarina,49.05%,52319,,Neeko,49.02%,4335,,Anivia,48.85%,18009,,Lux,48.81%,37555,,Brand,48.71%,8360,,Swain,48.58%,13745,,Malphite,48.44%,9216,,Pantheon,48.28%,5507,,Morgana,48.28%,16671,,Diana,48.09%,30504,,Kassadin,48.00%,19192,,Velkoz,47.85%,10037,,Kennen,47.80%,6146,,Kayle,47.78%,9116,,Naafiri,47.31%,18253,
Kog'Maw,adc,86.8%,C,12 / 26,51.9 %,1.6 %,0.6 %,386018,https://dpm.lol/champions/KogMaw/build?lane=bottom&tier=all&platform=all&timeframe=15.24,False,Azir,57.69%,3692,,Mel,55.07%,14749,,Qiyana,54.31%,3480,,Zoe,54.26%,6688,,Ryze,54.21%,4781,,Taliyah,53.92%,2396,,Orianna,53.82%,7830,,Akshan,53.78%,5125,,Zed,53.67%,12030,,Talon,53.66%,2473,,Smolder,53.24%,2748,,Kassadin,53.21%,4783,,Sylas,53.16%,11536,,Annie,53.14%,3041,,Akali,53.11%,13843,,Vex,53.05%,6522,,Katarina,52.97%,14311,,TwistedFate,52.92%,4849,,Leblanc,52.74%,7582,,Aurora,52.74%,4403,,Vladimir,52.62%,6232,,Cassiopeia,52.47%,3076,,Chogath,52.35%,1662,,Neeko,52.29%,1222,,Irelia,52.18%,5774,,Yone,52.12%,11981,,Swain,51.63%,4160,,Fizz,51.46%,11046,,Hwei,51.28%,5926,,Galio,51.18%,6948,,Ahri,51.08%,18721,,Syndra,50.95%,10722,,Yasuo,50.78%,18811,,Diana,50.65%,9041,,Brand,50.51%,2552,,Lux,50.48%,10176,,Viktor,50.47%,9921,,Naafiri,50.41%,5257,,Velkoz,50.38%,2751,,Morgana,50.23%,4065,,Kennen,50.22%,1814,,Malphite,50.14%,2784,,Veigar,50.03%,13609,,Ekko,49.90%,6822,,Malzahar,49.76%,16073,,AurelionSol,49.43%,5043,,Ziggs,49.18%,2208,,Xerath,49.12%,6643,,Anivia,48.79%,4542,,Heimerdinger,48.44%,1317,,Kayle,48.24%,2469,,Pantheon,48.01%,1481,
Ziggs,adc,59.8%,C,13 / 26,51.7 %,2.1 %,1.2 %,512685,https://dpm.lol/champions/Ziggs/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Azir,57.04%,4972,,Mel,56.43%,19806,,Smolder,55.40%,3525,,Taliyah,54.71%,3515,,Orianna,54.48%,10970,,Annie,53.64%,3764,,Jayce,53.33%,1669,,Qiyana,53.19%,4798,,Lissandra,53.08%,5967,,TwistedFate,52.93%,7058,,Zoe,52.85%,8871,,Cassiopeia,52.48%,3727,,Aurora,52.41%,5745,,Sylas,52.33%,16588,,Syndra,52.32%,13268,,Katarina,52.28%,17727,,Akshan,52.27%,6153,,Veigar,52.10%,17242,,Zed,52.09%,16163,,Hwei,52.08%,8022,,Yone,52.05%,16916,,Kennen,51.92%,2396,,Akali,51.66%,19591,,Vex,51.53%,9367,,Yasuo,51.45%,23907,,Viktor,51.36%,14082,,Lux,51.26%,13812,,Anivia,51.17%,5708,,Heimerdinger,51.07%,1721,,Galio,51.06%,10819,,Leblanc,50.99%,10857,,Ekko,50.86%,9018,,Naafiri,50.75%,6926,,Ahri,50.70%,25056,,Malzahar,50.57%,20567,,Neeko,50.57%,1679,,Malphite,50.49%,4070,,AurelionSol,50.46%,6254,,Fizz,50.38%,14998,,Xerath,50.13%,9825,,Diana,50.01%,11927,,Vladimir,49.99%,6961,,Irelia,49.84%,7395,,Pantheon,49.42%,2064,,Talon,49.34%,3401,,Velkoz,49.27%,3688,,Brand,49.13%,3554,,Kassadin,49.12%,6081,,Morgana,48.76%,5357,,Swain,48.18%,4973,,Chogath,47.26%,1877,,Kayle,47.18%,3050,
Tristana,adc,91.9%,C,14 / 26,49.6 %,7.7 %,4.0 %,1851544,https://dpm.lol/champions/Tristana/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Azir,54.78%,18066,,Zoe,52.20%,31699,,Orianna,52.16%,38694,,Mel,51.84%,68244,,Taliyah,51.60%,13291,,Smolder,51.47%,13005,,Qiyana,51.45%,17493,,Yone,51.23%,60190,,Zed,51.18%,59329,,Ryze,51.08%,23101,,TwistedFate,51.07%,24083,,Aurora,51.01%,20313,,Irelia,50.94%,26857,,Leblanc,50.82%,37225,,Akshan,50.81%,24023,,Katarina,50.56%,67550,,Hwei,50.55%,28099,,Sylas,50.50%,56674,,Neeko,50.47%,6174,,Lissandra,50.14%,22416,,Galio,50.03%,32404,,Talon,49.93%,12446,,Akali,49.88%,68199,,Yasuo,49.52%,91405,,Anivia,49.36%,20881,,Kassadin,49.32%,21870,,AurelionSol,49.26%,23230,,Ziggs,49.11%,10712,,Velkoz,49.01%,13574,,Cassiopeia,48.96%,15050,,Viktor,48.94%,48915,,Kennen,48.81%,8957,,Annie,48.71%,14357,,Ahri,48.70%,90006,,Pantheon,48.57%,7156,,Ekko,48.56%,33509,,Lux,48.49%,48694,,Syndra,48.47%,50223,,Fizz,48.47%,54794,,Diana,47.96%,44531,,Brand,47.86%,12741,,Chogath,47.81%,6693,,Vex,47.74%,32652,,Xerath,47.68%,31988,,Naafiri,47.63%,26268,,Morgana,47.37%,19389,,Malzahar,46.87%,76109,,Kayle,46.85%,11507,,Malphite,46.80%,13174,,Swain,46.40%,18678,,Veigar,46.26%,65901,,Heimerdinger,45.61%,6459,
