champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_mid_1_name,matchup_mid_1_winrate,matchup_mid_1_games,matchup_mid_1_lane_quality,matchup_mid_2_name,matchup_mid_2_winrate,matchup_mid_2_games,matchup_mid_2_lane_quality,matchup_mid_3_name,matchup_mid_3_winrate,matchup_mid_3_games,matchup_mid_3_lane_quality,matchup_mid_4_name,matchup_mid_4_winrate,matchup_mid_4_games,matchup_mid_4_lane_quality,matchup_mid_5_name,matchup_mid_5_winrate,matchup_mid_5_games,matchup_mid_5_lane_quality,matchup_mid_6_name,matchup_mid_6_winrate,matchup_mid_6_games,matchup_mid_6_lane_quality,matchup_mid_7_name,matchup_mid_7_winrate,matchup_mid_7_games,matchup_mid_7_lane_quality,matchup_mid_8_name,matchup_mid_8_winrate,matchup_mid_8_games,matchup_mid_8_lane_quality,matchup_mid_9_name,matchup_mid_9_winrate,matchup_mid_9_games,matchup_mid_9_lane_quality,matchup_mid_10_name,matchup_mid_10_winrate,matchup_mid_10_games,matchup_mid_10_lane_quality,matchup_mid_11_name,matchup_mid_11_winrate,matchup_mid_11_games,matchup_mid_11_lane_quality,matchup_mid_12_name,matchup_mid_12_winrate,matchup_mid_12_games,matchup_mid_12_lane_quality,matchup_mid_13_name,matchup_mid_13_winrate,matchup_mid_13_games,matchup_mid_13_lane_quality,matchup_mid_14_name,matchup_mid_14_winrate,matchup_mid_14_games,matchup_mid_14_lane_quality,matchup_mid_15_name,matchup_mid_15_winrate,matchup_mid_15_games,matchup_mid_15_lane_quality,matchup_mid_16_name,matchup_mid_16_winrate,matchup_mid_16_games,matchup_mid_16_lane_quality,matchup_mid_17_name,matchup_mid_17_winrate,matchup_mid_17_games,matchup_mid_17_lane_quality,matchup_mid_18_name,matchup_mid_18_winrate,matchup_mid_18_games,matchup_mid_18_lane_quality,matchup_mid_19_name,matchup_mid_19_winrate,matchup_mid_19_games,matchup_mid_19_lane_quality,matchup_mid_20_name,matchup_mid_20_winrate,matchup_mid_20_games,matchup_mid_20_lane_quality,matchup_mid_21_name,matchup_mid_21_winrate,matchup_mid_21_games,matchup_mid_21_lane_quality,matchup_mid_22_name,matchup_mid_22_winrate,matchup_mid_22_games,matchup_mid_22_lane_quality,matchup_mid_23_name,matchup_mid_23_winrate,matchup_mid_23_games,matchup_mid_23_lane_quality,matchup_mid_24_name,matchup_mid_24_winrate,matchup_mid_24_games,matchup_mid_24_lane_quality,matchup_mid_25_name,matchup_mid_25_winrate,matchup_mid_25_games,matchup_mid_25_lane_quality,matchup_mid_26_name,matchup_mid_26_winrate,matchup_mid_26_games,matchup_mid_26_lane_quality,matchup_mid_27_name,matchup_mid_27_winrate,matchup_mid_27_games,matchup_mid_27_lane_quality,matchup_mid_28_name,matchup_mid_28_winrate,matchup_mid_28_games,matchup_mid_28_lane_quality,matchup_mid_29_name,matchup_mid_29_winrate,matchup_mid_29_games,matchup_mid_29_lane_quality,matchup_mid_30_name,matchup_mid_30_winrate,matchup_mid_30_games,matchup_mid_30_lane_quality,matchup_mid_31_name,matchup_mid_31_winrate,matchup_mid_31_games,matchup_mid_31_lane_quality,matchup_mid_32_name,matchup_mid_32_winrate,matchup_mid_32_games,matchup_mid_32_lane_quality,matchup_mid_33_name,matchup_mid_33_winrate,matchup_mid_33_games,matchup_mid_33_lane_quality,matchup_mid_34_name,matchup_mid_34_winrate,matchup_mid_34_games,matchup_mid_34_lane_quality,matchup_mid_35_name,matchup_mid_35_winrate,matchup_mid_35_games,matchup_mid_35_lane_quality,matchup_mid_36_name,matchup_mid_36_winrate,matchup_mid_36_games,matchup_mid_36_lane_quality,matchup_mid_37_name,matchup_mid_37_winrate,matchup_mid_37_games,matchup_mid_37_lane_quality,matchup_mid_38_name,matchup_mid_38_winrate,matchup_mid_38_games,matchup_mid_38_lane_quality,matchup_mid_39_name,matchup_mid_39_winrate,matchup_mid_39_games,matchup_mid_39_lane_quality,matchup_mid_40_name,matchup_mid_40_winrate,matchup_mid_40_games,matchup_mid_40_lane_quality,matchup_mid_41_name,matchup_mid_41_winrate,matchup_mid_41_games,matchup_mid_41_lane_quality,matchup_mid_42_name,matchup_mid_42_winrate,matchup_mid_42_games,matchup_mid_42_lane_quality,matchup_mid_43_name,matchup_mid_43_winrate,matchup_mid_43_games,matchup_mid_43_lane_quality,matchup_mid_44_name,matchup_mid_44_winrate,matchup_mid_44_games,matchup_mid_44_lane_quality,matchup_mid_45_name,matchup_mid_45_winrate,matchup_mid_45_games,matchup_mid_45_lane_quality,matchup_mid_46_name,matchup_mid_46_winrate,matchup_mid_46_games,matchup_mid_46_lane_quality,matchup_mid_47_name,matchup_mid_47_winrate,matchup_mid_47_games,matchup_mid_47_lane_quality,matchup_mid_48_name,matchup_mid_48_winrate,matchup_mid_48_games,matchup_mid_48_lane_quality,matchup_mid_49_name,matchup_mid_49_winrate,matchup_mid_49_games,matchup_mid_49_lane_quality,matchup_mid_50_name,matchup_mid_50_winrate,matchup_mid_50_games,matchup_mid_50_lane_quality,matchup_mid_51_name,matchup_mid_51_winrate,matchup_mid_51_games,matchup_mid_51_lane_quality,matchup_mid_52_name,matchup_mid_52_winrate,matchup_mid_52_games,matchup_mid_52_lane_quality
Malphite,jun,35.4%,S,6 / 52,51.5 %,6.1 %,27.2 %,1457774,https://dpm.lol/champions/Malphite/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Azir,56.70%,14694,,Akshan,55.92%,16315,,Qiyana,54.82%,13235,,Zoe,54.51%,24132,,Zed,54.13%,47204,,Smolder,54.12%,9970,,Mel,54.08%,53713,,Taliyah,53.84%,9003,,Yone,53.71%,49156,,Orianna,53.71%,29719,,Neeko,53.55%,4614,,Talon,53.50%,9208,,TwistedFate,53.28%,18516,,Yasuo,53.27%,68639,,Irelia,53.21%,20413,,Katarina,53.07%,48928,,Annie,53.00%,11160,,Leblanc,52.71%,29314,,Aurora,52.53%,16295,,Vex,52.11%,24544,,Heimerdinger,52.09%,4907,,Akali,51.72%,52058,,Pantheon,51.54%,6057,,Syndra,51.50%,36535,,Ahri,51.45%,70842,,Ryze,51.43%,18557,,Fizz,51.22%,41801,,Naafiri,51.18%,18946,,Hwei,51.14%,22143,,Galio,51.08%,28829,,Kennen,50.93%,6413,,Ekko,50.89%,25306,,Veigar,50.80%,51704,,Cassiopeia,50.68%,11368,,Kayle,50.21%,7528,,Diana,50.21%,33726,,Lux,50.17%,37828,,Ziggs,49.96%,8091,,Malzahar,49.72%,60908,,Xerath,49.70%,24918,,Viktor,49.67%,39452,,Chogath,49.66%,5967,,Vladimir,49.47%,22770,,Anivia,49.26%,16856,,AurelionSol,49.18%,18907,,Kassadin,48.82%,17243,,Brand,48.76%,10175,,Morgana,48.62%,16716,,Velkoz,48.52%,10118,,Sion,47.60%,4418,,Sylas,46.33%,69354,,Swain,44.15%,14780,
Morgana,sup,74.9%,S,3 / 39,50.9 %,8.1 %,27.0 %,1940416,https://dpm.lol/champions/Morgana/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Azir,55.19%,17475,,Taliyah,54.98%,11181,,Qiyana,54.33%,17357,,Zoe,53.71%,32551,,Neeko,52.98%,7058,,Mel,52.78%,70125,,Orianna,52.68%,37362,,TwistedFate,52.53%,23252,,Zed,52.38%,63293,,Sylas,52.34%,58715,,Yone,52.21%,67016,,Akali,52.12%,73700,,Annie,51.98%,15565,,Ryze,51.92%,22841,,Leblanc,51.89%,38974,,Cassiopeia,51.85%,14792,,Aurora,51.77%,21000,,Galio,51.58%,36695,,Smolder,51.54%,11846,,Katarina,51.36%,68788,,Yasuo,51.34%,101756,,Talon,51.26%,12187,,Irelia,51.10%,29163,,Lissandra,51.08%,22541,,Hwei,50.90%,28017,,Kassadin,50.87%,22051,,Ekko,50.77%,35109,,Akshan,50.62%,23076,,Ahri,50.61%,95441,,Syndra,50.36%,46631,,Kennen,50.31%,9221,,Vex,50.26%,36086,,Anivia,50.25%,20748,,Veigar,50.07%,78559,,Vladimir,50.06%,28050,,Chogath,50.04%,6981,,Swain,49.97%,20152,,Fizz,49.82%,60624,,AurelionSol,49.78%,24373,,Brand,49.76%,15065,,Ziggs,49.68%,11931,,Lux,49.49%,61341,,Viktor,49.45%,48092,,Velkoz,49.45%,13849,,Malphite,49.21%,14805,,Diana,48.84%,48337,,Pantheon,48.83%,8314,,Malzahar,48.66%,83966,,Heimerdinger,48.42%,7596,,Xerath,48.19%,33967,,Naafiri,46.59%,27802,,Kayle,46.04%,10646,
Teemo,sup,16.0%,S,4 / 39,52.9 %,1.5 %,15.2 %,359652,https://dpm.lol/champions/Teemo/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Zoe,56.82%,5818,,Qiyana,56.58%,3383,,Azir,56.15%,3284,,Mel,56.05%,14240,,Akshan,55.78%,4469,,Taliyah,55.62%,2055,,Hwei,55.37%,5239,,Smolder,55.20%,2549,,TwistedFate,55.12%,4608,,Lissandra,54.81%,3992,,Talon,54.65%,2346,,Aurora,54.62%,3786,,Zed,54.54%,11573,,Leblanc,54.24%,7354,,Ekko,53.89%,6376,,Sylas,53.89%,9772,,Yone,53.67%,11872,,Orianna,53.59%,6720,,Neeko,53.56%,1221,,Ryze,53.53%,4164,,Veigar,53.11%,13425,,Akali,53.05%,13649,,Katarina,52.93%,12618,,Syndra,52.84%,9139,,Vex,52.71%,6547,,Kennen,52.57%,1870,,Ahri,52.39%,17721,,Vladimir,52.28%,4669,,Velkoz,52.28%,2722,,Yasuo,52.22%,18115,,Annie,52.21%,2756,,Cassiopeia,52.14%,2691,,Brand,51.80%,2836,,Fizz,51.71%,11051,,Ziggs,51.68%,2117,,Xerath,51.51%,6383,,Lux,51.29%,10086,,Galio,51.18%,6549,,Anivia,51.16%,3952,,Diana,51.13%,8523,,Pantheon,51.01%,1441,,Morgana,50.80%,4350,,AurelionSol,50.78%,4728,,Heimerdinger,50.59%,1429,,Kassadin,50.57%,3801,,Malphite,50.54%,2762,,Viktor,50.53%,8913,,Naafiri,50.53%,5324,,Malzahar,50.41%,15665,,Kayle,49.95%,2184,,Swain,49.32%,3836,,Chogath,49.18%,1472,
Lux,sup,65.7%,S,5 / 39,49.9 %,11.3 %,12.6 %,2703698,https://dpm.lol/champions/Lux/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Azir,55.08%,23774,,Taliyah,53.57%,14550,,Qiyana,52.43%,25066,,Smolder,52.38%,17093,,Orianna,52.23%,49667,,Mel,52.10%,102745,,Zoe,51.88%,47956,,Neeko,51.65%,10478,,Sylas,51.56%,86073,,Zed,51.18%,94531,,Annie,51.11%,21466,,Hwei,51.09%,37728,,Yone,50.97%,95670,,Leblanc,50.85%,56748,,Aurora,50.70%,29054,,TwistedFate,50.51%,32784,,Galio,50.49%,49615,,Akshan,50.46%,32295,,Cassiopeia,50.37%,19638,,Ryze,50.33%,29825,,Ziggs,50.28%,17523,,Akali,50.20%,108800,,Lissandra,50.13%,30405,,Katarina,49.96%,101651,,Chogath,49.88%,9924,,Ahri,49.80%,137500,,Veigar,49.52%,112092,,Ekko,49.48%,50741,,Talon,49.41%,17433,,Syndra,49.34%,64244,,Viktor,49.32%,62643,,Brand,49.29%,21819,,Heimerdinger,49.27%,10597,,Vex,49.15%,52362,,AurelionSol,49.06%,33728,,Morgana,49.04%,35552,,Irelia,49.01%,41391,,Anivia,48.96%,27194,,Kennen,48.82%,12772,,Vladimir,48.81%,36674,,Yasuo,48.77%,146291,,Velkoz,48.58%,20126,,Fizz,48.40%,91265,,Diana,48.36%,70129,,Kassadin,48.24%,30329,,Malzahar,48.08%,113736,,Pantheon,48.08%,11583,,Swain,47.84%,26160,,Xerath,47.68%,51436,,Malphite,47.20%,20852,,Kayle,46.85%,14127,,Naafiri,45.70%,40882,
Amumu,jun,88.0%,S,7 / 52,52.9 %,4.9 %,3.8 %,1173438,https://dpm.lol/champions/Amumu/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Azir,58.07%,10457,,Zoe,56.04%,18616,,Qiyana,55.96%,10183,,Mel,55.50%,44776,,TwistedFate,55.37%,13226,,Katarina,55.37%,42538,,Yone,55.32%,37395,,Akshan,55.24%,14895,,Akali,54.92%,42079,,Neeko,54.64%,4123,,Leblanc,54.59%,21689,,Zed,54.53%,36120,,Aurora,54.46%,12658,,Talon,54.27%,7139,,Taliyah,54.13%,6520,,Yasuo,54.11%,57622,,Smolder,54.00%,6983,,Orianna,53.85%,21386,,Lissandra,53.78%,13584,,Irelia,53.68%,16901,,Ryze,53.65%,12876,,Pantheon,53.18%,4710,,Ahri,53.04%,58504,,Vladimir,52.99%,17173,,Kennen,52.98%,5976,,Annie,52.87%,9433,,Ekko,52.64%,21211,,Sylas,52.40%,40531,,Diana,52.33%,29252,,Chogath,52.31%,4460,,Galio,52.21%,21476,,Cassiopeia,52.16%,9238,,Malphite,52.06%,8899,,Kassadin,51.56%,13527,,Hwei,51.45%,17523,,Anivia,51.36%,12900,,Syndra,51.31%,29925,,Fizz,51.24%,35607,,Ziggs,51.22%,6868,,AurelionSol,51.10%,15952,,Lux,50.96%,32826,,Naafiri,50.93%,17064,,Kayle,50.86%,7094,,Malzahar,50.81%,51714,,Veigar,50.70%,45881,,Xerath,50.60%,20019,,Brand,50.08%,8995,,Heimerdinger,50.08%,4475,,Morgana,49.61%,13373,,Viktor,49.60%,27673,,Velkoz,49.38%,8899,,Swain,48.03%,12618,
