champion_id,champion_name,patch,games_played,wins,bans,winrate,pickrate,banrate,opgg_winrate,opgg_pickrate,opgg_banrate,opgg_tier,top_games,jungle_games,mid_games,adc_games,support_games,updated_at,opgg_updated_at
133,Quinn,15.9,7,5,0,0.7142857142857143,0.01076923076923077,0.0,,,,,2,0,5,0,0,2025-12-10 14:32:18,
134,Syndra,15.9,7,5,9,0.7142857142857143,0.01076923076923077,0.013846153846153847,0.5032,0.0703,0.0183,A,0,0,7,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
7,LeBlanc,15.9,6,4,5,0.6666666666666666,0.009230769230769232,0.007692307692307693,0.514,0.0485,0.4743,A,0,0,6,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
54,Malphite,15.9,6,3,9,0.5,0.009230769230769232,0.013846153846153847,0.528,0.0761,0.1513,S,4,0,2,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
58,Renekton,15.9,6,2,10,0.3333333333333333,0.009230769230769232,0.015384615384615385,,,,,6,0,0,0,0,2025-12-10 14:32:18,
154,Zac,15.9,6,3,1,0.5,0.009230769230769232,0.0015384615384615385,0.4926,0.0268,0.0079,B,1,3,0,0,2,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
412,Thresh,15.9,6,5,4,0.8333333333333334,0.009230769230769232,0.006153846153846154,0.5051,0.1035,0.0526,A,0,0,0,0,6,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
517,Sylas,15.9,6,4,11,0.6666666666666666,0.009230769230769232,0.016923076923076923,0.5013,0.188,0.4148,S,0,1,4,0,1,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
526,Rell,15.9,6,0,9,0.0,0.009230769230769232,0.013846153846153847,0.5095,0.0524,0.0107,A,0,0,0,0,6,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
9,Fiddlesticks,15.9,5,3,15,0.6,0.007692307692307693,0.023076923076923078,0.4932,0.0135,0.0098,B,0,2,0,0,3,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
20,Nunu & Willump,15.9,5,3,1,0.6,0.007692307692307693,0.0015384615384615385,0.5141,0.018,0.0071,A,0,5,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
51,Caitlyn,15.9,5,1,5,0.2,0.007692307692307693,0.007692307692307693,0.4918,0.054,0.0305,B,0,0,0,5,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
53,Blitzcrank,15.9,5,3,11,0.6,0.007692307692307693,0.016923076923076923,0.4848,0.0923,0.1921,B,0,0,0,0,5,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
60,Elise,15.9,5,3,4,0.6,0.007692307692307693,0.006153846153846154,0.5531,0.045,0.0975,S,0,2,0,0,3,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
111,Nautilus,15.9,5,2,6,0.4,0.007692307692307693,0.009230769230769232,0.4925,0.1258,0.1054,A,0,0,0,1,4,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
122,Darius,15.9,5,2,12,0.4,0.007692307692307693,0.018461538461538463,,,,,5,0,0,0,0,2025-12-10 14:32:18,
164,Camille,15.9,5,1,2,0.2,0.007692307692307693,0.003076923076923077,,,,,5,0,0,0,0,2025-12-10 14:32:18,
201,Braum,15.9,5,3,8,0.6,0.007692307692307693,0.012307692307692308,0.5097,0.0917,0.0818,A,0,0,0,0,5,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
