elo,server,patch,label,name,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
TOUT,TOUT,16.3,62,Kha'Zix,jun,99.7%,B,49.5%,+0.1%,8.4%,755 535
TOUT,TOUT,16.3,63,Soraka,sup,98.0%,B,51.4%,-0.2%,4.6%,413 269
TOUT,TOUT,16.3,64,Kog'Maw,adc,85.8%,B,52.6%,-0.0%,1.6%,141 642
TOUT,TOUT,16.3,65,Aurelion Sol,mid,82.7%,B,52.0%,+0.2%,3.1%,278 819
TOUT,TOUT,16.3,66,Kayn,jun,94.7%,B,50.0%,+0.8%,7.9%,703 859
TOUT,TOUT,16.3,67,Seraphine,sup,90.7%,B,50.7%,+0.1%,6.9%,614 084
TOUT,TOUT,16.3,68,Xin Zhao,jun,90.6%,B,51.2%,+2.2%,5.4%,485 158
TOUT,TOUT,16.3,69,Shaco,jun,80.0%,B,49.7%,+0.2%,5.3%,471 325
TOUT,TOUT,16.3,70,Syndra,mid,95.0%,B,50.7%,+0.0%,5.6%,501 980
TOUT,TOUT,16.3,71,Akali,mid,77.8%,B,48.9%,+0.5%,7.6%,676 850
TOUT,TOUT,16.3,72,Ashe,adc,86.5%,B,50.1%,+0.0%,8.4%,747 482
TOUT,TOUT,16.3,73,Gwen,jun,40.7%,B,50.6%,-0.0%,2.9%,258 141
TOUT,TOUT,16.3,74,Samira,adc,98.6%,C,49.9%,-0.1%,5.5%,490 781
TOUT,TOUT,16.3,75,Lulu,sup,98.8%,C,49.7%,+0.1%,7.3%,655 064
TOUT,TOUT,16.3,76,Viktor,mid,95.3%,C,51.2%,+0.1%,4.6%,408 661
TOUT,TOUT,16.3,77,Kai'Sa,adc,97.3%,C,48.8%,+0.5%,14.5%,1 300 984
TOUT,TOUT,16.3,78,Nocturne,jun,97.4%,C,50.4%,-0.2%,5.1%,452 600
TOUT,TOUT,16.3,79,Sion,top,77.5%,C,51.2%,-0.1%,4.2%,377 913
TOUT,TOUT,16.3,80,Urgot,top,96.0%,C,51.5%,+0.1%,3.2%,286 213
TOUT,TOUT,16.3,81,Zed,mid,74.9%,C,48.9%,-0.2%,6.8%,606 512
TOUT,TOUT,16.3,82,Ekko,jun,54.4%,C,50.1%,-1.4%,4.8%,431 041
TOUT,TOUT,16.3,83,Swain,sup,52.3%,C,49.9%,-0.1%,4.9%,435 164
TOUT,TOUT,16.3,84,Darius,top,93.4%,C,48.6%,+0.2%,7.2%,646 208
TOUT,TOUT,16.3,85,Warwick,jun,81.3%,C,50.3%,+0.1%,4.8%,427 262
TOUT,TOUT,16.3,86,Irelia,top,56.3%,C,49.9%,-0.3%,3.8%,339 288
TOUT,TOUT,16.3,87,Kassadin,mid,96.2%,C,50.8%,-0.1%,3.6%,323 888
TOUT,TOUT,16.3,88,Taric,sup,93.7%,C,51.9%,-0.3%,1.5%,134 785
TOUT,TOUT,16.3,89,Yone,mid,58.9%,C,49.5%,+0.8%,7.0%,628 581
TOUT,TOUT,16.3,90,Ziggs,adc,58.6%,C,51.8%,-0.2%,1.8%,160 764
TOUT,TOUT,16.3,91,Katarina,mid,95.4%,C,49.1%,+0.2%,6.5%,580 540
TOUT,TOUT,16.3,92,Sivir,adc,98.9%,C,50.4%,-0.4%,5.1%,457 939
TOUT,TOUT,16.3,93,Pyke,sup,98.5%,C,49.0%,+0.2%,5.7%,508 390
TOUT,TOUT,16.3,94,Naafiri,jun,30.4%,C,49.9%,+1.8%,2.3%,208 625
TOUT,TOUT,16.3,95,Vex,mid,96.5%,C,50.7%,-0.0%,3.7%,333 875
TOUT,TOUT,16.3,96,Illaoi,top,96.6%,C,50.4%,+0.2%,2.9%,262 272
TOUT,TOUT,16.3,97,Maokai,sup,76.0%,C,51.7%,+1.1%,2.2%,196 436
TOUT,TOUT,16.3,98,Janna,sup,98.8%,C,51.4%,+0.2%,2.9%,255 099
TOUT,TOUT,16.3,99,Jarvan IV,jun,93.1%,C,50.8%,+0.1%,4.7%,423 361
TOUT,TOUT,16.3,100,Zac,jun,80.4%,C,51.2%,+0.1%,3.1%,280 052
TOUT,TOUT,16.3,101,Volibear,top,39.4%,C,49.6%,-1.5%,3.9%,346 741
TOUT,TOUT,16.3,102,Ekko,mid,43.3%,C,50.0%,-1.0%,3.8%,342 657
TOUT,TOUT,16.3,103,Irelia,mid,42.7%,C,49.9%,-0.9%,2.9%,257 668
TOUT,TOUT,16.3,104,Yone,top,39.4%,C,50.1%,+1.2%,4.7%,420 441
