champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_jun_1_name,synergy_jun_1_winrate,synergy_jun_1_games,synergy_jun_1_lane_quality,synergy_jun_2_name,synergy_jun_2_winrate,synergy_jun_2_games,synergy_jun_2_lane_quality,synergy_jun_3_name,synergy_jun_3_winrate,synergy_jun_3_games,synergy_jun_3_lane_quality,synergy_jun_4_name,synergy_jun_4_winrate,synergy_jun_4_games,synergy_jun_4_lane_quality,synergy_jun_5_name,synergy_jun_5_winrate,synergy_jun_5_games,synergy_jun_5_lane_quality,synergy_jun_6_name,synergy_jun_6_winrate,synergy_jun_6_games,synergy_jun_6_lane_quality,synergy_jun_7_name,synergy_jun_7_winrate,synergy_jun_7_games,synergy_jun_7_lane_quality,synergy_jun_8_name,synergy_jun_8_winrate,synergy_jun_8_games,synergy_jun_8_lane_quality,synergy_jun_9_name,synergy_jun_9_winrate,synergy_jun_9_games,synergy_jun_9_lane_quality,synergy_jun_10_name,synergy_jun_10_winrate,synergy_jun_10_games,synergy_jun_10_lane_quality,synergy_jun_11_name,synergy_jun_11_winrate,synergy_jun_11_games,synergy_jun_11_lane_quality,synergy_jun_12_name,synergy_jun_12_winrate,synergy_jun_12_games,synergy_jun_12_lane_quality,synergy_jun_13_name,synergy_jun_13_winrate,synergy_jun_13_games,synergy_jun_13_lane_quality,synergy_jun_14_name,synergy_jun_14_winrate,synergy_jun_14_games,synergy_jun_14_lane_quality,synergy_jun_15_name,synergy_jun_15_winrate,synergy_jun_15_games,synergy_jun_15_lane_quality,synergy_jun_16_name,synergy_jun_16_winrate,synergy_jun_16_games,synergy_jun_16_lane_quality,synergy_jun_17_name,synergy_jun_17_winrate,synergy_jun_17_games,synergy_jun_17_lane_quality,synergy_jun_18_name,synergy_jun_18_winrate,synergy_jun_18_games,synergy_jun_18_lane_quality,synergy_jun_19_name,synergy_jun_19_winrate,synergy_jun_19_games,synergy_jun_19_lane_quality,synergy_jun_20_name,synergy_jun_20_winrate,synergy_jun_20_games,synergy_jun_20_lane_quality,synergy_jun_21_name,synergy_jun_21_winrate,synergy_jun_21_games,synergy_jun_21_lane_quality,synergy_jun_22_name,synergy_jun_22_winrate,synergy_jun_22_games,synergy_jun_22_lane_quality,synergy_jun_23_name,synergy_jun_23_winrate,synergy_jun_23_games,synergy_jun_23_lane_quality,synergy_jun_24_name,synergy_jun_24_winrate,synergy_jun_24_games,synergy_jun_24_lane_quality,synergy_jun_25_name,synergy_jun_25_winrate,synergy_jun_25_games,synergy_jun_25_lane_quality,synergy_jun_26_name,synergy_jun_26_winrate,synergy_jun_26_games,synergy_jun_26_lane_quality,synergy_jun_27_name,synergy_jun_27_winrate,synergy_jun_27_games,synergy_jun_27_lane_quality,synergy_jun_28_name,synergy_jun_28_winrate,synergy_jun_28_games,synergy_jun_28_lane_quality,synergy_jun_29_name,synergy_jun_29_winrate,synergy_jun_29_games,synergy_jun_29_lane_quality,synergy_jun_30_name,synergy_jun_30_winrate,synergy_jun_30_games,synergy_jun_30_lane_quality,synergy_jun_31_name,synergy_jun_31_winrate,synergy_jun_31_games,synergy_jun_31_lane_quality,synergy_jun_32_name,synergy_jun_32_winrate,synergy_jun_32_games,synergy_jun_32_lane_quality,synergy_jun_33_name,synergy_jun_33_winrate,synergy_jun_33_games,synergy_jun_33_lane_quality,synergy_jun_34_name,synergy_jun_34_winrate,synergy_jun_34_games,synergy_jun_34_lane_quality,synergy_jun_35_name,synergy_jun_35_winrate,synergy_jun_35_games,synergy_jun_35_lane_quality,synergy_jun_36_name,synergy_jun_36_winrate,synergy_jun_36_games,synergy_jun_36_lane_quality,synergy_jun_37_name,synergy_jun_37_winrate,synergy_jun_37_games,synergy_jun_37_lane_quality,synergy_jun_38_name,synergy_jun_38_winrate,synergy_jun_38_games,synergy_jun_38_lane_quality,synergy_jun_39_name,synergy_jun_39_winrate,synergy_jun_39_games,synergy_jun_39_lane_quality,synergy_jun_40_name,synergy_jun_40_winrate,synergy_jun_40_games,synergy_jun_40_lane_quality,synergy_jun_41_name,synergy_jun_41_winrate,synergy_jun_41_games,synergy_jun_41_lane_quality,synergy_jun_42_name,synergy_jun_42_winrate,synergy_jun_42_games,synergy_jun_42_lane_quality,synergy_jun_43_name,synergy_jun_43_winrate,synergy_jun_43_games,synergy_jun_43_lane_quality,synergy_jun_44_name,synergy_jun_44_winrate,synergy_jun_44_games,synergy_jun_44_lane_quality,synergy_jun_45_name,synergy_jun_45_winrate,synergy_jun_45_games,synergy_jun_45_lane_quality,synergy_jun_46_name,synergy_jun_46_winrate,synergy_jun_46_games,synergy_jun_46_lane_quality,synergy_jun_47_name,synergy_jun_47_winrate,synergy_jun_47_games,synergy_jun_47_lane_quality,synergy_jun_48_name,synergy_jun_48_winrate,synergy_jun_48_games,synergy_jun_48_lane_quality,synergy_jun_49_name,synergy_jun_49_winrate,synergy_jun_49_games,synergy_jun_49_lane_quality,synergy_jun_50_name,synergy_jun_50_winrate,synergy_jun_50_games,synergy_jun_50_lane_quality,synergy_jun_51_name,synergy_jun_51_winrate,synergy_jun_51_games,synergy_jun_51_lane_quality,synergy_jun_52_name,synergy_jun_52_winrate,synergy_jun_52_games,synergy_jun_52_lane_quality,synergy_jun_53_name,synergy_jun_53_winrate,synergy_jun_53_games,synergy_jun_53_lane_quality,synergy_jun_54_name,synergy_jun_54_winrate,synergy_jun_54_games,synergy_jun_54_lane_quality,synergy_jun_55_name,synergy_jun_55_winrate,synergy_jun_55_games,synergy_jun_55_lane_quality,synergy_jun_56_name,synergy_jun_56_winrate,synergy_jun_56_games,synergy_jun_56_lane_quality,synergy_jun_57_name,synergy_jun_57_winrate,synergy_jun_57_games,synergy_jun_57_lane_quality,synergy_jun_58_name,synergy_jun_58_winrate,synergy_jun_58_games,synergy_jun_58_lane_quality,synergy_jun_59_name,synergy_jun_59_winrate,synergy_jun_59_games,synergy_jun_59_lane_quality,synergy_jun_60_name,synergy_jun_60_winrate,synergy_jun_60_games,synergy_jun_60_lane_quality,synergy_jun_61_name,synergy_jun_61_winrate,synergy_jun_61_games,synergy_jun_61_lane_quality,synergy_jun_62_name,synergy_jun_62_winrate,synergy_jun_62_games,synergy_jun_62_lane_quality
Rek'Sai,jun,82.1%,D,46 / 52,49.0 %,1.2 %,0.5 %,278046,https://dpm.lol/champions/RekSai/build?lane=jungle&tier=all&platform=all&timeframe=15.24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hecarim,jun,99.1%,D,47 / 52,48.5 %,2.3 %,1.2 %,560533,https://dpm.lol/champions/Hecarim/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mel,sup,35.6%,D,38 / 39,46.1 %,4.9 %,50.4 %,1174429,https://dpm.lol/champions/Mel/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,DrMundo,50.46%,22891,,Rammus,50.06%,14558,,Briar,49.63%,36504,,Amumu,49.58%,30771,,Nasus,49.11%,4740,,Warwick,48.73%,45721,,Volibear,48.40%,23829,,Trundle,48.21%,16041,,Jax,48.20%,38647,,Malphite,48.19%,37003,,Teemo,48.17%,7401,,Mordekaiser,47.58%,3756,,MonkeyKing,47.05%,16900,,Viego,46.91%,67107,,Shyvana,46.89%,8104,,Chogath,46.86%,6187,,JarvanIV,46.85%,25311,,Tryndamere,46.76%,3052,,Kayn,46.70%,55001,,Sejuani,46.69%,12999,,Nocturne,46.68%,30702,,MasterYi,46.47%,49892,,Diana,46.40%,36527,,XinZhao,46.21%,20215,,Ambessa,46.10%,6765,,Poppy,45.97%,3104,,Graves,45.96%,21467,,Nunu,45.96%,14472,,Lillia,45.69%,17552,,RekSai,45.65%,6068,,Khazix,45.64%,29639,,Belveth,45.59%,9858,,Ivern,45.53%,5319,,Aatrox,45.31%,19351,,Naafiri,45.18%,13816,,Ekko,45.13%,20099,,Udyr,45.00%,10277,,FiddleSticks,44.97%,12430,,Evelynn,44.96%,13976,,Zac,44.92%,13474,,Shaco,44.82%,32901,,Darius,44.82%,3061,,Elise,44.81%,8007,,Vi,44.70%,19610,,Jayce,44.56%,10192,,Talon,44.43%,14322,,LeeSin,44.40%,44691,,Zaahen,44.40%,16916,,Gwen,44.26%,4329,,Zed,44.10%,19173,,Kindred,43.91%,15230,,Karthus,43.82%,6476,,Sylas,43.69%,38151,,Gragas,43.54%,3002,,Pantheon,43.47%,10691,,Hecarim,43.09%,12530,,Nidalee,41.73%,8754,,Skarner,41.43%,4120,,Rengar,41.14%,21913,,Qiyana,39.92%,13330,,,,,,,,,
Smolder,mid,11.3%,D,44 / 47,48.2 %,1.3 %,4.7 %,318308,https://dpm.lol/champions/Smolder/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Amumu,52.16%,7604,,Rammus,52.13%,3242,,Warwick,51.67%,8531,,Briar,51.43%,7751,,Teemo,51.06%,2458,,Volibear,50.85%,5390,,Ivern,50.75%,1860,,DrMundo,50.73%,6196,,Morgana,50.55%,817,,Mordekaiser,50.45%,1120,,Malphite,50.43%,11080,,Evelynn,50.26%,5022,,Nunu,49.91%,4318,,Jax,49.89%,8454,,JarvanIV,49.78%,7489,,Trundle,49.58%,3237,,Sejuani,49.47%,3552,,Diana,49.19%,14833,,Naafiri,48.95%,3181,,Shaco,48.74%,7581,,Nocturne,48.67%,7132,,Viego,48.65%,13544,,MonkeyKing,48.46%,3929,,Elise,48.38%,3516,,Gwen,48.35%,1884,,Zac,48.35%,3992,,Kayn,48.34%,10810,,Lillia,48.32%,7293,,Sylas,48.32%,16520,,Ekko,48.30%,8120,,Shyvana,48.27%,2492,,Vi,48.15%,4158,,FiddleSticks,48.13%,4905,,Khazix,48.11%,7573,,RekSai,47.78%,1530,,Poppy,47.74%,863,,Udyr,47.64%,2878,,Gragas,47.45%,1197,,Skarner,47.37%,1045,,Nasus,47.36%,1195,,Talon,47.24%,3692,,XinZhao,47.15%,4488,,Brand,47.13%,766,,Chogath,46.91%,2117,,LeeSin,46.72%,11845,,MasterYi,46.37%,11090,,Jayce,46.34%,2881,,Belveth,46.20%,2355,,Aatrox,46.18%,5609,,Nidalee,46.07%,4257,,Graves,46.04%,7314,,Zyra,45.70%,1024,,Fizz,45.60%,1022,,Pantheon,45.57%,2440,,Zaahen,45.46%,3847,,Zed,45.12%,5470,,Karthus,45.07%,3024,,Hecarim,45.02%,3210,,Kindred,44.96%,3365,,Rengar,43.98%,5655,,Ambessa,43.94%,1734,,Qiyana,42.21%,3530,
Neeko,sup,78.7%,D,39 / 39,47.9 %,3.3 %,1.9 %,789240,https://dpm.lol/champions/Neeko/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,DrMundo,51.66%,15658,,Rammus,51.26%,8921,,Briar,51.02%,23543,,Warwick,50.29%,27428,,Amumu,50.27%,19348,,Teemo,50.19%,4734,,Jax,49.91%,24437,,Trundle,49.63%,10102,,Malphite,49.48%,24956,,MonkeyKing,49.48%,12165,,Ambessa,49.15%,5558,,MasterYi,49.05%,30361,,Viego,49.03%,45338,,Mordekaiser,48.86%,2544,,Diana,48.82%,24471,,JarvanIV,48.79%,18262,,Volibear,48.73%,14679,,Nasus,48.73%,2984,,Belveth,48.60%,6504,,XinZhao,48.60%,15356,,Lillia,48.32%,12489,,Sejuani,48.23%,8733,,Shyvana,48.17%,5092,,Ivern,48.04%,3605,,Aatrox,48.03%,15977,,Kayn,47.99%,33112,,Nocturne,47.90%,20067,,Jayce,47.87%,9811,,RekSai,47.71%,4622,,Elise,47.44%,5478,,Naafiri,47.37%,9224,,Evelynn,47.35%,9077,,Chogath,47.30%,4097,,Ekko,47.20%,13255,,LeeSin,47.18%,33441,,Udyr,47.03%,6642,,Sylas,46.85%,28269,,Vi,46.78%,13788,,Darius,46.78%,1894,,Nunu,46.77%,9742,,Kindred,46.72%,10137,,Zac,46.70%,9688,,Talon,46.59%,10576,,Shaco,46.58%,20042,,Zaahen,46.50%,11272,,Hecarim,46.45%,8478,,Khazix,46.40%,18415,,FiddleSticks,46.25%,8255,,Poppy,46.20%,2173,,Pantheon,46.15%,7651,,Karthus,46.09%,4587,,Zed,45.89%,12810,,Gragas,45.42%,1966,,Nidalee,44.83%,6964,,Gwen,44.82%,3048,,Skarner,43.53%,3005,,Rengar,43.17%,14263,,Qiyana,43.01%,10312,,,,,,,,,,,,,,,,,
