champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_jun_1_name,synergy_jun_1_winrate,synergy_jun_1_games,synergy_jun_1_lane_quality,synergy_jun_2_name,synergy_jun_2_winrate,synergy_jun_2_games,synergy_jun_2_lane_quality,synergy_jun_3_name,synergy_jun_3_winrate,synergy_jun_3_games,synergy_jun_3_lane_quality,synergy_jun_4_name,synergy_jun_4_winrate,synergy_jun_4_games,synergy_jun_4_lane_quality,synergy_jun_5_name,synergy_jun_5_winrate,synergy_jun_5_games,synergy_jun_5_lane_quality,synergy_jun_6_name,synergy_jun_6_winrate,synergy_jun_6_games,synergy_jun_6_lane_quality,synergy_jun_7_name,synergy_jun_7_winrate,synergy_jun_7_games,synergy_jun_7_lane_quality,synergy_jun_8_name,synergy_jun_8_winrate,synergy_jun_8_games,synergy_jun_8_lane_quality,synergy_jun_9_name,synergy_jun_9_winrate,synergy_jun_9_games,synergy_jun_9_lane_quality,synergy_jun_10_name,synergy_jun_10_winrate,synergy_jun_10_games,synergy_jun_10_lane_quality,synergy_jun_11_name,synergy_jun_11_winrate,synergy_jun_11_games,synergy_jun_11_lane_quality,synergy_jun_12_name,synergy_jun_12_winrate,synergy_jun_12_games,synergy_jun_12_lane_quality,synergy_jun_13_name,synergy_jun_13_winrate,synergy_jun_13_games,synergy_jun_13_lane_quality,synergy_jun_14_name,synergy_jun_14_winrate,synergy_jun_14_games,synergy_jun_14_lane_quality,synergy_jun_15_name,synergy_jun_15_winrate,synergy_jun_15_games,synergy_jun_15_lane_quality,synergy_jun_16_name,synergy_jun_16_winrate,synergy_jun_16_games,synergy_jun_16_lane_quality,synergy_jun_17_name,synergy_jun_17_winrate,synergy_jun_17_games,synergy_jun_17_lane_quality,synergy_jun_18_name,synergy_jun_18_winrate,synergy_jun_18_games,synergy_jun_18_lane_quality,synergy_jun_19_name,synergy_jun_19_winrate,synergy_jun_19_games,synergy_jun_19_lane_quality,synergy_jun_20_name,synergy_jun_20_winrate,synergy_jun_20_games,synergy_jun_20_lane_quality,synergy_jun_21_name,synergy_jun_21_winrate,synergy_jun_21_games,synergy_jun_21_lane_quality,synergy_jun_22_name,synergy_jun_22_winrate,synergy_jun_22_games,synergy_jun_22_lane_quality,synergy_jun_23_name,synergy_jun_23_winrate,synergy_jun_23_games,synergy_jun_23_lane_quality,synergy_jun_24_name,synergy_jun_24_winrate,synergy_jun_24_games,synergy_jun_24_lane_quality,synergy_jun_25_name,synergy_jun_25_winrate,synergy_jun_25_games,synergy_jun_25_lane_quality,synergy_jun_26_name,synergy_jun_26_winrate,synergy_jun_26_games,synergy_jun_26_lane_quality,synergy_jun_27_name,synergy_jun_27_winrate,synergy_jun_27_games,synergy_jun_27_lane_quality,synergy_jun_28_name,synergy_jun_28_winrate,synergy_jun_28_games,synergy_jun_28_lane_quality,synergy_jun_29_name,synergy_jun_29_winrate,synergy_jun_29_games,synergy_jun_29_lane_quality,synergy_jun_30_name,synergy_jun_30_winrate,synergy_jun_30_games,synergy_jun_30_lane_quality,synergy_jun_31_name,synergy_jun_31_winrate,synergy_jun_31_games,synergy_jun_31_lane_quality,synergy_jun_32_name,synergy_jun_32_winrate,synergy_jun_32_games,synergy_jun_32_lane_quality,synergy_jun_33_name,synergy_jun_33_winrate,synergy_jun_33_games,synergy_jun_33_lane_quality,synergy_jun_34_name,synergy_jun_34_winrate,synergy_jun_34_games,synergy_jun_34_lane_quality,synergy_jun_35_name,synergy_jun_35_winrate,synergy_jun_35_games,synergy_jun_35_lane_quality,synergy_jun_36_name,synergy_jun_36_winrate,synergy_jun_36_games,synergy_jun_36_lane_quality,synergy_jun_37_name,synergy_jun_37_winrate,synergy_jun_37_games,synergy_jun_37_lane_quality,synergy_jun_38_name,synergy_jun_38_winrate,synergy_jun_38_games,synergy_jun_38_lane_quality,synergy_jun_39_name,synergy_jun_39_winrate,synergy_jun_39_games,synergy_jun_39_lane_quality,synergy_jun_40_name,synergy_jun_40_winrate,synergy_jun_40_games,synergy_jun_40_lane_quality,synergy_jun_41_name,synergy_jun_41_winrate,synergy_jun_41_games,synergy_jun_41_lane_quality,synergy_jun_42_name,synergy_jun_42_winrate,synergy_jun_42_games,synergy_jun_42_lane_quality,synergy_jun_43_name,synergy_jun_43_winrate,synergy_jun_43_games,synergy_jun_43_lane_quality,synergy_jun_44_name,synergy_jun_44_winrate,synergy_jun_44_games,synergy_jun_44_lane_quality,synergy_jun_45_name,synergy_jun_45_winrate,synergy_jun_45_games,synergy_jun_45_lane_quality,synergy_jun_46_name,synergy_jun_46_winrate,synergy_jun_46_games,synergy_jun_46_lane_quality,synergy_jun_47_name,synergy_jun_47_winrate,synergy_jun_47_games,synergy_jun_47_lane_quality,synergy_jun_48_name,synergy_jun_48_winrate,synergy_jun_48_games,synergy_jun_48_lane_quality,synergy_jun_49_name,synergy_jun_49_winrate,synergy_jun_49_games,synergy_jun_49_lane_quality,synergy_jun_50_name,synergy_jun_50_winrate,synergy_jun_50_games,synergy_jun_50_lane_quality,synergy_jun_51_name,synergy_jun_51_winrate,synergy_jun_51_games,synergy_jun_51_lane_quality,synergy_jun_52_name,synergy_jun_52_winrate,synergy_jun_52_games,synergy_jun_52_lane_quality,synergy_jun_53_name,synergy_jun_53_winrate,synergy_jun_53_games,synergy_jun_53_lane_quality,synergy_jun_54_name,synergy_jun_54_winrate,synergy_jun_54_games,synergy_jun_54_lane_quality,synergy_jun_55_name,synergy_jun_55_winrate,synergy_jun_55_games,synergy_jun_55_lane_quality,synergy_jun_56_name,synergy_jun_56_winrate,synergy_jun_56_games,synergy_jun_56_lane_quality,synergy_jun_57_name,synergy_jun_57_winrate,synergy_jun_57_games,synergy_jun_57_lane_quality,synergy_jun_58_name,synergy_jun_58_winrate,synergy_jun_58_games,synergy_jun_58_lane_quality
Kennen,top,63.0%,D,36 / 50,50.0 %,1.8 %,1.2 %,429824,https://dpm.lol/champions/Kennen/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Nasus,53.58%,1622,,Darius,52.90%,1068,,DrMundo,52.81%,8985,,Briar,52.75%,12680,,XinZhao,52.50%,9015,,Warwick,52.38%,13813,,Graves,52.20%,8395,,JarvanIV,52.01%,12365,,Trundle,51.85%,5346,,Jax,51.68%,13296,,Jayce,51.68%,6269,,Viego,51.66%,25410,,MonkeyKing,51.37%,7460,,Aatrox,51.34%,9975,,Volibear,51.21%,7656,,MasterYi,51.04%,15743,,RekSai,50.90%,2953,,Zaahen,50.90%,7079,,Ambessa,50.81%,3629,,Rammus,50.68%,4860,,Kayn,50.53%,17543,,Talon,50.40%,7018,,Amumu,50.38%,10446,,Nocturne,50.38%,10467,,Malphite,50.20%,13561,,Belveth,50.15%,4082,,Naafiri,49.86%,5423,,LeeSin,49.79%,20078,,Vi,49.74%,7800,,Khazix,49.63%,10668,,Shyvana,49.62%,2658,,Ivern,49.40%,1917,,Mordekaiser,49.13%,1038,,Riven,49.07%,1188,,Udyr,48.96%,3852,,Kindred,48.92%,5409,,Sylas,48.88%,11938,,Poppy,48.65%,1404,,Chogath,48.50%,2301,,Nunu,48.39%,4522,,Zed,48.16%,7843,,Zac,48.06%,5685,,Teemo,48.02%,2195,,Ekko,48.00%,5783,,Hecarim,47.73%,5554,,Shaco,47.49%,10001,,Sejuani,47.47%,5016,,Pantheon,47.37%,4011,,Lillia,47.33%,5081,,Rengar,47.28%,8964,,Qiyana,46.44%,6408,,Evelynn,46.05%,3789,,Elise,45.85%,2796,,Gwen,45.80%,1273,,Karthus,45.77%,1962,,Skarner,45.49%,1706,,Nidalee,45.45%,2964,,FiddleSticks,45.10%,3816,
Evelynn,jun,97.2%,D,35 / 52,49.5 %,2.6 %,2.5 %,627301,https://dpm.lol/champions/Evelynn/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Udyr,jun,82.1%,D,36 / 52,50.0 %,1.9 %,0.9 %,445235,https://dpm.lol/champions/Udyr/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantheon,sup,45.7%,D,32 / 39,49.1 %,3.8 %,3.1 %,905339,https://dpm.lol/champions/Pantheon/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Zyra,52.92%,2447,,DrMundo,52.77%,16332,,Amumu,52.47%,23741,,Teemo,52.45%,6805,,Mordekaiser,52.36%,3163,,Briar,51.93%,26445,,Rammus,51.43%,10026,,Ivern,51.42%,5016,,Morgana,51.22%,2222,,Malphite,51.10%,28757,,FiddleSticks,50.76%,12680,,Zac,50.70%,11142,,Diana,50.50%,36282,,Jax,50.45%,26884,,Sejuani,50.43%,10124,,JarvanIV,50.32%,18831,,Warwick,50.31%,31060,,Shyvana,50.23%,6812,,Volibear,50.03%,17567,,Udyr,50.00%,8170,,Lillia,49.95%,18572,,MonkeyKing,49.93%,11710,,Nasus,49.71%,3418,,Ekko,49.67%,20143,,Trundle,49.51%,10508,,Kayn,49.38%,37200,,Poppy,49.36%,2263,,Viego,49.35%,48655,,XinZhao,49.34%,13560,,Nunu,49.28%,13041,,Chogath,49.17%,5322,,Karthus,49.14%,7155,,Elise,49.06%,9113,,Jayce,49.04%,8343,,Nocturne,48.85%,22075,,Gragas,48.74%,2702,,MasterYi,48.62%,34371,,Evelynn,48.41%,13424,,Khazix,48.25%,21511,,Hecarim,48.10%,9416,,Naafiri,48.10%,9398,,Aatrox,47.88%,14381,,Sylas,47.85%,36603,,RekSai,47.74%,4671,,Kindred,47.52%,11853,,Talon,47.51%,11207,,Shaco,47.47%,24674,,Vi,47.29%,13638,,Gwen,47.24%,4263,,Nidalee,47.21%,9661,,Ambessa,46.69%,5136,,Zaahen,46.64%,12085,,Belveth,46.60%,7476,,LeeSin,46.57%,32235,,Zed,46.28%,14106,,Skarner,44.97%,2913,,Qiyana,44.75%,10274,,Rengar,44.07%,16547,
Sejuani,jun,79.1%,D,37 / 52,49.9 %,2.2 %,0.3 %,516921,https://dpm.lol/champions/Sejuani/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
