champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_jun_1_name,synergy_jun_1_winrate,synergy_jun_1_games,synergy_jun_1_lane_quality,synergy_jun_2_name,synergy_jun_2_winrate,synergy_jun_2_games,synergy_jun_2_lane_quality,synergy_jun_3_name,synergy_jun_3_winrate,synergy_jun_3_games,synergy_jun_3_lane_quality,synergy_jun_4_name,synergy_jun_4_winrate,synergy_jun_4_games,synergy_jun_4_lane_quality,synergy_jun_5_name,synergy_jun_5_winrate,synergy_jun_5_games,synergy_jun_5_lane_quality,synergy_jun_6_name,synergy_jun_6_winrate,synergy_jun_6_games,synergy_jun_6_lane_quality,synergy_jun_7_name,synergy_jun_7_winrate,synergy_jun_7_games,synergy_jun_7_lane_quality,synergy_jun_8_name,synergy_jun_8_winrate,synergy_jun_8_games,synergy_jun_8_lane_quality,synergy_jun_9_name,synergy_jun_9_winrate,synergy_jun_9_games,synergy_jun_9_lane_quality,synergy_jun_10_name,synergy_jun_10_winrate,synergy_jun_10_games,synergy_jun_10_lane_quality,synergy_jun_11_name,synergy_jun_11_winrate,synergy_jun_11_games,synergy_jun_11_lane_quality,synergy_jun_12_name,synergy_jun_12_winrate,synergy_jun_12_games,synergy_jun_12_lane_quality,synergy_jun_13_name,synergy_jun_13_winrate,synergy_jun_13_games,synergy_jun_13_lane_quality,synergy_jun_14_name,synergy_jun_14_winrate,synergy_jun_14_games,synergy_jun_14_lane_quality,synergy_jun_15_name,synergy_jun_15_winrate,synergy_jun_15_games,synergy_jun_15_lane_quality,synergy_jun_16_name,synergy_jun_16_winrate,synergy_jun_16_games,synergy_jun_16_lane_quality,synergy_jun_17_name,synergy_jun_17_winrate,synergy_jun_17_games,synergy_jun_17_lane_quality,synergy_jun_18_name,synergy_jun_18_winrate,synergy_jun_18_games,synergy_jun_18_lane_quality,synergy_jun_19_name,synergy_jun_19_winrate,synergy_jun_19_games,synergy_jun_19_lane_quality,synergy_jun_20_name,synergy_jun_20_winrate,synergy_jun_20_games,synergy_jun_20_lane_quality,synergy_jun_21_name,synergy_jun_21_winrate,synergy_jun_21_games,synergy_jun_21_lane_quality,synergy_jun_22_name,synergy_jun_22_winrate,synergy_jun_22_games,synergy_jun_22_lane_quality,synergy_jun_23_name,synergy_jun_23_winrate,synergy_jun_23_games,synergy_jun_23_lane_quality,synergy_jun_24_name,synergy_jun_24_winrate,synergy_jun_24_games,synergy_jun_24_lane_quality,synergy_jun_25_name,synergy_jun_25_winrate,synergy_jun_25_games,synergy_jun_25_lane_quality,synergy_jun_26_name,synergy_jun_26_winrate,synergy_jun_26_games,synergy_jun_26_lane_quality,synergy_jun_27_name,synergy_jun_27_winrate,synergy_jun_27_games,synergy_jun_27_lane_quality,synergy_jun_28_name,synergy_jun_28_winrate,synergy_jun_28_games,synergy_jun_28_lane_quality,synergy_jun_29_name,synergy_jun_29_winrate,synergy_jun_29_games,synergy_jun_29_lane_quality,synergy_jun_30_name,synergy_jun_30_winrate,synergy_jun_30_games,synergy_jun_30_lane_quality,synergy_jun_31_name,synergy_jun_31_winrate,synergy_jun_31_games,synergy_jun_31_lane_quality,synergy_jun_32_name,synergy_jun_32_winrate,synergy_jun_32_games,synergy_jun_32_lane_quality,synergy_jun_33_name,synergy_jun_33_winrate,synergy_jun_33_games,synergy_jun_33_lane_quality,synergy_jun_34_name,synergy_jun_34_winrate,synergy_jun_34_games,synergy_jun_34_lane_quality,synergy_jun_35_name,synergy_jun_35_winrate,synergy_jun_35_games,synergy_jun_35_lane_quality,synergy_jun_36_name,synergy_jun_36_winrate,synergy_jun_36_games,synergy_jun_36_lane_quality,synergy_jun_37_name,synergy_jun_37_winrate,synergy_jun_37_games,synergy_jun_37_lane_quality,synergy_jun_38_name,synergy_jun_38_winrate,synergy_jun_38_games,synergy_jun_38_lane_quality,synergy_jun_39_name,synergy_jun_39_winrate,synergy_jun_39_games,synergy_jun_39_lane_quality,synergy_jun_40_name,synergy_jun_40_winrate,synergy_jun_40_games,synergy_jun_40_lane_quality,synergy_jun_41_name,synergy_jun_41_winrate,synergy_jun_41_games,synergy_jun_41_lane_quality,synergy_jun_42_name,synergy_jun_42_winrate,synergy_jun_42_games,synergy_jun_42_lane_quality,synergy_jun_43_name,synergy_jun_43_winrate,synergy_jun_43_games,synergy_jun_43_lane_quality,synergy_jun_44_name,synergy_jun_44_winrate,synergy_jun_44_games,synergy_jun_44_lane_quality,synergy_jun_45_name,synergy_jun_45_winrate,synergy_jun_45_games,synergy_jun_45_lane_quality,synergy_jun_46_name,synergy_jun_46_winrate,synergy_jun_46_games,synergy_jun_46_lane_quality,synergy_jun_47_name,synergy_jun_47_winrate,synergy_jun_47_games,synergy_jun_47_lane_quality,synergy_jun_48_name,synergy_jun_48_winrate,synergy_jun_48_games,synergy_jun_48_lane_quality,synergy_jun_49_name,synergy_jun_49_winrate,synergy_jun_49_games,synergy_jun_49_lane_quality,synergy_jun_50_name,synergy_jun_50_winrate,synergy_jun_50_games,synergy_jun_50_lane_quality,synergy_jun_51_name,synergy_jun_51_winrate,synergy_jun_51_games,synergy_jun_51_lane_quality,synergy_jun_52_name,synergy_jun_52_winrate,synergy_jun_52_games,synergy_jun_52_lane_quality,synergy_jun_53_name,synergy_jun_53_winrate,synergy_jun_53_games,synergy_jun_53_lane_quality,synergy_jun_54_name,synergy_jun_54_winrate,synergy_jun_54_games,synergy_jun_54_lane_quality,synergy_jun_55_name,synergy_jun_55_winrate,synergy_jun_55_games,synergy_jun_55_lane_quality,synergy_jun_56_name,synergy_jun_56_winrate,synergy_jun_56_games,synergy_jun_56_lane_quality,synergy_jun_57_name,synergy_jun_57_winrate,synergy_jun_57_games,synergy_jun_57_lane_quality,synergy_jun_58_name,synergy_jun_58_winrate,synergy_jun_58_games,synergy_jun_58_lane_quality
Jayce,top,45.4%,D,47 / 50,47.8 %,2.3 %,3.0 %,544008,https://dpm.lol/champions/Jayce/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Rammus,51.26%,5462,,Poppy,50.49%,1725,,DrMundo,50.26%,10672,,Mordekaiser,50.15%,1334,,RekSai,49.94%,3847,,Warwick,49.84%,12611,,Volibear,49.71%,7496,,Amumu,49.64%,10325,,MonkeyKing,49.53%,8334,,Jax,49.36%,12651,,Briar,49.15%,12029,,XinZhao,49.15%,11112,,Diana,49.10%,18759,,FiddleSticks,48.97%,6112,,Ekko,48.82%,11227,,Hecarim,48.79%,6627,,Malphite,48.66%,17257,,Elise,48.60%,5712,,Ivern,48.44%,2692,,Nidalee,48.41%,9124,,JarvanIV,48.33%,15054,,Graves,48.29%,15492,,Sejuani,48.21%,6107,,Sylas,48.05%,28792,,Zyra,48.04%,1836,,Zac,48.02%,7643,,Lillia,48.00%,10440,,Nunu,47.92%,6396,,Viego,47.90%,26572,,Shyvana,47.82%,3237,,Khazix,47.69%,13863,,Aatrox,47.66%,15738,,Udyr,47.58%,4365,,Teemo,47.51%,2949,,Evelynn,47.50%,6825,,LeeSin,47.48%,30268,,Nocturne,47.47%,11520,,Karthus,47.44%,4416,,Kindred,47.31%,6660,,Belveth,47.27%,4462,,MasterYi,47.16%,16222,,Gwen,47.11%,2477,,Ambessa,47.10%,4374,,Shaco,47.09%,11665,,Trundle,47.08%,4921,,Zaahen,47.03%,7435,,Kayn,46.89%,16676,,Vi,46.62%,8888,,Chogath,46.60%,2912,,Naafiri,46.40%,6200,,Talon,46.06%,7872,,Pantheon,46.01%,4675,,Nasus,46.00%,1600,,Gragas,45.91%,1921,,Zed,45.46%,10819,,Skarner,44.52%,1999,,Qiyana,44.10%,8596,,Rengar,43.36%,9654,
Trundle,top,31.8%,D,48 / 50,48.1 %,1.1 %,1.3 %,275399,https://dpm.lol/champions/Trundle/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Teemo,52.43%,2348,,Amumu,52.19%,8023,,Rammus,52.05%,3372,,FiddleSticks,51.90%,3848,,Volibear,51.44%,6149,,DrMundo,51.08%,5110,,Mordekaiser,50.82%,1094,,Nasus,50.70%,1209,,Briar,50.55%,8597,,Malphite,50.17%,9314,,Warwick,50.03%,10640,,Diana,49.90%,10904,,Jax,49.82%,9138,,Darius,49.64%,691,,Elise,49.55%,2454,,Tryndamere,49.32%,813,,Lillia,49.10%,5008,,Gwen,48.74%,1309,,MonkeyKing,48.67%,3579,,Ekko,48.52%,5761,,Sejuani,48.51%,3181,,Evelynn,48.48%,3940,,Zac,48.40%,3279,,Viego,48.37%,14740,,Poppy,48.25%,713,,Nocturne,48.16%,7074,,Kayn,47.95%,12172,,Shyvana,47.93%,2245,,JarvanIV,47.73%,5697,,Karthus,47.68%,1875,,Nunu,47.60%,3880,,Sylas,47.59%,9289,,Shaco,47.56%,7992,,Vi,47.43%,4284,,Hecarim,47.20%,3017,,Naafiri,47.08%,2931,,Chogath,47.08%,1710,,Graves,47.06%,4356,,Ivern,47.01%,1457,,Talon,46.79%,3415,,Udyr,46.70%,2754,,Kindred,46.49%,3644,,Khazix,46.45%,6642,,Belveth,46.33%,2387,,Zed,46.29%,4159,,Pantheon,46.16%,2162,,Gragas,46.12%,787,,Skarner,46.04%,908,,XinZhao,46.03%,3997,,Aatrox,45.84%,3506,,Ambessa,45.72%,1450,,RekSai,45.72%,1354,,Jayce,45.13%,1797,,Zaahen,44.79%,3800,,LeeSin,44.54%,8420,,Nidalee,43.02%,2162,,Rengar,42.43%,5522,,Qiyana,42.08%,2880,
Gragas,top,60.7%,D,49 / 50,47.9 %,1.7 %,0.6 %,409244,https://dpm.lol/champions/Gragas/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Briar,50.42%,11530,,Graves,50.03%,9909,,Ambessa,49.97%,3520,,DrMundo,49.90%,7268,,Jayce,49.53%,6459,,Jax,49.52%,11158,,MonkeyKing,49.40%,6769,,Talon,49.40%,7494,,MasterYi,49.33%,15039,,JarvanIV,49.21%,11611,,Viego,49.09%,24235,,Warwick,49.02%,11780,,Khazix,49.01%,11804,,Kayn,48.87%,17249,,Udyr,48.85%,3554,,Darius,48.78%,1066,,Belveth,48.71%,4149,,Kindred,48.54%,5972,,XinZhao,48.43%,8020,,Trundle,48.43%,4708,,Naafiri,48.39%,5476,,RekSai,48.39%,2982,,Volibear,48.29%,6157,,Diana,48.18%,10877,,Zaahen,48.16%,6854,,Aatrox,48.03%,9679,,Amumu,47.83%,7349,,Hecarim,47.80%,5682,,Gwen,47.53%,1296,,Rammus,47.48%,4149,,LeeSin,47.39%,20065,,Shyvana,47.33%,2419,,Poppy,47.16%,1266,,Lillia,47.13%,4838,,Nocturne,47.09%,9782,,Malphite,47.07%,11232,,Chogath,47.05%,1828,,Ekko,46.96%,5962,,Sylas,46.87%,12222,,Vi,46.72%,7276,,Rengar,46.49%,10218,,Nasus,46.42%,1355,,Zac,46.33%,4664,,Ivern,46.30%,2065,,Zed,46.28%,8998,,Pantheon,46.04%,3805,,Teemo,46.04%,1905,,Nunu,46.00%,4350,,Riven,45.94%,1206,,Elise,45.87%,2921,,Nidalee,45.61%,3278,,Sejuani,45.60%,4004,,Shaco,45.53%,9995,,Karthus,45.32%,2032,,FiddleSticks,45.14%,3540,,Qiyana,44.94%,6998,,Evelynn,44.91%,3723,,Skarner,44.68%,1437,
Taliyah,mid,74.6%,D,46 / 47,47.9 %,1.4 %,0.3 %,334471,https://dpm.lol/champions/Taliyah/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Briar,51.64%,8897,,DrMundo,50.81%,6064,,MonkeyKing,50.36%,5340,,Teemo,49.94%,1652,,Jax,49.48%,8466,,Warwick,49.48%,8667,,Udyr,49.38%,3046,,Rammus,49.36%,3381,,Poppy,49.36%,1242,,Amumu,49.22%,6264,,Diana,49.17%,8962,,JarvanIV,49.10%,9397,,Chogath,49.09%,1652,,Belveth,49.09%,3294,,XinZhao,49.00%,7535,,Viego,48.79%,18940,,Jayce,48.76%,6278,,Gragas,48.65%,816,,Zac,48.52%,4118,,Sejuani,48.45%,3571,,Nasus,48.43%,1018,,Volibear,48.42%,4959,,Khazix,48.27%,8445,,Aatrox,48.23%,8594,,Graves,48.14%,7640,,RekSai,47.99%,2784,,Sylas,47.98%,12690,,Kayn,47.96%,12078,,Ekko,47.83%,5474,,Talon,47.79%,5664,,Trundle,47.77%,3559,,MasterYi,47.68%,10714,,Naafiri,47.67%,4145,,Lillia,47.46%,4574,,Hecarim,47.45%,4377,,Ivern,47.35%,1831,,Vi,47.32%,7082,,Gwen,47.30%,1332,,Nocturne,47.04%,7319,,Ambessa,46.99%,2988,,LeeSin,46.95%,16831,,Pantheon,46.93%,4187,,Rengar,46.82%,7147,,FiddleSticks,46.79%,3259,,Malphite,46.79%,9005,,Kindred,46.74%,4544,,Nidalee,46.58%,3291,,Riven,46.58%,891,,Evelynn,46.57%,3517,,Shaco,46.55%,7504,,Zaahen,46.25%,4954,,Qiyana,46.23%,6121,,Nunu,46.18%,3831,,Zed,45.93%,6336,,Shyvana,45.83%,1942,,Elise,45.64%,2835,,Skarner,45.07%,1338,,Karthus,44.72%,1847,
Pantheon,jun,20.5%,D,49 / 52,47.4 %,1.7 %,3.1 %,405120,https://dpm.lol/champions/Pantheon/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
