champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_jun_1_name,synergy_jun_1_winrate,synergy_jun_1_games,synergy_jun_1_lane_quality,synergy_jun_2_name,synergy_jun_2_winrate,synergy_jun_2_games,synergy_jun_2_lane_quality,synergy_jun_3_name,synergy_jun_3_winrate,synergy_jun_3_games,synergy_jun_3_lane_quality,synergy_jun_4_name,synergy_jun_4_winrate,synergy_jun_4_games,synergy_jun_4_lane_quality,synergy_jun_5_name,synergy_jun_5_winrate,synergy_jun_5_games,synergy_jun_5_lane_quality,synergy_jun_6_name,synergy_jun_6_winrate,synergy_jun_6_games,synergy_jun_6_lane_quality,synergy_jun_7_name,synergy_jun_7_winrate,synergy_jun_7_games,synergy_jun_7_lane_quality,synergy_jun_8_name,synergy_jun_8_winrate,synergy_jun_8_games,synergy_jun_8_lane_quality,synergy_jun_9_name,synergy_jun_9_winrate,synergy_jun_9_games,synergy_jun_9_lane_quality,synergy_jun_10_name,synergy_jun_10_winrate,synergy_jun_10_games,synergy_jun_10_lane_quality,synergy_jun_11_name,synergy_jun_11_winrate,synergy_jun_11_games,synergy_jun_11_lane_quality,synergy_jun_12_name,synergy_jun_12_winrate,synergy_jun_12_games,synergy_jun_12_lane_quality,synergy_jun_13_name,synergy_jun_13_winrate,synergy_jun_13_games,synergy_jun_13_lane_quality,synergy_jun_14_name,synergy_jun_14_winrate,synergy_jun_14_games,synergy_jun_14_lane_quality,synergy_jun_15_name,synergy_jun_15_winrate,synergy_jun_15_games,synergy_jun_15_lane_quality,synergy_jun_16_name,synergy_jun_16_winrate,synergy_jun_16_games,synergy_jun_16_lane_quality,synergy_jun_17_name,synergy_jun_17_winrate,synergy_jun_17_games,synergy_jun_17_lane_quality,synergy_jun_18_name,synergy_jun_18_winrate,synergy_jun_18_games,synergy_jun_18_lane_quality,synergy_jun_19_name,synergy_jun_19_winrate,synergy_jun_19_games,synergy_jun_19_lane_quality,synergy_jun_20_name,synergy_jun_20_winrate,synergy_jun_20_games,synergy_jun_20_lane_quality,synergy_jun_21_name,synergy_jun_21_winrate,synergy_jun_21_games,synergy_jun_21_lane_quality,synergy_jun_22_name,synergy_jun_22_winrate,synergy_jun_22_games,synergy_jun_22_lane_quality,synergy_jun_23_name,synergy_jun_23_winrate,synergy_jun_23_games,synergy_jun_23_lane_quality,synergy_jun_24_name,synergy_jun_24_winrate,synergy_jun_24_games,synergy_jun_24_lane_quality,synergy_jun_25_name,synergy_jun_25_winrate,synergy_jun_25_games,synergy_jun_25_lane_quality,synergy_jun_26_name,synergy_jun_26_winrate,synergy_jun_26_games,synergy_jun_26_lane_quality,synergy_jun_27_name,synergy_jun_27_winrate,synergy_jun_27_games,synergy_jun_27_lane_quality,synergy_jun_28_name,synergy_jun_28_winrate,synergy_jun_28_games,synergy_jun_28_lane_quality,synergy_jun_29_name,synergy_jun_29_winrate,synergy_jun_29_games,synergy_jun_29_lane_quality,synergy_jun_30_name,synergy_jun_30_winrate,synergy_jun_30_games,synergy_jun_30_lane_quality,synergy_jun_31_name,synergy_jun_31_winrate,synergy_jun_31_games,synergy_jun_31_lane_quality,synergy_jun_32_name,synergy_jun_32_winrate,synergy_jun_32_games,synergy_jun_32_lane_quality,synergy_jun_33_name,synergy_jun_33_winrate,synergy_jun_33_games,synergy_jun_33_lane_quality,synergy_jun_34_name,synergy_jun_34_winrate,synergy_jun_34_games,synergy_jun_34_lane_quality,synergy_jun_35_name,synergy_jun_35_winrate,synergy_jun_35_games,synergy_jun_35_lane_quality,synergy_jun_36_name,synergy_jun_36_winrate,synergy_jun_36_games,synergy_jun_36_lane_quality,synergy_jun_37_name,synergy_jun_37_winrate,synergy_jun_37_games,synergy_jun_37_lane_quality,synergy_jun_38_name,synergy_jun_38_winrate,synergy_jun_38_games,synergy_jun_38_lane_quality,synergy_jun_39_name,synergy_jun_39_winrate,synergy_jun_39_games,synergy_jun_39_lane_quality,synergy_jun_40_name,synergy_jun_40_winrate,synergy_jun_40_games,synergy_jun_40_lane_quality,synergy_jun_41_name,synergy_jun_41_winrate,synergy_jun_41_games,synergy_jun_41_lane_quality,synergy_jun_42_name,synergy_jun_42_winrate,synergy_jun_42_games,synergy_jun_42_lane_quality,synergy_jun_43_name,synergy_jun_43_winrate,synergy_jun_43_games,synergy_jun_43_lane_quality,synergy_jun_44_name,synergy_jun_44_winrate,synergy_jun_44_games,synergy_jun_44_lane_quality,synergy_jun_45_name,synergy_jun_45_winrate,synergy_jun_45_games,synergy_jun_45_lane_quality,synergy_jun_46_name,synergy_jun_46_winrate,synergy_jun_46_games,synergy_jun_46_lane_quality,synergy_jun_47_name,synergy_jun_47_winrate,synergy_jun_47_games,synergy_jun_47_lane_quality,synergy_jun_48_name,synergy_jun_48_winrate,synergy_jun_48_games,synergy_jun_48_lane_quality,synergy_jun_49_name,synergy_jun_49_winrate,synergy_jun_49_games,synergy_jun_49_lane_quality,synergy_jun_50_name,synergy_jun_50_winrate,synergy_jun_50_games,synergy_jun_50_lane_quality,synergy_jun_51_name,synergy_jun_51_winrate,synergy_jun_51_games,synergy_jun_51_lane_quality,synergy_jun_52_name,synergy_jun_52_winrate,synergy_jun_52_games,synergy_jun_52_lane_quality,synergy_jun_53_name,synergy_jun_53_winrate,synergy_jun_53_games,synergy_jun_53_lane_quality,synergy_jun_54_name,synergy_jun_54_winrate,synergy_jun_54_games,synergy_jun_54_lane_quality,synergy_jun_55_name,synergy_jun_55_winrate,synergy_jun_55_games,synergy_jun_55_lane_quality,synergy_jun_56_name,synergy_jun_56_winrate,synergy_jun_56_games,synergy_jun_56_lane_quality,synergy_jun_57_name,synergy_jun_57_winrate,synergy_jun_57_games,synergy_jun_57_lane_quality,synergy_jun_58_name,synergy_jun_58_winrate,synergy_jun_58_games,synergy_jun_58_lane_quality,synergy_jun_59_name,synergy_jun_59_winrate,synergy_jun_59_games,synergy_jun_59_lane_quality,synergy_jun_60_name,synergy_jun_60_winrate,synergy_jun_60_games,synergy_jun_60_lane_quality
Orianna,mid,96.1%,D,40 / 47,48.3 %,4.4 %,1.3 %,1068419,https://dpm.lol/champions/Orianna/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Briar,51.04%,27074,,Amumu,50.87%,22377,,Jax,50.80%,27381,,Warwick,50.67%,27642,,XinZhao,50.45%,27316,,Rammus,49.96%,10463,,MonkeyKing,49.86%,21544,,RekSai,49.62%,8053,,DrMundo,49.55%,19001,,Nasus,49.34%,3034,,JarvanIV,49.33%,42451,,Volibear,49.32%,15289,,Nunu,49.26%,11296,,Viego,49.19%,55951,,Belveth,49.01%,9301,,Diana,48.89%,31864,,Sylas,48.87%,40033,,Udyr,48.83%,8650,,Malphite,48.79%,36228,,Nocturne,48.63%,35921,,Elise,48.61%,7858,,Hecarim,48.59%,14311,,Ekko,48.55%,15986,,MasterYi,48.55%,32989,,Gwen,48.47%,3557,,Trundle,48.45%,10743,,Aatrox,48.30%,25955,,Lillia,48.18%,14172,,Jayce,48.12%,18866,,Kayn,48.11%,35369,,Zaahen,47.84%,14607,,Talon,47.84%,16434,,Zac,47.80%,15245,,LeeSin,47.71%,56604,,Sejuani,47.70%,11191,,Shyvana,47.54%,5913,,Vi,47.49%,21731,,Shaco,47.47%,24432,,Naafiri,47.42%,14341,,Graves,47.24%,20794,,Ivern,47.11%,5010,,FiddleSticks,47.06%,10198,,Ambessa,46.87%,8993,,Evelynn,46.85%,9940,,Riven,46.70%,2572,,Teemo,46.69%,4868,,Pantheon,46.29%,9725,,Zed,46.17%,18299,,Poppy,46.09%,3196,,Kindred,46.01%,12442,,Chogath,45.78%,4729,,Nidalee,45.57%,9585,,Qiyana,45.41%,16815,,Karthus,45.12%,5020,,Skarner,45.11%,3828,,Rengar,44.85%,21403,,,,,,,,,,,,,,,,,
Ryze,mid,80.5%,D,41 / 47,49.0 %,2.6 %,0.5 %,625525,https://dpm.lol/champions/Ryze/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Rammus,52.46%,6556,,Amumu,52.31%,12555,,Briar,51.38%,16941,,Jax,51.36%,17150,,Zac,50.97%,7607,,Volibear,50.95%,9659,,Warwick,50.49%,17992,,JarvanIV,50.46%,15961,,DrMundo,50.45%,11173,,Kayn,50.32%,24908,,Mordekaiser,50.10%,1501,,Ivern,50.09%,3228,,XinZhao,49.97%,12874,,MonkeyKing,49.80%,9878,,Malphite,49.80%,17817,,Diana,49.77%,17229,,Trundle,49.63%,7004,,Shyvana,49.62%,3773,,Aatrox,49.61%,14549,,Shaco,49.55%,15289,,FiddleSticks,49.52%,6252,,Viego,49.43%,35285,,Jayce,49.35%,9954,,Nocturne,49.31%,14506,,Ekko,49.17%,10272,,Ambessa,49.10%,4929,,Talon,49.06%,10165,,Graves,48.98%,14767,,Teemo,48.86%,3234,,Sejuani,48.68%,6629,,RekSai,48.62%,4457,,MasterYi,48.58%,21818,,Zaahen,48.50%,9226,,Gragas,48.48%,1584,,Udyr,48.47%,5451,,Nunu,48.39%,7185,,LeeSin,48.32%,32386,,Naafiri,48.28%,7893,,Belveth,48.26%,5580,,Khazix,48.20%,16338,,Evelynn,48.14%,6576,,Gwen,47.94%,2205,,Sylas,47.90%,22476,,Zed,47.79%,12954,,Elise,47.79%,4970,,Chogath,47.67%,3073,,Nasus,47.59%,1933,,Karthus,47.48%,3387,,Pantheon,47.12%,5946,,Poppy,47.10%,1830,,Kindred,47.02%,8673,,Nidalee,46.96%,6124,,Riven,46.95%,1687,,Vi,46.90%,10498,,Hecarim,46.40%,7647,,Qiyana,45.33%,10696,,Rengar,45.09%,13192,,Skarner,43.74%,2309,,,,,,,,,
Aurora,mid,79.6%,D,42 / 47,48.8 %,2.2 %,2.3 %,535563,https://dpm.lol/champions/Aurora/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Briar,52.52%,16194,,Amumu,51.87%,12204,,DrMundo,51.45%,9882,,MonkeyKing,51.32%,8198,,Jax,51.15%,15787,,Warwick,51.09%,16897,,Rammus,50.73%,5797,,Mordekaiser,50.65%,1455,,Trundle,50.28%,6345,,Nocturne,50.03%,13075,,Malphite,49.92%,15440,,Volibear,49.84%,9428,,XinZhao,49.84%,10085,,Viego,49.67%,30508,,Diana,49.54%,15729,,Kayn,49.47%,22551,,JarvanIV,49.33%,13603,,Poppy,49.28%,1658,,Graves,49.20%,10725,,Ambessa,49.20%,3984,,Udyr,49.18%,5022,,Chogath,49.17%,2906,,MasterYi,49.09%,19575,,Nasus,49.03%,1848,,Teemo,48.83%,3195,,Naafiri,48.81%,6745,,RekSai,48.79%,3669,,Zac,48.77%,6449,,Khazix,48.62%,13674,,Elise,48.61%,4254,,Ekko,48.60%,9431,,Shyvana,48.56%,3530,,Lillia,48.54%,7457,,Ivern,48.51%,2785,,Belveth,48.41%,5065,,Sejuani,48.36%,5775,,Aatrox,48.11%,10826,,Zaahen,48.06%,8279,,Nunu,47.96%,6487,,Evelynn,47.96%,5874,,Hecarim,47.88%,6723,,Shaco,47.88%,13561,,Talon,47.79%,8725,,Darius,47.65%,1320,,Zed,47.55%,9531,,Riven,47.50%,1421,,Sylas,47.25%,17923,,Jayce,47.20%,6671,,Kindred,47.20%,7428,,Vi,47.05%,8806,,LeeSin,47.04%,21840,,Gwen,46.44%,2132,,FiddleSticks,46.41%,5633,,Karthus,46.35%,2934,,Nidalee,45.49%,4265,,Rengar,45.28%,11489,,Pantheon,44.98%,4873,,Qiyana,44.87%,8280,,Gragas,44.53%,1316,,Skarner,42.64%,2080,
Alistar,sup,95.6%,D,36 / 39,48.6 %,3.3 %,1.2 %,791034,https://dpm.lol/champions/Alistar/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Briar,51.68%,20390,,Lillia,51.31%,15301,,Mordekaiser,51.20%,2043,,Amumu,50.96%,15496,,Ivern,50.95%,4873,,Zyra,50.46%,2735,,Gwen,50.42%,3649,,Diana,50.35%,30230,,Teemo,50.28%,4954,,Jayce,50.22%,12276,,Volibear,50.19%,11569,,Ekko,50.13%,16999,,Jax,50.04%,19608,,Malphite,49.76%,23219,,Chogath,49.71%,3925,,MonkeyKing,49.52%,11364,,JarvanIV,49.52%,18963,,Warwick,49.49%,20792,,Nasus,49.44%,2322,,Shyvana,49.34%,5067,,Rammus,49.20%,7118,,FiddleSticks,49.14%,10201,,Belveth,49.10%,7010,,MasterYi,49.05%,26385,,Viego,48.95%,42462,,Zac,48.92%,9293,,Udyr,48.90%,6624,,Kindred,48.80%,10875,,DrMundo,48.77%,12116,,Khazix,48.56%,19490,,Nunu,48.55%,9561,,Kayn,48.50%,29152,,Elise,48.42%,8277,,Evelynn,48.37%,10745,,Graves,48.36%,17851,,Sylas,48.35%,35414,,XinZhao,48.33%,14396,,RekSai,48.28%,5234,,Talon,48.27%,12118,,Aatrox,47.96%,16024,,Trundle,47.79%,7750,,Poppy,47.79%,2122,,Karthus,47.74%,6358,,Zaahen,47.53%,10494,,Shaco,47.46%,19950,,Sejuani,47.41%,7556,,Nidalee,47.33%,10294,,Ambessa,47.25%,5710,,Hecarim,47.21%,9025,,LeeSin,47.19%,35603,,Vi,46.74%,12946,,Zed,46.63%,14516,,Naafiri,46.56%,8947,,Pantheon,46.05%,6729,,Gragas,45.97%,2680,,Qiyana,45.00%,12153,,Rengar,44.69%,16071,,Skarner,43.43%,2482,,,,,,,,,
Yunara,adc,98.4%,D,23 / 26,47.2 %,6.4 %,3.8 %,1546355,https://dpm.lol/champions/Yunara/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Mordekaiser,50.84%,4323,,Briar,50.13%,41941,,Amumu,49.86%,32689,,Rammus,49.36%,16022,,Warwick,49.11%,43663,,DrMundo,48.85%,27602,,Jax,48.77%,40896,,Malphite,48.73%,46469,,Volibear,48.62%,24727,,Diana,48.45%,53812,,Zyra,48.38%,4549,,MonkeyKing,48.27%,23169,,XinZhao,48.19%,30375,,FiddleSticks,48.10%,17972,,Belveth,48.00%,13750,,JarvanIV,47.99%,38128,,Teemo,47.97%,9218,,Viego,47.89%,83316,,Ekko,47.87%,30649,,Ivern,47.85%,8935,,Jayce,47.77%,22876,,Trundle,47.69%,16525,,MasterYi,47.67%,53051,,Chogath,47.57%,7804,,Nasus,47.56%,4929,,Nocturne,47.49%,35489,,Lillia,47.42%,27509,,Elise,47.35%,14351,,Nunu,47.25%,18797,,Zac,47.20%,19324,,RekSai,47.19%,10084,,Gwen,47.16%,6716,,Shyvana,47.13%,10041,,Graves,47.09%,30636,,Evelynn,47.04%,19514,,Poppy,46.90%,4493,,Naafiri,46.83%,18000,,Sylas,46.79%,65035,,Udyr,46.78%,13732,,Sejuani,46.68%,16876,,Talon,46.65%,23432,,Hecarim,46.44%,18169,,Shaco,46.42%,37411,,Aatrox,46.31%,32457,,Ambessa,46.29%,11247,,LeeSin,46.18%,69503,,Khazix,46.08%,37091,,Kindred,45.93%,19168,,Zaahen,45.90%,21483,,Nidalee,45.85%,18290,,Vi,45.81%,26058,,Gragas,45.61%,4729,,Zed,45.55%,27225,,Karthus,45.43%,11116,,Pantheon,45.31%,13530,,Qiyana,43.94%,23245,,Skarner,43.79%,5759,,Rengar,43.62%,30052,,,,,,,,,
