champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_jun_1_name,synergy_jun_1_winrate,synergy_jun_1_games,synergy_jun_1_lane_quality,synergy_jun_2_name,synergy_jun_2_winrate,synergy_jun_2_games,synergy_jun_2_lane_quality,synergy_jun_3_name,synergy_jun_3_winrate,synergy_jun_3_games,synergy_jun_3_lane_quality,synergy_jun_4_name,synergy_jun_4_winrate,synergy_jun_4_games,synergy_jun_4_lane_quality,synergy_jun_5_name,synergy_jun_5_winrate,synergy_jun_5_games,synergy_jun_5_lane_quality,synergy_jun_6_name,synergy_jun_6_winrate,synergy_jun_6_games,synergy_jun_6_lane_quality,synergy_jun_7_name,synergy_jun_7_winrate,synergy_jun_7_games,synergy_jun_7_lane_quality,synergy_jun_8_name,synergy_jun_8_winrate,synergy_jun_8_games,synergy_jun_8_lane_quality,synergy_jun_9_name,synergy_jun_9_winrate,synergy_jun_9_games,synergy_jun_9_lane_quality,synergy_jun_10_name,synergy_jun_10_winrate,synergy_jun_10_games,synergy_jun_10_lane_quality,synergy_jun_11_name,synergy_jun_11_winrate,synergy_jun_11_games,synergy_jun_11_lane_quality,synergy_jun_12_name,synergy_jun_12_winrate,synergy_jun_12_games,synergy_jun_12_lane_quality,synergy_jun_13_name,synergy_jun_13_winrate,synergy_jun_13_games,synergy_jun_13_lane_quality,synergy_jun_14_name,synergy_jun_14_winrate,synergy_jun_14_games,synergy_jun_14_lane_quality,synergy_jun_15_name,synergy_jun_15_winrate,synergy_jun_15_games,synergy_jun_15_lane_quality,synergy_jun_16_name,synergy_jun_16_winrate,synergy_jun_16_games,synergy_jun_16_lane_quality,synergy_jun_17_name,synergy_jun_17_winrate,synergy_jun_17_games,synergy_jun_17_lane_quality,synergy_jun_18_name,synergy_jun_18_winrate,synergy_jun_18_games,synergy_jun_18_lane_quality,synergy_jun_19_name,synergy_jun_19_winrate,synergy_jun_19_games,synergy_jun_19_lane_quality,synergy_jun_20_name,synergy_jun_20_winrate,synergy_jun_20_games,synergy_jun_20_lane_quality,synergy_jun_21_name,synergy_jun_21_winrate,synergy_jun_21_games,synergy_jun_21_lane_quality,synergy_jun_22_name,synergy_jun_22_winrate,synergy_jun_22_games,synergy_jun_22_lane_quality,synergy_jun_23_name,synergy_jun_23_winrate,synergy_jun_23_games,synergy_jun_23_lane_quality,synergy_jun_24_name,synergy_jun_24_winrate,synergy_jun_24_games,synergy_jun_24_lane_quality,synergy_jun_25_name,synergy_jun_25_winrate,synergy_jun_25_games,synergy_jun_25_lane_quality,synergy_jun_26_name,synergy_jun_26_winrate,synergy_jun_26_games,synergy_jun_26_lane_quality,synergy_jun_27_name,synergy_jun_27_winrate,synergy_jun_27_games,synergy_jun_27_lane_quality,synergy_jun_28_name,synergy_jun_28_winrate,synergy_jun_28_games,synergy_jun_28_lane_quality,synergy_jun_29_name,synergy_jun_29_winrate,synergy_jun_29_games,synergy_jun_29_lane_quality,synergy_jun_30_name,synergy_jun_30_winrate,synergy_jun_30_games,synergy_jun_30_lane_quality,synergy_jun_31_name,synergy_jun_31_winrate,synergy_jun_31_games,synergy_jun_31_lane_quality,synergy_jun_32_name,synergy_jun_32_winrate,synergy_jun_32_games,synergy_jun_32_lane_quality,synergy_jun_33_name,synergy_jun_33_winrate,synergy_jun_33_games,synergy_jun_33_lane_quality,synergy_jun_34_name,synergy_jun_34_winrate,synergy_jun_34_games,synergy_jun_34_lane_quality,synergy_jun_35_name,synergy_jun_35_winrate,synergy_jun_35_games,synergy_jun_35_lane_quality,synergy_jun_36_name,synergy_jun_36_winrate,synergy_jun_36_games,synergy_jun_36_lane_quality,synergy_jun_37_name,synergy_jun_37_winrate,synergy_jun_37_games,synergy_jun_37_lane_quality,synergy_jun_38_name,synergy_jun_38_winrate,synergy_jun_38_games,synergy_jun_38_lane_quality,synergy_jun_39_name,synergy_jun_39_winrate,synergy_jun_39_games,synergy_jun_39_lane_quality,synergy_jun_40_name,synergy_jun_40_winrate,synergy_jun_40_games,synergy_jun_40_lane_quality,synergy_jun_41_name,synergy_jun_41_winrate,synergy_jun_41_games,synergy_jun_41_lane_quality,synergy_jun_42_name,synergy_jun_42_winrate,synergy_jun_42_games,synergy_jun_42_lane_quality,synergy_jun_43_name,synergy_jun_43_winrate,synergy_jun_43_games,synergy_jun_43_lane_quality,synergy_jun_44_name,synergy_jun_44_winrate,synergy_jun_44_games,synergy_jun_44_lane_quality,synergy_jun_45_name,synergy_jun_45_winrate,synergy_jun_45_games,synergy_jun_45_lane_quality,synergy_jun_46_name,synergy_jun_46_winrate,synergy_jun_46_games,synergy_jun_46_lane_quality,synergy_jun_47_name,synergy_jun_47_winrate,synergy_jun_47_games,synergy_jun_47_lane_quality,synergy_jun_48_name,synergy_jun_48_winrate,synergy_jun_48_games,synergy_jun_48_lane_quality,synergy_jun_49_name,synergy_jun_49_winrate,synergy_jun_49_games,synergy_jun_49_lane_quality,synergy_jun_50_name,synergy_jun_50_winrate,synergy_jun_50_games,synergy_jun_50_lane_quality,synergy_jun_51_name,synergy_jun_51_winrate,synergy_jun_51_games,synergy_jun_51_lane_quality,synergy_jun_52_name,synergy_jun_52_winrate,synergy_jun_52_games,synergy_jun_52_lane_quality,synergy_jun_53_name,synergy_jun_53_winrate,synergy_jun_53_games,synergy_jun_53_lane_quality,synergy_jun_54_name,synergy_jun_54_winrate,synergy_jun_54_games,synergy_jun_54_lane_quality,synergy_jun_55_name,synergy_jun_55_winrate,synergy_jun_55_games,synergy_jun_55_lane_quality,synergy_jun_56_name,synergy_jun_56_winrate,synergy_jun_56_games,synergy_jun_56_lane_quality,synergy_jun_57_name,synergy_jun_57_winrate,synergy_jun_57_games,synergy_jun_57_lane_quality,synergy_jun_58_name,synergy_jun_58_winrate,synergy_jun_58_games,synergy_jun_58_lane_quality,synergy_jun_59_name,synergy_jun_59_winrate,synergy_jun_59_games,synergy_jun_59_lane_quality,synergy_jun_60_name,synergy_jun_60_winrate,synergy_jun_60_games,synergy_jun_60_lane_quality
Soraka,sup,97.9%,A,9 / 39,51.8 %,4.7 %,2.6 %,1141132,https://dpm.lol/champions/Soraka/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Amumu,55.75%,28676,,Rammus,55.60%,13150,,Mordekaiser,55.52%,3662,,Jax,54.45%,33332,,Briar,53.98%,34348,,Teemo,53.97%,7430,,Malphite,53.57%,34744,,Volibear,53.52%,21519,,Lillia,53.40%,18789,,Diana,53.34%,43474,,Gwen,52.87%,5421,,JarvanIV,52.84%,27598,,Shyvana,52.84%,8370,,MonkeyKing,52.83%,15483,,DrMundo,52.67%,19862,,Nunu,52.61%,14837,,FiddleSticks,52.59%,14593,,Udyr,52.52%,11685,,Evelynn,52.48%,15543,,Ekko,52.40%,24174,,Viego,52.39%,61509,,Nasus,52.19%,3886,,Warwick,52.16%,35954,,Chogath,52.15%,6598,,Nocturne,52.15%,27099,,Ivern,52.10%,5766,,Trundle,51.91%,12978,,Khazix,51.87%,28158,,MasterYi,51.77%,41018,,Shaco,51.72%,30043,,Zac,51.70%,14784,,Kayn,51.69%,49096,,Talon,51.49%,17585,,Poppy,51.48%,3207,,Jayce,51.47%,10015,,Graves,51.39%,20135,,Gragas,51.32%,3646,,Belveth,51.17%,10642,,Zed,51.10%,19336,,XinZhao,51.06%,17938,,Sejuani,50.81%,13016,,Riven,50.69%,2957,,Hecarim,50.65%,14088,,Kindred,50.55%,14217,,Ambessa,50.54%,7534,,Sylas,50.54%,42061,,Naafiri,50.47%,12650,,Vi,50.12%,17290,,Karthus,49.71%,8129,,RekSai,49.69%,6998,,Zaahen,49.65%,16554,,LeeSin,49.38%,39612,,Aatrox,49.35%,18510,,Pantheon,49.10%,9411,,Qiyana,48.70%,14855,,Rengar,48.40%,25280,,Nidalee,46.80%,9366,,Skarner,46.51%,4100,,,,,,,,,
Nautilus,sup,96.7%,A,10 / 39,49.0 %,9.3 %,11.8 %,2243634,https://dpm.lol/champions/Nautilus/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Zyra,53.18%,7016,,Mordekaiser,52.47%,6671,,Teemo,52.12%,15734,,Briar,51.65%,62994,,Amumu,51.56%,50805,,FiddleSticks,51.29%,30045,,Ivern,51.07%,12651,,DrMundo,50.95%,35566,,Lillia,50.76%,43833,,Shyvana,50.73%,15863,,Nasus,50.72%,7342,,Volibear,50.45%,38103,,Jax,50.45%,62977,,Diana,50.30%,87683,,Jayce,50.09%,25817,,Warwick,50.09%,70390,,Graves,50.01%,44041,,Malphite,49.99%,65977,,MonkeyKing,49.96%,30741,,Ekko,49.94%,47363,,JarvanIV,49.92%,49845,,Viego,49.91%,126707,,Rammus,49.90%,21977,,Chogath,49.87%,11181,,Karthus,49.60%,17148,,Trundle,49.59%,24757,,Zac,49.23%,25438,,Nunu,49.20%,27921,,Kayn,49.19%,90233,,Elise,49.09%,22149,,Nocturne,49.03%,54666,,Aatrox,48.93%,38806,,XinZhao,48.88%,38096,,Kindred,48.76%,30020,,Gwen,48.72%,9727,,Sejuani,48.68%,22217,,Udyr,48.57%,19174,,Evelynn,48.42%,31104,,Talon,48.25%,31325,,Sylas,48.20%,89965,,Zaahen,48.20%,29500,,Khazix,48.10%,56025,,Ambessa,47.91%,14127,,RekSai,47.85%,12595,,Naafiri,47.82%,25919,,Vi,47.74%,35791,,Shaco,47.65%,60863,,Belveth,47.61%,19153,,Nidalee,47.60%,26244,,Poppy,47.60%,5656,,LeeSin,47.45%,89145,,Gragas,47.26%,6604,,Hecarim,46.85%,24090,,Pantheon,46.73%,19095,,Zed,46.51%,38436,,Skarner,45.22%,6774,,Qiyana,44.83%,29504,,Rengar,43.49%,43387,,,,,,,,,
Shaco,sup,21.4%,A,11 / 39,51.3 %,1.5 %,27.5 %,364900,https://dpm.lol/champions/Shaco/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,DrMundo,54.98%,7145,,Briar,54.82%,11326,,Teemo,54.41%,2970,,Warwick,54.33%,11554,,Shyvana,54.10%,2765,,Amumu,53.83%,9067,,Malphite,53.55%,11719,,Jax,53.40%,11126,,Kayn,53.08%,15406,,Nasus,52.49%,1524,,Sejuani,52.47%,3947,,Nocturne,52.46%,9056,,Zyra,52.33%,946,,MasterYi,52.26%,14041,,Volibear,52.25%,6884,,Viego,52.22%,19800,,Trundle,52.15%,4339,,JarvanIV,51.88%,8627,,Ekko,51.81%,6985,,MonkeyKing,51.76%,5247,,Graves,51.73%,7877,,Rammus,51.63%,4327,,Diana,51.59%,12618,,Khazix,51.30%,9562,,Mordekaiser,51.29%,1160,,Hecarim,51.25%,4359,,FiddleSticks,51.20%,4410,,Belveth,51.08%,3299,,Udyr,50.97%,3561,,XinZhao,50.96%,6588,,Zac,50.91%,4716,,Elise,50.90%,3175,,Lillia,50.83%,6483,,Evelynn,50.81%,4651,,Naafiri,50.80%,4193,,Kindred,50.70%,4819,,Jayce,50.65%,4152,,Aatrox,50.57%,6500,,Chogath,50.09%,2144,,Ivern,50.05%,1854,,Nunu,50.00%,4782,,Darius,49.85%,999,,Gwen,49.81%,1552,,Karthus,49.63%,2724,,Vi,49.50%,5954,,Zaahen,49.46%,4998,,LeeSin,49.42%,14509,,Talon,49.37%,5323,,Gragas,49.25%,1003,,Pantheon,49.20%,3140,,Sylas,49.15%,13698,,Zed,49.13%,6409,,RekSai,49.10%,2057,,Ambessa,48.85%,2219,,Nidalee,48.56%,3375,,Poppy,48.16%,1005,,Riven,48.08%,911,,Rengar,46.65%,7689,,Qiyana,46.11%,4596,,Skarner,45.05%,1314,
Nilah,adc,97.8%,B,9 / 26,52.5 %,1.7 %,2.6 %,410843,https://dpm.lol/champions/Nilah/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Ivern,56.92%,2551,,Rammus,56.01%,4735,,Mordekaiser,55.65%,1364,,Malphite,55.35%,12384,,Briar,55.34%,12880,,Amumu,55.31%,11055,,Teemo,54.76%,2929,,JarvanIV,54.40%,8901,,DrMundo,54.19%,7366,,Volibear,54.12%,8243,,Nunu,54.00%,5987,,FiddleSticks,53.99%,5418,,Elise,53.90%,3601,,Sejuani,53.87%,4518,,Jax,53.81%,12661,,Diana,53.81%,16117,,Gragas,53.59%,1142,,MonkeyKing,53.57%,5216,,Trundle,53.53%,4795,,Zac,53.46%,4809,,Warwick,53.37%,14254,,Lillia,53.29%,7018,,Nocturne,53.29%,9829,,Ekko,53.19%,8504,,Shyvana,53.17%,3105,,Kayn,53.07%,18242,,Ambessa,53.06%,2367,,Udyr,53.06%,4037,,Poppy,52.96%,1048,,Jayce,52.69%,2997,,Chogath,52.33%,2427,,Khazix,52.11%,10087,,Evelynn,52.04%,5819,,Sylas,52.03%,13770,,Zed,51.74%,6478,,Vi,51.69%,6069,,Graves,51.66%,7151,,Talon,51.65%,5646,,Shaco,51.63%,11263,,MasterYi,51.49%,15944,,Belveth,51.39%,3785,,Gwen,51.07%,1913,,Darius,50.95%,1048,,Naafiri,50.94%,4529,,XinZhao,50.91%,5855,,LeeSin,50.85%,13179,,Aatrox,50.79%,5775,,Zaahen,50.76%,5735,,Pantheon,50.56%,3139,,Hecarim,50.51%,5013,,Kindred,50.49%,5567,,Nidalee,49.92%,3315,,Karthus,49.91%,2833,,RekSai,49.83%,2296,,Rengar,48.72%,8672,,Nasus,48.56%,1526,,Skarner,46.60%,1382,,Qiyana,46.25%,4895,,,,,,,,,
Swain,sup,51.7%,B,12 / 39,51.0 %,5.1 %,6.0 %,1222615,https://dpm.lol/champions/Swain/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Rammus,54.49%,14831,,Briar,54.48%,39474,,Amumu,54.23%,31921,,Warwick,54.21%,46930,,Teemo,53.89%,8336,,DrMundo,53.64%,22139,,Jax,53.60%,40195,,Mordekaiser,53.32%,3777,,Malphite,53.17%,37779,,Trundle,53.14%,16282,,Volibear,52.98%,24526,,Nasus,52.54%,4893,,Viego,52.36%,72013,,MonkeyKing,52.07%,16680,,Nocturne,51.85%,31802,,Sejuani,51.80%,12800,,Chogath,51.76%,6434,,Kayn,51.69%,57990,,Shyvana,51.63%,8644,,JarvanIV,51.58%,26109,,Gwen,51.52%,4585,,Diana,51.50%,40743,,XinZhao,51.36%,19208,,MasterYi,51.21%,51307,,Lillia,51.15%,19199,,Tryndamere,51.05%,3099,,Nunu,50.95%,15399,,Ivern,50.77%,6295,,Zac,50.74%,13726,,Poppy,50.68%,3212,,Shaco,50.55%,35555,,Ambessa,50.49%,7097,,Jayce,50.48%,9335,,Graves,50.40%,21765,,Elise,50.37%,8948,,Naafiri,50.37%,14347,,Ekko,50.34%,21499,,Udyr,50.34%,10972,,Evelynn,50.17%,15366,,FiddleSticks,50.01%,13986,,Khazix,49.83%,31164,,Zaahen,49.56%,17230,,Vi,49.56%,19677,,Belveth,49.53%,10527,,Pantheon,49.52%,10764,,Aatrox,49.37%,17694,,Darius,49.09%,3188,,Talon,49.08%,16056,,Sylas,49.04%,37165,,Karthus,49.03%,7065,,Gragas,48.84%,3051,,Kindred,48.80%,16584,,Hecarim,48.66%,13369,,Zed,48.55%,20761,,RekSai,48.45%,6270,,LeeSin,48.26%,43095,,Skarner,46.77%,4103,,Rengar,45.83%,24789,,Nidalee,45.36%,8551,,Qiyana,44.54%,14170,
