iter	Passed	Remaining
399	47946	11986
400	48056	11864
401	48170	11743
402	48274	11619
403	48392	11499
404	48510	11378
405	48633	11259
406	48743	11138
407	48863	11018
408	48977	10897
409	49094	10776
410	49212	10656
411	49344	10539
412	49455	10417
413	49571	10297
414	49696	10178
415	49807	10057
416	49918	9935
417	50034	9815
418	50156	9696
419	50277	9576
420	50392	9456
421	50511	9336
422	50629	9216
423	50737	9094
424	50855	8974
425	50976	8855
426	51112	8738
427	51229	8617
428	51348	8498
429	51481	8380
430	51601	8260
431	51713	8140
432	51826	8019
433	51932	7897
434	52046	7777
435	52160	7656
436	52273	7536
437	52390	7415
438	52515	7297
439	52627	7176
440	52735	7055
441	52855	6935
442	52965	6814
443	53078	6694
444	53183	6573
445	53303	6453
446	53431	6335
447	53560	6216
448	53677	6096
449	53811	5979
450	53922	5858
451	54038	5738
452	54152	5618
453	54263	5498
454	54377	5377
455	54499	5258
456	54614	5138
457	54734	5019
458	54850	4899
459	54961	4779
460	55079	4659
461	55188	4539
462	55306	4419
463	55421	4299
464	55548	4181
465	55653	4060
466	55775	3941
467	55902	3822
468	56015	3702
469	56125	3582
470	56227	3461
471	56339	3342
472	56458	3222
473	56570	3103
474	56697	2984
475	56807	2864
476	56909	2744
477	57026	2624
478	57137	2504
479	57251	2385
480	57371	2266
481	57495	2147
482	57605	2027
483	57713	1907
484	57817	1788
485	57927	1668
486	58042	1549
487	58160	1430
488	58272	1310
489	58388	1191
490	58501	1072
491	58608	952
492	58722	833
493	58839	714
494	58948	595
495	59058	476
496	59176	357
497	59303	238
498	59413	119
499	59525	0
