elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,KR,16.2,Braum,support,100.0%,S+,52.7%,+1.7%,16.2%,15 486
Master+,KR,16.2,Zoe,mid,82.5%,S+,53.4%,-0.2%,6.1%,5 784
Master+,KR,16.2,Qiyana,mid,43.3%,S+,54.0%,-0.9%,3.4%,3 225
Master+,KR,16.2,Rek'Sai,jungle,87.2%,S+,54.2%,+1.2%,5.2%,4 961
Master+,KR,16.2,Karthus,jungle,69.2%,S+,54.2%,+3.1%,2.5%,2 395
Master+,KR,16.2,Kennen,top,86.6%,S+,53.5%,+0.5%,6.2%,5 940
Master+,KR,16.2,Twisted Fate,mid,95.6%,S+,52.4%,+1.1%,10.1%,9 611
Master+,KR,16.2,Jinx,adc,99.7%,S+,52.3%,+1.5%,12.7%,12 084
Master+,KR,16.2,Poppy,top,36.1%,S+,53.9%,+2.5%,1.7%,1 576
Master+,KR,16.2,LeeSin,jungle,95.2%,S+,50.6%,-0.1%,24.9%,23 742
Master+,KR,16.2,Caitlyn,adc,99.1%,S+,50.4%,+1.6%,16.9%,16 096
Master+,KR,16.2,Zed,mid,55.0%,S+,52.0%,+1.6%,6.6%,6 299
Master+,KR,16.2,Neeko,support,81.3%,S,52.0%,+2.7%,7.1%,6 759
Master+,KR,16.2,Thresh,support,99.8%,S,51.0%,+0.3%,15.5%,14 806
Master+,KR,16.2,Kha'Zix,jungle,99.6%,S,51.4%,+2.4%,9.4%,8 962
Master+,KR,16.2,Varus,adc,64.8%,S,50.2%,+1.7%,11.6%,11 030
Master+,KR,16.2,Rumble,top,88.2%,S,51.2%,-1.2%,8.0%,7 649
Master+,KR,16.2,Jax,top,78.9%,S,51.0%,-0.1%,8.6%,8 173
Master+,KR,16.2,Leona,support,99.9%,S,52.0%,+0.5%,9.4%,9 017
Master+,KR,16.2,Jayce,jungle,63.8%,S,49.9%,+0.2%,14.4%,13 773
Master+,KR,16.2,Elise,support,40.3%,S,53.6%,-0.9%,2.3%,2 196
Master+,KR,16.2,Sivir,adc,99.3%,S,50.6%,+0.8%,10.1%,9 639
Master+,KR,16.2,Aphelios,adc,99.4%,S,49.6%,-1.3%,23.3%,22 294
Master+,KR,16.2,Nidalee,jungle,80.2%,S,52.7%,-0.7%,4.7%,4 511
Master+,KR,16.2,Qiyana,jungle,51.0%,S,51.4%,+0.6%,6.0%,5 694
Master+,KR,16.2,Miss Fortune,adc,98.7%,S,51.8%,-0.2%,7.6%,7 296
Master+,KR,16.2,Pyke,support,98.8%,S,51.0%,+0.1%,6.6%,6 331
Master+,KR,16.2,Swain,adc,33.3%,A,53.8%,-1.4%,2.2%,2 054
Master+,KR,16.2,Blitzcrank,support,99.8%,A,50.3%,+1.6%,8.5%,8 135
Master+,KR,16.2,Fiora,top,97.4%,A,52.0%,+0.5%,4.3%,4 113
Master+,KR,16.2,Taric,support,97.0%,A,53.6%,-1.0%,2.2%,2 088
Master+,KR,16.2,Talon,mid,33.0%,A,52.4%,-0.0%,4.0%,3 841
Master+,KR,16.2,Jayce,top,28.5%,A,51.1%,+1.0%,4.8%,4 613
Master+,KR,16.2,Kindred,jungle,96.3%,A,53.5%,+1.9%,1.8%,1 750
Master+,KR,16.2,Akali,mid,75.4%,A,49.5%,-0.2%,9.6%,9 174
Master+,KR,16.2,Varus,top,28.1%,A,51.1%,+2.8%,4.3%,4 120
Master+,KR,16.2,Ekko,jungle,68.6%,A,49.4%,-2.2%,9.8%,9 395
Master+,KR,16.2,Bard,support,99.5%,A,50.2%,-0.4%,10.8%,10 339
Master+,KR,16.2,Zyra,jungle,45.9%,A,52.9%,-1.4%,2.3%,2 169
Master+,KR,16.2,Taliyah,jungle,44.2%,A,52.0%,+0.0%,5.1%,4 889
Master+,KR,16.2,Leblanc,support,12.2%,A,51.9%,+0.9%,1.0%,970
Master+,KR,16.2,Akshan,mid,90.9%,A,52.7%,+1.3%,2.8%,2 639
Master+,KR,16.2,Ryze,mid,82.6%,A,49.3%,+1.6%,13.5%,12 930
