elo,server,patch,champion,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
Master+,TOUT,16.1,Braum,support,99.9%,S+,52.7%,+1.7%,12.3%,29 792
Master+,TOUT,16.1,Sivir,adc,99.6%,S+,52.3%,+0.6%,11.2%,27 256
Master+,TOUT,16.1,Qiyana,mid,43.4%,S+,53.5%,+0.5%,4.1%,9 852
Master+,TOUT,16.1,Jinx,adc,99.5%,S+,52.4%,+1.1%,11.9%,28 877
Master+,TOUT,16.1,Zoe,mid,85.1%,S+,52.9%,+0.2%,5.3%,12 792
Master+,TOUT,16.1,Talon,mid,34.1%,S+,53.4%,-0.1%,2.6%,6 299
Master+,TOUT,16.1,LeeSin,jungle,95.1%,S+,50.4%,+0.1%,13.5%,32 725
Master+,TOUT,16.1,Yasuo,adc,11.9%,S+,53.5%,+1.8%,1.3%,3 270
Master+,TOUT,16.1,Diana,jungle,78.5%,S,50.8%,+0.1%,10.4%,25 207
Master+,TOUT,16.1,Katarina,mid,95.7%,S,51.5%,-0.1%,7.9%,19 139
Master+,TOUT,16.1,Gwen,jungle,56.1%,S,52.2%,+1.2%,5.3%,12 902
Master+,TOUT,16.1,Nunu,jungle,89.0%,S,53.4%,-1.6%,4.9%,11 861
Master+,TOUT,16.1,Swain,adc,31.8%,S,54.8%,-0.3%,1.8%,4 251
Master+,TOUT,16.1,Riven,top,89.9%,S,52.7%,-0.9%,5.1%,12 428
Master+,TOUT,16.1,Zed,jungle,52.6%,S,51.1%,+1.1%,7.9%,19 222
Master+,TOUT,16.1,Nautilus,support,99.2%,S,49.9%,-0.0%,12.8%,31 065
Master+,TOUT,16.1,Ekko,jungle,69.6%,S,50.1%,-0.1%,10.6%,25 820
Master+,TOUT,16.1,Thresh,support,99.9%,S,50.6%,+0.4%,12.2%,29 529
Master+,TOUT,16.1,Nilah,adc,99.3%,S,53.7%,+0.6%,2.3%,5 619
Master+,TOUT,16.1,Aphelios,adc,99.6%,S,49.6%,-0.5%,17.1%,41 515
Master+,TOUT,16.1,Caitlyn,adc,99.0%,S,49.5%,+1.4%,11.9%,28 891
Master+,TOUT,16.1,Taric,support,97.4%,S,54.1%,-0.8%,1.9%,4 705
Master+,TOUT,16.1,Kassadin,mid,95.2%,S,52.4%,-0.0%,4.7%,11 451
Master+,TOUT,16.1,Seraphine,adc,28.7%,A,54.1%,+1.4%,1.5%,3 626
Master+,TOUT,16.1,Jax,top,83.4%,A,50.6%,-0.3%,7.6%,18 448
Master+,TOUT,16.1,Jayce,jungle,74.3%,A,49.3%,-0.4%,13.3%,32 387
Master+,TOUT,16.1,Sona,support,99.3%,A,51.5%,-0.3%,8.1%,19 634
Master+,TOUT,16.1,Gwen,top,41.7%,A,51.7%,+2.0%,4.0%,9 604
Master+,TOUT,16.1,Malphite,top,53.1%,A,50.9%,-2.2%,6.4%,15 537
Master+,TOUT,16.1,Fiddlesticks,jungle,67.0%,A,53.7%,+0.5%,2.0%,4 833
Master+,TOUT,16.1,Lucian,adc,97.3%,A,49.5%,-0.8%,15.5%,37 622
Master+,TOUT,16.1,Fiora,top,98.0%,A,51.2%,-0.2%,5.2%,12 687
Master+,TOUT,16.1,Rek'Sai,jungle,86.3%,A,52.9%,+0.6%,4.0%,9 655
Master+,TOUT,16.1,Zed,mid,43.2%,A,50.7%,+0.2%,6.5%,15 793
Master+,TOUT,16.1,Pyke,support,98.9%,A,50.6%,-0.2%,6.3%,15 206
Master+,TOUT,16.1,Zaahen,top,89.1%,A,51.0%,-0.9%,6.0%,14 512
Master+,TOUT,16.1,Singed,top,83.6%,A,53.1%,+0.1%,2.9%,7 083
Master+,TOUT,16.1,Lulu,support,98.7%,A,49.4%,-0.3%,12.0%,29 086
Master+,TOUT,16.1,Urgot,top,96.3%,A,53.1%,-1.2%,2.9%,6 984
Master+,TOUT,16.1,Twisted Fate,mid,95.6%,A,52.0%,+1.0%,5.8%,14 126
Master+,TOUT,16.1,Rumble,top,89.3%,A,51.4%,-0.3%,5.0%,12 191
Master+,TOUT,16.1,Akshan,mid,90.1%,A,52.1%,+1.3%,3.6%,8 734
Master+,TOUT,16.1,Janna,support,99.3%,A,51.6%,-0.8%,6.5%,15 788
Master+,TOUT,16.1,Bel'Veth,jungle,96.1%,A,52.5%,-1.1%,2.1%,5 141
Master+,TOUT,16.1,Neeko,support,79.6%,A,52.1%,+2.4%,3.8%,9 324
Master+,TOUT,16.1,Yasuo,mid,60.9%,A,50.0%,+0.9%,6.9%,16 770
Master+,TOUT,16.1,Sylas,mid,53.0%,A,49.6%,-1.1%,8.1%,19 750
Master+,TOUT,16.1,Kha'Zix,jungle,99.7%,A,50.5%,+1.6%,8.1%,19 704
Master+,TOUT,16.1,Akali,mid,76.6%,A,48.9%,+0.1%,9.7%,23 641
Master+,TOUT,16.1,Syndra,mid,94.1%,A,50.7%,-0.8%,7.2%,17 583
Master+,TOUT,16.1,Kennen,top,85.1%,A,51.8%,-0.4%,4.1%,9 846
Master+,TOUT,16.1,Nami,support,99.9%,A,49.7%,-0.4%,14.2%,34 414
Master+,TOUT,16.1,Karma,support,94.6%,A,49.1%,-1.3%,11.8%,28 715
Master+,TOUT,16.1,Zac,jungle,68.0%,A,52.1%,+0.4%,3.6%,8 808
Master+,TOUT,16.1,Ivern,jungle,85.0%,A,52.7%,+0.2%,2.1%,5 008
Master+,TOUT,16.1,Miss Fortune,adc,98.7%,A,50.7%,-0.4%,6.9%,16 781
Master+,TOUT,16.1,Talon,jungle,64.8%,B,50.1%,-0.3%,4.9%,11 956
Master+,TOUT,16.1,Bard,support,99.3%,B,50.3%,-0.9%,7.7%,18 761
Master+,TOUT,16.1,Poppy,support,55.6%,B,51.6%,-0.3%,2.3%,5 677
Master+,TOUT,16.1,Irelia,top,63.3%,B,50.0%,+0.9%,5.1%,12 432
Master+,TOUT,16.1,Rengar,jungle,82.9%,B,50.5%,+2.0%,3.4%,8 192
Master+,TOUT,16.1,Cassiopeia,top,36.5%,B,52.6%,-0.9%,1.3%,3 068
Master+,TOUT,16.1,Gangplank,top,94.4%,B,50.9%,+0.6%,5.3%,12 929
Master+,TOUT,16.1,Ambessa,top,59.3%,B,49.3%,+0.1%,7.5%,18 272
Master+,TOUT,16.1,Lux,adc,19.5%,B,52.7%,-0.5%,1.1%,2 643
Master+,TOUT,16.1,Leona,support,99.9%,B,50.6%,+0.4%,7.0%,17 058
Master+,TOUT,16.1,Tristana,adc,83.2%,B,51.3%,+0.3%,4.9%,11 940
Master+,TOUT,16.1,Karthus,jungle,75.2%,B,51.6%,+0.9%,2.5%,6 149
Master+,TOUT,16.1,Kog'Maw,adc,82.5%,B,52.6%,-0.4%,1.3%,3 179
Master+,TOUT,16.1,Taliyah,jungle,21.0%,B,52.6%,-1.0%,1.1%,2 598
Master+,TOUT,16.1,Swain,mid,25.3%,B,52.5%,-1.8%,1.4%,3 388
Master+,TOUT,16.1,Alistar,support,99.6%,B,50.6%,+0.8%,6.8%,16 607
Master+,TOUT,16.1,Shaco,jungle,78.4%,B,50.9%,-0.1%,3.0%,7 377
Master+,TOUT,16.1,Smolder,adc,84.7%,B,50.2%,-0.8%,7.7%,18 656
Master+,TOUT,16.1,Sylas,jungle,32.2%,B,49.7%,-0.7%,5.0%,12 021
Master+,TOUT,16.1,Akali,top,23.3%,B,50.3%,+0.2%,3.0%,7 189
Master+,TOUT,16.1,Kai'Sa,adc,98.3%,C,48.9%,-0.4%,18.0%,43 682
Master+,TOUT,16.1,Blitzcrank,support,99.8%,C,49.9%,+0.5%,5.3%,12 783
Master+,TOUT,16.1,Kayle,top,72.4%,C,51.2%,+1.8%,3.0%,7 384
Master+,TOUT,16.1,Naafiri,mid,48.9%,C,51.2%,-0.1%,2.5%,6 053
Master+,TOUT,16.1,Draven,adc,95.4%,C,49.7%,-1.0%,4.5%,10 950
Master+,TOUT,16.1,Jhin,adc,98.8%,C,49.2%,-0.1%,11.3%,27 398
Master+,TOUT,16.1,Nidalee,jungle,78.4%,C,51.1%,-0.9%,3.6%,8 781
Master+,TOUT,16.1,Leblanc,mid,86.5%,C,49.4%,-0.6%,5.0%,12 110
Master+,TOUT,16.1,Qiyana,jungle,51.9%,C,49.4%,+0.1%,4.9%,11 781
Master+,TOUT,16.1,Samira,adc,98.8%,C,51.2%,+0.2%,3.4%,8 184
Master+,TOUT,16.1,Rell,support,99.8%,C,50.7%,-0.2%,5.6%,13 621
Master+,TOUT,16.1,Anivia,mid,69.3%,C,51.2%,-0.1%,3.0%,7 330
Master+,TOUT,16.1,Ahri,mid,95.4%,C,50.3%,-0.8%,6.8%,16 584
Master+,TOUT,16.1,Corki,adc,81.1%,C,50.6%,+1.4%,5.6%,13 673
Master+,TOUT,16.1,Ziggs,adc,72.4%,C,51.9%,+0.3%,1.8%,4 301
Master+,TOUT,16.1,Rakan,support,99.2%,C,50.5%,+0.3%,6.5%,15 766
Master+,TOUT,16.1,Jayce,top,20.3%,C,49.6%,+0.7%,3.6%,8 834
Master+,TOUT,16.1,Kindred,jungle,97.0%,C,51.3%,+0.4%,2.2%,5 362
Master+,TOUT,16.1,Twitch,adc,92.3%,C,50.5%,+0.7%,4.8%,11 731
Master+,TOUT,16.1,Olaf,top,89.8%,C,51.4%,-0.6%,2.6%,6 226
Master+,TOUT,16.1,Quinn,top,68.8%,C,51.9%,-0.9%,1.1%,2 657
Master+,TOUT,16.1,Ashe,adc,81.6%,C,51.1%,-0.2%,3.6%,8 624
Master+,TOUT,16.1,Orianna,mid,98.2%,C,49.4%,-0.8%,7.8%,18 907
Master+,TOUT,16.1,Soraka,support,97.2%,C,50.5%,+0.1%,4.8%,11 707
Master+,TOUT,16.1,Renekton,top,95.0%,C,49.4%,+0.4%,6.8%,16 522
Master+,TOUT,16.1,Vladimir,top,47.5%,C,50.5%,-1.0%,2.9%,6 937
Master+,TOUT,16.1,Lillia,jungle,98.5%,C,51.2%,-0.7%,2.7%,6 436
Master+,TOUT,16.1,Ekko,mid,28.5%,C,49.2%,-0.2%,4.4%,10 592
Master+,TOUT,16.1,Irelia,mid,35.9%,C,49.6%,-0.5%,2.9%,7 050
Master+,TOUT,16.1,Elise,support,51.3%,C,50.4%,-0.1%,2.7%,6 461
Master+,TOUT,16.1,Swain,top,18.3%,C,51.7%,-1.0%,1.0%,2 445
Master+,TOUT,16.1,Shen,top,87.6%,C,50.9%,+0.1%,3.6%,8 855
Master+,TOUT,16.1,Vayne,top,39.6%,C,50.5%,-1.7%,2.9%,7 064
Master+,TOUT,16.1,Yunara,adc,99.7%,C,48.1%,+0.5%,11.7%,28 401
Master+,TOUT,16.1,Diana,mid,20.7%,C,49.5%,-0.9%,2.7%,6 645
Master+,TOUT,16.1,Vladimir,mid,45.6%,C,50.3%,+0.5%,2.7%,6 672
Master+,TOUT,16.1,Jax,jungle,15.2%,C,49.8%,-1.9%,1.4%,3 367
Master+,TOUT,16.1,Kled,top,90.5%,C,51.3%,-1.6%,1.9%,4 598
Master+,TOUT,16.1,Volibear,jungle,38.3%,C,51.0%,+1.2%,2.1%,5 081
Master+,TOUT,16.1,Galio,mid,88.1%,C,49.8%,+1.0%,5.7%,13 953
Master+,TOUT,16.1,Jarvan IV,jungle,95.8%,C,49.5%,-0.4%,7.0%,16 988
Master+,TOUT,16.1,Xayah,adc,99.6%,C,50.8%,-1.1%,2.9%,7 137
Master+,TOUT,16.1,Lissandra,mid,91.6%,C,50.9%,-0.2%,2.6%,6 350
Master+,TOUT,16.1,Vex,mid,96.1%,C,50.7%,-0.5%,2.3%,5 661
Master+,TOUT,16.1,Ornn,top,96.9%,C,50.4%,+1.6%,4.1%,9 927
Master+,TOUT,16.1,Poppy,top,33.8%,C,50.3%,-0.7%,1.4%,3 448
Master+,TOUT,16.1,Dr.Mundo,top,57.1%,C,50.0%,-0.9%,3.8%,9 115
Master+,TOUT,16.1,Yasuo,top,27.1%,C,49.0%,+1.2%,3.1%,7 450
Master+,TOUT,16.1,Evelynn,jungle,98.6%,C,50.6%,+0.3%,2.2%,5 319
Master+,TOUT,16.1,Sylas,top,9.1%,C,49.4%,+1.5%,1.4%,3 405
Master+,TOUT,16.1,Camille,top,87.3%,C,50.5%,+0.1%,3.1%,7 556
Master+,TOUT,16.1,Taliyah,mid,71.7%,C,50.3%,+0.3%,3.7%,8 886
Master+,TOUT,16.1,Zyra,jungle,48.3%,C,50.8%,-0.4%,1.4%,3 322
Master+,TOUT,16.1,Darius,top,96.6%,C,48.7%,+0.1%,4.7%,11 305
Master+,TOUT,16.1,Varus,top,32.3%,D,50.5%,+3.1%,2.0%,4 812
Master+,TOUT,16.1,Xerath,mid,70.3%,D,50.0%,+1.4%,3.3%,8 107
Master+,TOUT,16.1,Senna,support,93.0%,D,50.1%,+0.0%,3.7%,9 040
Master+,TOUT,16.1,Viktor,mid,94.6%,D,48.9%,-1.0%,6.4%,15 502
Master+,TOUT,16.1,Aurelion Sol,mid,70.8%,D,50.6%,+1.2%,1.9%,4 734
Master+,TOUT,16.1,Vel'Koz,support,44.0%,D,50.8%,-2.2%,1.4%,3 432
Master+,TOUT,16.1,Maokai,support,72.7%,D,50.8%,-0.0%,1.3%,3 076
Master+,TOUT,16.1,Ezreal,adc,97.9%,D,47.1%,-1.1%,14.3%,34 709
Master+,TOUT,16.1,Teemo,top,84.4%,D,50.6%,+0.3%,1.5%,3 683
Master+,TOUT,16.1,Ryze,mid,77.3%,D,48.4%,-0.3%,7.8%,18 868
Master+,TOUT,16.1,Gragas,top,69.0%,D,50.2%,-0.0%,2.7%,6 459
Master+,TOUT,16.1,Graves,jungle,95.7%,D,49.3%,-0.8%,4.7%,11 326
Master+,TOUT,16.1,Milio,support,99.9%,D,48.5%,-0.8%,6.8%,16 592
Master+,TOUT,16.1,Elise,jungle,46.0%,D,49.4%,-0.1%,2.4%,5 791
Master+,TOUT,16.1,Kayle,mid,26.2%,D,50.0%,-0.5%,1.1%,2 676
Master+,TOUT,16.1,Hecarim,jungle,99.8%,D,49.0%,-0.8%,4.7%,11 447
Master+,TOUT,16.1,Gnar,top,99.3%,D,49.5%,+0.6%,4.0%,9 809
Master+,TOUT,16.1,Warwick,top,55.3%,D,50.5%,-1.3%,1.3%,3 070
Master+,TOUT,16.1,Zilean,support,75.7%,D,50.0%,-0.2%,2.3%,5 702
Master+,TOUT,16.1,Seraphine,support,65.0%,D,49.8%,-1.0%,3.4%,8 196
Master+,TOUT,16.1,Sion,top,83.2%,D,49.3%,-0.5%,4.8%,11 743
Master+,TOUT,16.1,Vayne,adc,57.0%,D,48.9%,-1.4%,4.2%,10 185
Master+,TOUT,16.1,Pantheon,top,32.1%,D,50.0%,+1.0%,1.6%,3 905
Master+,TOUT,16.1,Nasus,top,81.9%,D,49.7%,+0.9%,2.1%,5 067
Master+,TOUT,16.1,Viego,jungle,94.5%,D,47.5%,-1.4%,8.5%,20 705
Master+,TOUT,16.1,Udyr,jungle,63.8%,D,49.9%,-2.5%,1.4%,3 394
Master+,TOUT,16.1,Rammus,jungle,83.8%,D,49.9%,+0.6%,1.2%,2 922
Master+,TOUT,16.1,Morgana,support,68.9%,D,49.1%,+1.0%,1.9%,4 624
Master+,TOUT,16.1,Master Yi,jungle,88.3%,D,48.7%,+0.2%,2.9%,6 960
Master+,TOUT,16.1,Malphite,jungle,40.6%,D,47.1%,-2.7%,4.9%,11 867
Master+,TOUT,16.1,Naafiri,jungle,37.0%,D,48.9%,+0.7%,1.9%,4 580
Master+,TOUT,16.1,Lux,mid,44.9%,D,49.4%,-0.5%,2.5%,6 089
Master+,TOUT,16.1,Aurora,mid,73.4%,D,49.0%,-0.7%,3.3%,8 046
Master+,TOUT,16.1,Veigar,mid,68.0%,D,49.6%,+0.9%,2.1%,5 201
Master+,TOUT,16.1,Volibear,top,61.2%,D,49.0%,+1.0%,3.3%,8 119
Master+,TOUT,16.1,Fizz,mid,93.2%,D,49.2%,-1.1%,2.5%,6 165
Master+,TOUT,16.1,Cho'Gath,top,66.2%,D,49.5%,-0.1%,2.1%,5 138
Master+,TOUT,16.1,Ryze,top,22.3%,D,49.0%,-0.1%,2.2%,5 456
Master+,TOUT,16.1,Dr.Mundo,jungle,40.4%,D,48.7%,+1.8%,2.7%,6 444
Master+,TOUT,16.1,Vel'Koz,mid,31.5%,D,49.7%,+1.7%,1.0%,2 456
Master+,TOUT,16.1,Aurora,top,24.9%,D,49.4%,+1.0%,1.1%,2 729
Master+,TOUT,16.1,Cassiopeia,mid,43.8%,D,49.1%,-2.8%,1.5%,3 686
Master+,TOUT,16.1,Ambessa,jungle,36.4%,D,46.7%,+0.8%,4.6%,11 206
Master+,TOUT,16.1,Mel,adc,19.2%,D,47.7%,+0.9%,1.3%,3 066
Master+,TOUT,16.1,Xin Zhao,jungle,86.0%,D,48.8%,-0.7%,2.6%,6 384
Master+,TOUT,16.1,Kalista,adc,89.9%,D,49.3%,+0.1%,1.1%,2 709
Master+,TOUT,16.1,Aatrox,top,83.9%,D,46.8%,+0.5%,6.5%,15 786
Master+,TOUT,16.1,Zeri,adc,95.5%,D,48.6%,+1.6%,3.2%,7 849
Master+,TOUT,16.1,Kayn,jungle,93.4%,D,48.5%,-1.1%,2.7%,6 578
Master+,TOUT,16.1,K'Sante,top,96.0%,D,47.3%,-0.4%,6.1%,14 689
Master+,TOUT,16.1,Sett,top,93.2%,D,48.5%,-0.5%,3.3%,7 979
Master+,TOUT,16.1,Garen,top,90.0%,D,48.4%,-0.3%,3.2%,7 884
Master+,TOUT,16.1,Yuumi,support,99.8%,D,46.7%,-0.7%,5.0%,12 083
Master+,TOUT,16.1,Tryndamere,top,84.1%,D,48.5%,-1.5%,2.0%,4 824
Master+,TOUT,16.1,Yorick,top,95.6%,D,48.5%,-1.1%,2.0%,4 753
Master+,TOUT,16.1,Hwei,mid,77.4%,D,48.4%,-0.1%,2.9%,6 956
Master+,TOUT,16.1,Mordekaiser,top,88.7%,D,48.1%,+0.3%,3.1%,7 621
Master+,TOUT,16.1,Malzahar,mid,91.8%,D,48.2%,+0.6%,2.9%,6 934
Master+,TOUT,16.1,Yone,top,45.4%,D,47.9%,+0.3%,3.6%,8 783
Master+,TOUT,16.1,Yone,mid,54.0%,D,47.7%,-0.0%,4.3%,10 440
Master+,TOUT,16.1,Wukong,jungle,72.9%,D,48.5%,-0.6%,2.2%,5 448
Master+,TOUT,16.1,Varus,adc,59.8%,D,47.8%,+2.7%,3.7%,8 898
Master+,TOUT,16.1,Swain,support,24.6%,D,48.5%,+0.8%,1.4%,3 290
Master+,TOUT,16.1,Aatrox,jungle,13.8%,D,47.7%,+1.4%,1.1%,2 596
Master+,TOUT,16.1,Nocturne,jungle,88.2%,D,48.1%,-0.0%,1.9%,4 556
