champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_mid_1_name,synergy_mid_1_winrate,synergy_mid_1_games,synergy_mid_1_lane_quality,synergy_mid_2_name,synergy_mid_2_winrate,synergy_mid_2_games,synergy_mid_2_lane_quality,synergy_mid_3_name,synergy_mid_3_winrate,synergy_mid_3_games,synergy_mid_3_lane_quality,synergy_mid_4_name,synergy_mid_4_winrate,synergy_mid_4_games,synergy_mid_4_lane_quality,synergy_mid_5_name,synergy_mid_5_winrate,synergy_mid_5_games,synergy_mid_5_lane_quality,synergy_mid_6_name,synergy_mid_6_winrate,synergy_mid_6_games,synergy_mid_6_lane_quality,synergy_mid_7_name,synergy_mid_7_winrate,synergy_mid_7_games,synergy_mid_7_lane_quality,synergy_mid_8_name,synergy_mid_8_winrate,synergy_mid_8_games,synergy_mid_8_lane_quality,synergy_mid_9_name,synergy_mid_9_winrate,synergy_mid_9_games,synergy_mid_9_lane_quality,synergy_mid_10_name,synergy_mid_10_winrate,synergy_mid_10_games,synergy_mid_10_lane_quality,synergy_mid_11_name,synergy_mid_11_winrate,synergy_mid_11_games,synergy_mid_11_lane_quality,synergy_mid_12_name,synergy_mid_12_winrate,synergy_mid_12_games,synergy_mid_12_lane_quality,synergy_mid_13_name,synergy_mid_13_winrate,synergy_mid_13_games,synergy_mid_13_lane_quality,synergy_mid_14_name,synergy_mid_14_winrate,synergy_mid_14_games,synergy_mid_14_lane_quality,synergy_mid_15_name,synergy_mid_15_winrate,synergy_mid_15_games,synergy_mid_15_lane_quality,synergy_mid_16_name,synergy_mid_16_winrate,synergy_mid_16_games,synergy_mid_16_lane_quality,synergy_mid_17_name,synergy_mid_17_winrate,synergy_mid_17_games,synergy_mid_17_lane_quality,synergy_mid_18_name,synergy_mid_18_winrate,synergy_mid_18_games,synergy_mid_18_lane_quality,synergy_mid_19_name,synergy_mid_19_winrate,synergy_mid_19_games,synergy_mid_19_lane_quality,synergy_mid_20_name,synergy_mid_20_winrate,synergy_mid_20_games,synergy_mid_20_lane_quality,synergy_mid_21_name,synergy_mid_21_winrate,synergy_mid_21_games,synergy_mid_21_lane_quality,synergy_mid_22_name,synergy_mid_22_winrate,synergy_mid_22_games,synergy_mid_22_lane_quality,synergy_mid_23_name,synergy_mid_23_winrate,synergy_mid_23_games,synergy_mid_23_lane_quality,synergy_mid_24_name,synergy_mid_24_winrate,synergy_mid_24_games,synergy_mid_24_lane_quality,synergy_mid_25_name,synergy_mid_25_winrate,synergy_mid_25_games,synergy_mid_25_lane_quality,synergy_mid_26_name,synergy_mid_26_winrate,synergy_mid_26_games,synergy_mid_26_lane_quality,synergy_mid_27_name,synergy_mid_27_winrate,synergy_mid_27_games,synergy_mid_27_lane_quality,synergy_mid_28_name,synergy_mid_28_winrate,synergy_mid_28_games,synergy_mid_28_lane_quality,synergy_mid_29_name,synergy_mid_29_winrate,synergy_mid_29_games,synergy_mid_29_lane_quality,synergy_mid_30_name,synergy_mid_30_winrate,synergy_mid_30_games,synergy_mid_30_lane_quality,synergy_mid_31_name,synergy_mid_31_winrate,synergy_mid_31_games,synergy_mid_31_lane_quality,synergy_mid_32_name,synergy_mid_32_winrate,synergy_mid_32_games,synergy_mid_32_lane_quality,synergy_mid_33_name,synergy_mid_33_winrate,synergy_mid_33_games,synergy_mid_33_lane_quality,synergy_mid_34_name,synergy_mid_34_winrate,synergy_mid_34_games,synergy_mid_34_lane_quality,synergy_mid_35_name,synergy_mid_35_winrate,synergy_mid_35_games,synergy_mid_35_lane_quality,synergy_mid_36_name,synergy_mid_36_winrate,synergy_mid_36_games,synergy_mid_36_lane_quality,synergy_mid_37_name,synergy_mid_37_winrate,synergy_mid_37_games,synergy_mid_37_lane_quality,synergy_mid_38_name,synergy_mid_38_winrate,synergy_mid_38_games,synergy_mid_38_lane_quality,synergy_mid_39_name,synergy_mid_39_winrate,synergy_mid_39_games,synergy_mid_39_lane_quality,synergy_mid_40_name,synergy_mid_40_winrate,synergy_mid_40_games,synergy_mid_40_lane_quality,synergy_mid_41_name,synergy_mid_41_winrate,synergy_mid_41_games,synergy_mid_41_lane_quality,synergy_mid_42_name,synergy_mid_42_winrate,synergy_mid_42_games,synergy_mid_42_lane_quality,synergy_mid_43_name,synergy_mid_43_winrate,synergy_mid_43_games,synergy_mid_43_lane_quality,synergy_mid_44_name,synergy_mid_44_winrate,synergy_mid_44_games,synergy_mid_44_lane_quality,synergy_mid_45_name,synergy_mid_45_winrate,synergy_mid_45_games,synergy_mid_45_lane_quality,synergy_mid_46_name,synergy_mid_46_winrate,synergy_mid_46_games,synergy_mid_46_lane_quality,synergy_mid_47_name,synergy_mid_47_winrate,synergy_mid_47_games,synergy_mid_47_lane_quality,synergy_mid_48_name,synergy_mid_48_winrate,synergy_mid_48_games,synergy_mid_48_lane_quality,synergy_mid_49_name,synergy_mid_49_winrate,synergy_mid_49_games,synergy_mid_49_lane_quality,synergy_mid_50_name,synergy_mid_50_winrate,synergy_mid_50_games,synergy_mid_50_lane_quality,synergy_mid_51_name,synergy_mid_51_winrate,synergy_mid_51_games,synergy_mid_51_lane_quality,synergy_mid_52_name,synergy_mid_52_winrate,synergy_mid_52_games,synergy_mid_52_lane_quality,synergy_mid_53_name,synergy_mid_53_winrate,synergy_mid_53_games,synergy_mid_53_lane_quality,synergy_mid_54_name,synergy_mid_54_winrate,synergy_mid_54_games,synergy_mid_54_lane_quality
Miss Fortune,adc,97.3%,S+,1 / 26,52.2 %,22.6 %,18.5 %,5439399,https://dpm.lol/champions/MissFortune/build?lane=bottom&tier=all&platform=all&timeframe=15.24,False,Kayle,55.39%,32154,,Swain,55.22%,55678,,Heimerdinger,54.96%,20280,,Malphite,54.80%,40256,,Malzahar,54.76%,235444,,Morgana,54.38%,60123,,Naafiri,54.14%,76359,,Brand,54.00%,40083,,Diana,53.87%,135336,,Pantheon,53.80%,21408,,Veigar,53.76%,206879,,Lux,53.49%,145257,,Fizz,53.48%,165147,,Velkoz,53.33%,41134,,Anivia,53.26%,62905,,Xerath,53.23%,96197,,Kennen,53.21%,28202,,Cassiopeia,53.19%,43409,,Chogath,53.18%,20074,,AurelionSol,53.14%,70822,,Kassadin,53.10%,63038,,Ahri,53.00%,266538,,Ekko,53.00%,99491,,Vex,52.91%,100292,,Viktor,52.84%,145045,,Vladimir,52.39%,77011,,Irelia,52.39%,75629,,Syndra,52.36%,143506,,Yasuo,52.18%,259609,,Ziggs,52.11%,32166,,Lissandra,51.99%,66016,,Galio,51.97%,100768,,Akali,51.77%,202854,,Sylas,51.69%,168431,,Annie,51.63%,43038,,Ryze,51.58%,67028,,Hwei,51.56%,82765,,Neeko,51.45%,19185,,TwistedFate,51.39%,68983,,Leblanc,51.25%,109717,,Talon,51.24%,33992,,Katarina,51.16%,192082,,Jayce,51.05%,14687,,Yone,50.86%,173014,,Aurora,50.68%,60018,,Akshan,50.61%,63398,,Smolder,50.24%,32039,,Zoe,50.16%,92010,,Orianna,50.13%,119820,,Zed,50.04%,164010,,Taliyah,49.72%,35247,,Mel,49.28%,204960,,Qiyana,49.11%,46632,,Azir,47.12%,51853,
Briar,jun,92.1%,S+,1 / 52,53.2 %,5.9 %,12.0 %,1424721,https://dpm.lol/champions/Briar/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Kayle,57.65%,9024,,Malphite,56.51%,10520,,Heimerdinger,56.07%,5304,,Kennen,55.82%,7289,,Brand,55.80%,11083,,Morgana,55.79%,16389,,Pantheon,55.53%,5280,,Swain,55.37%,16114,,Malzahar,55.21%,64913,,Veigar,55.13%,54930,,Naafiri,54.89%,19749,,AurelionSol,54.89%,19818,,Fizz,54.89%,44277,,Xerath,54.83%,25465,,Lux,54.81%,40616,,Diana,54.74%,37130,,Anivia,54.74%,16334,,Viktor,54.52%,36608,,Vex,54.48%,27799,,Ekko,54.42%,27705,,Velkoz,54.40%,11074,,Chogath,54.23%,5484,,Ahri,54.07%,74221,,Annie,53.79%,11390,,Syndra,53.66%,37443,,Kassadin,53.53%,16792,,Cassiopeia,53.17%,10904,,Hwei,53.14%,22975,,Akali,53.04%,54763,,Lissandra,52.77%,17104,,Vladimir,52.74%,21035,,Aurora,52.52%,16194,,Irelia,52.44%,18349,,Ziggs,52.33%,8515,,Katarina,52.31%,52354,,Leblanc,52.25%,28580,,Neeko,52.20%,5033,,Talon,52.12%,7908,,Yasuo,52.08%,57843,,Akshan,51.77%,16303,,Taliyah,51.64%,8897,,Sylas,51.61%,45445,,Smolder,51.43%,7751,,Ryze,51.38%,16941,,Zoe,51.23%,24479,,TwistedFate,51.21%,17813,,Yone,51.06%,40208,,Orianna,51.04%,27074,,Mel,50.90%,55025,,Zed,50.78%,39170,,Qiyana,50.46%,11107,,Azir,48.21%,13514,,,,,,,,,
Malphite,top,47.4%,S+,1 / 50,52.5 %,8.1 %,27.2 %,1955012,https://dpm.lol/champions/Malphite/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Swain,56.27%,18608,,Kayle,56.18%,10895,,Naafiri,54.93%,27491,,Velkoz,54.90%,13633,,Pantheon,54.79%,7886,,Morgana,54.58%,19581,,Lux,54.30%,50263,,Kennen,54.16%,8731,,Malzahar,54.02%,80383,,Xerath,53.77%,33997,,Heimerdinger,53.76%,6276,,Veigar,53.75%,65683,,Yasuo,53.68%,139956,,Vladimir,53.67%,28351,,Diana,53.63%,46514,,Brand,53.47%,13046,,Chogath,53.36%,6301,,Viktor,53.24%,54715,,Irelia,53.12%,27825,,Ahri,53.10%,92129,,Kassadin,52.96%,21616,,AurelionSol,52.94%,23508,,Ekko,52.81%,32731,,Fizz,52.75%,55610,,Vex,52.74%,33936,,Anivia,52.73%,22064,,Syndra,52.59%,51969,,Lissandra,52.32%,23749,,Smolder,52.31%,13264,,Ziggs,52.20%,10973,,Neeko,52.19%,6250,,Katarina,52.14%,70248,,Sylas,52.08%,58275,,Akshan,51.98%,24648,,Talon,51.89%,13485,,Annie,51.85%,15077,,Cassiopeia,51.80%,14649,,Yone,51.80%,66131,,Hwei,51.74%,29230,,Ryze,51.72%,24214,,Akali,51.51%,69552,,Zed,51.41%,62263,,Galio,51.36%,30634,,Jayce,51.28%,5839,,Leblanc,50.92%,40057,,Orianna,50.88%,49840,,TwistedFate,50.86%,25466,,Aurora,50.84%,21038,,Taliyah,50.34%,13119,,Qiyana,50.31%,18189,,Tristana,50.04%,5607,,Zoe,49.90%,33628,,Mel,49.48%,73643,,Azir,48.43%,19047,
Malzahar,mid,90.0%,S+,1 / 47,52.0 %,8.1 %,16.5 %,1955295,https://dpm.lol/champions/Malzahar/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milio,sup,99.6%,S+,1 / 39,52.8 %,7.4 %,6.8 %,1767613,https://dpm.lol/champions/Milio/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Kayle,55.43%,12568,,Malphite,55.39%,12009,,Swain,55.21%,18924,,Morgana,55.01%,19597,,Brand,54.86%,10891,,Velkoz,54.80%,13655,,Fizz,54.77%,49715,,Pantheon,54.77%,6159,,Kennen,54.49%,8682,,Diana,54.48%,40570,,Naafiri,54.34%,22070,,Malzahar,54.28%,75075,,Heimerdinger,54.27%,4839,,Veigar,54.21%,56839,,Anivia,54.04%,21810,,Vex,54.00%,28660,,Kassadin,53.78%,24732,,Lux,53.76%,49442,,Xerath,53.68%,31970,,Viktor,53.68%,52332,,AurelionSol,53.63%,22317,,Ahri,53.48%,87454,,Syndra,53.46%,55040,,Ekko,53.33%,31681,,Chogath,53.31%,6376,,Katarina,53.21%,68517,,Lissandra,52.84%,24097,,Irelia,52.79%,23749,,Ziggs,52.68%,9615,,TwistedFate,52.62%,24390,,Cassiopeia,52.61%,14429,,Yasuo,52.56%,74723,,Talon,52.53%,11531,,Jayce,52.46%,5017,,Akali,52.40%,61906,,Annie,52.39%,14045,,Hwei,52.34%,29428,,Leblanc,52.13%,37856,,Galio,52.06%,31827,,Vladimir,51.99%,30210,,Neeko,51.90%,5613,,Sylas,51.87%,56251,,Smolder,51.75%,10302,,Zed,51.68%,52654,,Qiyana,51.62%,16653,,Zoe,51.47%,31939,,Akshan,51.43%,22402,,Aurora,51.40%,20804,,Ryze,50.99%,23781,,Yone,50.88%,46185,,Taliyah,50.82%,12856,,Mel,50.61%,68237,,Orianna,50.38%,39121,,Azir,48.07%,17831,
