champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_adc_1_name,synergy_adc_1_winrate,synergy_adc_1_games,synergy_adc_1_lane_quality,synergy_adc_2_name,synergy_adc_2_winrate,synergy_adc_2_games,synergy_adc_2_lane_quality,synergy_adc_3_name,synergy_adc_3_winrate,synergy_adc_3_games,synergy_adc_3_lane_quality,synergy_adc_4_name,synergy_adc_4_winrate,synergy_adc_4_games,synergy_adc_4_lane_quality,synergy_adc_5_name,synergy_adc_5_winrate,synergy_adc_5_games,synergy_adc_5_lane_quality,synergy_adc_6_name,synergy_adc_6_winrate,synergy_adc_6_games,synergy_adc_6_lane_quality,synergy_adc_7_name,synergy_adc_7_winrate,synergy_adc_7_games,synergy_adc_7_lane_quality,synergy_adc_8_name,synergy_adc_8_winrate,synergy_adc_8_games,synergy_adc_8_lane_quality,synergy_adc_9_name,synergy_adc_9_winrate,synergy_adc_9_games,synergy_adc_9_lane_quality,synergy_adc_10_name,synergy_adc_10_winrate,synergy_adc_10_games,synergy_adc_10_lane_quality,synergy_adc_11_name,synergy_adc_11_winrate,synergy_adc_11_games,synergy_adc_11_lane_quality,synergy_adc_12_name,synergy_adc_12_winrate,synergy_adc_12_games,synergy_adc_12_lane_quality,synergy_adc_13_name,synergy_adc_13_winrate,synergy_adc_13_games,synergy_adc_13_lane_quality,synergy_adc_14_name,synergy_adc_14_winrate,synergy_adc_14_games,synergy_adc_14_lane_quality,synergy_adc_15_name,synergy_adc_15_winrate,synergy_adc_15_games,synergy_adc_15_lane_quality,synergy_adc_16_name,synergy_adc_16_winrate,synergy_adc_16_games,synergy_adc_16_lane_quality,synergy_adc_17_name,synergy_adc_17_winrate,synergy_adc_17_games,synergy_adc_17_lane_quality,synergy_adc_18_name,synergy_adc_18_winrate,synergy_adc_18_games,synergy_adc_18_lane_quality,synergy_adc_19_name,synergy_adc_19_winrate,synergy_adc_19_games,synergy_adc_19_lane_quality,synergy_adc_20_name,synergy_adc_20_winrate,synergy_adc_20_games,synergy_adc_20_lane_quality,synergy_adc_21_name,synergy_adc_21_winrate,synergy_adc_21_games,synergy_adc_21_lane_quality,synergy_adc_22_name,synergy_adc_22_winrate,synergy_adc_22_games,synergy_adc_22_lane_quality,synergy_adc_23_name,synergy_adc_23_winrate,synergy_adc_23_games,synergy_adc_23_lane_quality,synergy_adc_24_name,synergy_adc_24_winrate,synergy_adc_24_games,synergy_adc_24_lane_quality,synergy_adc_25_name,synergy_adc_25_winrate,synergy_adc_25_games,synergy_adc_25_lane_quality,synergy_adc_26_name,synergy_adc_26_winrate,synergy_adc_26_games,synergy_adc_26_lane_quality,synergy_adc_27_name,synergy_adc_27_winrate,synergy_adc_27_games,synergy_adc_27_lane_quality,synergy_adc_28_name,synergy_adc_28_winrate,synergy_adc_28_games,synergy_adc_28_lane_quality,synergy_adc_29_name,synergy_adc_29_winrate,synergy_adc_29_games,synergy_adc_29_lane_quality,synergy_adc_30_name,synergy_adc_30_winrate,synergy_adc_30_games,synergy_adc_30_lane_quality,synergy_adc_31_name,synergy_adc_31_winrate,synergy_adc_31_games,synergy_adc_31_lane_quality,synergy_adc_32_name,synergy_adc_32_winrate,synergy_adc_32_games,synergy_adc_32_lane_quality
Shaco,jun,74.2%,C,17 / 52,49.1 %,5.3 %,27.5 %,1265986,https://dpm.lol/champions/Shaco/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Veigar,52.57%,4894,,Swain,52.44%,8088,,KogMaw,51.86%,10463,,Nilah,51.63%,11263,,Smolder,51.34%,60596,,Vayne,51.24%,58520,,MissFortune,50.72%,145498,,Jinx,50.14%,85935,,Lux,50.14%,4017,,Ziggs,50.11%,12459,,Yasuo,49.85%,7254,,Jhin,49.71%,103310,,Sivir,49.33%,26157,,Aphelios,49.30%,35058,,Samira,49.04%,35793,,Xayah,48.99%,24695,,Tristana,48.88%,50701,,Twitch,48.80%,29131,,Zeri,48.78%,15614,,Caitlyn,48.58%,117163,,Ashe,48.16%,73711,,Kaisa,48.05%,89362,,Lucian,47.67%,44877,,Ezreal,47.58%,58990,,Draven,47.25%,25811,,Mel,46.89%,8127,,Yunara,46.42%,37411,,Corki,46.22%,6687,,Kalista,46.05%,8354,,Varus,44.35%,23611,,,,,,,,,
Zed,mid,63.5%,C,20 / 47,48.7 %,6.5 %,21.7 %,1561717,https://dpm.lol/champions/Zed/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Brand,55.06%,5803,,Swain,54.90%,14038,,Veigar,54.38%,8946,,Hwei,54.32%,3835,,Lux,53.38%,7034,,Ziggs,52.23%,29168,,Nilah,51.60%,12510,,KogMaw,51.50%,12900,,Smolder,51.30%,72400,,MissFortune,50.04%,164010,,Vayne,49.72%,67235,,Sivir,49.55%,30633,,Jinx,49.18%,98557,,Ashe,48.88%,86298,,Mel,48.87%,14463,,Jhin,48.80%,124063,,Xayah,48.40%,28517,,Yasuo,48.01%,8222,,Samira,47.98%,40158,,Kaisa,47.82%,128850,,Tristana,47.78%,55633,,Aphelios,47.76%,43310,,Twitch,47.72%,34326,,Zeri,47.70%,19502,,Caitlyn,47.63%,135146,,Draven,47.06%,29655,,Lucian,47.04%,56379,,Ezreal,46.92%,78757,,Yunara,46.37%,47891,,Corki,46.11%,8478,,Varus,45.16%,31543,,Kalista,44.94%,10402,
Irelia,mid,44.6%,C,21 / 47,50.1 %,2.9 %,9.1 %,699054,https://dpm.lol/champions/Irelia/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Brand,57.71%,2362,,Hwei,56.37%,1765,,Lux,54.95%,3330,,Veigar,54.66%,4164,,Swain,54.62%,6110,,Ziggs,54.34%,12253,,KogMaw,52.94%,5850,,MissFortune,52.39%,75629,,Smolder,51.88%,31630,,Vayne,51.15%,29213,,Nilah,51.12%,5608,,Mel,50.70%,6789,,Jinx,50.54%,44784,,Ashe,50.53%,40874,,Jhin,50.02%,55277,,Xayah,50.02%,12982,,Sivir,49.97%,13927,,Yasuo,49.72%,3781,,Samira,49.57%,18079,,Aphelios,49.38%,19169,,Twitch,49.21%,15458,,Zeri,49.15%,8716,,Caitlyn,49.13%,60498,,Lucian,49.02%,24522,,Kaisa,49.00%,55416,,Tristana,48.88%,25193,,Ezreal,48.48%,34835,,Yunara,48.13%,21778,,Corki,47.43%,3799,,Draven,47.41%,12890,,Varus,46.82%,13935,,Kalista,46.44%,4412,
Xerath,sup,46.0%,C,22 / 39,50.5 %,3.2 %,5.7 %,758138,https://dpm.lol/champions/Xerath/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Lux,53.45%,3536,,KogMaw,52.90%,4699,,Yasuo,52.66%,2108,,Brand,52.54%,2029,,Jhin,52.21%,144502,,Swain,52.06%,4070,,Veigar,52.01%,2715,,MissFortune,51.99%,76966,,Vayne,51.86%,23822,,Velkoz,51.67%,2152,,Nilah,51.20%,3758,,Ziggs,51.05%,12342,,Jinx,50.65%,38672,,Smolder,50.58%,36050,,Caitlyn,50.44%,74492,,Ashe,50.14%,40688,,Ezreal,49.74%,56959,,Sivir,49.65%,15923,,Tristana,49.62%,21159,,Kaisa,49.54%,43529,,Twitch,49.41%,11184,,Samira,49.38%,10173,,Xayah,49.21%,9971,,Aphelios,49.10%,16360,,Draven,49.08%,9308,,Zeri,48.48%,6912,,Corki,48.00%,3621,,Mel,47.75%,5615,,Kalista,47.43%,2530,,Lucian,47.09%,15276,,Varus,46.43%,21406,,Yunara,46.22%,17536,
Vex,mid,95.1%,C,22 / 47,50.7 %,3.4 %,3.6 %,821455,https://dpm.lol/champions/Vex/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Nilah,54.55%,7248,,MissFortune,52.91%,100292,,Vayne,52.33%,35437,,KogMaw,52.28%,6339,,Veigar,52.27%,2512,,Swain,52.01%,4732,,Smolder,51.93%,39080,,Yasuo,51.68%,4553,,Jinx,51.52%,56433,,Jhin,51.10%,67164,,Aphelios,50.98%,23157,,Samira,50.96%,23056,,Senna,50.92%,2007,,Sivir,50.71%,16697,,Xayah,50.54%,15776,,Ziggs,50.49%,6895,,Tristana,50.40%,32963,,Lux,50.32%,2196,,Draven,50.23%,15904,,Zeri,50.16%,11035,,Kaisa,50.11%,59237,,Twitch,50.05%,17409,,Lucian,50.05%,29152,,Caitlyn,49.77%,73974,,Mel,48.97%,4599,,Ezreal,48.49%,39970,,Yunara,48.31%,25337,,Corki,47.50%,4526,,Kalista,47.33%,5552,,Varus,46.73%,15963,,,,,,,,,
