champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_adc_1_name,synergy_adc_1_winrate,synergy_adc_1_games,synergy_adc_1_lane_quality,synergy_adc_2_name,synergy_adc_2_winrate,synergy_adc_2_games,synergy_adc_2_lane_quality,synergy_adc_3_name,synergy_adc_3_winrate,synergy_adc_3_games,synergy_adc_3_lane_quality,synergy_adc_4_name,synergy_adc_4_winrate,synergy_adc_4_games,synergy_adc_4_lane_quality,synergy_adc_5_name,synergy_adc_5_winrate,synergy_adc_5_games,synergy_adc_5_lane_quality,synergy_adc_6_name,synergy_adc_6_winrate,synergy_adc_6_games,synergy_adc_6_lane_quality,synergy_adc_7_name,synergy_adc_7_winrate,synergy_adc_7_games,synergy_adc_7_lane_quality,synergy_adc_8_name,synergy_adc_8_winrate,synergy_adc_8_games,synergy_adc_8_lane_quality,synergy_adc_9_name,synergy_adc_9_winrate,synergy_adc_9_games,synergy_adc_9_lane_quality,synergy_adc_10_name,synergy_adc_10_winrate,synergy_adc_10_games,synergy_adc_10_lane_quality,synergy_adc_11_name,synergy_adc_11_winrate,synergy_adc_11_games,synergy_adc_11_lane_quality,synergy_adc_12_name,synergy_adc_12_winrate,synergy_adc_12_games,synergy_adc_12_lane_quality,synergy_adc_13_name,synergy_adc_13_winrate,synergy_adc_13_games,synergy_adc_13_lane_quality,synergy_adc_14_name,synergy_adc_14_winrate,synergy_adc_14_games,synergy_adc_14_lane_quality,synergy_adc_15_name,synergy_adc_15_winrate,synergy_adc_15_games,synergy_adc_15_lane_quality,synergy_adc_16_name,synergy_adc_16_winrate,synergy_adc_16_games,synergy_adc_16_lane_quality,synergy_adc_17_name,synergy_adc_17_winrate,synergy_adc_17_games,synergy_adc_17_lane_quality,synergy_adc_18_name,synergy_adc_18_winrate,synergy_adc_18_games,synergy_adc_18_lane_quality,synergy_adc_19_name,synergy_adc_19_winrate,synergy_adc_19_games,synergy_adc_19_lane_quality,synergy_adc_20_name,synergy_adc_20_winrate,synergy_adc_20_games,synergy_adc_20_lane_quality,synergy_adc_21_name,synergy_adc_21_winrate,synergy_adc_21_games,synergy_adc_21_lane_quality,synergy_adc_22_name,synergy_adc_22_winrate,synergy_adc_22_games,synergy_adc_22_lane_quality,synergy_adc_23_name,synergy_adc_23_winrate,synergy_adc_23_games,synergy_adc_23_lane_quality,synergy_adc_24_name,synergy_adc_24_winrate,synergy_adc_24_games,synergy_adc_24_lane_quality,synergy_adc_25_name,synergy_adc_25_winrate,synergy_adc_25_games,synergy_adc_25_lane_quality,synergy_adc_26_name,synergy_adc_26_winrate,synergy_adc_26_games,synergy_adc_26_lane_quality,synergy_adc_27_name,synergy_adc_27_winrate,synergy_adc_27_games,synergy_adc_27_lane_quality,synergy_adc_28_name,synergy_adc_28_winrate,synergy_adc_28_games,synergy_adc_28_lane_quality,synergy_adc_29_name,synergy_adc_29_winrate,synergy_adc_29_games,synergy_adc_29_lane_quality,synergy_adc_30_name,synergy_adc_30_winrate,synergy_adc_30_games,synergy_adc_30_lane_quality,synergy_adc_31_name,synergy_adc_31_winrate,synergy_adc_31_games,synergy_adc_31_lane_quality,synergy_adc_32_name,synergy_adc_32_winrate,synergy_adc_32_games,synergy_adc_32_lane_quality,synergy_adc_33_name,synergy_adc_33_winrate,synergy_adc_33_games,synergy_adc_33_lane_quality,synergy_adc_34_name,synergy_adc_34_winrate,synergy_adc_34_games,synergy_adc_34_lane_quality
Malphite,jun,35.4%,S,6 / 52,51.5 %,6.1 %,27.2 %,1457774,https://dpm.lol/champions/Malphite/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Nilah,55.35%,12384,,Swain,54.58%,8180,,Vayne,54.22%,63807,,KogMaw,54.16%,11370,,Lux,53.77%,3963,,Veigar,53.77%,4841,,MissFortune,53.42%,172623,,Yasuo,53.16%,11984,,Smolder,52.88%,71800,,Samira,52.77%,39544,,Jinx,52.58%,97761,,Ziggs,52.35%,13663,,Jhin,52.02%,118365,,Aphelios,51.90%,41194,,Xayah,51.47%,27331,,Sivir,51.23%,30312,,Caitlyn,51.21%,128870,,Twitch,50.94%,30221,,Zeri,50.86%,19315,,Tristana,50.86%,55492,,Ashe,50.83%,86077,,Kaisa,50.72%,109497,,Draven,50.62%,28322,,Lucian,49.94%,53954,,Kalista,49.57%,10153,,Ezreal,49.23%,72430,,Mel,49.10%,8314,,Yunara,48.73%,46469,,Corki,47.75%,8119,,Varus,46.91%,28379,,,,,,,,,,,,,,,,,
Morgana,sup,74.9%,S,3 / 39,50.9 %,8.1 %,27.0 %,1940416,https://dpm.lol/champions/Morgana/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Swain,54.66%,10303,,Veigar,54.57%,6584,,Nilah,54.11%,12967,,MissFortune,53.38%,250315,,Lux,53.11%,20945,,Ziggs,52.70%,19267,,Yasuo,52.34%,5483,,KogMaw,51.93%,13138,,Jinx,51.67%,127885,,Jhin,51.59%,180490,,Smolder,51.51%,87208,,Caitlyn,51.37%,291499,,Xayah,51.32%,31881,,Vayne,51.29%,75823,,Ashe,50.97%,106404,,Sivir,50.64%,37711,,Samira,50.45%,43281,,Aphelios,50.12%,46404,,Twitch,49.87%,34612,,Mel,49.70%,14287,,Kaisa,49.39%,120815,,Draven,49.35%,30776,,Tristana,49.34%,69977,,Zeri,49.11%,19460,,Ezreal,48.92%,85238,,Corki,47.04%,8670,,Varus,46.96%,39360,,Yunara,46.89%,50089,,Lucian,46.87%,40379,,Kalista,46.61%,9064,,,,,,,,,,,,,,,,,
Teemo,sup,16.0%,S,4 / 39,52.9 %,1.5 %,15.2 %,359652,https://dpm.lol/champions/Teemo/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Brand,58.84%,1402,,Veigar,56.61%,1701,,Ziggs,56.37%,5778,,Lux,56.34%,1191,,MissFortune,56.02%,43364,,KogMaw,55.92%,2518,,Smolder,55.41%,21010,,Yasuo,55.21%,1853,,Nilah,54.55%,2570,,Jhin,54.52%,29671,,Swain,54.31%,2561,,Heimerdinger,53.65%,999,,Sivir,53.60%,8865,,Jinx,53.12%,22276,,Ashe,52.96%,21906,,Caitlyn,52.79%,32291,,Xayah,52.75%,5744,,Vayne,52.56%,14696,,Twitch,52.26%,9828,,Ezreal,51.77%,22948,,Aphelios,51.75%,8567,,Tristana,51.03%,13920,,Mel,51.01%,2633,,Senna,51.00%,1198,,Samira,50.99%,5560,,Draven,50.97%,5385,,Kaisa,50.74%,21883,,Corki,50.35%,1978,,Cassiopeia,50.28%,2701,,Varus,49.95%,7307,,Zeri,49.84%,3856,,Kalista,49.28%,1603,,Lucian,48.05%,8039,,Yunara,47.44%,9164,
Lux,sup,65.7%,S,5 / 39,49.9 %,11.3 %,12.6 %,2703698,https://dpm.lol/champions/Lux/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Nilah,53.71%,18162,,Veigar,52.68%,11308,,Swain,52.63%,15732,,Brand,51.87%,6938,,Yasuo,51.84%,9617,,KogMaw,51.34%,17117,,MissFortune,51.29%,336262,,Vayne,51.28%,99251,,Jhin,51.17%,268065,,Morgana,50.68%,6724,,Jinx,50.66%,169943,,Ashe,50.39%,151446,,Caitlyn,50.15%,408268,,Ziggs,50.12%,31237,,Samira,50.11%,55747,,Smolder,49.57%,118671,,Kaisa,49.27%,151484,,Sivir,49.10%,50208,,Tristana,48.93%,97785,,Draven,48.92%,39499,,Xayah,48.82%,40479,,Twitch,48.76%,47268,,Ezreal,48.56%,166207,,Zeri,48.00%,24222,,Mel,47.69%,27702,,Kalista,46.69%,10047,,Corki,46.52%,11711,,Lucian,46.44%,55613,,Yunara,46.39%,61625,,Varus,45.82%,57185,,,,,,,,,,,,,,,,,
Amumu,jun,88.0%,S,7 / 52,52.9 %,4.9 %,3.8 %,1173438,https://dpm.lol/champions/Amumu/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,MissFortune,55.74%,160475,,Brand,55.71%,2879,,Swain,55.51%,7064,,Nilah,55.31%,11055,,Vayne,54.99%,55193,,KogMaw,54.79%,9904,,Veigar,54.60%,4227,,Samira,54.37%,35938,,Smolder,54.15%,55803,,Jinx,53.82%,84368,,Ziggs,53.53%,10420,,Twitch,53.45%,27091,,Yasuo,53.41%,6518,,Zeri,53.22%,14922,,Lux,53.20%,3344,,Tristana,52.68%,47375,,Xayah,52.56%,21725,,Sivir,52.50%,23035,,Kaisa,52.43%,75565,,Aphelios,52.41%,30671,,Caitlyn,51.99%,108318,,Ashe,51.49%,67303,,Lucian,51.28%,37278,,Draven,50.95%,23896,,Ezreal,50.53%,48676,,Mel,50.22%,7175,,Yunara,49.86%,32689,,Kalista,49.61%,7448,,Varus,48.31%,20628,,Corki,48.03%,5825,,,,,,,,,,,,,,,,,
