champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_adc_1_name,synergy_adc_1_winrate,synergy_adc_1_games,synergy_adc_1_lane_quality,synergy_adc_2_name,synergy_adc_2_winrate,synergy_adc_2_games,synergy_adc_2_lane_quality,synergy_adc_3_name,synergy_adc_3_winrate,synergy_adc_3_games,synergy_adc_3_lane_quality,synergy_adc_4_name,synergy_adc_4_winrate,synergy_adc_4_games,synergy_adc_4_lane_quality,synergy_adc_5_name,synergy_adc_5_winrate,synergy_adc_5_games,synergy_adc_5_lane_quality,synergy_adc_6_name,synergy_adc_6_winrate,synergy_adc_6_games,synergy_adc_6_lane_quality,synergy_adc_7_name,synergy_adc_7_winrate,synergy_adc_7_games,synergy_adc_7_lane_quality,synergy_adc_8_name,synergy_adc_8_winrate,synergy_adc_8_games,synergy_adc_8_lane_quality,synergy_adc_9_name,synergy_adc_9_winrate,synergy_adc_9_games,synergy_adc_9_lane_quality,synergy_adc_10_name,synergy_adc_10_winrate,synergy_adc_10_games,synergy_adc_10_lane_quality,synergy_adc_11_name,synergy_adc_11_winrate,synergy_adc_11_games,synergy_adc_11_lane_quality,synergy_adc_12_name,synergy_adc_12_winrate,synergy_adc_12_games,synergy_adc_12_lane_quality,synergy_adc_13_name,synergy_adc_13_winrate,synergy_adc_13_games,synergy_adc_13_lane_quality,synergy_adc_14_name,synergy_adc_14_winrate,synergy_adc_14_games,synergy_adc_14_lane_quality,synergy_adc_15_name,synergy_adc_15_winrate,synergy_adc_15_games,synergy_adc_15_lane_quality,synergy_adc_16_name,synergy_adc_16_winrate,synergy_adc_16_games,synergy_adc_16_lane_quality,synergy_adc_17_name,synergy_adc_17_winrate,synergy_adc_17_games,synergy_adc_17_lane_quality,synergy_adc_18_name,synergy_adc_18_winrate,synergy_adc_18_games,synergy_adc_18_lane_quality,synergy_adc_19_name,synergy_adc_19_winrate,synergy_adc_19_games,synergy_adc_19_lane_quality,synergy_adc_20_name,synergy_adc_20_winrate,synergy_adc_20_games,synergy_adc_20_lane_quality,synergy_adc_21_name,synergy_adc_21_winrate,synergy_adc_21_games,synergy_adc_21_lane_quality,synergy_adc_22_name,synergy_adc_22_winrate,synergy_adc_22_games,synergy_adc_22_lane_quality,synergy_adc_23_name,synergy_adc_23_winrate,synergy_adc_23_games,synergy_adc_23_lane_quality,synergy_adc_24_name,synergy_adc_24_winrate,synergy_adc_24_games,synergy_adc_24_lane_quality,synergy_adc_25_name,synergy_adc_25_winrate,synergy_adc_25_games,synergy_adc_25_lane_quality,synergy_adc_26_name,synergy_adc_26_winrate,synergy_adc_26_games,synergy_adc_26_lane_quality,synergy_adc_27_name,synergy_adc_27_winrate,synergy_adc_27_games,synergy_adc_27_lane_quality,synergy_adc_28_name,synergy_adc_28_winrate,synergy_adc_28_games,synergy_adc_28_lane_quality,synergy_adc_29_name,synergy_adc_29_winrate,synergy_adc_29_games,synergy_adc_29_lane_quality,synergy_adc_30_name,synergy_adc_30_winrate,synergy_adc_30_games,synergy_adc_30_lane_quality,synergy_adc_31_name,synergy_adc_31_winrate,synergy_adc_31_games,synergy_adc_31_lane_quality,synergy_adc_32_name,synergy_adc_32_winrate,synergy_adc_32_games,synergy_adc_32_lane_quality,synergy_adc_33_name,synergy_adc_33_winrate,synergy_adc_33_games,synergy_adc_33_lane_quality,synergy_adc_34_name,synergy_adc_34_winrate,synergy_adc_34_games,synergy_adc_34_lane_quality,synergy_adc_35_name,synergy_adc_35_winrate,synergy_adc_35_games,synergy_adc_35_lane_quality,synergy_adc_36_name,synergy_adc_36_winrate,synergy_adc_36_games,synergy_adc_36_lane_quality
Ashe,sup,8.4%,-,-/-,45.8 %,1.1 %,5.4 %,56342,https://dpm.lol/champions/Ashe/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Seraphine,52.68%,355,,Lux,52.20%,567,,Ziggs,50.45%,1330,,Velkoz,50.29%,173,,Nilah,50.00%,362,,Brand,48.86%,440,,Jhin,48.85%,5101,,Mel,48.71%,659,,KogMaw,48.45%,386,,Veigar,48.33%,360,,MissFortune,47.55%,8238,,Sivir,47.47%,1207,,Smolder,47.37%,2928,,Swain,47.28%,679,,Hwei,47.02%,168,,Ezreal,46.95%,3657,,Jinx,45.56%,3356,,Vayne,45.30%,2170,,Caitlyn,45.29%,5246,,AurelionSol,45.03%,151,,Yasuo,45.03%,322,,Tristana,44.64%,1839,,Aphelios,44.28%,1355,,Draven,44.22%,857,,Malzahar,44.08%,152,,Xayah,43.72%,741,,Kaisa,43.63%,3413,,Kalista,43.58%,296,,Samira,43.39%,802,,Zeri,42.92%,487,,Twitch,42.24%,1063,,Varus,42.03%,1858,,Senna,41.86%,301,,Corki,40.95%,359,,Yunara,40.15%,1335,,Lucian,39.88%,1216,
K'Sante,top,95.1%,D,50 / 50,45.8 %,2.6 %,1.6 %,131650,https://dpm.lol/champions/KSante/build?lane=top&tier=all&platform=all&timeframe=15.24,False,Lux,52.50%,360,,Swain,50.40%,865,,Brand,49.72%,356,,Veigar,48.93%,374,,Vayne,47.95%,4901,,Sivir,47.48%,3020,,Ziggs,47.48%,1489,,Smolder,47.48%,5961,,MissFortune,47.20%,12388,,Nilah,47.14%,978,,Jinx,46.55%,7931,,KogMaw,46.29%,931,,Aphelios,46.13%,4862,,Tristana,46.11%,4700,,Jhin,46.07%,11008,,Mel,45.91%,684,,Twitch,45.84%,2330,,Yasuo,45.83%,683,,Ashe,45.82%,7938,,Draven,45.79%,2472,,Kaisa,45.73%,11801,,Lucian,45.45%,5973,,Xayah,45.27%,2507,,Caitlyn,44.77%,10367,,Yunara,44.76%,5072,,Zeri,44.04%,1744,,Ezreal,43.61%,8476,,Corki,43.32%,1041,,Kalista,42.86%,903,,Varus,40.65%,2846,,,,,,,,,,,,,,,,,,,,,,,,,
Qiyana,jun,50.7%,D,50 / 50,45.2 %,2.2 %,2.9 %,113548,https://dpm.lol/champions/Qiyana/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Brand,51.18%,424,,Yasuo,48.48%,625,,Ziggs,47.70%,1325,,Swain,47.54%,915,,KogMaw,47.28%,901,,Veigar,47.18%,426,,Vayne,46.94%,4642,,Samira,46.77%,2944,,Kaisa,46.60%,10005,,Lux,46.56%,479,,MissFortune,46.37%,10548,,Draven,45.94%,2527,,Lucian,45.70%,5018,,Smolder,45.66%,5112,,Twitch,45.64%,2257,,Aphelios,45.42%,4007,,Zeri,45.20%,1303,,Xayah,45.07%,2232,,Jhin,44.97%,9227,,Nilah,44.81%,1002,,Sivir,44.69%,2363,,Tristana,44.59%,4196,,Mel,44.57%,709,,Corki,44.15%,983,,Caitlyn,44.05%,9183,,Ashe,44.04%,5888,,Ezreal,43.33%,6421,,Yunara,43.15%,4195,,Kalista,42.75%,814,,Varus,39.45%,2284,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,mid,93.3%,D,47 / 47,45.5 %,1.9 %,0.5 %,96223,https://dpm.lol/champions/Azir/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Swain,51.88%,532,,KogMaw,49.51%,717,,Yasuo,48.74%,593,,Veigar,48.18%,247,,Brand,47.53%,263,,MissFortune,47.16%,9995,,Ashe,47.10%,5709,,Smolder,47.05%,4502,,Nilah,47.02%,838,,Jhin,46.38%,8115,,Jinx,46.32%,5999,,Vayne,46.31%,3930,,Zeri,46.22%,1242,,Mel,46.19%,381,,Xayah,46.05%,1926,,Aphelios,45.62%,3264,,Samira,45.37%,2504,,Lucian,45.27%,4148,,Sivir,45.13%,2187,,Draven,45.05%,1849,,Tristana,45.02%,3685,,Ziggs,44.82%,676,,Caitlyn,44.63%,7929,,Kaisa,44.54%,7713,,Twitch,43.72%,1832,,Ezreal,43.59%,5933,,Kalista,43.00%,714,,Yunara,42.36%,3447,,Corki,42.29%,707,,Varus,41.30%,1903,,,,,,,,,,,,,,,,,,,,,,,,,
