champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_adc_1_name,synergy_adc_1_winrate,synergy_adc_1_games,synergy_adc_1_lane_quality,synergy_adc_2_name,synergy_adc_2_winrate,synergy_adc_2_games,synergy_adc_2_lane_quality,synergy_adc_3_name,synergy_adc_3_winrate,synergy_adc_3_games,synergy_adc_3_lane_quality,synergy_adc_4_name,synergy_adc_4_winrate,synergy_adc_4_games,synergy_adc_4_lane_quality,synergy_adc_5_name,synergy_adc_5_winrate,synergy_adc_5_games,synergy_adc_5_lane_quality,synergy_adc_6_name,synergy_adc_6_winrate,synergy_adc_6_games,synergy_adc_6_lane_quality,synergy_adc_7_name,synergy_adc_7_winrate,synergy_adc_7_games,synergy_adc_7_lane_quality,synergy_adc_8_name,synergy_adc_8_winrate,synergy_adc_8_games,synergy_adc_8_lane_quality,synergy_adc_9_name,synergy_adc_9_winrate,synergy_adc_9_games,synergy_adc_9_lane_quality,synergy_adc_10_name,synergy_adc_10_winrate,synergy_adc_10_games,synergy_adc_10_lane_quality,synergy_adc_11_name,synergy_adc_11_winrate,synergy_adc_11_games,synergy_adc_11_lane_quality,synergy_adc_12_name,synergy_adc_12_winrate,synergy_adc_12_games,synergy_adc_12_lane_quality,synergy_adc_13_name,synergy_adc_13_winrate,synergy_adc_13_games,synergy_adc_13_lane_quality,synergy_adc_14_name,synergy_adc_14_winrate,synergy_adc_14_games,synergy_adc_14_lane_quality,synergy_adc_15_name,synergy_adc_15_winrate,synergy_adc_15_games,synergy_adc_15_lane_quality,synergy_adc_16_name,synergy_adc_16_winrate,synergy_adc_16_games,synergy_adc_16_lane_quality,synergy_adc_17_name,synergy_adc_17_winrate,synergy_adc_17_games,synergy_adc_17_lane_quality,synergy_adc_18_name,synergy_adc_18_winrate,synergy_adc_18_games,synergy_adc_18_lane_quality,synergy_adc_19_name,synergy_adc_19_winrate,synergy_adc_19_games,synergy_adc_19_lane_quality,synergy_adc_20_name,synergy_adc_20_winrate,synergy_adc_20_games,synergy_adc_20_lane_quality,synergy_adc_21_name,synergy_adc_21_winrate,synergy_adc_21_games,synergy_adc_21_lane_quality,synergy_adc_22_name,synergy_adc_22_winrate,synergy_adc_22_games,synergy_adc_22_lane_quality,synergy_adc_23_name,synergy_adc_23_winrate,synergy_adc_23_games,synergy_adc_23_lane_quality,synergy_adc_24_name,synergy_adc_24_winrate,synergy_adc_24_games,synergy_adc_24_lane_quality,synergy_adc_25_name,synergy_adc_25_winrate,synergy_adc_25_games,synergy_adc_25_lane_quality,synergy_adc_26_name,synergy_adc_26_winrate,synergy_adc_26_games,synergy_adc_26_lane_quality,synergy_adc_27_name,synergy_adc_27_winrate,synergy_adc_27_games,synergy_adc_27_lane_quality,synergy_adc_28_name,synergy_adc_28_winrate,synergy_adc_28_games,synergy_adc_28_lane_quality,synergy_adc_29_name,synergy_adc_29_winrate,synergy_adc_29_games,synergy_adc_29_lane_quality,synergy_adc_30_name,synergy_adc_30_winrate,synergy_adc_30_games,synergy_adc_30_lane_quality,synergy_adc_31_name,synergy_adc_31_winrate,synergy_adc_31_games,synergy_adc_31_lane_quality,synergy_adc_32_name,synergy_adc_32_winrate,synergy_adc_32_games,synergy_adc_32_lane_quality
Teemo,jun,14.2%,A,9 / 52,52.3 %,1.3 %,15.2 %,319773,https://dpm.lol/champions/Teemo/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,MissFortune,55.14%,38794,,Yasuo,54.95%,2062,,Nilah,54.76%,2929,,Swain,54.72%,2012,,Jhin,54.26%,26156,,Smolder,54.07%,15879,,Vayne,53.82%,14714,,Lux,53.76%,904,,Veigar,53.62%,1104,,Jinx,53.26%,21931,,Samira,53.11%,9025,,Aphelios,52.68%,8468,,Twitch,52.54%,7254,,Tristana,52.30%,13491,,Caitlyn,52.00%,29541,,KogMaw,51.99%,2610,,Ashe,51.91%,19414,,Sivir,51.85%,6686,,Ziggs,51.62%,2710,,Zeri,51.25%,4248,,Xayah,51.11%,6073,,Draven,50.96%,6591,,Kaisa,50.55%,20972,,Lucian,50.33%,10300,,Brand,50.13%,770,,Ezreal,49.69%,14585,,Kalista,49.29%,2100,,Varus,47.99%,5805,,Corki,47.97%,1751,,Yunara,47.97%,9218,,Mel,47.01%,1855,,Senna,46.72%,824,
Master Yi,jun,87.3%,A,10 / 52,50.2 %,7.6 %,17.0 %,1829809,https://dpm.lol/champions/MasterYi/build?lane=jungle&tier=all&platform=all&timeframe=15.24,False,Swain,56.47%,13004,,Brand,56.12%,5107,,Veigar,55.27%,7919,,Lux,55.09%,6576,,Ziggs,54.23%,22670,,MissFortune,52.49%,218233,,KogMaw,52.28%,15285,,Smolder,52.19%,85570,,Nilah,51.49%,15944,,Mel,51.18%,13480,,Yasuo,51.08%,9831,,Sivir,51.04%,36680,,Ashe,51.03%,111582,,Jhin,50.81%,147174,,Vayne,50.65%,80159,,Twitch,49.86%,41536,,Caitlyn,49.55%,167596,,Zeri,49.35%,22545,,Xayah,49.25%,33631,,Samira,49.07%,50675,,Tristana,48.88%,73517,,Ezreal,48.82%,84490,,Aphelios,48.57%,47991,,Kaisa,48.38%,128245,,Draven,47.87%,34461,,Varus,47.81%,35574,,Yunara,47.67%,53051,,Corki,47.61%,9227,,Lucian,47.54%,60204,,Kalista,46.15%,12055,,,,,,,,,
Fizz,mid,89.4%,A,6 / 47,51.0 %,5.7 %,10.3 %,1380116,https://dpm.lol/champions/Fizz/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Swain,54.55%,7738,,Smolder,53.54%,67211,,MissFortune,53.48%,165147,,Veigar,53.43%,4269,,KogMaw,53.32%,11111,,Lux,53.12%,3703,,Jinx,52.44%,96343,,Vayne,52.38%,63652,,Nilah,52.34%,12491,,Ziggs,52.26%,10834,,Sivir,51.79%,27639,,Yasuo,51.64%,7965,,Ashe,51.34%,80123,,Aphelios,51.27%,37409,,Jhin,51.10%,114418,,Xayah,50.95%,26374,,Zeri,50.86%,17398,,Caitlyn,50.43%,129467,,Samira,50.29%,39490,,Tristana,50.24%,56029,,Twitch,50.15%,30569,,Kaisa,49.70%,97740,,Lucian,49.24%,48870,,Ezreal,48.98%,65002,,Draven,48.59%,28401,,Yunara,48.55%,40736,,Kalista,48.32%,9304,,Corki,48.01%,7470,,Mel,47.90%,7896,,Varus,47.03%,25350,,,,,,,,,
Diana,mid,38.6%,A,7 / 47,51.5 %,4.6 %,8.9 %,1117362,https://dpm.lol/champions/Diana/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Veigar,55.53%,3706,,Swain,55.25%,6405,,Lux,54.29%,3004,,Nilah,54.13%,10113,,MissFortune,53.87%,135336,,KogMaw,53.62%,8900,,Smolder,53.21%,52135,,Vayne,52.96%,50682,,Yasuo,52.73%,7937,,Jinx,52.57%,77222,,Ziggs,52.20%,9043,,Sivir,51.64%,23079,,Ashe,51.47%,65606,,Xayah,51.46%,21612,,Aphelios,51.45%,31570,,Jhin,51.34%,90033,,Samira,51.29%,32149,,Caitlyn,51.01%,102057,,Zeri,50.70%,14366,,Tristana,50.50%,44599,,Twitch,50.43%,24557,,Mel,50.24%,6481,,Kaisa,50.24%,80269,,Ezreal,49.96%,52300,,Draven,49.77%,22614,,Lucian,49.63%,40679,,Kalista,49.55%,7447,,Yunara,48.91%,34217,,Corki,48.68%,6136,,Varus,47.27%,20929,,,,,,,,,
Brand,sup,66.0%,A,7 / 39,52.0 %,4.5 %,5.3 %,1092996,https://dpm.lol/champions/Brand/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Yasuo,55.02%,3906,,Swain,54.11%,7728,,Nilah,54.00%,7739,,Veigar,53.72%,4384,,MissFortune,53.70%,136567,,Jhin,53.54%,116223,,Vayne,53.45%,44694,,Lux,53.45%,3865,,KogMaw,52.83%,7712,,Jinx,52.70%,70120,,Ashe,52.40%,68975,,Smolder,52.24%,57419,,Ziggs,51.93%,13500,,Caitlyn,51.69%,105202,,Kaisa,51.65%,69071,,Sivir,51.53%,23718,,Twitch,51.43%,22954,,Ezreal,51.30%,64157,,Senna,51.24%,2906,,Xayah,51.24%,17675,,Aphelios,51.09%,25967,,Tristana,50.85%,42536,,Zeri,50.31%,11409,,Draven,49.83%,17318,,Mel,49.67%,7834,,Lucian,48.58%,25795,,Varus,48.39%,24668,,Kalista,48.18%,4373,,Corki,48.04%,6045,,Yunara,47.77%,28323,,,,,,,,,
