champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_adc_1_name,synergy_adc_1_winrate,synergy_adc_1_games,synergy_adc_1_lane_quality,synergy_adc_2_name,synergy_adc_2_winrate,synergy_adc_2_games,synergy_adc_2_lane_quality,synergy_adc_3_name,synergy_adc_3_winrate,synergy_adc_3_games,synergy_adc_3_lane_quality,synergy_adc_4_name,synergy_adc_4_winrate,synergy_adc_4_games,synergy_adc_4_lane_quality,synergy_adc_5_name,synergy_adc_5_winrate,synergy_adc_5_games,synergy_adc_5_lane_quality,synergy_adc_6_name,synergy_adc_6_winrate,synergy_adc_6_games,synergy_adc_6_lane_quality,synergy_adc_7_name,synergy_adc_7_winrate,synergy_adc_7_games,synergy_adc_7_lane_quality,synergy_adc_8_name,synergy_adc_8_winrate,synergy_adc_8_games,synergy_adc_8_lane_quality,synergy_adc_9_name,synergy_adc_9_winrate,synergy_adc_9_games,synergy_adc_9_lane_quality,synergy_adc_10_name,synergy_adc_10_winrate,synergy_adc_10_games,synergy_adc_10_lane_quality,synergy_adc_11_name,synergy_adc_11_winrate,synergy_adc_11_games,synergy_adc_11_lane_quality,synergy_adc_12_name,synergy_adc_12_winrate,synergy_adc_12_games,synergy_adc_12_lane_quality,synergy_adc_13_name,synergy_adc_13_winrate,synergy_adc_13_games,synergy_adc_13_lane_quality,synergy_adc_14_name,synergy_adc_14_winrate,synergy_adc_14_games,synergy_adc_14_lane_quality,synergy_adc_15_name,synergy_adc_15_winrate,synergy_adc_15_games,synergy_adc_15_lane_quality,synergy_adc_16_name,synergy_adc_16_winrate,synergy_adc_16_games,synergy_adc_16_lane_quality,synergy_adc_17_name,synergy_adc_17_winrate,synergy_adc_17_games,synergy_adc_17_lane_quality,synergy_adc_18_name,synergy_adc_18_winrate,synergy_adc_18_games,synergy_adc_18_lane_quality,synergy_adc_19_name,synergy_adc_19_winrate,synergy_adc_19_games,synergy_adc_19_lane_quality,synergy_adc_20_name,synergy_adc_20_winrate,synergy_adc_20_games,synergy_adc_20_lane_quality,synergy_adc_21_name,synergy_adc_21_winrate,synergy_adc_21_games,synergy_adc_21_lane_quality,synergy_adc_22_name,synergy_adc_22_winrate,synergy_adc_22_games,synergy_adc_22_lane_quality,synergy_adc_23_name,synergy_adc_23_winrate,synergy_adc_23_games,synergy_adc_23_lane_quality,synergy_adc_24_name,synergy_adc_24_winrate,synergy_adc_24_games,synergy_adc_24_lane_quality,synergy_adc_25_name,synergy_adc_25_winrate,synergy_adc_25_games,synergy_adc_25_lane_quality,synergy_adc_26_name,synergy_adc_26_winrate,synergy_adc_26_games,synergy_adc_26_lane_quality,synergy_adc_27_name,synergy_adc_27_winrate,synergy_adc_27_games,synergy_adc_27_lane_quality,synergy_adc_28_name,synergy_adc_28_winrate,synergy_adc_28_games,synergy_adc_28_lane_quality,synergy_adc_29_name,synergy_adc_29_winrate,synergy_adc_29_games,synergy_adc_29_lane_quality,synergy_adc_30_name,synergy_adc_30_winrate,synergy_adc_30_games,synergy_adc_30_lane_quality
Twitch,adc,80.3%,C,17 / 26,49.6 %,4.2 %,5.3 %,211710,https://dpm.lol/champions/Twitch/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassadin,mid,96.6%,C,28 / 47,50.5 %,2.4 %,1.6 %,119841,https://dpm.lol/champions/Kassadin/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Swain,55.20%,692,,Smolder,53.32%,5724,,Lux,53.14%,414,,KogMaw,53.02%,994,,MissFortune,52.88%,12767,,Ziggs,52.82%,888,,Draven,52.41%,3074,,Jinx,52.25%,7657,,Yasuo,51.55%,743,,Sivir,51.46%,2468,,Vayne,51.02%,5427,,Ashe,50.80%,6849,,Jhin,50.27%,9786,,Aphelios,50.11%,3941,,Veigar,50.00%,354,,Varus,49.83%,2115,,Corki,49.79%,968,,Twitch,49.77%,2817,,Samira,49.60%,3365,,Nilah,49.58%,1186,,Xayah,49.58%,2239,,Brand,49.55%,333,,Caitlyn,49.52%,10399,,Ezreal,49.36%,6056,,Zeri,49.12%,1470,,Tristana,49.08%,4929,,Kaisa,48.95%,8962,,Yunara,48.23%,3639,,Kalista,46.98%,777,,Mel,46.55%,638,
Sivir,adc,98.3%,C,16 / 26,50.3 %,4.1 %,1.7 %,206292,https://dpm.lol/champions/Sivir/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leblanc,mid,85.3%,C,27 / 47,48.8 %,4.0 %,12.9 %,202616,https://dpm.lol/champions/Leblanc/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Lux,52.66%,545,,Swain,52.08%,1060,,Smolder,51.28%,9628,,Veigar,51.06%,519,,MissFortune,50.90%,21276,,Sivir,50.11%,4348,,Nilah,50.09%,1673,,Jinx,50.05%,13278,,KogMaw,49.89%,1361,,Vayne,49.87%,8602,,Yasuo,49.69%,1145,,Ziggs,49.39%,1466,,Samira,49.38%,5433,,Lucian,49.21%,8377,,Jhin,49.08%,17027,,Ashe,48.94%,12165,,Aphelios,48.57%,6545,,Tristana,48.53%,7976,,Draven,48.24%,4177,,Xayah,48.20%,3871,,Caitlyn,47.90%,18095,,Kaisa,47.63%,16104,,Ezreal,47.53%,11949,,Kalista,47.49%,1356,,Zeri,47.18%,2325,,Twitch,47.02%,3962,,Yunara,46.41%,6742,,Varus,45.20%,3863,,Corki,44.34%,1484,,Mel,43.99%,873,
Trundle,jun,65.0%,C,18 / 50,51.1 %,2.4 %,1.2 %,118654,https://dpm.lol/champions/Trundle/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Brand,57.77%,431,,Ziggs,57.57%,1301,,Swain,57.30%,815,,Lux,56.56%,465,,Mel,56.05%,785,,KogMaw,54.84%,919,,MissFortune,53.83%,14027,,Nilah,52.60%,1038,,Smolder,52.33%,5255,,Vayne,51.98%,5535,,Jinx,51.91%,8229,,Jhin,51.87%,9630,,Xayah,51.78%,2246,,Samira,51.08%,3348,,Ashe,50.94%,7357,,Sivir,50.26%,2318,,Tristana,50.21%,4862,,Aphelios,50.03%,3324,,Kaisa,50.02%,8146,,Caitlyn,49.98%,11175,,Ezreal,49.79%,5525,,Zeri,48.75%,1198,,Lucian,48.73%,3833,,Twitch,48.73%,2477,,Kalista,48.70%,733,,Veigar,48.48%,526,,Draven,48.33%,2218,,Yunara,47.50%,3396,,Varus,45.70%,2256,,Corki,45.38%,703,
