champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_adc_1_name,matchup_adc_1_winrate,matchup_adc_1_games,matchup_adc_1_lane_quality,matchup_adc_2_name,matchup_adc_2_winrate,matchup_adc_2_games,matchup_adc_2_lane_quality,matchup_adc_3_name,matchup_adc_3_winrate,matchup_adc_3_games,matchup_adc_3_lane_quality,matchup_adc_4_name,matchup_adc_4_winrate,matchup_adc_4_games,matchup_adc_4_lane_quality,matchup_adc_5_name,matchup_adc_5_winrate,matchup_adc_5_games,matchup_adc_5_lane_quality,matchup_adc_6_name,matchup_adc_6_winrate,matchup_adc_6_games,matchup_adc_6_lane_quality,matchup_adc_7_name,matchup_adc_7_winrate,matchup_adc_7_games,matchup_adc_7_lane_quality,matchup_adc_8_name,matchup_adc_8_winrate,matchup_adc_8_games,matchup_adc_8_lane_quality,matchup_adc_9_name,matchup_adc_9_winrate,matchup_adc_9_games,matchup_adc_9_lane_quality,matchup_adc_10_name,matchup_adc_10_winrate,matchup_adc_10_games,matchup_adc_10_lane_quality,matchup_adc_11_name,matchup_adc_11_winrate,matchup_adc_11_games,matchup_adc_11_lane_quality,matchup_adc_12_name,matchup_adc_12_winrate,matchup_adc_12_games,matchup_adc_12_lane_quality,matchup_adc_13_name,matchup_adc_13_winrate,matchup_adc_13_games,matchup_adc_13_lane_quality,matchup_adc_14_name,matchup_adc_14_winrate,matchup_adc_14_games,matchup_adc_14_lane_quality,matchup_adc_15_name,matchup_adc_15_winrate,matchup_adc_15_games,matchup_adc_15_lane_quality,matchup_adc_16_name,matchup_adc_16_winrate,matchup_adc_16_games,matchup_adc_16_lane_quality,matchup_adc_17_name,matchup_adc_17_winrate,matchup_adc_17_games,matchup_adc_17_lane_quality,matchup_adc_18_name,matchup_adc_18_winrate,matchup_adc_18_games,matchup_adc_18_lane_quality,matchup_adc_19_name,matchup_adc_19_winrate,matchup_adc_19_games,matchup_adc_19_lane_quality,matchup_adc_20_name,matchup_adc_20_winrate,matchup_adc_20_games,matchup_adc_20_lane_quality,matchup_adc_21_name,matchup_adc_21_winrate,matchup_adc_21_games,matchup_adc_21_lane_quality,matchup_adc_22_name,matchup_adc_22_winrate,matchup_adc_22_games,matchup_adc_22_lane_quality,matchup_adc_23_name,matchup_adc_23_winrate,matchup_adc_23_games,matchup_adc_23_lane_quality,matchup_adc_24_name,matchup_adc_24_winrate,matchup_adc_24_games,matchup_adc_24_lane_quality,matchup_adc_25_name,matchup_adc_25_winrate,matchup_adc_25_games,matchup_adc_25_lane_quality,matchup_adc_26_name,matchup_adc_26_winrate,matchup_adc_26_games,matchup_adc_26_lane_quality,matchup_adc_27_name,matchup_adc_27_winrate,matchup_adc_27_games,matchup_adc_27_lane_quality,matchup_adc_28_name,matchup_adc_28_winrate,matchup_adc_28_games,matchup_adc_28_lane_quality,matchup_adc_29_name,matchup_adc_29_winrate,matchup_adc_29_games,matchup_adc_29_lane_quality,matchup_adc_30_name,matchup_adc_30_winrate,matchup_adc_30_games,matchup_adc_30_lane_quality
Samira,adc,98.3%,B,10 / 26,50.1 %,5.4 %,10.1 %,1292221,https://dpm.lol/champions/Samira/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Varus,53.88%,22389,Average,Kalista,53.57%,8883,Average,Draven,53.43%,26819,Bad Lane,Yasuo,52.51%,7878,Average,Mel,52.34%,8387,Bad Lane,Kaisa,52.29%,101239,Good Lane,Ezreal,52.25%,60526,Average,Twitch,51.85%,27892,Good Lane,Yunara,51.69%,38310,Bad Lane,Aphelios,51.60%,36315,Good Lane,Lucian,51.52%,48142,Bad Lane,Tristana,50.84%,46650,Average,Jhin,50.69%,105300,Bad Lane,Corki,50.29%,8268,Bad Lane,Sivir,50.18%,25402,Bad Lane,Ashe,49.93%,71875,Good Lane,Zeri,49.35%,17473,Average,Vayne,49.33%,66276,Good Lane,Xayah,48.81%,31750,Bad Lane,Smolder,48.44%,63434,Average,MissFortune,48.38%,163646,Bad Lane,Lux,48.02%,4038,Bad Lane,Ziggs,47.99%,11669,Average,Jinx,47.68%,92635,Good Lane,KogMaw,47.16%,11548,Average,Veigar,44.47%,4504,Average,Nilah,44.28%,18965,Bad Lane,Swain,43.64%,8644,Bad Lane,,,,,,,,
Urgot,top,94.3%,B,12 / 50,52.0 %,3.1 %,1.7 %,743718,https://dpm.lol/champions/Urgot/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Varus,55.63%,13753,,Kalista,55.23%,4811,,Corki,55.00%,4178,,Yunara,54.83%,22474,,Ezreal,54.00%,33026,,Lucian,53.74%,25198,,Tristana,53.42%,29997,,Kaisa,53.35%,51849,,Draven,53.34%,15341,,Mel,53.25%,5069,,Zeri,53.14%,9942,,Caitlyn,52.56%,66108,,Twitch,52.54%,16877,,Xayah,52.48%,13892,,Aphelios,52.46%,20881,,Ashe,51.97%,44187,,Samira,51.63%,20482,,Sivir,51.47%,15365,,Jhin,51.41%,60058,,Vayne,51.05%,33806,,Jinx,50.94%,50351,,Nilah,50.73%,6816,,KogMaw,50.59%,6335,,Ziggs,50.30%,7872,,Smolder,50.02%,35946,,Yasuo,49.98%,4474,,MissFortune,49.22%,88232,,Swain,49.17%,5394,,Lux,49.14%,2499,,Veigar,48.09%,2955,
Viktor,mid,95.0%,B,15 / 47,51.1 %,5.6 %,2.5 %,1356568,https://dpm.lol/champions/Viktor/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Corki,54.91%,8969,,Varus,54.34%,27705,,Yunara,54.03%,50452,,Kalista,53.24%,9822,,Samira,53.02%,32388,,Mel,52.70%,10278,,Draven,52.65%,27010,,Ezreal,52.45%,80589,,Kaisa,52.03%,114669,,Zeri,51.83%,20604,,Xayah,51.82%,24822,,Lucian,51.79%,58041,,Caitlyn,51.75%,107365,,Aphelios,51.56%,43442,,Yasuo,51.17%,6637,,Tristana,51.07%,48915,,Twitch,50.46%,25287,,Nilah,50.31%,10011,,Jinx,50.28%,82956,,Ashe,50.08%,81258,,Vayne,49.99%,53728,,Jhin,49.84%,109973,,KogMaw,49.54%,9921,,MissFortune,49.40%,141622,,Smolder,49.31%,67974,,Ziggs,48.64%,14082,,Veigar,48.23%,4228,,Swain,47.92%,9129,,,,,,,,,
Taric,sup,93.2%,B,13 / 39,52.6 %,1.5 %,0.4 %,370065,https://dpm.lol/champions/Taric/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Yasuo,57.45%,2423,,Samira,57.27%,11872,,Varus,55.93%,6676,,Kalista,55.81%,2659,,Corki,55.41%,2330,,Twitch,55.34%,8106,,Ezreal,54.94%,14838,,Draven,54.78%,8136,,Tristana,54.74%,15136,,Kaisa,54.29%,28210,,Aphelios,54.27%,10629,,Lucian,53.76%,12509,,Mel,53.72%,2595,,Yunara,53.55%,11718,,Jhin,53.30%,29086,,Caitlyn,52.70%,30364,,Nilah,52.42%,3621,,Xayah,52.10%,7438,,Ashe,51.91%,21519,,Ziggs,51.55%,3550,,Jinx,51.33%,24938,,Zeri,51.17%,4972,,Sivir,50.98%,6863,,Vayne,50.30%,18221,,MissFortune,50.15%,42234,,KogMaw,49.91%,3240,,Lux,49.55%,1120,,Smolder,48.18%,18110,,Swain,45.27%,2739,,Veigar,44.64%,1436,
Yasuo,adc,8.1%,-,-/-,51.0 %,1.1 %,18.3 %,275145,https://dpm.lol/champions/Yasuo/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Varus,55.83%,4476,Good Lane,Ezreal,55.66%,13077,Average,Mel,54.62%,2098,Bad Lane,Draven,54.42%,6036,Average,Twitch,53.61%,6094,Good Lane,KogMaw,52.06%,1969,Good Lane,Lucian,52.04%,9416,Bad Lane,Caitlyn,51.99%,22921,Average,Jhin,51.93%,21067,Good Lane,Ashe,51.66%,14167,Good Lane,Yunara,51.66%,8099,Average,Tristana,51.64%,9380,Average,Corki,51.50%,1769,Bad Lane,Aphelios,51.33%,7383,Good Lane,Ziggs,51.08%,2723,Average,Kaisa,51.04%,20391,Bad Lane,MissFortune,50.77%,35957,Average,Zeri,50.14%,3702,Average,Jinx,50.00%,16793,Good Lane,Sivir,49.91%,5241,Bad Lane,Smolder,49.75%,14478,Good Lane,Lux,49.38%,974,Average,Senna,49.13%,973,Average,Kalista,48.78%,1810,Bad Lane,Xayah,48.37%,5812,Bad Lane,Samira,47.50%,7878,Bad Lane,Vayne,46.89%,13028,Good Lane,Veigar,46.47%,1132,Average,Swain,43.91%,2020,Bad Lane,Nilah,41.80%,3000,Bad Lane
