champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_top_1_name,matchup_top_1_winrate,matchup_top_1_games,matchup_top_1_lane_quality,matchup_top_2_name,matchup_top_2_winrate,matchup_top_2_games,matchup_top_2_lane_quality,matchup_top_3_name,matchup_top_3_winrate,matchup_top_3_games,matchup_top_3_lane_quality,matchup_top_4_name,matchup_top_4_winrate,matchup_top_4_games,matchup_top_4_lane_quality,matchup_top_5_name,matchup_top_5_winrate,matchup_top_5_games,matchup_top_5_lane_quality,matchup_top_6_name,matchup_top_6_winrate,matchup_top_6_games,matchup_top_6_lane_quality,matchup_top_7_name,matchup_top_7_winrate,matchup_top_7_games,matchup_top_7_lane_quality,matchup_top_8_name,matchup_top_8_winrate,matchup_top_8_games,matchup_top_8_lane_quality,matchup_top_9_name,matchup_top_9_winrate,matchup_top_9_games,matchup_top_9_lane_quality,matchup_top_10_name,matchup_top_10_winrate,matchup_top_10_games,matchup_top_10_lane_quality,matchup_top_11_name,matchup_top_11_winrate,matchup_top_11_games,matchup_top_11_lane_quality,matchup_top_12_name,matchup_top_12_winrate,matchup_top_12_games,matchup_top_12_lane_quality,matchup_top_13_name,matchup_top_13_winrate,matchup_top_13_games,matchup_top_13_lane_quality,matchup_top_14_name,matchup_top_14_winrate,matchup_top_14_games,matchup_top_14_lane_quality,matchup_top_15_name,matchup_top_15_winrate,matchup_top_15_games,matchup_top_15_lane_quality,matchup_top_16_name,matchup_top_16_winrate,matchup_top_16_games,matchup_top_16_lane_quality,matchup_top_17_name,matchup_top_17_winrate,matchup_top_17_games,matchup_top_17_lane_quality,matchup_top_18_name,matchup_top_18_winrate,matchup_top_18_games,matchup_top_18_lane_quality,matchup_top_19_name,matchup_top_19_winrate,matchup_top_19_games,matchup_top_19_lane_quality,matchup_top_20_name,matchup_top_20_winrate,matchup_top_20_games,matchup_top_20_lane_quality,matchup_top_21_name,matchup_top_21_winrate,matchup_top_21_games,matchup_top_21_lane_quality,matchup_top_22_name,matchup_top_22_winrate,matchup_top_22_games,matchup_top_22_lane_quality,matchup_top_23_name,matchup_top_23_winrate,matchup_top_23_games,matchup_top_23_lane_quality,matchup_top_24_name,matchup_top_24_winrate,matchup_top_24_games,matchup_top_24_lane_quality,matchup_top_25_name,matchup_top_25_winrate,matchup_top_25_games,matchup_top_25_lane_quality,matchup_top_26_name,matchup_top_26_winrate,matchup_top_26_games,matchup_top_26_lane_quality,matchup_top_27_name,matchup_top_27_winrate,matchup_top_27_games,matchup_top_27_lane_quality,matchup_top_28_name,matchup_top_28_winrate,matchup_top_28_games,matchup_top_28_lane_quality,matchup_top_29_name,matchup_top_29_winrate,matchup_top_29_games,matchup_top_29_lane_quality,matchup_top_30_name,matchup_top_30_winrate,matchup_top_30_games,matchup_top_30_lane_quality,matchup_top_31_name,matchup_top_31_winrate,matchup_top_31_games,matchup_top_31_lane_quality,matchup_top_32_name,matchup_top_32_winrate,matchup_top_32_games,matchup_top_32_lane_quality,matchup_top_33_name,matchup_top_33_winrate,matchup_top_33_games,matchup_top_33_lane_quality,matchup_top_34_name,matchup_top_34_winrate,matchup_top_34_games,matchup_top_34_lane_quality,matchup_top_35_name,matchup_top_35_winrate,matchup_top_35_games,matchup_top_35_lane_quality,matchup_top_36_name,matchup_top_36_winrate,matchup_top_36_games,matchup_top_36_lane_quality,matchup_top_37_name,matchup_top_37_winrate,matchup_top_37_games,matchup_top_37_lane_quality,matchup_top_38_name,matchup_top_38_winrate,matchup_top_38_games,matchup_top_38_lane_quality,matchup_top_39_name,matchup_top_39_winrate,matchup_top_39_games,matchup_top_39_lane_quality,matchup_top_40_name,matchup_top_40_winrate,matchup_top_40_games,matchup_top_40_lane_quality,matchup_top_41_name,matchup_top_41_winrate,matchup_top_41_games,matchup_top_41_lane_quality,matchup_top_42_name,matchup_top_42_winrate,matchup_top_42_games,matchup_top_42_lane_quality,matchup_top_43_name,matchup_top_43_winrate,matchup_top_43_games,matchup_top_43_lane_quality,matchup_top_44_name,matchup_top_44_winrate,matchup_top_44_games,matchup_top_44_lane_quality,matchup_top_45_name,matchup_top_45_winrate,matchup_top_45_games,matchup_top_45_lane_quality,matchup_top_46_name,matchup_top_46_winrate,matchup_top_46_games,matchup_top_46_lane_quality,matchup_top_47_name,matchup_top_47_winrate,matchup_top_47_games,matchup_top_47_lane_quality,matchup_top_48_name,matchup_top_48_winrate,matchup_top_48_games,matchup_top_48_lane_quality,matchup_top_49_name,matchup_top_49_winrate,matchup_top_49_games,matchup_top_49_lane_quality,matchup_top_50_name,matchup_top_50_winrate,matchup_top_50_games,matchup_top_50_lane_quality,matchup_top_51_name,matchup_top_51_winrate,matchup_top_51_games,matchup_top_51_lane_quality,matchup_top_52_name,matchup_top_52_winrate,matchup_top_52_games,matchup_top_52_lane_quality,matchup_top_53_name,matchup_top_53_winrate,matchup_top_53_games,matchup_top_53_lane_quality,matchup_top_54_name,matchup_top_54_winrate,matchup_top_54_games,matchup_top_54_lane_quality,matchup_top_55_name,matchup_top_55_winrate,matchup_top_55_games,matchup_top_55_lane_quality,matchup_top_56_name,matchup_top_56_winrate,matchup_top_56_games,matchup_top_56_lane_quality,matchup_top_57_name,matchup_top_57_winrate,matchup_top_57_games,matchup_top_57_lane_quality,matchup_top_58_name,matchup_top_58_winrate,matchup_top_58_games,matchup_top_58_lane_quality
Elise,jun,59.7%,D,41 / 52,49.7 %,1.8 %,1.5 %,421902,https://dpm.lol/champions/Elise/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,MasterYi,55.78%,2101,,KSante,54.41%,5819,,Smolder,53.89%,1414,,Sylas,53.29%,1640,,Ambessa,53.05%,8038,,Gnar,51.98%,5998,,Yone,51.94%,8789,,Rumble,51.86%,3737,,Cassiopeia,51.85%,1267,,Zaahen,51.54%,18771,,Darius,51.54%,16746,,Yasuo,51.30%,6146,,Gragas,51.30%,4086,,Jayce,51.28%,5291,,Vayne,51.23%,3894,,Aatrox,51.15%,11960,,Volibear,51.10%,6875,,Mordekaiser,50.92%,14628,,Irelia,50.90%,7516,,Trundle,50.86%,2328,,Camille,50.81%,4867,,Vladimir,50.76%,4602,,Gwen,50.75%,7212,,Pantheon,50.65%,4186,,Tryndamere,50.51%,6068,,Jax,50.46%,11565,,Riven,50.30%,8362,,Warwick,50.21%,3151,,Renekton,49.96%,8945,,Ryze,49.89%,1337,,Nasus,49.83%,8278,,Poppy,49.73%,1854,,Illaoi,49.63%,5646,,Chogath,49.57%,8334,,Kled,49.34%,3182,,Akali,49.34%,3022,,Fiora,49.28%,7941,,MonkeyKing,49.22%,1410,,Gangplank,49.13%,6837,,TahmKench,49.11%,2635,,Varus,48.87%,1592,,Shen,48.70%,7287,,Urgot,48.69%,6484,,Kennen,48.60%,4064,,Olaf,48.58%,3917,,Sett,48.40%,15066,,Swain,48.13%,3189,,Teemo,48.09%,11689,,Quinn,47.94%,4032,,Singed,47.85%,5536,,Ornn,47.68%,6866,,Yorick,47.63%,8885,,Garen,47.20%,17191,,Kayle,47.10%,9486,,Heimerdinger,47.04%,3333,,Sion,46.44%,9766,,Malphite,45.47%,17023,,DrMundo,45.23%,12708,
Rell,sup,99.0%,D,33 / 39,49.5 %,2.6 %,0.9 %,635938,https://dpm.lol/champions/Rell/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,MasterYi,54.70%,2523,,KSante,54.27%,9290,,Ryze,53.40%,1968,,Ambessa,52.49%,12030,,Yasuo,52.16%,9580,,Trundle,52.05%,3389,,Jayce,51.87%,7639,,Gwen,51.82%,11367,,Camille,51.71%,6568,,Gangplank,51.63%,9034,,Sylas,51.13%,2603,,Volibear,51.05%,10050,,Yone,50.85%,14279,,Aatrox,50.83%,18103,,Quinn,50.75%,5728,,Pantheon,50.55%,6139,,Shen,50.41%,10666,,Darius,50.39%,25878,,Gragas,50.37%,5708,,TahmKench,50.30%,4400,,Irelia,50.26%,11345,,Gnar,50.24%,8860,,Tryndamere,50.22%,8781,,Warwick,49.99%,4197,,Akali,49.98%,4274,,Jax,49.90%,16838,,Sion,49.85%,14667,,Riven,49.84%,11067,,Smolder,49.78%,2085,,Rumble,49.75%,6261,,Poppy,49.54%,2856,,Vayne,49.28%,5943,,Fiora,49.24%,11359,,Nasus,49.13%,13437,,Vladimir,49.08%,6214,,Kennen,48.88%,5892,,Heimerdinger,48.88%,5442,,Varus,48.87%,2435,,Malphite,48.77%,26371,,Renekton,48.77%,13843,,Yorick,48.71%,14750,,Chogath,48.53%,12626,,Teemo,48.45%,17642,,DrMundo,48.39%,18814,,Ornn,48.31%,10190,,Olaf,48.22%,5973,,Garen,48.18%,26283,,Zaahen,47.92%,27786,,Illaoi,47.68%,9882,,Urgot,47.60%,9838,,Kayle,47.59%,13508,,Sett,47.56%,24269,,Mordekaiser,47.25%,24612,,Kled,46.50%,4413,,Swain,45.87%,4722,,Singed,45.56%,7914,,,,,,,,,
Talon,jun,66.5%,D,42 / 52,49.2 %,2.8 %,2.3 %,681885,https://dpm.lol/champions/Talon/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,MasterYi,54.55%,3173,,KSante,52.90%,9270,,Cassiopeia,52.14%,2148,,Trundle,52.06%,3379,,Smolder,51.75%,2232,,Jayce,51.66%,8885,,Gangplank,51.48%,10337,,Gragas,51.23%,6321,,Ambessa,51.23%,13261,,Gwen,51.16%,11820,,Vladimir,50.90%,7522,,Varus,50.80%,2935,,Heimerdinger,50.63%,5505,,Gnar,50.52%,9489,,Yone,50.48%,15295,,Poppy,50.48%,3037,,Yasuo,50.42%,11017,,Jax,50.15%,17869,,Akali,50.11%,4897,,Aatrox,50.05%,19638,,Vayne,50.05%,6612,,Zaahen,49.87%,29783,,Rumble,49.81%,6185,,Tryndamere,49.73%,9721,,Pantheon,49.68%,6735,,Riven,49.68%,14105,,Volibear,49.67%,10384,,Darius,49.67%,25995,,Sylas,49.63%,2668,,Camille,49.60%,8103,,Ornn,49.55%,11013,,Olaf,49.51%,6366,,Shen,49.51%,11434,,Ryze,49.32%,2214,,Fiora,49.20%,13035,,Renekton,49.19%,14526,,Kennen,48.82%,6673,,Irelia,48.71%,12867,,Sion,48.67%,16113,,Yorick,48.62%,13975,,Mordekaiser,48.51%,22907,,MonkeyKing,48.33%,2090,,Swain,48.19%,5474,,Chogath,48.18%,13006,,Illaoi,48.10%,8916,,Singed,48.03%,8904,,Quinn,47.87%,6990,,Sett,47.76%,23220,,Kayle,47.76%,15468,,Teemo,47.40%,18480,,Kled,47.31%,5265,,TahmKench,47.21%,4111,,Nasus,47.01%,13643,,Garen,46.77%,27591,,DrMundo,46.59%,20421,,Warwick,46.35%,4846,,Urgot,46.16%,10309,,Malphite,45.73%,27999,
Pantheon,top,23.5%,D,38 / 50,49.3 %,1.9 %,3.1 %,464347,https://dpm.lol/champions/Pantheon/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Smolder,57.76%,1482,Good Lane,MasterYi,57.52%,2222,Good Lane,Sylas,54.10%,1464,Good Lane,KSante,53.60%,7170,Bad Lane,Ambessa,52.77%,8542,Good Lane,Vladimir,52.73%,4563,Average,Gwen,52.59%,9475,Good Lane,Riven,52.56%,9170,Good Lane,Jayce,52.55%,5892,Bad Lane,Yasuo,52.20%,7864,Good Lane,Yone,52.18%,11824,Good Lane,Vayne,52.06%,4145,Good Lane,Aatrox,52.05%,14801,Average,Tryndamere,51.83%,6311,Average,Akali,51.82%,3402,Bad Lane,Trundle,51.70%,2501,Good Lane,Varus,51.66%,1686,Bad Lane,Darius,51.64%,20586,Average,Camille,51.55%,4584,Good Lane,Jax,51.04%,13708,Good Lane,Renekton,50.13%,9814,Bad Lane,Rumble,49.99%,3913,Bad Lane,Gragas,49.96%,4109,Bad Lane,Warwick,49.81%,2913,Good Lane,Zaahen,49.63%,20824,Good Lane,Kayle,49.58%,11222,Good Lane,Shen,49.49%,7351,Good Lane,Volibear,49.34%,7426,Bad Lane,Kennen,49.30%,4361,Average,Quinn,49.27%,4936,Good Lane,Gnar,49.00%,7843,Bad Lane,Fiora,48.98%,8032,Average,Teemo,48.89%,14800,Good Lane,Irelia,48.72%,7611,Bad Lane,Gangplank,48.65%,6989,Bad Lane,Garen,48.61%,19691,Good Lane,Nasus,48.21%,9311,Good Lane,Poppy,48.20%,1998,Bad Lane,TahmKench,47.81%,2786,Bad Lane,Sett,47.76%,20751,Good Lane,Olaf,47.74%,3938,Average,Kled,47.69%,3175,Bad Lane,Ornn,47.52%,6098,Average,Mordekaiser,47.31%,16634,Bad Lane,Chogath,47.13%,8726,Average,Urgot,47.07%,6792,Bad Lane,Illaoi,46.36%,6290,Bad Lane,Singed,46.08%,5202,Good Lane,Swain,45.98%,3445,Bad Lane,Heimerdinger,45.67%,3576,Bad Lane,Sion,45.57%,9296,Bad Lane,DrMundo,44.23%,13560,Average,Yorick,43.77%,9443,Bad Lane,Malphite,43.12%,17948,Bad Lane,,,,,,,,,,,,,,,,
Senna,sup,87.8%,D,34 / 39,49.0 %,4.1 %,0.8 %,979388,https://dpm.lol/champions/Senna/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,KSante,53.87%,11163,,MasterYi,52.27%,4295,,Smolder,52.21%,3532,,Gangplank,51.46%,13699,,Gragas,51.15%,7927,,Olaf,50.85%,8997,,Trundle,50.72%,5856,,Darius,50.58%,40193,,Yasuo,50.58%,14943,,Vladimir,50.44%,9263,,Jayce,50.43%,10246,,Ambessa,50.34%,15622,,Zaahen,50.18%,41927,,Poppy,50.16%,3790,,Fiora,50.15%,16574,,Aatrox,50.15%,26066,,TahmKench,50.12%,6887,,Gnar,50.10%,12503,,Camille,50.10%,9448,,Gwen,50.06%,17709,,Rumble,50.06%,7714,,Renekton,50.04%,19454,,Chogath,49.89%,20158,,Volibear,49.86%,15411,,Tryndamere,49.80%,15372,,Riven,49.44%,17187,,Yone,49.35%,22161,,Sylas,49.34%,3624,,Vayne,49.14%,9446,,Singed,49.03%,12488,,Varus,48.98%,3379,,Ornn,48.96%,14593,,Nasus,48.92%,22718,,Shen,48.80%,15494,,Jax,48.75%,25796,,Akali,48.74%,6592,,Kennen,48.70%,8558,,Illaoi,48.62%,15651,,Pantheon,48.56%,9567,,Mordekaiser,48.17%,37895,,Irelia,48.10%,17153,,Urgot,47.87%,15545,,Garen,47.74%,43481,,Warwick,47.61%,6723,,Teemo,47.60%,30323,,Quinn,47.57%,9875,,Sion,47.54%,21570,,MonkeyKing,47.42%,3020,,Sett,47.38%,37883,,Swain,47.18%,7314,,Kayle,47.12%,22524,,Heimerdinger,46.84%,9222,,Yorick,46.75%,24265,,Kled,46.64%,7134,,DrMundo,46.63%,31779,,Malphite,45.52%,41394,,,,,,,,,
