champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_jun_1_name,matchup_jun_1_winrate,matchup_jun_1_games,matchup_jun_1_lane_quality,matchup_jun_2_name,matchup_jun_2_winrate,matchup_jun_2_games,matchup_jun_2_lane_quality,matchup_jun_3_name,matchup_jun_3_winrate,matchup_jun_3_games,matchup_jun_3_lane_quality,matchup_jun_4_name,matchup_jun_4_winrate,matchup_jun_4_games,matchup_jun_4_lane_quality,matchup_jun_5_name,matchup_jun_5_winrate,matchup_jun_5_games,matchup_jun_5_lane_quality,matchup_jun_6_name,matchup_jun_6_winrate,matchup_jun_6_games,matchup_jun_6_lane_quality,matchup_jun_7_name,matchup_jun_7_winrate,matchup_jun_7_games,matchup_jun_7_lane_quality,matchup_jun_8_name,matchup_jun_8_winrate,matchup_jun_8_games,matchup_jun_8_lane_quality,matchup_jun_9_name,matchup_jun_9_winrate,matchup_jun_9_games,matchup_jun_9_lane_quality,matchup_jun_10_name,matchup_jun_10_winrate,matchup_jun_10_games,matchup_jun_10_lane_quality,matchup_jun_11_name,matchup_jun_11_winrate,matchup_jun_11_games,matchup_jun_11_lane_quality,matchup_jun_12_name,matchup_jun_12_winrate,matchup_jun_12_games,matchup_jun_12_lane_quality,matchup_jun_13_name,matchup_jun_13_winrate,matchup_jun_13_games,matchup_jun_13_lane_quality,matchup_jun_14_name,matchup_jun_14_winrate,matchup_jun_14_games,matchup_jun_14_lane_quality,matchup_jun_15_name,matchup_jun_15_winrate,matchup_jun_15_games,matchup_jun_15_lane_quality,matchup_jun_16_name,matchup_jun_16_winrate,matchup_jun_16_games,matchup_jun_16_lane_quality,matchup_jun_17_name,matchup_jun_17_winrate,matchup_jun_17_games,matchup_jun_17_lane_quality,matchup_jun_18_name,matchup_jun_18_winrate,matchup_jun_18_games,matchup_jun_18_lane_quality,matchup_jun_19_name,matchup_jun_19_winrate,matchup_jun_19_games,matchup_jun_19_lane_quality,matchup_jun_20_name,matchup_jun_20_winrate,matchup_jun_20_games,matchup_jun_20_lane_quality,matchup_jun_21_name,matchup_jun_21_winrate,matchup_jun_21_games,matchup_jun_21_lane_quality,matchup_jun_22_name,matchup_jun_22_winrate,matchup_jun_22_games,matchup_jun_22_lane_quality,matchup_jun_23_name,matchup_jun_23_winrate,matchup_jun_23_games,matchup_jun_23_lane_quality,matchup_jun_24_name,matchup_jun_24_winrate,matchup_jun_24_games,matchup_jun_24_lane_quality,matchup_jun_25_name,matchup_jun_25_winrate,matchup_jun_25_games,matchup_jun_25_lane_quality,matchup_jun_26_name,matchup_jun_26_winrate,matchup_jun_26_games,matchup_jun_26_lane_quality,matchup_jun_27_name,matchup_jun_27_winrate,matchup_jun_27_games,matchup_jun_27_lane_quality,matchup_jun_28_name,matchup_jun_28_winrate,matchup_jun_28_games,matchup_jun_28_lane_quality,matchup_jun_29_name,matchup_jun_29_winrate,matchup_jun_29_games,matchup_jun_29_lane_quality,matchup_jun_30_name,matchup_jun_30_winrate,matchup_jun_30_games,matchup_jun_30_lane_quality,matchup_jun_31_name,matchup_jun_31_winrate,matchup_jun_31_games,matchup_jun_31_lane_quality,matchup_jun_32_name,matchup_jun_32_winrate,matchup_jun_32_games,matchup_jun_32_lane_quality,matchup_jun_33_name,matchup_jun_33_winrate,matchup_jun_33_games,matchup_jun_33_lane_quality,matchup_jun_34_name,matchup_jun_34_winrate,matchup_jun_34_games,matchup_jun_34_lane_quality,matchup_jun_35_name,matchup_jun_35_winrate,matchup_jun_35_games,matchup_jun_35_lane_quality,matchup_jun_36_name,matchup_jun_36_winrate,matchup_jun_36_games,matchup_jun_36_lane_quality,matchup_jun_37_name,matchup_jun_37_winrate,matchup_jun_37_games,matchup_jun_37_lane_quality,matchup_jun_38_name,matchup_jun_38_winrate,matchup_jun_38_games,matchup_jun_38_lane_quality,matchup_jun_39_name,matchup_jun_39_winrate,matchup_jun_39_games,matchup_jun_39_lane_quality,matchup_jun_40_name,matchup_jun_40_winrate,matchup_jun_40_games,matchup_jun_40_lane_quality,matchup_jun_41_name,matchup_jun_41_winrate,matchup_jun_41_games,matchup_jun_41_lane_quality,matchup_jun_42_name,matchup_jun_42_winrate,matchup_jun_42_games,matchup_jun_42_lane_quality,matchup_jun_43_name,matchup_jun_43_winrate,matchup_jun_43_games,matchup_jun_43_lane_quality,matchup_jun_44_name,matchup_jun_44_winrate,matchup_jun_44_games,matchup_jun_44_lane_quality,matchup_jun_45_name,matchup_jun_45_winrate,matchup_jun_45_games,matchup_jun_45_lane_quality,matchup_jun_46_name,matchup_jun_46_winrate,matchup_jun_46_games,matchup_jun_46_lane_quality,matchup_jun_47_name,matchup_jun_47_winrate,matchup_jun_47_games,matchup_jun_47_lane_quality,matchup_jun_48_name,matchup_jun_48_winrate,matchup_jun_48_games,matchup_jun_48_lane_quality,matchup_jun_49_name,matchup_jun_49_winrate,matchup_jun_49_games,matchup_jun_49_lane_quality,matchup_jun_50_name,matchup_jun_50_winrate,matchup_jun_50_games,matchup_jun_50_lane_quality,matchup_jun_51_name,matchup_jun_51_winrate,matchup_jun_51_games,matchup_jun_51_lane_quality,matchup_jun_52_name,matchup_jun_52_winrate,matchup_jun_52_games,matchup_jun_52_lane_quality,matchup_jun_53_name,matchup_jun_53_winrate,matchup_jun_53_games,matchup_jun_53_lane_quality,matchup_jun_54_name,matchup_jun_54_winrate,matchup_jun_54_games,matchup_jun_54_lane_quality,matchup_jun_55_name,matchup_jun_55_winrate,matchup_jun_55_games,matchup_jun_55_lane_quality,matchup_jun_56_name,matchup_jun_56_winrate,matchup_jun_56_games,matchup_jun_56_lane_quality
Rengar,jun,91.3%,D,49 / 50,45.9 %,3.8 %,3.8 %,189689,https://dpm.lol/champions/Rengar/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Qiyana,54.24%,2631,Bad Lane,Nidalee,53.27%,1590,Average,Gragas,51.85%,594,Good Lane,Talon,51.52%,3463,Bad Lane,Evelynn,51.03%,2575,Good Lane,Jayce,50.73%,2054,Bad Lane,Elise,49.67%,1796,Good Lane,Ivern,49.56%,1128,Good Lane,Sylas,49.06%,4698,Good Lane,Lillia,49.04%,2665,Good Lane,Pantheon,49.03%,1493,Good Lane,Khazix,48.81%,8042,Bad Lane,Zaahen,48.71%,1821,Good Lane,Karthus,48.69%,1378,Bad Lane,Shaco,48.65%,6543,Average,Zed,48.62%,4465,Bad Lane,Vi,48.29%,2862,Good Lane,Skarner,47.90%,689,Good Lane,Kindred,47.83%,2304,Average,Ekko,47.77%,3971,Average,Aatrox,47.76%,1543,Average,Poppy,47.66%,728,Good Lane,Zac,47.55%,2347,Good Lane,LeeSin,47.30%,7234,Average,FiddleSticks,47.05%,2572,Good Lane,Belveth,46.77%,1918,Bad Lane,Nunu,46.23%,2654,Good Lane,Hecarim,46.03%,2594,Bad Lane,Graves,45.86%,3733,Bad Lane,Viego,45.83%,10298,Bad Lane,Kayn,45.81%,8282,Good Lane,JarvanIV,44.97%,4641,Good Lane,Udyr,44.93%,1825,Average,RekSai,44.54%,1255,Good Lane,Ambessa,44.34%,1033,Bad Lane,Nocturne,44.20%,4523,Bad Lane,Shyvana,44.18%,1401,Average,Trundle,43.90%,1761,Good Lane,Sejuani,43.73%,1914,Good Lane,Diana,43.69%,7993,Bad Lane,Naafiri,43.45%,2306,Bad Lane,Gwen,43.37%,664,Average,XinZhao,43.35%,2602,Good Lane,Chogath,42.94%,843,Good Lane,MasterYi,42.85%,7587,Bad Lane,MonkeyKing,42.78%,2424,Good Lane,Volibear,42.77%,3764,Good Lane,Amumu,42.66%,4376,Good Lane,Briar,42.48%,6109,Bad Lane,Jax,42.07%,5602,Good Lane,Teemo,42.03%,1254,Good Lane,DrMundo,41.79%,2998,Average,Warwick,41.66%,6388,Average,Rammus,41.37%,2555,Good Lane,Malphite,41.32%,5498,Average,Nasus,39.38%,706,Good Lane
Varus,adc,75.6%,D,25 / 26,46.3 %,3.7 %,0.8 %,189177,https://dpm.lol/champions/Varus/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Skarner,52.40%,708,,Rengar,51.29%,3184,,Qiyana,51.09%,2116,,Nidalee,50.74%,2022,,Gragas,49.77%,643,,Vi,49.17%,3260,,Pantheon,48.89%,1710,,Chogath,48.47%,782,,Zed,48.36%,3619,,Talon,48.21%,2676,,LeeSin,48.17%,8599,,Hecarim,48.08%,2184,,Kindred,47.76%,2527,,Naafiri,47.66%,2096,,Gwen,47.46%,630,,XinZhao,47.43%,3466,,Aatrox,47.37%,1921,,Sylas,47.34%,6363,,Evelynn,47.33%,2326,,Nunu,47.30%,2353,,MonkeyKing,47.24%,2629,,Belveth,47.06%,1564,,RekSai,46.90%,1128,,Jayce,46.73%,3454,,Shaco,46.56%,5107,,Graves,46.49%,4046,,Lillia,46.45%,3367,,Zaahen,46.32%,1764,,Karthus,46.09%,1382,,Ivern,46.05%,1062,,Trundle,45.99%,2172,,JarvanIV,45.83%,4497,,Volibear,45.77%,3644,,Diana,45.67%,6781,,Kayn,45.66%,7507,,MasterYi,45.57%,7384,,Shyvana,45.37%,1360,,Zac,45.35%,2342,,Viego,45.33%,9651,,Nocturne,45.30%,4788,,Udyr,45.29%,1667,,Malphite,45.28%,6352,,Elise,45.10%,1623,,Nasus,45.09%,754,,Ambessa,45.04%,857,,Rammus,44.96%,2260,,FiddleSticks,44.94%,2292,,Sejuani,44.94%,2123,,Khazix,44.84%,4777,,Ekko,44.35%,3513,,Amumu,44.26%,4632,,Warwick,44.18%,6218,,Briar,44.06%,5560,,Jax,43.70%,5272,,Teemo,43.25%,1214,,DrMundo,42.84%,3359,
Nidalee,jun,77.9%,D,48 / 50,47.0 %,1.9 %,0.8 %,94106,https://dpm.lol/champions/Nidalee/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Aatrox,52.72%,1102,Average,MonkeyKing,52.63%,1216,Good Lane,Qiyana,51.85%,1512,Bad Lane,Zyra,51.68%,327,Bad Lane,Karthus,51.13%,841,Bad Lane,Jayce,51.03%,3045,Bad Lane,Graves,50.92%,3317,Bad Lane,Zac,50.43%,1172,Good Lane,Pantheon,50.06%,843,Good Lane,Zed,49.62%,2209,Bad Lane,Ambessa,49.43%,524,Bad Lane,Ivern,49.37%,474,Good Lane,Gwen,49.31%,288,Average,Evelynn,48.98%,1174,Good Lane,Talon,48.51%,1647,Bad Lane,LeeSin,48.43%,6896,Average,Ekko,48.34%,1781,Average,Gragas,48.28%,290,Good Lane,Sylas,48.09%,3473,Good Lane,Hecarim,48.07%,1269,Bad Lane,Lillia,48.06%,1394,Average,Nunu,47.78%,1128,Good Lane,Kindred,47.74%,1351,Average,Udyr,47.53%,728,Average,Khazix,47.36%,2956,Bad Lane,Kayn,47.16%,2905,Good Lane,Rengar,46.92%,1590,Bad Lane,Shaco,46.82%,2405,Bad Lane,JarvanIV,46.72%,2453,Good Lane,Vi,46.59%,1773,Good Lane,XinZhao,46.57%,2027,Good Lane,Chogath,46.56%,305,Average,Belveth,46.45%,803,Bad Lane,Viego,46.36%,5009,Bad Lane,RekSai,46.18%,641,Good Lane,Trundle,45.96%,779,Good Lane,Nocturne,45.83%,2073,Bad Lane,Elise,45.79%,1022,Good Lane,Sejuani,45.39%,912,Good Lane,DrMundo,45.31%,1302,Average,Zaahen,45.25%,716,Good Lane,Jax,45.03%,1952,Good Lane,FiddleSticks,44.90%,1089,Good Lane,Shyvana,44.61%,547,Bad Lane,Volibear,44.40%,1196,Good Lane,Naafiri,44.36%,1091,Average,Skarner,44.22%,294,Good Lane,MasterYi,43.76%,2943,Bad Lane,Diana,43.30%,3390,Bad Lane,Warwick,42.96%,2323,Good Lane,Briar,42.15%,2299,Bad Lane,Teemo,41.92%,489,Good Lane,Rammus,40.99%,705,Good Lane,Amumu,39.54%,1750,Good Lane,,,,,,,,
Kalista,adc,90.4%,D,26 / 26,46.9 %,1.3 %,0.3 %,65363,https://dpm.lol/champions/Kalista/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Skarner,52.80%,214,,Rengar,51.62%,1145,,Evelynn,51.45%,793,,Zaahen,51.25%,640,,Nidalee,50.81%,683,,Qiyana,50.60%,753,,Chogath,50.36%,280,,Sylas,50.30%,2159,,LeeSin,50.27%,2988,,Gwen,50.21%,233,,Elise,49.91%,575,,Ambessa,49.85%,337,,Hecarim,49.44%,797,,Aatrox,49.22%,707,,Khazix,48.92%,1580,,JarvanIV,48.80%,1578,,Zed,48.67%,1387,,Kayn,48.52%,2632,,Pantheon,48.26%,545,,Belveth,48.23%,566,,Viego,48.22%,3349,,Talon,48.16%,897,,Naafiri,48.15%,785,,Sejuani,48.14%,754,,Nocturne,48.07%,1581,,Gragas,47.89%,213,,Shaco,47.62%,1722,,Ekko,47.51%,1305,,DrMundo,46.79%,1058,,Vi,46.73%,1147,,XinZhao,46.46%,1186,,Shyvana,46.22%,502,,Karthus,46.12%,438,,Warwick,46.00%,2074,,Poppy,45.71%,245,,MonkeyKing,45.67%,994,,MasterYi,45.61%,2554,,Jayce,45.59%,1066,,RekSai,45.48%,365,,Trundle,45.38%,811,,Diana,45.28%,2372,,Zac,45.09%,825,,Briar,45.05%,1840,,Kindred,44.96%,863,,Malphite,44.79%,2045,,FiddleSticks,43.56%,792,,Teemo,43.55%,372,,Jax,43.46%,1765,,Rammus,43.41%,751,,Udyr,43.31%,568,,Graves,42.87%,1584,,Volibear,42.74%,1254,,Nunu,42.40%,816,,Nasus,42.28%,272,,Ivern,40.66%,332,,Amumu,40.53%,1594,
Corki,adc,77.6%,D,24 / 26,47.2 %,1.3 %,0.3 %,66492,https://dpm.lol/champions/Corki/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Qiyana,53.29%,882,,Belveth,52.02%,669,,Pantheon,51.74%,518,,XinZhao,51.07%,1120,,Sylas,50.55%,2093,,LeeSin,50.24%,2721,,Zaahen,50.16%,634,,Vi,50.09%,1062,,Rengar,49.93%,1474,,Ambessa,49.88%,411,,Naafiri,49.82%,849,,Gwen,49.65%,288,,Zed,49.49%,1370,,Rammus,48.68%,680,,Udyr,48.67%,676,,Khazix,48.12%,1731,,Graves,48.09%,1364,,FiddleSticks,48.01%,881,,Talon,47.80%,1295,,Malphite,47.68%,2030,,JarvanIV,47.67%,2081,,Aatrox,47.59%,622,,Nunu,47.45%,881,,Teemo,47.30%,408,,Kayn,47.29%,2421,,Hecarim,47.26%,984,,Volibear,47.25%,1162,,Jax,47.17%,1694,,Diana,46.97%,2636,,Gragas,46.95%,213,,Chogath,46.95%,311,,Skarner,46.80%,250,,Sejuani,46.79%,701,,Jayce,46.68%,1144,,Viego,46.67%,3366,,MasterYi,46.66%,2304,,Poppy,46.31%,203,,Nocturne,46.27%,1528,,Nidalee,46.08%,714,,Evelynn,45.80%,882,,Shaco,45.67%,1743,,Elise,45.27%,698,,Amumu,45.22%,1495,,Ivern,45.07%,406,,MonkeyKing,45.07%,994,,Kindred,44.93%,877,,RekSai,44.89%,548,,Ekko,44.82%,1408,,Karthus,44.51%,528,,Trundle,43.96%,671,,Shyvana,43.89%,458,,Briar,43.88%,1864,,DrMundo,42.90%,1000,,Nasus,42.79%,208,,Warwick,42.50%,1901,,Lillia,41.25%,1028,
