champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_jun_1_name,matchup_jun_1_winrate,matchup_jun_1_games,matchup_jun_1_lane_quality,matchup_jun_2_name,matchup_jun_2_winrate,matchup_jun_2_games,matchup_jun_2_lane_quality,matchup_jun_3_name,matchup_jun_3_winrate,matchup_jun_3_games,matchup_jun_3_lane_quality,matchup_jun_4_name,matchup_jun_4_winrate,matchup_jun_4_games,matchup_jun_4_lane_quality,matchup_jun_5_name,matchup_jun_5_winrate,matchup_jun_5_games,matchup_jun_5_lane_quality,matchup_jun_6_name,matchup_jun_6_winrate,matchup_jun_6_games,matchup_jun_6_lane_quality,matchup_jun_7_name,matchup_jun_7_winrate,matchup_jun_7_games,matchup_jun_7_lane_quality,matchup_jun_8_name,matchup_jun_8_winrate,matchup_jun_8_games,matchup_jun_8_lane_quality,matchup_jun_9_name,matchup_jun_9_winrate,matchup_jun_9_games,matchup_jun_9_lane_quality,matchup_jun_10_name,matchup_jun_10_winrate,matchup_jun_10_games,matchup_jun_10_lane_quality,matchup_jun_11_name,matchup_jun_11_winrate,matchup_jun_11_games,matchup_jun_11_lane_quality,matchup_jun_12_name,matchup_jun_12_winrate,matchup_jun_12_games,matchup_jun_12_lane_quality,matchup_jun_13_name,matchup_jun_13_winrate,matchup_jun_13_games,matchup_jun_13_lane_quality,matchup_jun_14_name,matchup_jun_14_winrate,matchup_jun_14_games,matchup_jun_14_lane_quality,matchup_jun_15_name,matchup_jun_15_winrate,matchup_jun_15_games,matchup_jun_15_lane_quality,matchup_jun_16_name,matchup_jun_16_winrate,matchup_jun_16_games,matchup_jun_16_lane_quality,matchup_jun_17_name,matchup_jun_17_winrate,matchup_jun_17_games,matchup_jun_17_lane_quality,matchup_jun_18_name,matchup_jun_18_winrate,matchup_jun_18_games,matchup_jun_18_lane_quality,matchup_jun_19_name,matchup_jun_19_winrate,matchup_jun_19_games,matchup_jun_19_lane_quality,matchup_jun_20_name,matchup_jun_20_winrate,matchup_jun_20_games,matchup_jun_20_lane_quality,matchup_jun_21_name,matchup_jun_21_winrate,matchup_jun_21_games,matchup_jun_21_lane_quality,matchup_jun_22_name,matchup_jun_22_winrate,matchup_jun_22_games,matchup_jun_22_lane_quality,matchup_jun_23_name,matchup_jun_23_winrate,matchup_jun_23_games,matchup_jun_23_lane_quality,matchup_jun_24_name,matchup_jun_24_winrate,matchup_jun_24_games,matchup_jun_24_lane_quality,matchup_jun_25_name,matchup_jun_25_winrate,matchup_jun_25_games,matchup_jun_25_lane_quality,matchup_jun_26_name,matchup_jun_26_winrate,matchup_jun_26_games,matchup_jun_26_lane_quality,matchup_jun_27_name,matchup_jun_27_winrate,matchup_jun_27_games,matchup_jun_27_lane_quality,matchup_jun_28_name,matchup_jun_28_winrate,matchup_jun_28_games,matchup_jun_28_lane_quality,matchup_jun_29_name,matchup_jun_29_winrate,matchup_jun_29_games,matchup_jun_29_lane_quality,matchup_jun_30_name,matchup_jun_30_winrate,matchup_jun_30_games,matchup_jun_30_lane_quality,matchup_jun_31_name,matchup_jun_31_winrate,matchup_jun_31_games,matchup_jun_31_lane_quality,matchup_jun_32_name,matchup_jun_32_winrate,matchup_jun_32_games,matchup_jun_32_lane_quality,matchup_jun_33_name,matchup_jun_33_winrate,matchup_jun_33_games,matchup_jun_33_lane_quality,matchup_jun_34_name,matchup_jun_34_winrate,matchup_jun_34_games,matchup_jun_34_lane_quality,matchup_jun_35_name,matchup_jun_35_winrate,matchup_jun_35_games,matchup_jun_35_lane_quality,matchup_jun_36_name,matchup_jun_36_winrate,matchup_jun_36_games,matchup_jun_36_lane_quality,matchup_jun_37_name,matchup_jun_37_winrate,matchup_jun_37_games,matchup_jun_37_lane_quality,matchup_jun_38_name,matchup_jun_38_winrate,matchup_jun_38_games,matchup_jun_38_lane_quality,matchup_jun_39_name,matchup_jun_39_winrate,matchup_jun_39_games,matchup_jun_39_lane_quality,matchup_jun_40_name,matchup_jun_40_winrate,matchup_jun_40_games,matchup_jun_40_lane_quality,matchup_jun_41_name,matchup_jun_41_winrate,matchup_jun_41_games,matchup_jun_41_lane_quality,matchup_jun_42_name,matchup_jun_42_winrate,matchup_jun_42_games,matchup_jun_42_lane_quality,matchup_jun_43_name,matchup_jun_43_winrate,matchup_jun_43_games,matchup_jun_43_lane_quality,matchup_jun_44_name,matchup_jun_44_winrate,matchup_jun_44_games,matchup_jun_44_lane_quality,matchup_jun_45_name,matchup_jun_45_winrate,matchup_jun_45_games,matchup_jun_45_lane_quality,matchup_jun_46_name,matchup_jun_46_winrate,matchup_jun_46_games,matchup_jun_46_lane_quality,matchup_jun_47_name,matchup_jun_47_winrate,matchup_jun_47_games,matchup_jun_47_lane_quality,matchup_jun_48_name,matchup_jun_48_winrate,matchup_jun_48_games,matchup_jun_48_lane_quality,matchup_jun_49_name,matchup_jun_49_winrate,matchup_jun_49_games,matchup_jun_49_lane_quality,matchup_jun_50_name,matchup_jun_50_winrate,matchup_jun_50_games,matchup_jun_50_lane_quality,matchup_jun_51_name,matchup_jun_51_winrate,matchup_jun_51_games,matchup_jun_51_lane_quality,matchup_jun_52_name,matchup_jun_52_winrate,matchup_jun_52_games,matchup_jun_52_lane_quality,matchup_jun_53_name,matchup_jun_53_winrate,matchup_jun_53_games,matchup_jun_53_lane_quality,matchup_jun_54_name,matchup_jun_54_winrate,matchup_jun_54_games,matchup_jun_54_lane_quality,matchup_jun_55_name,matchup_jun_55_winrate,matchup_jun_55_games,matchup_jun_55_lane_quality,matchup_jun_56_name,matchup_jun_56_winrate,matchup_jun_56_games,matchup_jun_56_lane_quality
Diana,jun,60.3%,A,8 / 51,51.0 %,7.3 %,8.8 %,972783,https://dpm.lol/champions/Diana/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Qiyana,57.24%,10028,Bad Lane,Nidalee,57.02%,7581,Average,Skarner,56.42%,3293,Good Lane,Rengar,55.41%,19702,Bad Lane,Gragas,54.75%,2811,Good Lane,Naafiri,54.45%,11202,Average,Pantheon,54.25%,7791,Good Lane,Karthus,53.65%,6638,Bad Lane,LeeSin,53.39%,31998,Average,Elise,53.33%,8537,Good Lane,Hecarim,53.23%,12525,Bad Lane,Shaco,53.22%,29353,Average,Zed,53.22%,15715,Bad Lane,Vi,52.61%,14476,Good Lane,Ivern,52.60%,5319,Good Lane,Talon,52.58%,14097,Bad Lane,MonkeyKing,52.55%,12474,Good Lane,Sylas,52.54%,30879,Good Lane,Kindred,52.49%,12579,Average,Chogath,52.45%,4679,Good Lane,Jayce,52.38%,8429,Bad Lane,Evelynn,52.36%,13309,Good Lane,Khazix,52.32%,23928,Bad Lane,Graves,52.28%,17679,Bad Lane,Nunu,52.18%,13124,Good Lane,Aatrox,52.16%,11236,Bad Lane,Lillia,52.04%,15843,Average,Belveth,51.97%,8584,Bad Lane,Sejuani,51.88%,10982,Good Lane,RekSai,51.70%,5418,Good Lane,Zac,51.64%,11899,Good Lane,Ambessa,51.57%,4991,Bad Lane,FiddleSticks,51.45%,12364,Good Lane,Malphite,51.18%,29339,Average,JarvanIV,50.96%,22497,Good Lane,Gwen,50.76%,4157,Average,Rammus,50.64%,9656,Good Lane,Kayn,50.51%,44793,Good Lane,Zaahen,50.40%,11773,Good Lane,Nocturne,49.87%,24271,Bad Lane,Ekko,49.75%,20461,Bad Lane,Teemo,49.71%,5947,Good Lane,Udyr,49.65%,9783,Bad Lane,XinZhao,49.61%,14605,Good Lane,Shyvana,49.33%,7344,Average,Amumu,49.03%,25835,Good Lane,Trundle,48.88%,10760,Good Lane,MasterYi,48.35%,37645,Bad Lane,Viego,48.25%,53700,Bad Lane,Volibear,48.00%,19452,Good Lane,Jax,47.95%,29672,Good Lane,DrMundo,47.69%,15444,Average,Warwick,47.10%,32097,Average,Mordekaiser,46.78%,3427,Bad Lane,Nasus,46.40%,3310,Good Lane,Briar,46.01%,29983,Bad Lane
Ashe,adc,88.5%,A,8 / 26,50.1 %,12.2 %,5.7 %,1625003,https://dpm.lol/champions/Ashe/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Qiyana,56.31%,14325,,Skarner,55.27%,5813,,Rengar,54.53%,27926,,Nidalee,54.52%,12723,,Hecarim,52.94%,17680,,Pantheon,52.90%,13428,,LeeSin,52.86%,54411,,Aatrox,52.63%,21227,,Zaahen,52.39%,19434,,RekSai,52.26%,8767,,Elise,52.19%,12199,,Kindred,51.92%,21403,,Vi,51.83%,24539,,Belveth,51.66%,13566,,Zed,51.42%,22199,,Talon,51.39%,19606,,Udyr,51.12%,15990,,Khazix,51.08%,36821,,Jayce,51.07%,15737,,Naafiri,50.94%,16431,,Evelynn,50.88%,20046,,Karthus,50.80%,11365,,Ambessa,50.68%,7879,,Graves,50.61%,27628,,Nunu,50.51%,20938,,Shaco,50.46%,41397,,FiddleSticks,50.41%,19107,,XinZhao,50.37%,25157,,Chogath,50.32%,7609,,Sejuani,50.22%,16860,,Gwen,50.07%,6884,,MonkeyKing,50.04%,20323,,Lillia,49.92%,27774,,Sylas,49.86%,52429,,Trundle,49.80%,19567,,Kayn,49.72%,67870,,Zac,49.69%,18121,,Nocturne,49.38%,39225,,Shyvana,49.30%,11758,,Ekko,49.26%,29724,,Viego,49.24%,79297,,MasterYi,49.12%,62360,,Ivern,49.08%,8414,,Diana,48.88%,53880,,Warwick,48.71%,55905,,Nasus,48.62%,5671,,Malphite,48.51%,46547,,JarvanIV,48.50%,32886,,Volibear,48.24%,31541,,Jax,48.20%,46979,,DrMundo,47.50%,26940,,Mordekaiser,47.36%,5557,,Teemo,47.17%,10135,,Rammus,47.05%,18904,,Briar,47.01%,49757,,Amumu,46.18%,40221,
Morgana,mid,19.1%,S,4 / 47,52.4 %,2.1 %,28.5 %,286347,https://dpm.lol/champions/Morgana/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Skarner,58.67%,992,,Qiyana,57.86%,2475,,Pantheon,57.47%,2389,,Sejuani,55.76%,3124,,Nidalee,55.56%,1989,,Chogath,55.51%,1344,,Aatrox,55.04%,3350,,Belveth,54.97%,2416,,Sylas,54.85%,8071,,LeeSin,54.76%,8722,,Zaahen,54.73%,3437,,Hecarim,54.55%,3239,,Rengar,54.05%,5182,,RekSai,53.96%,1466,,Vi,53.85%,4492,,Udyr,53.71%,2793,,Karthus,53.68%,1943,,Zac,53.66%,3351,,Elise,53.63%,2036,,Zed,53.55%,3643,,Nunu,53.19%,3811,,Lillia,53.15%,4715,,Warwick,52.97%,10341,,XinZhao,52.84%,4101,,Ambessa,52.76%,1395,,Rammus,52.64%,3446,,Kindred,52.57%,3869,,Shaco,52.53%,7661,,Evelynn,52.45%,3628,,Trundle,52.44%,3497,,Kayn,52.37%,12342,,Ekko,52.22%,5237,,Nasus,52.15%,976,,Mordekaiser,52.14%,982,,Nocturne,52.10%,7341,,Volibear,52.09%,5800,,Shyvana,52.04%,2129,,MonkeyKing,52.01%,3555,,Malphite,51.78%,9089,,Viego,51.66%,13795,,Khazix,51.57%,6475,,FiddleSticks,51.31%,3483,,Ivern,51.25%,1481,,Jax,51.22%,8746,,MasterYi,51.15%,10959,,Briar,51.06%,9134,,Amumu,50.76%,7674,,Teemo,50.54%,1775,,Jayce,50.29%,2060,,Graves,50.27%,4832,,Naafiri,50.14%,2818,,Gwen,50.12%,1213,,Diana,49.77%,10493,,DrMundo,49.37%,4669,,JarvanIV,48.99%,5913,,Talon,48.66%,3395,
Swain,mid,19.5%,S,5 / 47,53.2 %,2.0 %,6.6 %,267036,https://dpm.lol/champions/Swain/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Skarner,61.39%,966,,Sejuani,58.39%,2754,,Qiyana,58.28%,2512,,Pantheon,57.73%,2044,,Rengar,57.61%,5220,,Nidalee,56.83%,1890,,RekSai,56.50%,1531,,Vi,56.47%,3935,,Chogath,56.11%,1392,,LeeSin,56.10%,7618,,Malphite,55.85%,8063,,Zac,55.80%,3312,,Hecarim,55.56%,3220,,Rammus,55.32%,2874,,Shaco,55.31%,6458,,Nunu,54.86%,3660,,MonkeyKing,54.78%,3417,,Aatrox,54.78%,3222,,Karthus,54.75%,1790,,Elise,54.47%,2014,,Zaahen,54.12%,3265,,Zed,54.11%,3580,,XinZhao,53.87%,3759,,Khazix,53.76%,5805,,Udyr,53.51%,2932,,Nocturne,53.37%,6301,,Ambessa,53.36%,1368,,Talon,53.35%,3706,,Naafiri,53.34%,2533,,Diana,53.31%,10147,,Shyvana,53.15%,2030,,Kindred,53.03%,3560,,Sylas,52.99%,8073,,Evelynn,52.85%,3209,,JarvanIV,52.63%,5894,,Jayce,52.52%,2085,,Warwick,52.50%,9082,,Graves,52.43%,4446,,Jax,52.31%,7653,,Ekko,52.11%,4878,,Amumu,52.07%,7327,,DrMundo,51.89%,4627,,FiddleSticks,51.78%,3142,,Kayn,51.64%,11049,,Volibear,50.73%,5569,,Belveth,50.51%,2451,,Trundle,50.32%,3311,,MasterYi,50.15%,10025,,Ivern,50.07%,1428,,Lillia,50.06%,4678,,Viego,49.98%,13283,,Nasus,49.95%,975,,Gwen,49.00%,1247,,Teemo,48.82%,1692,,Briar,48.70%,8358,,Mordekaiser,47.34%,976,
Malphite,mid,8.3%,-,-/-,52.4 %,1.4 %,28.0 %,193744,https://dpm.lol/champions/Malphite/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Qiyana,61.12%,1857,,Rengar,58.91%,3329,,Pantheon,57.19%,1600,,Gragas,56.07%,544,,LeeSin,55.97%,6059,,Khazix,55.77%,4284,,Elise,55.49%,1447,,Nidalee,55.47%,1480,,Talon,55.35%,2699,,RekSai,55.23%,918,,Skarner,54.95%,646,,Zed,54.87%,5227,,Karthus,54.81%,1319,,Naafiri,54.75%,2265,,Aatrox,54.72%,2191,,Evelynn,54.72%,2407,,Hecarim,54.65%,2117,,Belveth,54.53%,1535,,Graves,53.74%,3266,,Vi,53.72%,2891,,Kindred,53.72%,2448,,Shaco,53.47%,4926,,Shyvana,53.31%,1495,,Zaahen,53.23%,2356,,Nunu,53.17%,2556,,XinZhao,53.03%,2742,,Viego,52.92%,9244,,MasterYi,52.68%,7981,,Jayce,52.53%,1599,,Chogath,52.23%,898,,FiddleSticks,52.21%,2377,,Ekko,52.18%,3741,,Jax,51.87%,5500,,Nocturne,51.79%,4406,,Nasus,51.79%,672,,Diana,51.47%,7296,,Trundle,51.45%,2766,,Ambessa,51.43%,875,,Rammus,51.09%,2249,,JarvanIV,50.89%,3779,,Kayn,50.75%,8628,,Zac,50.60%,2261,,Udyr,50.48%,1856,,Warwick,50.47%,6745,,DrMundo,50.25%,2945,,Ivern,49.84%,949,,MonkeyKing,49.76%,2530,,Teemo,49.71%,1211,,Volibear,49.52%,3841,,Briar,49.19%,5761,,Lillia,49.10%,3782,,Sejuani,48.93%,1970,,Gwen,48.64%,845,,Sylas,48.33%,6064,,Amumu,47.56%,5059,,Mordekaiser,44.41%,698,
