champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_jun_1_name,matchup_jun_1_winrate,matchup_jun_1_games,matchup_jun_1_lane_quality,matchup_jun_2_name,matchup_jun_2_winrate,matchup_jun_2_games,matchup_jun_2_lane_quality,matchup_jun_3_name,matchup_jun_3_winrate,matchup_jun_3_games,matchup_jun_3_lane_quality,matchup_jun_4_name,matchup_jun_4_winrate,matchup_jun_4_games,matchup_jun_4_lane_quality,matchup_jun_5_name,matchup_jun_5_winrate,matchup_jun_5_games,matchup_jun_5_lane_quality,matchup_jun_6_name,matchup_jun_6_winrate,matchup_jun_6_games,matchup_jun_6_lane_quality,matchup_jun_7_name,matchup_jun_7_winrate,matchup_jun_7_games,matchup_jun_7_lane_quality,matchup_jun_8_name,matchup_jun_8_winrate,matchup_jun_8_games,matchup_jun_8_lane_quality,matchup_jun_9_name,matchup_jun_9_winrate,matchup_jun_9_games,matchup_jun_9_lane_quality,matchup_jun_10_name,matchup_jun_10_winrate,matchup_jun_10_games,matchup_jun_10_lane_quality,matchup_jun_11_name,matchup_jun_11_winrate,matchup_jun_11_games,matchup_jun_11_lane_quality,matchup_jun_12_name,matchup_jun_12_winrate,matchup_jun_12_games,matchup_jun_12_lane_quality,matchup_jun_13_name,matchup_jun_13_winrate,matchup_jun_13_games,matchup_jun_13_lane_quality,matchup_jun_14_name,matchup_jun_14_winrate,matchup_jun_14_games,matchup_jun_14_lane_quality,matchup_jun_15_name,matchup_jun_15_winrate,matchup_jun_15_games,matchup_jun_15_lane_quality,matchup_jun_16_name,matchup_jun_16_winrate,matchup_jun_16_games,matchup_jun_16_lane_quality,matchup_jun_17_name,matchup_jun_17_winrate,matchup_jun_17_games,matchup_jun_17_lane_quality,matchup_jun_18_name,matchup_jun_18_winrate,matchup_jun_18_games,matchup_jun_18_lane_quality,matchup_jun_19_name,matchup_jun_19_winrate,matchup_jun_19_games,matchup_jun_19_lane_quality,matchup_jun_20_name,matchup_jun_20_winrate,matchup_jun_20_games,matchup_jun_20_lane_quality,matchup_jun_21_name,matchup_jun_21_winrate,matchup_jun_21_games,matchup_jun_21_lane_quality,matchup_jun_22_name,matchup_jun_22_winrate,matchup_jun_22_games,matchup_jun_22_lane_quality,matchup_jun_23_name,matchup_jun_23_winrate,matchup_jun_23_games,matchup_jun_23_lane_quality,matchup_jun_24_name,matchup_jun_24_winrate,matchup_jun_24_games,matchup_jun_24_lane_quality,matchup_jun_25_name,matchup_jun_25_winrate,matchup_jun_25_games,matchup_jun_25_lane_quality,matchup_jun_26_name,matchup_jun_26_winrate,matchup_jun_26_games,matchup_jun_26_lane_quality,matchup_jun_27_name,matchup_jun_27_winrate,matchup_jun_27_games,matchup_jun_27_lane_quality,matchup_jun_28_name,matchup_jun_28_winrate,matchup_jun_28_games,matchup_jun_28_lane_quality,matchup_jun_29_name,matchup_jun_29_winrate,matchup_jun_29_games,matchup_jun_29_lane_quality,matchup_jun_30_name,matchup_jun_30_winrate,matchup_jun_30_games,matchup_jun_30_lane_quality,matchup_jun_31_name,matchup_jun_31_winrate,matchup_jun_31_games,matchup_jun_31_lane_quality,matchup_jun_32_name,matchup_jun_32_winrate,matchup_jun_32_games,matchup_jun_32_lane_quality,matchup_jun_33_name,matchup_jun_33_winrate,matchup_jun_33_games,matchup_jun_33_lane_quality,matchup_jun_34_name,matchup_jun_34_winrate,matchup_jun_34_games,matchup_jun_34_lane_quality,matchup_jun_35_name,matchup_jun_35_winrate,matchup_jun_35_games,matchup_jun_35_lane_quality,matchup_jun_36_name,matchup_jun_36_winrate,matchup_jun_36_games,matchup_jun_36_lane_quality,matchup_jun_37_name,matchup_jun_37_winrate,matchup_jun_37_games,matchup_jun_37_lane_quality,matchup_jun_38_name,matchup_jun_38_winrate,matchup_jun_38_games,matchup_jun_38_lane_quality,matchup_jun_39_name,matchup_jun_39_winrate,matchup_jun_39_games,matchup_jun_39_lane_quality,matchup_jun_40_name,matchup_jun_40_winrate,matchup_jun_40_games,matchup_jun_40_lane_quality,matchup_jun_41_name,matchup_jun_41_winrate,matchup_jun_41_games,matchup_jun_41_lane_quality,matchup_jun_42_name,matchup_jun_42_winrate,matchup_jun_42_games,matchup_jun_42_lane_quality,matchup_jun_43_name,matchup_jun_43_winrate,matchup_jun_43_games,matchup_jun_43_lane_quality,matchup_jun_44_name,matchup_jun_44_winrate,matchup_jun_44_games,matchup_jun_44_lane_quality,matchup_jun_45_name,matchup_jun_45_winrate,matchup_jun_45_games,matchup_jun_45_lane_quality,matchup_jun_46_name,matchup_jun_46_winrate,matchup_jun_46_games,matchup_jun_46_lane_quality,matchup_jun_47_name,matchup_jun_47_winrate,matchup_jun_47_games,matchup_jun_47_lane_quality,matchup_jun_48_name,matchup_jun_48_winrate,matchup_jun_48_games,matchup_jun_48_lane_quality,matchup_jun_49_name,matchup_jun_49_winrate,matchup_jun_49_games,matchup_jun_49_lane_quality,matchup_jun_50_name,matchup_jun_50_winrate,matchup_jun_50_games,matchup_jun_50_lane_quality,matchup_jun_51_name,matchup_jun_51_winrate,matchup_jun_51_games,matchup_jun_51_lane_quality,matchup_jun_52_name,matchup_jun_52_winrate,matchup_jun_52_games,matchup_jun_52_lane_quality,matchup_jun_53_name,matchup_jun_53_winrate,matchup_jun_53_games,matchup_jun_53_lane_quality,matchup_jun_54_name,matchup_jun_54_winrate,matchup_jun_54_games,matchup_jun_54_lane_quality,matchup_jun_55_name,matchup_jun_55_winrate,matchup_jun_55_games,matchup_jun_55_lane_quality,matchup_jun_56_name,matchup_jun_56_winrate,matchup_jun_56_games,matchup_jun_56_lane_quality
Shaco,jun,75.4%,C,16 / 51,49.0 %,5.5 %,27.2 %,655101,https://dpm.lol/champions/Shaco/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Qiyana,53.78%,7292,Bad Lane,Nidalee,53.06%,5618,Average,Pantheon,52.65%,5772,Good Lane,Elise,52.54%,5615,Good Lane,Sylas,52.36%,18905,Good Lane,Kindred,52.22%,9334,Good Lane,Jayce,51.81%,5206,Bad Lane,LeeSin,51.80%,25507,Average,Skarner,51.58%,2524,Good Lane,Zed,51.46%,12833,Bad Lane,Zaahen,51.40%,8589,Good Lane,RekSai,51.22%,4432,Good Lane,Evelynn,50.94%,10518,Good Lane,Rengar,50.86%,16175,Bad Lane,Khazix,50.82%,18990,Bad Lane,Vi,50.66%,10376,Good Lane,Gragas,50.56%,2243,Good Lane,MasterYi,50.46%,29648,Good Lane,Belveth,50.41%,6566,Average,Ivern,50.33%,3741,Good Lane,Chogath,50.12%,3206,Good Lane,Aatrox,50.09%,7581,Bad Lane,Gwen,49.80%,2458,Average,Hecarim,49.44%,8767,Bad Lane,FiddleSticks,49.33%,9996,Good Lane,Ekko,49.33%,14602,Bad Lane,Zac,49.27%,8108,Good Lane,Talon,49.22%,10766,Bad Lane,Naafiri,49.11%,9282,Average,Sejuani,49.03%,7405,Good Lane,Trundle,48.72%,7422,Good Lane,Udyr,48.58%,7090,Bad Lane,Shyvana,48.53%,5528,Bad Lane,Viego,48.51%,36310,Bad Lane,Kayn,48.23%,35276,Good Lane,Nunu,48.18%,10553,Good Lane,MonkeyKing,48.07%,8899,Good Lane,Warwick,47.90%,26236,Good Lane,Lillia,47.86%,12233,Bad Lane,XinZhao,47.69%,9708,Good Lane,Jax,47.64%,20218,Good Lane,Ambessa,47.61%,3394,Bad Lane,Volibear,47.45%,13731,Good Lane,Rammus,47.32%,7358,Good Lane,Karthus,47.20%,5907,Bad Lane,Amumu,47.17%,19130,Good Lane,Teemo,47.17%,4855,Good Lane,Nasus,47.16%,2409,Good Lane,Nocturne,47.13%,19486,Bad Lane,JarvanIV,47.08%,14783,Average,Graves,46.94%,13034,Bad Lane,Malphite,46.92%,22484,Average,Diana,46.77%,29235,Bad Lane,Mordekaiser,46.26%,2315,Average,DrMundo,46.07%,11180,Average,Briar,44.68%,23515,Bad Lane
Zed,mid,65.2%,C,21 / 47,48.7 %,6.7 %,21.3 %,802593,https://dpm.lol/champions/Zed/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Qiyana,55.01%,9635,,Rengar,53.81%,18653,,Nidalee,52.96%,6905,,Skarner,52.88%,3024,,Pantheon,51.07%,7589,,Belveth,51.01%,7397,,Zaahen,50.89%,10463,,Gragas,50.78%,2755,,Talon,50.73%,12615,,LeeSin,50.45%,33121,,Vi,50.39%,13875,,Hecarim,50.33%,10724,,Evelynn,50.24%,11341,,Aatrox,50.24%,10649,,Karthus,50.15%,6120,,Khazix,50.03%,24385,,RekSai,50.01%,5081,,Sylas,49.90%,26865,,Naafiri,49.79%,10056,,Kindred,49.74%,11182,,Udyr,49.70%,8298,,Gwen,49.58%,3249,,Shaco,49.43%,24785,,Jayce,49.40%,8755,,Elise,49.33%,7204,,Ivern,49.31%,4405,,Shyvana,49.31%,6206,,Zac,49.12%,10004,,XinZhao,49.11%,13434,,Nunu,49.06%,11336,,Ekko,48.76%,17257,,JarvanIV,48.64%,19221,,Nocturne,48.47%,21735,,Chogath,48.44%,3966,,FiddleSticks,48.35%,10777,,Graves,48.35%,17618,,Ambessa,48.19%,4217,,Kayn,48.18%,39687,,Sejuani,48.08%,9262,,Diana,47.92%,30697,,Viego,47.74%,46834,,Trundle,47.63%,10106,,MasterYi,47.39%,35741,,Volibear,46.74%,16510,,DrMundo,46.62%,13407,,Teemo,46.52%,5363,,Jax,46.16%,25282,,Nasus,45.97%,2926,,Rammus,45.93%,11682,,MonkeyKing,45.90%,11974,,Warwick,45.85%,30553,,Malphite,45.32%,26100,,Briar,44.93%,26150,,Amumu,44.90%,21411,,,,,,,,,
Irelia,mid,46.0%,C,20 / 47,50.2 %,3.0 %,9.2 %,358352,https://dpm.lol/champions/Irelia/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Rengar,58.37%,7009,,Qiyana,57.07%,3876,,Skarner,56.57%,1363,,Nidalee,54.64%,2886,,Naafiri,53.01%,4520,,Zed,53.00%,7760,,Hecarim,52.89%,4426,,Pantheon,52.73%,3114,,Kindred,52.71%,4936,,Khazix,52.58%,8724,,Talon,52.51%,4900,,Shaco,52.50%,10842,,Jayce,52.25%,3778,,Aatrox,52.12%,4831,,Sylas,51.88%,12487,,LeeSin,51.71%,13251,,Karthus,51.70%,2799,,RekSai,51.62%,2001,,Zaahen,51.44%,4878,,Gragas,51.40%,1142,,Evelynn,51.21%,5069,,Vi,51.05%,6118,,Shyvana,50.90%,2715,,Gwen,50.87%,1608,,Diana,50.57%,14573,,DrMundo,50.56%,6042,,Ekko,50.55%,7842,,Lillia,50.47%,6483,,Zac,50.18%,4436,,Nocturne,50.17%,9379,,MonkeyKing,50.13%,4855,,Belveth,50.11%,3175,,FiddleSticks,49.98%,4674,,XinZhao,49.94%,5927,,Nunu,49.85%,5039,,Ivern,49.81%,1873,,Viego,49.74%,19938,,Teemo,49.74%,2270,,Elise,49.72%,2838,,Ambessa,49.34%,1984,,JarvanIV,49.17%,7388,,Udyr,49.17%,3663,,MasterYi,49.16%,15556,,Graves,49.15%,6442,,Kayn,49.03%,18252,,Nasus,48.88%,1385,,Trundle,48.64%,5010,,Mordekaiser,48.12%,1355,,Chogath,48.00%,1779,,Volibear,47.21%,7810,,Warwick,47.16%,14169,,Malphite,46.71%,11603,,Amumu,46.23%,9950,,Rammus,46.01%,5390,,Jax,46.00%,12197,,Briar,45.58%,11810,
Xerath,sup,47.2%,C,23 / 38,50.5 %,3.0 %,5.2 %,364216,https://dpm.lol/champions/Xerath/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Skarner,55.87%,1337,,Qiyana,55.82%,3900,,Zaahen,54.52%,4479,,Rengar,53.89%,7022,,Karthus,53.74%,2730,,Zed,53.35%,6540,,Nidalee,53.26%,3635,,FiddleSticks,53.21%,4371,,Sylas,53.03%,12638,,Pantheon,52.93%,3480,,Elise,52.81%,3166,,Shaco,52.57%,10394,,Aatrox,52.53%,5393,,Vi,52.48%,6520,,Zyra,52.06%,1191,,LeeSin,52.03%,15542,,Graves,52.00%,8055,,Zac,51.96%,4619,,Kindred,51.87%,5040,,Ivern,51.60%,1843,,Ambessa,51.22%,1974,,XinZhao,51.00%,6541,,Ekko,50.89%,7257,,Talon,50.79%,5044,,Hecarim,50.54%,4248,,Mordekaiser,50.44%,1148,,Nunu,50.37%,4977,,Chogath,50.33%,1802,,Lillia,50.18%,6654,,Malphite,49.99%,12306,,Khazix,49.95%,10806,,JarvanIV,49.93%,9253,,Gwen,49.90%,1529,,Shyvana,49.82%,2812,,Nocturne,49.78%,10320,,Evelynn,49.76%,4912,,Udyr,49.65%,3458,,RekSai,49.65%,2131,,Jax,49.61%,11019,,Teemo,49.48%,2492,,Jayce,49.47%,4920,,MasterYi,49.46%,14896,,Diana,49.29%,13287,,Naafiri,49.26%,4332,,Trundle,49.19%,4324,,MonkeyKing,49.14%,5181,,Viego,49.05%,19996,,Sejuani,48.99%,3976,,Belveth,48.91%,3267,,Amumu,48.37%,9374,,Warwick,47.94%,13043,,Rammus,47.73%,3941,,Volibear,47.59%,7113,,Briar,46.63%,12029,,Nasus,46.60%,1384,,DrMundo,45.34%,6453,
Vex,mid,94.9%,C,23 / 47,50.5 %,3.5 %,3.7 %,417683,https://dpm.lol/champions/Vex/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Nidalee,56.23%,3418,,Qiyana,56.15%,4664,,Rengar,55.46%,8194,,LeeSin,55.21%,14446,,Kindred,53.85%,5796,,RekSai,53.73%,2330,,Pantheon,53.60%,3789,,Naafiri,53.53%,5255,,Sylas,53.51%,16800,,Belveth,53.38%,3608,,Talon,53.12%,6207,,Skarner,53.00%,1619,,Graves,52.85%,7076,,Khazix,52.74%,10700,,Zed,52.68%,7050,,Ambessa,52.65%,2072,,Elise,52.27%,3371,,Shaco,52.18%,11839,,Hecarim,52.16%,4885,,Aatrox,51.99%,5120,,Kayn,51.90%,19562,,Vi,51.82%,6967,,Zaahen,51.59%,5354,,Ivern,51.32%,2116,,Jayce,51.19%,3651,,Ekko,51.13%,8931,,Evelynn,50.99%,5868,,MonkeyKing,50.83%,5660,,XinZhao,50.62%,6632,,MasterYi,50.08%,18222,,FiddleSticks,49.88%,5463,,Udyr,49.87%,4115,,Sejuani,49.49%,4653,,Viego,49.40%,23044,,Nunu,49.36%,6143,,Diana,49.33%,18020,,Karthus,49.33%,3077,,Zac,49.11%,5182,,Nocturne,49.03%,11013,,JarvanIV,48.94%,8669,,Lillia,48.46%,8044,,Gwen,48.42%,1869,,Warwick,48.41%,16442,,Volibear,48.38%,8915,,Chogath,48.25%,2029,,Shyvana,48.21%,3325,,Rammus,48.12%,4871,,Jax,47.95%,13812,,Malphite,47.92%,13644,,Trundle,47.82%,5512,,Teemo,47.62%,2862,,Amumu,47.09%,11687,,Briar,46.98%,14134,,Nasus,46.34%,1517,,Mordekaiser,44.69%,1544,,DrMundo,43.18%,7349,
