champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_sup_1_name,synergy_sup_1_winrate,synergy_sup_1_games,synergy_sup_1_lane_quality,synergy_sup_2_name,synergy_sup_2_winrate,synergy_sup_2_games,synergy_sup_2_lane_quality,synergy_sup_3_name,synergy_sup_3_winrate,synergy_sup_3_games,synergy_sup_3_lane_quality,synergy_sup_4_name,synergy_sup_4_winrate,synergy_sup_4_games,synergy_sup_4_lane_quality,synergy_sup_5_name,synergy_sup_5_winrate,synergy_sup_5_games,synergy_sup_5_lane_quality,synergy_sup_6_name,synergy_sup_6_winrate,synergy_sup_6_games,synergy_sup_6_lane_quality,synergy_sup_7_name,synergy_sup_7_winrate,synergy_sup_7_games,synergy_sup_7_lane_quality,synergy_sup_8_name,synergy_sup_8_winrate,synergy_sup_8_games,synergy_sup_8_lane_quality,synergy_sup_9_name,synergy_sup_9_winrate,synergy_sup_9_games,synergy_sup_9_lane_quality,synergy_sup_10_name,synergy_sup_10_winrate,synergy_sup_10_games,synergy_sup_10_lane_quality,synergy_sup_11_name,synergy_sup_11_winrate,synergy_sup_11_games,synergy_sup_11_lane_quality,synergy_sup_12_name,synergy_sup_12_winrate,synergy_sup_12_games,synergy_sup_12_lane_quality,synergy_sup_13_name,synergy_sup_13_winrate,synergy_sup_13_games,synergy_sup_13_lane_quality,synergy_sup_14_name,synergy_sup_14_winrate,synergy_sup_14_games,synergy_sup_14_lane_quality,synergy_sup_15_name,synergy_sup_15_winrate,synergy_sup_15_games,synergy_sup_15_lane_quality,synergy_sup_16_name,synergy_sup_16_winrate,synergy_sup_16_games,synergy_sup_16_lane_quality,synergy_sup_17_name,synergy_sup_17_winrate,synergy_sup_17_games,synergy_sup_17_lane_quality,synergy_sup_18_name,synergy_sup_18_winrate,synergy_sup_18_games,synergy_sup_18_lane_quality,synergy_sup_19_name,synergy_sup_19_winrate,synergy_sup_19_games,synergy_sup_19_lane_quality,synergy_sup_20_name,synergy_sup_20_winrate,synergy_sup_20_games,synergy_sup_20_lane_quality,synergy_sup_21_name,synergy_sup_21_winrate,synergy_sup_21_games,synergy_sup_21_lane_quality,synergy_sup_22_name,synergy_sup_22_winrate,synergy_sup_22_games,synergy_sup_22_lane_quality,synergy_sup_23_name,synergy_sup_23_winrate,synergy_sup_23_games,synergy_sup_23_lane_quality,synergy_sup_24_name,synergy_sup_24_winrate,synergy_sup_24_games,synergy_sup_24_lane_quality,synergy_sup_25_name,synergy_sup_25_winrate,synergy_sup_25_games,synergy_sup_25_lane_quality,synergy_sup_26_name,synergy_sup_26_winrate,synergy_sup_26_games,synergy_sup_26_lane_quality,synergy_sup_27_name,synergy_sup_27_winrate,synergy_sup_27_games,synergy_sup_27_lane_quality,synergy_sup_28_name,synergy_sup_28_winrate,synergy_sup_28_games,synergy_sup_28_lane_quality,synergy_sup_29_name,synergy_sup_29_winrate,synergy_sup_29_games,synergy_sup_29_lane_quality,synergy_sup_30_name,synergy_sup_30_winrate,synergy_sup_30_games,synergy_sup_30_lane_quality,synergy_sup_31_name,synergy_sup_31_winrate,synergy_sup_31_games,synergy_sup_31_lane_quality,synergy_sup_32_name,synergy_sup_32_winrate,synergy_sup_32_games,synergy_sup_32_lane_quality,synergy_sup_33_name,synergy_sup_33_winrate,synergy_sup_33_games,synergy_sup_33_lane_quality,synergy_sup_34_name,synergy_sup_34_winrate,synergy_sup_34_games,synergy_sup_34_lane_quality,synergy_sup_35_name,synergy_sup_35_winrate,synergy_sup_35_games,synergy_sup_35_lane_quality,synergy_sup_36_name,synergy_sup_36_winrate,synergy_sup_36_games,synergy_sup_36_lane_quality,synergy_sup_37_name,synergy_sup_37_winrate,synergy_sup_37_games,synergy_sup_37_lane_quality,synergy_sup_38_name,synergy_sup_38_winrate,synergy_sup_38_games,synergy_sup_38_lane_quality,synergy_sup_39_name,synergy_sup_39_winrate,synergy_sup_39_games,synergy_sup_39_lane_quality,synergy_sup_40_name,synergy_sup_40_winrate,synergy_sup_40_games,synergy_sup_40_lane_quality,synergy_sup_41_name,synergy_sup_41_winrate,synergy_sup_41_games,synergy_sup_41_lane_quality,synergy_sup_42_name,synergy_sup_42_winrate,synergy_sup_42_games,synergy_sup_42_lane_quality,synergy_sup_43_name,synergy_sup_43_winrate,synergy_sup_43_games,synergy_sup_43_lane_quality,synergy_sup_44_name,synergy_sup_44_winrate,synergy_sup_44_games,synergy_sup_44_lane_quality,synergy_sup_45_name,synergy_sup_45_winrate,synergy_sup_45_games,synergy_sup_45_lane_quality,synergy_sup_46_name,synergy_sup_46_winrate,synergy_sup_46_games,synergy_sup_46_lane_quality,synergy_sup_47_name,synergy_sup_47_winrate,synergy_sup_47_games,synergy_sup_47_lane_quality,synergy_sup_48_name,synergy_sup_48_winrate,synergy_sup_48_games,synergy_sup_48_lane_quality,synergy_sup_49_name,synergy_sup_49_winrate,synergy_sup_49_games,synergy_sup_49_lane_quality,synergy_sup_50_name,synergy_sup_50_winrate,synergy_sup_50_games,synergy_sup_50_lane_quality
Rengar,jun,92.0%,D,50 / 52,46.0 %,4.1 %,4.0 %,976835,https://dpm.lol/champions/Rengar/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Teemo,49.83%,7181,,Janna,49.76%,19079,,Nami,49.47%,59161,,Milio,49.26%,40700,,Ivern,48.81%,3202,,Elise,48.68%,6155,,Soraka,48.40%,25280,,Sona,48.22%,13949,,Zyra,47.95%,21463,,Bard,47.75%,24262,,Taric,47.69%,7603,,Zilean,47.65%,11588,,Karma,47.40%,32276,,FiddleSticks,47.40%,3004,,Braum,47.35%,22217,,Brand,47.19%,21702,,Velkoz,47.05%,17042,,Shaco,46.65%,7689,,Lulu,46.54%,33816,,Leona,46.32%,36787,,Leblanc,46.31%,2572,,Morgana,46.29%,37096,,Poppy,46.24%,9889,,Xerath,46.23%,13908,,Amumu,46.17%,3019,,Renata,45.97%,5834,,Swain,45.83%,24789,,Thresh,45.72%,48877,,Sylas,45.64%,4262,,Galio,45.51%,3138,,Shen,45.50%,4114,,Rakan,45.42%,15129,,Senna,45.26%,20047,,Seraphine,45.25%,27206,,Hwei,44.93%,2593,,Lux,44.82%,49991,,Blitzcrank,44.73%,25512,,Alistar,44.69%,16071,,Rell,44.59%,12498,,TahmKench,44.48%,15858,,Pantheon,44.07%,16547,,Veigar,43.79%,3131,,Zoe,43.63%,4025,,Yuumi,43.60%,21742,,Nautilus,43.49%,43387,,Pyke,43.43%,30827,,Neeko,43.17%,14263,,Malphite,43.03%,6584,,Mel,41.14%,21913,,Ashe,40.91%,4964,
Varus,adc,76.3%,D,24 / 26,46.3 %,3.9 %,0.8 %,930070,https://dpm.lol/champions/Varus/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Taric,50.02%,6174,,Teemo,49.95%,7307,,Milio,49.33%,26376,,Sona,49.10%,11659,,Nami,49.06%,35855,,Janna,48.88%,12330,,Soraka,48.83%,21325,,Shaco,48.76%,7752,,Brand,48.39%,24668,,Zilean,48.29%,9237,,Zyra,48.27%,23508,,Leblanc,48.16%,3453,,Elise,48.12%,5819,,Shen,47.66%,3655,,Karma,47.60%,31437,,FiddleSticks,47.51%,3254,,Renata,47.49%,7083,,Poppy,47.35%,10763,,Swain,47.33%,24310,,Velkoz,47.27%,19931,,Braum,47.27%,17757,,Leona,47.11%,34055,,Morgana,46.96%,39360,,Maokai,46.95%,8407,,Bard,46.91%,20469,,Sylas,46.76%,4386,,TahmKench,46.69%,15342,,Amumu,46.62%,2516,,Hwei,46.56%,3284,,Xerath,46.43%,21406,,Rell,46.12%,10911,,Seraphine,46.08%,29663,,Lux,45.82%,57185,,Thresh,45.76%,42802,,Pantheon,45.60%,17564,,Galio,45.58%,3012,,Rakan,45.53%,11711,,Alistar,45.40%,14772,,Senna,45.37%,19324,,Blitzcrank,45.19%,27589,,Veigar,45.17%,3365,,Nautilus,45.10%,39421,,Zoe,44.71%,4357,,Pyke,44.51%,32074,,Malphite,44.18%,7175,,Neeko,43.83%,19674,,Mel,42.85%,29093,,Ashe,41.75%,8729,,MissFortune,40.34%,3024,,Yuumi,39.82%,10802,
Nidalee,jun,77.5%,D,51 / 52,46.9 %,1.9 %,0.8 %,444965,https://dpm.lol/champions/Nidalee/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Elise,52.90%,3168,,Poppy,49.53%,6366,,Janna,49.42%,6493,,Braum,49.12%,12864,,Nami,49.10%,21885,,Milio,49.06%,14896,,Maokai,49.00%,4220,,Sona,48.88%,4937,,Leona,48.74%,21116,,Taric,48.68%,3223,,Shaco,48.56%,3375,,Leblanc,48.46%,1587,,Amumu,48.38%,1544,,Karma,48.23%,14626,,Bard,48.12%,11455,,Galio,48.10%,1451,,Rell,47.96%,7429,,Zyra,47.74%,7342,,Nautilus,47.60%,26244,,Thresh,47.58%,25803,,Lulu,47.42%,16688,,Teemo,47.42%,2476,,Blitzcrank,47.39%,14879,,Alistar,47.33%,10294,,Pantheon,47.21%,9661,,Renata,47.11%,2418,,FiddleSticks,47.06%,1294,,Xerath,46.97%,6657,,Rakan,46.85%,8421,,Soraka,46.80%,9366,,Zilean,46.59%,4207,,Brand,46.52%,6997,,Pyke,46.49%,16561,,Zoe,46.46%,1552,,TahmKench,46.03%,6531,,Velkoz,45.76%,5527,,Senna,45.56%,8512,,Morgana,45.49%,13753,,Swain,45.36%,8551,,Shen,45.29%,1879,,Seraphine,45.09%,10986,,Neeko,44.83%,6964,,Yuumi,44.52%,10240,,Lux,44.10%,18264,,Malphite,43.68%,2928,,Veigar,42.76%,1230,,Mel,41.73%,8754,,Ashe,40.70%,2194,,,,,,,,,
Kalista,adc,91.1%,D,25 / 26,47.0 %,1.4 %,0.3 %,329256,https://dpm.lol/champions/Kalista/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Taric,52.90%,5176,,Sona,51.13%,2482,,Soraka,50.51%,5266,,Braum,50.44%,10352,,Nami,50.15%,7474,,Milio,49.92%,6166,,Elise,49.29%,2100,,Teemo,49.28%,1603,,Swain,48.99%,8986,,Leona,48.89%,19089,,Amumu,48.80%,1826,,Renata,48.78%,13802,,Lulu,48.69%,7423,,Shen,48.54%,1883,,FiddleSticks,48.24%,879,,Velkoz,48.23%,2934,,Brand,48.18%,4373,,Bard,48.05%,4539,,Janna,47.94%,2622,,Thresh,47.90%,30156,,Galio,47.74%,1617,,Maokai,47.57%,4261,,Blitzcrank,47.44%,13089,,Xerath,47.43%,2530,,Sylas,47.16%,2235,,Karma,46.93%,5325,,Shaco,46.73%,1714,,Lux,46.69%,10047,,Morgana,46.61%,9064,,Zyra,46.56%,4040,,Senna,46.54%,3900,,Nautilus,46.51%,24117,,Sion,46.12%,811,,Sett,46.07%,955,,Poppy,45.79%,4634,,Yuumi,45.74%,4215,,Rell,45.61%,6883,,Seraphine,45.54%,5452,,Malphite,45.27%,3329,,Pyke,45.05%,13532,,Pantheon,44.98%,8203,,Leblanc,44.96%,794,,TahmKench,44.96%,8310,,Rakan,44.64%,4803,,Neeko,44.59%,7473,,Alistar,44.58%,11027,,Mel,44.02%,5091,,Ashe,42.31%,1482,,,,,,,,,
Corki,adc,76.7%,D,26 / 26,47.0 %,1.2 %,0.3 %,281918,https://dpm.lol/champions/Corki/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Nami,51.70%,20550,,Elise,50.83%,2817,,Teemo,50.35%,1978,,Taric,50.11%,2305,,Janna,49.82%,5281,,Sona,49.72%,3908,,Soraka,49.13%,6717,,Amumu,48.47%,848,,Milio,48.41%,8169,,Shaco,48.33%,2396,,Brand,48.04%,6045,,Xerath,48.00%,3621,,Zyra,47.99%,5297,,Maokai,47.88%,2646,,FiddleSticks,47.72%,1008,,Bard,47.61%,8225,,Poppy,47.54%,4182,,Zilean,47.40%,3042,,Leona,47.30%,11280,,Leblanc,47.29%,1146,,Alistar,47.24%,5923,,Velkoz,47.19%,4497,,Seraphine,47.13%,6769,,Braum,47.10%,5684,,Thresh,47.04%,14530,,Shen,46.57%,1211,,Lux,46.52%,11711,,Sylas,46.50%,1802,,Karma,46.45%,8787,,Galio,46.40%,1000,,Swain,46.36%,6730,,Blitzcrank,46.35%,9915,,Rell,46.22%,4321,,TahmKench,46.13%,4333,,Pyke,46.06%,11290,,Pantheon,45.95%,5808,,Nautilus,45.57%,13485,,Rakan,45.56%,4697,,Senna,45.49%,5316,,Lulu,45.42%,5896,,Renata,45.39%,1615,,Malphite,45.28%,1652,,Zoe,45.12%,1086,,Twitch,44.60%,695,,Veigar,44.07%,894,,Neeko,43.98%,5130,,Hwei,43.91%,731,,Yuumi,43.42%,4141,,Mel,42.24%,6196,,Ashe,40.30%,1489,
