champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,synergy_sup_1_name,synergy_sup_1_winrate,synergy_sup_1_games,synergy_sup_1_lane_quality,synergy_sup_2_name,synergy_sup_2_winrate,synergy_sup_2_games,synergy_sup_2_lane_quality,synergy_sup_3_name,synergy_sup_3_winrate,synergy_sup_3_games,synergy_sup_3_lane_quality,synergy_sup_4_name,synergy_sup_4_winrate,synergy_sup_4_games,synergy_sup_4_lane_quality,synergy_sup_5_name,synergy_sup_5_winrate,synergy_sup_5_games,synergy_sup_5_lane_quality,synergy_sup_6_name,synergy_sup_6_winrate,synergy_sup_6_games,synergy_sup_6_lane_quality,synergy_sup_7_name,synergy_sup_7_winrate,synergy_sup_7_games,synergy_sup_7_lane_quality,synergy_sup_8_name,synergy_sup_8_winrate,synergy_sup_8_games,synergy_sup_8_lane_quality,synergy_sup_9_name,synergy_sup_9_winrate,synergy_sup_9_games,synergy_sup_9_lane_quality,synergy_sup_10_name,synergy_sup_10_winrate,synergy_sup_10_games,synergy_sup_10_lane_quality,synergy_sup_11_name,synergy_sup_11_winrate,synergy_sup_11_games,synergy_sup_11_lane_quality,synergy_sup_12_name,synergy_sup_12_winrate,synergy_sup_12_games,synergy_sup_12_lane_quality,synergy_sup_13_name,synergy_sup_13_winrate,synergy_sup_13_games,synergy_sup_13_lane_quality,synergy_sup_14_name,synergy_sup_14_winrate,synergy_sup_14_games,synergy_sup_14_lane_quality,synergy_sup_15_name,synergy_sup_15_winrate,synergy_sup_15_games,synergy_sup_15_lane_quality,synergy_sup_16_name,synergy_sup_16_winrate,synergy_sup_16_games,synergy_sup_16_lane_quality,synergy_sup_17_name,synergy_sup_17_winrate,synergy_sup_17_games,synergy_sup_17_lane_quality,synergy_sup_18_name,synergy_sup_18_winrate,synergy_sup_18_games,synergy_sup_18_lane_quality,synergy_sup_19_name,synergy_sup_19_winrate,synergy_sup_19_games,synergy_sup_19_lane_quality,synergy_sup_20_name,synergy_sup_20_winrate,synergy_sup_20_games,synergy_sup_20_lane_quality,synergy_sup_21_name,synergy_sup_21_winrate,synergy_sup_21_games,synergy_sup_21_lane_quality,synergy_sup_22_name,synergy_sup_22_winrate,synergy_sup_22_games,synergy_sup_22_lane_quality,synergy_sup_23_name,synergy_sup_23_winrate,synergy_sup_23_games,synergy_sup_23_lane_quality,synergy_sup_24_name,synergy_sup_24_winrate,synergy_sup_24_games,synergy_sup_24_lane_quality,synergy_sup_25_name,synergy_sup_25_winrate,synergy_sup_25_games,synergy_sup_25_lane_quality,synergy_sup_26_name,synergy_sup_26_winrate,synergy_sup_26_games,synergy_sup_26_lane_quality,synergy_sup_27_name,synergy_sup_27_winrate,synergy_sup_27_games,synergy_sup_27_lane_quality,synergy_sup_28_name,synergy_sup_28_winrate,synergy_sup_28_games,synergy_sup_28_lane_quality,synergy_sup_29_name,synergy_sup_29_winrate,synergy_sup_29_games,synergy_sup_29_lane_quality,synergy_sup_30_name,synergy_sup_30_winrate,synergy_sup_30_games,synergy_sup_30_lane_quality,synergy_sup_31_name,synergy_sup_31_winrate,synergy_sup_31_games,synergy_sup_31_lane_quality,synergy_sup_32_name,synergy_sup_32_winrate,synergy_sup_32_games,synergy_sup_32_lane_quality,synergy_sup_33_name,synergy_sup_33_winrate,synergy_sup_33_games,synergy_sup_33_lane_quality,synergy_sup_34_name,synergy_sup_34_winrate,synergy_sup_34_games,synergy_sup_34_lane_quality,synergy_sup_35_name,synergy_sup_35_winrate,synergy_sup_35_games,synergy_sup_35_lane_quality,synergy_sup_36_name,synergy_sup_36_winrate,synergy_sup_36_games,synergy_sup_36_lane_quality,synergy_sup_37_name,synergy_sup_37_winrate,synergy_sup_37_games,synergy_sup_37_lane_quality,synergy_sup_38_name,synergy_sup_38_winrate,synergy_sup_38_games,synergy_sup_38_lane_quality,synergy_sup_39_name,synergy_sup_39_winrate,synergy_sup_39_games,synergy_sup_39_lane_quality,synergy_sup_40_name,synergy_sup_40_winrate,synergy_sup_40_games,synergy_sup_40_lane_quality,synergy_sup_41_name,synergy_sup_41_winrate,synergy_sup_41_games,synergy_sup_41_lane_quality,synergy_sup_42_name,synergy_sup_42_winrate,synergy_sup_42_games,synergy_sup_42_lane_quality,synergy_sup_43_name,synergy_sup_43_winrate,synergy_sup_43_games,synergy_sup_43_lane_quality,synergy_sup_44_name,synergy_sup_44_winrate,synergy_sup_44_games,synergy_sup_44_lane_quality,synergy_sup_45_name,synergy_sup_45_winrate,synergy_sup_45_games,synergy_sup_45_lane_quality,synergy_sup_46_name,synergy_sup_46_winrate,synergy_sup_46_games,synergy_sup_46_lane_quality,synergy_sup_47_name,synergy_sup_47_winrate,synergy_sup_47_games,synergy_sup_47_lane_quality,synergy_sup_48_name,synergy_sup_48_winrate,synergy_sup_48_games,synergy_sup_48_lane_quality,synergy_sup_49_name,synergy_sup_49_winrate,synergy_sup_49_games,synergy_sup_49_lane_quality,synergy_sup_50_name,synergy_sup_50_winrate,synergy_sup_50_games,synergy_sup_50_lane_quality
Shaco,jun,74.2%,C,17 / 52,49.1 %,5.3 %,27.5 %,1265986,https://dpm.lol/champions/Shaco/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Teemo,52.83%,10282,,Milio,52.78%,45900,,Zyra,52.21%,29992,,Sona,51.95%,16968,,Soraka,51.72%,30043,,Brand,51.52%,30490,,FiddleSticks,51.44%,3738,,Nami,51.31%,63872,,Janna,51.28%,17760,,Xerath,51.15%,19120,,Velkoz,50.85%,22209,,Zilean,50.64%,13065,,Maokai,50.62%,12425,,Taric,50.57%,10379,,Swain,50.55%,35555,,Elise,50.21%,5746,,Morgana,49.78%,54645,,Leona,49.67%,53002,,Poppy,49.65%,13690,,Shen,49.63%,5918,,Karma,49.51%,35351,,Braum,49.47%,28125,,Bard,49.31%,25402,,Galio,49.27%,4443,,Lux,48.87%,76055,,Leblanc,48.87%,3147,,Lulu,48.72%,38312,,Malphite,48.58%,11269,,Seraphine,48.54%,40912,,Renata,48.50%,6981,,Senna,48.44%,26554,,Amumu,48.30%,3948,,Thresh,48.22%,60701,,Hwei,48.19%,3370,,Sylas,48.02%,4885,,Zoe,47.92%,4451,,Yuumi,47.84%,25801,,Nautilus,47.65%,60863,,Blitzcrank,47.65%,36271,,Rell,47.56%,15962,,Pyke,47.48%,41723,,Pantheon,47.47%,24674,,Alistar,47.46%,19950,,Rakan,47.29%,18159,,Veigar,46.73%,4845,,Neeko,46.58%,20042,,Ashe,45.45%,7186,,Mel,44.82%,32901,,,,,,,,,
Zed,mid,63.5%,C,20 / 47,48.7 %,6.5 %,21.7 %,1561717,https://dpm.lol/champions/Zed/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Teemo,52.74%,12438,,Brand,51.73%,43276,,Milio,51.68%,52654,,Taric,51.67%,10962,,Nami,51.62%,74458,,Sona,51.50%,19252,,Zyra,51.41%,38239,,Shaco,50.98%,11891,,Janna,50.93%,20945,,Soraka,50.89%,35138,,Elise,50.73%,9217,,Xerath,50.58%,30175,,Velkoz,50.51%,30587,,Zilean,50.42%,16501,,FiddleSticks,50.38%,5389,,Morgana,49.77%,68843,,Shen,49.75%,6034,,Renata,49.61%,7926,,Bard,49.52%,30685,,Swain,49.50%,46113,,Poppy,49.41%,15718,,Karma,49.36%,47801,,Braum,49.24%,31774,,Leona,49.09%,58071,,Maokai,48.88%,13390,,Seraphine,48.66%,49545,,Lulu,48.64%,49202,,Amumu,48.57%,4686,,Hwei,48.52%,4953,,Galio,48.30%,5433,,Veigar,48.14%,7133,,Senna,48.13%,28214,,Leblanc,48.10%,5239,,TahmKench,47.96%,24927,,Zoe,47.77%,6827,,Anivia,47.63%,4107,,Thresh,47.59%,71451,,Rakan,47.49%,21557,,Rell,47.28%,18084,,Sylas,47.15%,8081,,Alistar,47.11%,23829,,Neeko,47.05%,27870,,Nautilus,46.82%,67627,,Pantheon,46.51%,26373,,Blitzcrank,46.42%,42739,,Yuumi,46.39%,33356,,Malphite,46.30%,12608,,Pyke,45.44%,47022,,Mel,45.21%,45360,,Ashe,44.01%,8170,
Irelia,mid,44.6%,C,21 / 47,50.1 %,2.9 %,9.1 %,699054,https://dpm.lol/champions/Irelia/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Teemo,54.09%,5690,,Brand,52.93%,18647,,Sona,52.92%,8861,,Milio,52.79%,23749,,Taric,52.57%,4906,,Nami,52.57%,33422,,Janna,52.39%,9052,,Renata,52.14%,3598,,Velkoz,51.89%,13443,,Morgana,51.65%,32065,,Zyra,51.38%,17325,,Zilean,51.32%,7300,,Shaco,51.27%,5290,,Soraka,51.25%,16135,,Amumu,51.14%,2102,,FiddleSticks,51.08%,2277,,Shen,51.05%,2625,,Seraphine,50.91%,23946,,Lux,50.81%,47095,,Leona,50.79%,25356,,Elise,50.78%,3964,,Xerath,50.73%,13080,,Swain,50.72%,20410,,Maokai,50.66%,6016,,Karma,50.47%,21218,,Hwei,50.30%,2296,,Braum,50.24%,13829,,Rell,50.23%,8217,,Poppy,50.15%,6959,,Leblanc,50.13%,2248,,Senna,50.11%,12805,,Bard,49.98%,13220,,Anivia,49.94%,1806,,Rakan,49.83%,9749,,Galio,49.81%,2359,,Zoe,49.47%,3046,,Thresh,49.43%,29815,,TahmKench,48.98%,10715,,Blitzcrank,48.91%,18784,,Malphite,48.66%,5319,,Nautilus,48.64%,29603,,Veigar,48.62%,3328,,Sylas,48.47%,3421,,Alistar,48.18%,9742,,Neeko,47.99%,13254,,Yuumi,47.63%,15445,,Pyke,47.50%,21643,,Mel,46.97%,21506,,Pantheon,46.84%,11683,,Ashe,44.23%,3701,
Xerath,sup,46.0%,C,22 / 39,50.5 %,3.2 %,5.7 %,758138,https://dpm.lol/champions/Xerath/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vex,mid,95.1%,C,22 / 47,50.7 %,3.4 %,3.6 %,821455,https://dpm.lol/champions/Vex/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Milio,54.00%,28660,,Taric,53.46%,6335,,Teemo,53.28%,6198,,Nami,53.21%,39741,,Zyra,53.12%,18793,,Amumu,53.05%,2675,,Soraka,52.48%,18842,,Galio,52.38%,2942,,Poppy,52.34%,9238,,Shen,52.31%,3829,,Braum,52.17%,18105,,Velkoz,52.16%,13345,,Renata,51.96%,4457,,Maokai,51.94%,7696,,Sona,51.89%,10441,,Swain,51.85%,21724,,Zilean,51.77%,8020,,Brand,51.71%,18456,,Janna,51.65%,10829,,Leona,51.55%,35552,,Sylas,51.30%,3390,,Elise,51.29%,3829,,Bard,51.26%,16355,,Leblanc,51.20%,2078,,TahmKench,51.17%,14459,,Shaco,51.13%,6128,,FiddleSticks,51.09%,2333,,Karma,50.98%,21877,,Morgana,50.94%,35423,,Lulu,50.91%,25469,,Xerath,50.53%,13163,,Rell,50.31%,11079,,Thresh,50.27%,38714,,Malphite,50.19%,6302,,Blitzcrank,50.07%,24042,,Rakan,50.00%,12787,,Nautilus,49.95%,39743,,Senna,49.89%,17169,,Hwei,49.84%,2227,,Lux,49.82%,50855,,Seraphine,49.67%,27950,,Pantheon,49.60%,16279,,Alistar,49.53%,12739,,Zoe,49.20%,2817,,Neeko,49.11%,13851,,Veigar,48.95%,3279,,Yuumi,48.83%,17471,,Pyke,48.77%,28851,,Mel,46.38%,20635,,Ashe,46.21%,4402,
