Nom,Heure,Fréquence,Action
\Microsoft\Windows\Hotpatch\Monitoring,03:04,Les données de planification ne sont pas disponibles dans ce format.,%systemroot%\system32\cmd.exe /d /c %systemroot%\system32\hpatchmonTask.cmd
\Microsoft\Windows\Hotpatch\Monitoring,03:28,Les données de planification ne sont pas disponibles dans ce format.,%systemroot%\system32\cmd.exe /d /c %systemroot%\system32\hpatchmonTask.cmd
\Microsoft\Windows\input\LocalUserSyncDataAvailable,03:42,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Device Information\Device,03:42,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\devicecensus.exe SystemCxt
\Microsoft\Office\Office Automatic Updates 2.0,03:53,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /frequentupdate SCHEDULEDTASK displaylevel=False
\Microsoft\Office\Office Feature Updates,04:04,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe
\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical,04:05,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical,04:05,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Office\Office Feature Updates,04:09,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe
\ZoomUpdateTaskUser-S-1-5-21-2000315303-141863411-690295039-1001,04:11,Les données de planification ne sont pas disponibles dans ce format.,"""C:\Users\samue\AppData\Roaming\Zoom\bin\Zoom.exe"" --action=UpdateSchedule"
\Microsoft\Office\Office ClickToRun Service Monitor,04:12,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /WatchService
\Microsoft\Windows\Device Information\Device,04:14,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\devicecensus.exe SystemCxt
\Microsoft\Windows\Application Experience\PcaPatchDbTask,04:32,Les données de planification ne sont pas disponibles dans ce format.,"%windir%\system32\rundll32.exe %windir%\system32\PcaSvc.dll,PcaPatchSdbTask"
\Microsoft\Office\Office Feature Updates,05:23,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe
\Microsoft\Windows\Flighting\OneSettings\RefreshCache,05:30,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\OneSettings\RefreshCache,05:39,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\OneSettings\RefreshCache,05:47,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Office\Office Feature Updates,05:58,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe
\Microsoft\Windows\Customer Experience Improvement Program\Consolidator,06:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\System32\wsqmcons.exe
\Microsoft\Office\Office Feature Updates,06:06,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe
\NvTmRep_CrashReport4_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},06:25,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\NVIDIA Corporation\NvBackend\NvTmRep.exe
\Mozilla\Firefox Background Update S-1-5-21-2000315303-141863411-690295039-1001 308046B0AF4A39CB,07:01,Les données de planification ne sont pas disponibles dans ce format.,"C:\Program Files\Mozilla Firefox\firefox.exe --MOZ_LOG sync,prependheader,timestamp,append,maxsize:1,Dump:5 --MOZ_LOG_FILE C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate.moz_log --backgroundtask bac"
\Mozilla\Firefox Background Update 308046B0AF4A39CB,07:18,Les données de planification ne sont pas disponibles dans ce format.,"C:\Program Files\Mozilla Firefox\firefox.exe --MOZ_LOG sync,prependheader,timestamp,append,maxsize:1,Dump:5 --MOZ_LOG_FILE C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate.moz_log --backgroundtask bac"
\Microsoft\Office\Office Startup Maintenance,08:05,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe wacheck
\Microsoft\Office\Office Startup Maintenance,08:27,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe wacheck
\Microsoft\Office\Office Automatic Updates 2.0,08:33,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /frequentupdate SCHEDULEDTASK displaylevel=False
\Microsoft\Windows\Printing\PrinterCleanupTask,12:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Sustainability\PowerGridForecastTask,12:07,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\NvTmRep_CrashReport1_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},12:25,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\NVIDIA Corporation\NvBackend\NvTmRep.exe
\NvDriverUpdateCheckDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},12:25,Les données de planification ne sont pas disponibles dans ce format.,"C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe -d ""C:\Program Files\NVIDIA Corporation\NvDriverUpdateCheck"" -l 3 -f C:\ProgramData\NVIDIA\NvContainerDriverUpdateCheck.log"
\NvProfileUpdaterDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},12:25,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\NVIDIA Corporation\Update Core\NvProfileUpdater64.exe
\Microsoft\Windows\InstallService\ScanForUpdates,12:31,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\BootstrapUsageDataReporting,12:40,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\ReconcileConfigs,12:41,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Sustainability\PowerGridForecastTask,12:44,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\CloudRestore\Backup,12:51,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\DirectX\DirectXDatabaseUpdater,12:51,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\directxdatabaseupdater.exe
\Microsoft\Windows\DirectX\DirectXDatabaseUpdater,12:51,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\directxdatabaseupdater.exe
\Microsoft\Windows\ApplicationData\appuriverifierinstall,12:52,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\AppHostRegistrationVerifier.exe
\Microsoft\Windows\Time Zone\SynchronizeTimeZone,12:57,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\tzsync.exe
\Microsoft\Windows\ConsentUX\UnifiedConsent\UnifiedConsentSyncTask,13:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Printing\PrintJobCleanupTask,13:01,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner,13:04,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner,13:04,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner,13:04,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner,13:04,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Servicing\OOBEFodSetup,13:05,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\OOBEFodSetup.exe
\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskLogon,13:05,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Office\Office Automatic Updates 2.0,13:25,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /frequentupdate SCHEDULEDTASK displaylevel=False
\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector,13:27,Les données de planification ne sont pas disponibles dans ce format.,"%windir%\system32\rundll32.exe dfdts.dll,DfdGetDefaultPolicyAndSMART"
\Microsoft\Windows\ConsentUX\UnifiedConsent\UnifiedConsentSyncTask,13:39,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\InstallService\RestoreDevice,13:50,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\AppxDeploymentClient\Pre-staged app cleanup,14:16,Les données de planification ne sont pas disponibles dans ce format.,"%windir%\system32\rundll32.exe %windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask"
\Microsoft\Windows\RecoveryEnvironment\VerifyWinRE,14:25,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip,15:14,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\BrokerInfrastructure\BgTaskRegistrationMaintenanceTask,15:14,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Feedback\Siuf\DmClientOnScenarioDownload,15:48,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\dmclient.exe utcwnf
\Microsoft\Windows\InstallService\ScanForUpdates,15:57,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\DiskFootprint\Diagnostics,16:03,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\disksnapshot.exe -z
\Microsoft\Windows\Time Synchronization\SynchronizeTime,16:03,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\sc.exe start w32time task_started
\Microsoft\Windows\Shell\IndexerAutomaticMaintenance,16:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\ApplicationData\appuriverifierdaily,16:03,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\AppHostRegistrationVerifier.exe
\Microsoft\Windows\Autochk\Proxy,16:03,Les données de planification ne sont pas disponibles dans ce format.,"%windir%\system32\rundll32.exe /d acproxy.dll,PerformAutochkOperations"
\Microsoft\Windows\ApplicationData\DsSvcCleanup,16:03,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\dstokenclean.exe
\Microsoft\Windows\Application Experience\StartupAppTask,16:03,Les données de planification ne sont pas disponibles dans ce format.,"%windir%\system32\rundll32.exe Startupscan.dll,SusRunTask"
\Microsoft\Windows\Chkdsk\ProactiveScan,16:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\DiskFootprint\StorageSense,16:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\UsageDataReporting,16:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Management\Provisioning\Logon,16:03,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\ProvTool.exe /turn 5 /source LogonIdleTask
\Microsoft\Windows\Registry\RegIdleBackup,16:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\AppListBackup\Backup,16:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Setup\PITRTask,16:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Shell\ThemesSyncedImageDownload,16:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\StateRepository\MaintenanceTasks,16:03,Les données de planification ne sont pas disponibles dans ce format.,"%windir%\system32\rundll32.exe %windir%\system32\Windows.StateRepositoryClient.dll,StateRepositoryDoMaintenanceTasks"
\Microsoft\Windows\Feedback\Siuf\DmClient,16:03,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\dmclient.exe
\Microsoft\Windows\capabilityaccessmanager\maintenancetasks,16:03,Les données de planification ne sont pas disponibles dans ce format.,"%windir%\system32\rundll32.exe %windir%\system32\CapabilityAccessManager.dll,CapabilityAccessManagerDoStoreMaintenance"
\Microsoft\Windows\InstallService\ScanForUpdatesAsUser,16:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319,16:04,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64,16:04,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Defrag\ScheduledDefrag,16:04,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\defrag.exe -c -h -o -$
\Microsoft\Windows\Servicing\StartComponentCleanup,16:04,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Windows Defender\Windows Defender Scheduled Scan,16:05,Les données de planification ne sont pas disponibles dans ce format.,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe Scan -ScheduleJob -ScanTrigger 55 -IdleScheduledJob
\Microsoft\Windows\Device Information\Device User,16:05,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\devicecensus.exe UserCxt
\Microsoft\Windows\Sysmain\WsSwapAssessmentTask,16:31,Les données de planification ne sont pas disponibles dans ce format.,"%windir%\system32\rundll32.exe sysmain.dll,PfSvWsSwapAssessmentTask"
\Microsoft\Windows\Work Folders\Work Folders Maintenance Work,16:33,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem,16:41,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Maintenance\WinSAT,16:41,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Mozilla\Firefox Default Browser Agent 308046B0AF4A39CB,17:17,Les données de planification ne sont pas disponibles dans ce format.,"C:\Program Files\Mozilla Firefox\default-browser-agent.exe do-task ""308046B0AF4A39CB"""
\Microsoft\Windows\LanguageComponentsInstaller\ReconcileLanguageResources,17:48,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\MUI\Mcbuilder,18:07,Les données de planification ne sont pas disponibles dans ce format.,C:\Windows\System32\mcbuilder.exe
\NvTmRep_CrashReport2_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},18:25,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\NVIDIA Corporation\NvBackend\NvTmRep.exe
\Microsoft\Windows\CloudRestore\Backup,19:14,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\InstallService\ScanForUpdates,20:52,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\WCM\WiFiTask,21:04,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\System32\WiFiTask.exe
\Microsoft\Windows\Kernel\La57Cleanup,22:39,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\la57setup.exe
\Microsoft\Windows\FileHistory\File History (maintenance mode),22:39,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\DiskCleanup\SilentCleanup,22:41,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\cleanmgr.exe /autocleanstoragesense /d %systemdrive%
\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents,22:41,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents,22:41,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents,22:41,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents,22:41,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\VisualStudio\Updates\BackgroundDownload,22:41,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\BackgroundDownload.exe
\Microsoft\Windows\Shell\CreateObjectTask,23:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\WDI\ResolutionHost,23:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Diagnosis\UnexpectedCodepath,23:10,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\UCConfigTask.exe
\Microsoft\Windows\Sysmain\ResPriStaticDbSync,23:16,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Data Integrity Scan\Data Integrity Check And Scan,23:18,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Data Integrity Scan\Data Integrity Check And Scan,23:47,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Office\Office Background Push Maintenance,23:59,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonx64\Microsoft Shared\Office16\opushutil.exe /pushregistration
\Microsoft\Office\Office Background Push Maintenance,23:59,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonx64\Microsoft Shared\Office16\opushutil.exe /pushregistration
