Nom,Heure,Fréquence,Action
\Microsoft\Windows\WindowsUpdate\Scheduled Start,00:00,Les données de planification ne sont pas disponibles dans ce format.,%systemroot%\System32\sc.exe start wuauserv
\Microsoft\Windows\WindowsUpdate\Scheduled Start,00:00,Les données de planification ne sont pas disponibles dans ce format.,%systemroot%\System32\sc.exe start wuauserv
\Microsoft\Windows\WindowsUpdate\Scheduled Start,00:00,Les données de planification ne sont pas disponibles dans ce format.,%systemroot%\System32\sc.exe start wuauserv
\Microsoft\Windows\WindowsUpdate\Scheduled Start,00:00,Les données de planification ne sont pas disponibles dans ce format.,%systemroot%\System32\sc.exe start wuauserv
\Microsoft\Windows\USB\Usb-Notifications,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\WlanSvc\MoProfileManagement,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Workplace Join\Automatic-Device-Join,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\System32\dsregcmd.exe $(Arg0) $(Arg1) $(Arg2)
\Microsoft\Windows\Workplace Join\Automatic-Device-Join,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\System32\dsregcmd.exe $(Arg0) $(Arg1) $(Arg2)
\Microsoft\Windows\Workplace Join\Device-Sync,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Workplace Join\Recovery-Check,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\System32\dsregcmd.exe /checkrecovery
\Microsoft\Windows\Workplace Join\Recovery-Check,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\System32\dsregcmd.exe /checkrecovery
\Microsoft\Windows\WwanSvc\NotificationTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\System32\WiFiTask.exe wwan
\Microsoft\XblGameSave\XblGameSaveTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\System32\XblGameSaveTask.exe standby
\Microsoft\Windows\WlanSvc\MoProfileManagement,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\USB\Usb-Notifications,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\USB\Usb-Notifications,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\UPnP\UPnPHostConfig,00:00,Les données de planification ne sont pas disponibles dans ce format.,sc.exe config upnphost start= auto
\Microsoft\Windows\Shell\FamilySafetyMonitor,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\System32\wpcmon.exe
\Microsoft\Windows\Shell\FamilySafetyRefreshTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Shell\UpdateUserPictureTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Shell\UpdateUserPictureTaskContained,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\SpacePort\SpaceAgentTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\SpaceAgent.exe
\Microsoft\Windows\SpacePort\SpaceAgentTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\SpaceAgent.exe
\Microsoft\Windows\SpacePort\SpaceManagerTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\spaceman.exe /Work
\Microsoft\Windows\SpacePort\SpaceManagerTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\spaceman.exe /Work
\Microsoft\Windows\Speech\HeadsetButtonPress,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\speech_onecore\common\SpeechRuntime.exe StartedFromTask
\Microsoft\Windows\Storage Tiers Management\Storage Tiers Management Initialization,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Storage Tiers Management\Storage Tiers Optimization,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\defrag.exe -c -h -g -# -m 8 -i 13500
\Microsoft\Windows\Subscription\LicenseAcquisition,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\system32\ClipRenew.exe
\Microsoft\Windows\Subscription\LicenseAcquisition,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\system32\ClipRenew.exe
\Microsoft\Windows\Subscription\LicenseAcquisition,00:00,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\system32\ClipRenew.exe
