champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_adc_1_name,matchup_adc_1_winrate,matchup_adc_1_games,matchup_adc_1_lane_quality,matchup_adc_2_name,matchup_adc_2_winrate,matchup_adc_2_games,matchup_adc_2_lane_quality,matchup_adc_3_name,matchup_adc_3_winrate,matchup_adc_3_games,matchup_adc_3_lane_quality,matchup_adc_4_name,matchup_adc_4_winrate,matchup_adc_4_games,matchup_adc_4_lane_quality,matchup_adc_5_name,matchup_adc_5_winrate,matchup_adc_5_games,matchup_adc_5_lane_quality,matchup_adc_6_name,matchup_adc_6_winrate,matchup_adc_6_games,matchup_adc_6_lane_quality,matchup_adc_7_name,matchup_adc_7_winrate,matchup_adc_7_games,matchup_adc_7_lane_quality,matchup_adc_8_name,matchup_adc_8_winrate,matchup_adc_8_games,matchup_adc_8_lane_quality,matchup_adc_9_name,matchup_adc_9_winrate,matchup_adc_9_games,matchup_adc_9_lane_quality,matchup_adc_10_name,matchup_adc_10_winrate,matchup_adc_10_games,matchup_adc_10_lane_quality,matchup_adc_11_name,matchup_adc_11_winrate,matchup_adc_11_games,matchup_adc_11_lane_quality,matchup_adc_12_name,matchup_adc_12_winrate,matchup_adc_12_games,matchup_adc_12_lane_quality,matchup_adc_13_name,matchup_adc_13_winrate,matchup_adc_13_games,matchup_adc_13_lane_quality,matchup_adc_14_name,matchup_adc_14_winrate,matchup_adc_14_games,matchup_adc_14_lane_quality,matchup_adc_15_name,matchup_adc_15_winrate,matchup_adc_15_games,matchup_adc_15_lane_quality,matchup_adc_16_name,matchup_adc_16_winrate,matchup_adc_16_games,matchup_adc_16_lane_quality,matchup_adc_17_name,matchup_adc_17_winrate,matchup_adc_17_games,matchup_adc_17_lane_quality,matchup_adc_18_name,matchup_adc_18_winrate,matchup_adc_18_games,matchup_adc_18_lane_quality,matchup_adc_19_name,matchup_adc_19_winrate,matchup_adc_19_games,matchup_adc_19_lane_quality,matchup_adc_20_name,matchup_adc_20_winrate,matchup_adc_20_games,matchup_adc_20_lane_quality,matchup_adc_21_name,matchup_adc_21_winrate,matchup_adc_21_games,matchup_adc_21_lane_quality,matchup_adc_22_name,matchup_adc_22_winrate,matchup_adc_22_games,matchup_adc_22_lane_quality,matchup_adc_23_name,matchup_adc_23_winrate,matchup_adc_23_games,matchup_adc_23_lane_quality,matchup_adc_24_name,matchup_adc_24_winrate,matchup_adc_24_games,matchup_adc_24_lane_quality,matchup_adc_25_name,matchup_adc_25_winrate,matchup_adc_25_games,matchup_adc_25_lane_quality,matchup_adc_26_name,matchup_adc_26_winrate,matchup_adc_26_games,matchup_adc_26_lane_quality,matchup_adc_27_name,matchup_adc_27_winrate,matchup_adc_27_games,matchup_adc_27_lane_quality,matchup_adc_28_name,matchup_adc_28_winrate,matchup_adc_28_games,matchup_adc_28_lane_quality,matchup_adc_29_name,matchup_adc_29_winrate,matchup_adc_29_games,matchup_adc_29_lane_quality,matchup_adc_30_name,matchup_adc_30_winrate,matchup_adc_30_games,matchup_adc_30_lane_quality
Garen,top,91.9%,S,4 / 50,51.4 %,8.7 %,6.2 %,2080149,https://dpm.lol/champions/Garen/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Varus,55.96%,39392,,Corki,54.62%,11230,,Mel,54.46%,13855,,Kalista,54.40%,13998,,Ezreal,54.11%,96665,,Yunara,53.49%,62500,,Lucian,53.27%,71875,,Kaisa,52.43%,150342,,Draven,52.42%,41156,,Caitlyn,52.25%,187096,,Samira,51.97%,57454,,Ziggs,51.87%,22215,,Zeri,51.62%,27275,,Lux,51.57%,6605,,Tristana,51.48%,81651,,Twitch,51.40%,46038,,Sivir,51.33%,41944,,Jhin,51.27%,167815,,Xayah,50.97%,39454,,Yasuo,50.70%,12583,,Ashe,50.61%,122511,,Aphelios,50.51%,57823,,Smolder,50.20%,100939,,Jinx,50.17%,141442,,Nilah,49.95%,18276,,KogMaw,49.68%,17417,,Vayne,49.60%,94815,,MissFortune,49.39%,245456,,Veigar,48.95%,8086,,Swain,47.88%,14037,
Jinx,adc,99.1%,S,5 / 26,50.8 %,13.1 %,3.5 %,3158720,https://dpm.lol/champions/Jinx/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Corki,54.54%,15540,Average,Kalista,54.19%,20631,Average,Varus,53.87%,58723,Bad Lane,Yunara,53.83%,106070,Good Lane,Kaisa,52.44%,256150,Good Lane,Samira,52.33%,92635,Average,Lucian,52.24%,111536,Bad Lane,Ezreal,52.22%,141685,Average,Draven,52.17%,63074,Bad Lane,Xayah,51.96%,60577,Good Lane,Caitlyn,51.51%,336858,Average,Zeri,51.44%,44937,Good Lane,Mel,51.41%,20039,Bad Lane,Aphelios,51.27%,102412,Good Lane,Sivir,50.89%,63494,Bad Lane,Ashe,50.76%,211702,Good Lane,Jhin,50.52%,266817,Bad Lane,Yasuo,50.01%,16793,Bad Lane,Nilah,49.57%,26760,Average,Twitch,49.54%,78183,Good Lane,Vayne,49.28%,150384,Good Lane,Smolder,49.28%,162908,Good Lane,KogMaw,49.24%,28822,Good Lane,MissFortune,48.16%,422479,Bad Lane,Ziggs,48.09%,31773,Average,Veigar,47.97%,11401,Average,Lux,47.26%,9493,Bad Lane,Swain,45.80%,19047,Bad Lane,,,,,,,,
Sett,top,91.0%,S,5 / 50,51.9 %,7.7 %,4.5 %,1848524,https://dpm.lol/champions/Sett/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Corki,56.35%,9608,,Varus,55.86%,35511,,Yunara,54.77%,55798,,Kalista,53.95%,12457,,Mel,53.70%,12148,,Draven,53.69%,36235,,Ezreal,53.32%,86237,,Lucian,53.18%,63615,,Xayah,52.75%,35427,,Caitlyn,52.70%,167566,,Samira,52.60%,53368,,Kaisa,52.55%,132928,,Twitch,52.48%,40123,,Yasuo,52.48%,10975,,Zeri,52.35%,24173,,Aphelios,52.09%,51832,,Tristana,51.97%,72552,,Ashe,51.92%,110504,,Sivir,51.58%,36966,,Jinx,51.31%,127039,,Jhin,51.28%,150424,,Lux,50.61%,5566,,KogMaw,50.59%,15277,,Smolder,50.57%,86770,,Ziggs,50.25%,19756,,Vayne,50.04%,81537,,MissFortune,50.00%,218475,,Nilah,49.44%,16545,,Veigar,48.99%,7111,,Swain,47.66%,12043,
Teemo,top,63.8%,S,6 / 50,51.3 %,6.0 %,15.2 %,1435942,https://dpm.lol/champions/Teemo/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Kalista,55.35%,9085,,Varus,55.03%,27951,,Corki,54.89%,7184,,Yunara,54.48%,40964,,Mel,53.48%,9966,,Lucian,53.33%,47004,,Kaisa,53.07%,96439,,Tristana,52.75%,57098,,Draven,52.67%,27854,,Xayah,52.66%,26316,,Ezreal,52.42%,66456,,Zeri,52.25%,17393,,Vayne,52.07%,66177,,Caitlyn,51.66%,134460,,Sivir,51.39%,28308,,Twitch,51.35%,32528,,Ashe,51.29%,85219,,Aphelios,50.99%,37889,,Jinx,50.80%,99761,,Jhin,50.64%,116419,,Lux,50.63%,4790,,KogMaw,50.50%,11586,,Samira,49.96%,41747,,Smolder,49.62%,66713,,Ziggs,48.89%,15896,,MissFortune,48.72%,176824,,Yasuo,48.07%,8169,,Veigar,47.94%,5786,,Nilah,47.94%,12799,,Swain,46.10%,9124,
Lux,mid,30.1%,S,2 / 47,51.5 %,5.2 %,12.6 %,1239752,https://dpm.lol/champions/Lux/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Varus,55.34%,23417,,Yunara,54.59%,36959,,Corki,54.54%,6797,,Kalista,54.43%,8400,,Draven,53.70%,26079,,Ezreal,53.09%,57370,,Caitlyn,53.02%,112574,,Xayah,52.58%,22693,,Lucian,52.58%,43169,,Aphelios,52.03%,33662,,Kaisa,52.00%,87242,,Samira,51.78%,35451,,Ashe,51.62%,72866,,Jinx,51.60%,84054,,Jhin,51.21%,100528,,Zeri,50.96%,16013,,Sivir,50.74%,26517,,Twitch,50.60%,28512,,Nilah,50.47%,11212,,Mel,50.46%,7388,,Smolder,49.91%,60604,,Vayne,49.75%,55884,,KogMaw,49.56%,10176,,Yasuo,49.31%,6459,,MissFortune,49.07%,145622,,Ziggs,48.75%,13812,,Veigar,47.47%,5642,,Swain,47.01%,8077,,,,,,,,,
