iter	Accuracy	Logloss
222	0.5747879257	0.6796754487
223	0.5750779419	0.6796270542
224	0.5748483457	0.6795696778
225	0.5751262779	0.6795101593
226	0.57528337	0.6794481459
227	0.575319622	0.6794116271
228	0.5758150663	0.6793406418
229	0.5760567465	0.6793031373
230	0.5762863427	0.6792725374
231	0.5763950987	0.6792210596
232	0.5759721584	0.6791736928
233	0.5760929985	0.6791311914
234	0.5765280228	0.6790749047
235	0.5769026271	0.6790336201
236	0.576878459	0.6789942318
237	0.5769992991	0.6789585666
238	0.5771080552	0.6789196501
239	0.5771563912	0.6788663324
240	0.5775068275	0.6788022192
241	0.5777122556	0.6787741659
242	0.5778814317	0.6787106069
243	0.578256036	0.6786512643
244	0.5781714479	0.6786010972
245	0.5784372961	0.6785717057
246	0.5785823042	0.6785307111
247	0.5786064722	0.6784579901
248	0.578364792	0.6783847553
249	0.5788119003	0.678308259
250	0.5789206564	0.6782604431
251	0.5791985886	0.6782368873
252	0.5793194287	0.6781806611
253	0.5801773932	0.678111456
254	0.5806003335	0.678061488
255	0.5807211736	0.6779905263
256	0.5807815936	0.6779268639
257	0.58137371	0.6778774073
258	0.5814099621	0.677831525
259	0.5818329023	0.6777963142
260	0.5820383305	0.6777673899
261	0.5823525147	0.6777360974
262	0.5823766827	0.6776875862
263	0.5825096068	0.6776619461
264	0.5822679266	0.6776312537
265	0.5820745825	0.6776049146
266	0.5825216908	0.6775245156
267	0.5824975228	0.6774797204
268	0.5826666989	0.6774491341
269	0.582847959	0.6774101528
270	0.582787539	0.6773800336
271	0.5831500592	0.6773260877
272	0.5832950673	0.6772836834
273	0.5831621432	0.6772104661
274	0.5833192353	0.677179051
275	0.5834279914	0.677140526
276	0.5836092515	0.6771123044
277	0.5841892839	0.677064787
278	0.5842134519	0.6769980235
279	0.584310124	0.6769423479
280	0.5846122242	0.6768470237
281	0.5845276361	0.6767760083
282	0.584406796	0.6767369143
283	0.5847934843	0.676681088
284	0.5849264084	0.6766108924
285	0.5849868284	0.676575092
286	0.5851439205	0.6765563921
287	0.5849264084	0.6765156815
288	0.5851801726	0.6764691416
289	0.5852889286	0.6764073966
290	0.5857602049	0.6763524081
291	0.585917297	0.6763113721
292	0.5856997849	0.6762517926
293	0.5863039853	0.6762211623
294	0.5863160693	0.6761997719
295	0.5865094134	0.6761520422
296	0.5865577495	0.6761232837
297	0.5864006574	0.6760969949
298	0.5865214975	0.6760272024
299	0.5865214975	0.6759967546
300	0.5866060855	0.6759508436
301	0.5870169418	0.6758834942
302	0.5869081857	0.6758276087
303	0.5872102859	0.6757765432
304	0.5876211422	0.6757233747
305	0.5875848902	0.6757097292
306	0.5877178142	0.6756745377
307	0.5883340987	0.675596944
308	0.5883340987	0.6755102982
309	0.5883582667	0.6754713996
310	0.5882495106	0.6754261828
311	0.5883220146	0.6753910305
312	0.5883099306	0.6753627581
313	0.5884549387	0.6752761412
314	0.588853711	0.6752276005
315	0.5886966189	0.6751868301
316	0.5891558112	0.6751302244
317	0.5896270875	0.6750729952
318	0.5895666675	0.6750505766
319	0.5895545835	0.6750125631
320	0.5901708679	0.6749558996
321	0.5906179762	0.6748863962
322	0.590315876	0.6748475689
323	0.5907629843	0.6747934192
324	0.5908113203	0.6747614612
325	0.5905092201	0.6747164915
326	0.590352128	0.6746632986
327	0.5906421442	0.6746082275
328	0.5906663122	0.6745797352
329	0.5907509003	0.6745445931
330	0.5910650845	0.6745051712
331	0.5916451169	0.6744449958
332	0.5920680571	0.6744169422
333	0.5917780409	0.6743908973
334	0.591814293	0.6743397179
335	0.5924668294	0.6742704915
336	0.5923218213	0.6741967508
337	0.5924547454	0.674142781
338	0.5932281219	0.6740625698
339	0.5931918699	0.67402682
340	0.59343355	0.6739942524
341	0.5932402059	0.6739543981
342	0.5936631462	0.6739283216
343	0.5940377504	0.6738601764
344	0.5937839863	0.67381742
345	0.5939894144	0.6737830982
346	0.5942552626	0.6737403264
347	0.5943277666	0.6737024821
348	0.5943277666	0.6736436754
349	0.5942915146	0.6736230323
350	0.5944848587	0.6736057388
351	0.5942431786	0.6735491081
352	0.5943519346	0.6735014849
353	0.5942190106	0.6734581838
354	0.5945573628	0.6734141523
355	0.5945452788	0.6733765069
356	0.5947265389	0.6733366899
357	0.5950407231	0.6732935162
358	0.5951373952	0.6732406336
359	0.5953549073	0.6732105402
360	0.5953065713	0.6731396904
361	0.5955965875	0.6731068609
362	0.5960436958	0.6730499186
363	0.5958986877	0.6730125318
364	0.5960920318	0.6729555895
365	0.596369964	0.6729185136
366	0.596454552	0.6728965774
367	0.596406216	0.6728537878
368	0.5965270561	0.6728266262
369	0.5968654083	0.6727846234
370	0.5968049883	0.6727605415
371	0.5967324842	0.6727192608
372	0.5970708365	0.6726382932
373	0.5976750369	0.6725812245
374	0.5977475409	0.6725366519
375	0.597940885	0.672510708
376	0.5982671532	0.6724277681
377	0.5982671532	0.6723776858
378	0.5990888658	0.6722935501
379	0.5991009498	0.6722745277
380	0.599451386	0.6722036541
381	0.59934263	0.6721595643
382	0.599330546	0.6721215678
383	0.5992338739	0.6720761763
384	0.5997776543	0.6719986305
385	0.6002247625	0.6719519164
386	0.6003697706	0.6719056036
387	0.6006718708	0.6718567928
388	0.6009860551	0.671847774
389	0.6015902555	0.6718019902
390	0.6013606593	0.6717579031
391	0.6018077676	0.6717142891
392	0.6018923557	0.6716805666
393	0.6018681876	0.6716657809
394	0.6017110955	0.6716162703
395	0.6020856998	0.6715652248
396	0.6020252797	0.6714953222
397	0.6020494478	0.6714822705
398	0.6020856998	0.6714469736
399	0.6022790439	0.671425028
400	0.6021219518	0.6713891598
401	0.6023152959	0.671344057
402	0.6022790439	0.6712870834
403	0.6025811441	0.6712060098
404	0.6026053121	0.671140168
405	0.6029678324	0.6711039106
406	0.6032699326	0.6710439162
407	0.6030886725	0.6710101052
408	0.6029799164	0.6709660943
409	0.6028349083	0.6709228654
410	0.6028711603	0.6708908093
411	0.6030524204	0.6708366794
412	0.6029799164	0.6708011537
413	0.6035841168	0.6707416929
414	0.6035962008	0.6707224209
415	0.603958721	0.6706421349
416	0.6041641492	0.670603782
417	0.6043333253	0.670542466
418	0.6046475095	0.6704670105
419	0.6048287696	0.6704013842
420	0.6049254417	0.6703554926
421	0.6052758779	0.6703303347
422	0.6058075743	0.6702625464
423	0.6058679943	0.6702391659
424	0.6059284143	0.6701935899
425	0.6059042463	0.6701755061
426	0.6057954902	0.6701339935
427	0.6064480267	0.670094837
428	0.6065326147	0.6700260146
429	0.606943471	0.6699779843
430	0.606919303	0.6699312577
431	0.606895135	0.6699018002
432	0.606967639	0.669863404
433	0.6070159751	0.6698289777
434	0.606979723	0.6697931693
435	0.6071488991	0.6697623513
436	0.6073784953	0.6697304961
437	0.6073422433	0.6696945559
438	0.6073422433	0.6696391102
439	0.6079101917	0.6695957848
440	0.6076443435	0.6695547229
441	0.6079706117	0.6695271513
442	0.6080068637	0.6694871262
443	0.6082606279	0.6694349299
444	0.6086110641	0.6693839801
445	0.6086231481	0.6693398806
446	0.6085143921	0.6693031159
447	0.608393552	0.669263783
448	0.608405636	0.6692342469
449	0.6086110641	0.6691922044
450	0.6085868961	0.6691298518
451	0.6089373323	0.6690747873
452	0.6090581724	0.6690092086
453	0.6091910965	0.6689590624
454	0.6085989801	0.6689228778
455	0.6088164923	0.6688781979
456	0.6091548445	0.6688347986
457	0.6094448607	0.6687871703
458	0.6096261208	0.6687517842
459	0.6097227929	0.6687132282
460	0.6098073809	0.668676392
461	0.6101578171	0.6686232024
462	0.6104236653	0.6685676678
463	0.6105324214	0.6685231728
464	0.6105565894	0.6684897717
465	0.6107257655	0.6684437542
466	0.6105203374	0.6683909261
467	0.6104840854	0.6683492905
468	0.6105686734	0.6683141337
469	0.6103028252	0.6682868825
470	0.6105445054	0.6682627127
471	0.6105082534	0.6682363765
472	0.6107620175	0.6681887058
473	0.6111366218	0.668111161
474	0.6111245378	0.6680674286
475	0.6118133262	0.6680009919
476	0.6118737463	0.6679462519
477	0.6121516785	0.6678800015
478	0.6125383667	0.6678174784
479	0.6128042149	0.667767714
480	0.6127800469	0.6677247679
481	0.613021727	0.6676613201
482	0.612997559	0.6676118839
483	0.6132150712	0.6675827566
484	0.6133238272	0.6675506726
485	0.6135171714	0.6674505244
486	0.6138676076	0.6674281616
487	0.6139038596	0.6673735705
488	0.6142180438	0.6673242464
489	0.6142542959	0.667282153
490	0.6138796916	0.6672259159
491	0.6141092878	0.6671591965
492	0.61444764	0.6670910714
493	0.6147618242	0.6670481805
494	0.6146772361	0.6670110903
495	0.6148222442	0.6669880793
496	0.6146530681	0.6669099186
497	0.6149672523	0.6668478699
498	0.6150760084	0.6667901227
499	0.6151485125	0.6667541455
