iter	Passed	Remaining
398	87287	22095
399	87493	21873
400	87705	21652
401	87951	21440
402	88182	21224
403	88434	21014
404	88637	20791
405	88890	20580
406	89065	20351
407	89280	20131
408	89514	19916
409	89750	19701
410	89956	19479
411	90193	19264
412	90448	19053
413	90670	18834
414	90869	18611
415	91072	18389
416	91280	18168
417	91512	17952
418	91906	17767
419	92115	17545
420	92343	17328
421	92563	17108
422	92780	16889
423	92976	16665
424	93173	16442
425	93406	16225
426	93623	16005
427	93808	15780
428	94023	15560
429	94221	15338
430	94482	15126
431	94716	14909
432	94931	14689
433	95110	14463
434	95312	14242
435	95527	14022
436	95716	13799
437	95939	13580
438	96162	13362
439	96357	13139
440	96588	12922
441	96775	12699
442	97030	12484
443	97205	12260
444	97422	12040
445	97622	11819
446	97806	11596
447	98038	11379
448	98193	11153
449	98416	10935
450	98629	10715
451	98862	10498
452	99081	10279
453	99318	10063
454	99525	9843
455	99756	9625
456	99974	9406
457	100154	9184
458	100357	8964
459	100590	8746
460	100807	8528
461	101010	8308
462	101214	8088
463	101448	7871
464	101655	7651
465	101846	7430
466	102079	7213
467	102291	6994
468	102504	6775
469	102721	6556
470	102949	6338
471	103162	6119
472	103377	5901
473	103609	5683
474	103813	5463
475	104053	5246
476	104253	5026
477	104467	4808
478	104714	4590
479	104933	4372
480	105148	4153
481	105360	3934
482	105568	3715
483	105798	3497
484	105990	3278
485	106186	3058
486	106403	2840
487	106589	2621
488	106796	2402
489	107051	2184
490	107300	1966
491	107515	1748
492	107700	1529
493	107914	1310
494	108142	1092
495	108389	874
496	108630	655
497	108838	437
498	109001	218
499	109236	0
