matchId,gameDuration,team_100_first_blood,team_100_first_tower,team_100_first_inhibitor,team_100_first_dragon,team_100_first_riftHerald,team_100_first_baron,team_100_dragon_kills,team_100_baron_kills,team_100_tower_kills,team_100_inhibitor_kills,team_100_riftHerald_kills,team_100_ban_1_championId,team_100_ban_1_pickTurn,team_100_ban_2_championId,team_100_ban_2_pickTurn,team_100_ban_3_championId,team_100_ban_3_pickTurn,team_100_ban_4_championId,team_100_ban_4_pickTurn,team_100_ban_5_championId,team_100_ban_5_pickTurn,team_100_win,team_100_teamEarlySurrendered,team_200_first_blood,team_200_first_tower,team_200_first_inhibitor,team_200_first_dragon,team_200_first_riftHerald,team_200_first_baron,team_200_dragon_kills,team_200_baron_kills,team_200_tower_kills,team_200_inhibitor_kills,team_200_riftHerald_kills,team_200_ban_1_championId,team_200_ban_1_pickTurn,team_200_ban_2_championId,team_200_ban_2_pickTurn,team_200_ban_3_championId,team_200_ban_3_pickTurn,team_200_ban_4_championId,team_200_ban_4_pickTurn,team_200_ban_5_championId,team_200_ban_5_pickTurn,team_200_win,team_200_teamEarlySurrendered,team_100_top_championId,team_100_top_championName,team_100_top_kills,team_100_top_goldEarned,team_100_top_totalMinionsKilled,team_100_top_visionScore,team_100_top_enemyChampionImmobilizations,team_100_top_kda,team_100_jungle_championId,team_100_jungle_championName,team_100_jungle_kills,team_100_jungle_goldEarned,team_100_jungle_totalMinionsKilled,team_100_jungle_visionScore,team_100_jungle_enemyChampionImmobilizations,team_100_jungle_kda,team_100_mid_championId,team_100_mid_championName,team_100_mid_kills,team_100_mid_goldEarned,team_100_mid_totalMinionsKilled,team_100_mid_visionScore,team_100_mid_enemyChampionImmobilizations,team_100_mid_kda,team_100_adc_championId,team_100_adc_championName,team_100_adc_kills,team_100_adc_goldEarned,team_100_adc_totalMinionsKilled,team_100_adc_visionScore,team_100_adc_enemyChampionImmobilizations,team_100_adc_kda,team_100_support_championId,team_100_support_championName,team_100_support_kills,team_100_support_goldEarned,team_100_support_totalMinionsKilled,team_100_support_visionScore,team_100_support_enemyChampionImmobilizations,team_100_support_kda,team_200_top_championId,team_200_top_championName,team_200_top_kills,team_200_top_goldEarned,team_200_top_totalMinionsKilled,team_200_top_visionScore,team_200_top_enemyChampionImmobilizations,team_200_top_kda,team_200_jungle_championId,team_200_jungle_championName,team_200_jungle_kills,team_200_jungle_goldEarned,team_200_jungle_totalMinionsKilled,team_200_jungle_visionScore,team_200_jungle_enemyChampionImmobilizations,team_200_jungle_kda,team_200_mid_championId,team_200_mid_championName,team_200_mid_kills,team_200_mid_goldEarned,team_200_mid_totalMinionsKilled,team_200_mid_visionScore,team_200_mid_enemyChampionImmobilizations,team_200_mid_kda,team_200_adc_championId,team_200_adc_championName,team_200_adc_kills,team_200_adc_goldEarned,team_200_adc_totalMinionsKilled,team_200_adc_visionScore,team_200_adc_enemyChampionImmobilizations,team_200_adc_kda,team_200_support_championId,team_200_support_championName,team_200_support_kills,team_200_support_goldEarned,team_200_support_totalMinionsKilled,team_200_support_visionScore,team_200_support_enemyChampionImmobilizations,team_200_support_kda
EUW1_7586745242,1722,True,True,True,True,True,True,4,1,12,4,1,119,1,200,2,35,3,10,4,157,5,True,False,False,False,False,False,False,False,0,0,2,0,0,157,6,246,7,91,8,34,9,887,10,False,False,901.0,Smolder,7.0,14358.0,220.0,13.0,0.0,1.0833333333333333,25.0,Morgana,2.0,11617.0,16.0,20.0,0.0,13.0,166,Akshan,20,17868,165,14,0,6.0,15.0,Sivir,9.0,15654.0,230.0,16.0,0.0,3.6666666666666665,17.0,Teemo,3.0,9893.0,18.0,57.0,0.0,2.142857142857143,67,Vayne,11,14279,208,13,0,1.8888888888888888,141,Kayn,7,11100,46,14,0,1.6,115,Ziggs,8,14307,241,14,0,1.5555555555555556,897,KSante,4,8981,115,20,0,1.0,117.0,Lulu,1.0,8030.0,25.0,60.0,0.0,5.5
EUW1_7586683935,2005,True,False,False,False,True,True,1,1,5,0,1,119,1,6,2,121,3,246,4,157,5,False,False,False,True,True,True,False,False,4,0,9,1,0,107,6,55,7,122,8,895,9,119,10,True,False,27.0,Singed,6.0,15002.0,263.0,24.0,0.0,2.6666666666666665,104.0,Graves,17.0,20205.0,79.0,29.0,0.0,4.4,61,Orianna,4,11709,178,22,0,1.3,101.0,Xerath,4.0,12218.0,208.0,24.0,0.0,2.6,76.0,Nidalee,3.0,10793.0,27.0,68.0,0.0,1.8,79,Gragas,7,14716,258,18,0,1.4,238,Zed,6,13402,74,24,0,1.5,58,Renekton,7,13402,215,26,0,2.3333333333333335,18,Tristana,14,17387,223,16,0,2.7142857142857144,350.0,Yuumi,2.0,10687.0,14.0,66.0,0.0,8.333333333333334
EUW1_7585684870,1495,False,True,True,False,True,False,3,0,8,1,1,91,1,35,2,800,3,897,4,7,5,True,False,True,False,False,True,False,False,1,0,3,0,0,119,6,800,7,897,8,59,9,86,10,False,False,110.0,Varus,4.0,11167.0,193.0,16.0,0.0,4.5,82.0,Mordekaiser,5.0,10924.0,12.0,21.0,0.0,2.6666666666666665,45,Veigar,4,10840,194,14,0,2.6666666666666665,523.0,Aphelios,13.0,13660.0,194.0,17.0,0.0,5.0,412.0,Thresh,0.0,6674.0,29.0,59.0,0.0,3.3333333333333335,114,Fiora,2,8412,154,14,0,1.5,121,Khazix,5,9965,28,26,0,2.3333333333333335,127,Lissandra,4,10438,210,19,0,1.5,222,Jinx,0,8205,182,10,0,0.4444444444444444,76.0,Nidalee,3.0,7634.0,29.0,55.0,0.0,1.75
EUW1_7594115586,1702,True,True,False,False,True,False,0,0,7,0,1,54,1,555,2,11,3,7,4,163,5,False,False,False,False,True,True,False,True,4,1,10,2,0,950,6,119,7,84,8,8,9,59,10,True,False,126.0,Jayce,7.0,11264.0,181.0,24.0,0.0,1.125,246.0,Qiyana,3.0,10128.0,15.0,28.0,0.0,1.1428571428571428,101,Xerath,5,11732,187,10,0,1.6666666666666667,429.0,Kalista,12.0,14971.0,220.0,20.0,0.0,2.8333333333333335,44.0,Taric,0.0,7866.0,26.0,57.0,0.0,2.2857142857142856,69,Cassiopeia,7,13072,219,18,0,1.7142857142857142,143,Zyra,5,12399,33,37,0,5.666666666666667,238,Zed,20,20073,212,12,0,8.0,202,Jhin,2,10919,170,8,0,1.5714285714285714,267.0,Nami,0.0,8171.0,33.0,66.0,0.0,2.5714285714285716
EUW1_7593954267,1656,True,True,False,False,False,False,0,0,3,0,0,103,1,8,2,83,3,238,4,119,5,False,False,False,False,True,True,True,True,4,1,10,2,1,555,6,134,7,412,8,121,9,10,10,True,False,420.0,Illaoi,3.0,11083.0,230.0,16.0,0.0,1.2,233.0,Briar,5.0,11029.0,69.0,12.0,0.0,0.6363636363636364,61,Orianna,2,9161,174,17,0,0.8571428571428571,110.0,Varus,2.0,10372.0,215.0,7.0,0.0,1.0,147.0,Seraphine,2.0,7648.0,38.0,65.0,0.0,0.7142857142857143,82,Mordekaiser,5,10907,176,26,0,1.6666666666666667,234,Viego,16,16641,13,22,0,6.333333333333333,142,Zoe,9,13982,214,13,0,16.0,202,Jhin,5,13076,214,14,0,7.0,161.0,Velkoz,0.0,8413.0,37.0,64.0,0.0,6.5
EUW1_7593563411,2017,True,True,False,True,True,False,4,0,8,1,1,5,1,7,2,8,3,555,4,246,5,True,False,False,False,True,False,False,True,0,1,7,1,0,200,6,145,7,-1,8,246,9,799,10,False,False,897.0,KSante,7.0,15439.0,276.0,18.0,0.0,1.625,59.0,JarvanIV,9.0,13953.0,32.0,17.0,0.0,4.4,103,Ahri,6,13502,214,28,0,1.7,498.0,Xayah,9.0,17121.0,281.0,35.0,0.0,3.2,497.0,Rakan,1.0,9357.0,32.0,81.0,0.0,2.142857142857143,516,Ornn,2,13632,198,21,0,2.857142857142857,19,Warwick,10,14041,33,36,0,1.75,517,Sylas,16,17025,230,19,0,3.7142857142857144,81,Ezreal,3,13989,234,25,0,3.6,78.0,Poppy,4.0,10456.0,42.0,100.0,0.0,4.6
EUW1_7593509944,1698,True,False,True,False,False,True,2,1,11,3,0,201,1,29,2,105,3,-1,4,12,5,True,False,False,True,False,True,True,False,2,0,4,0,1,8,6,107,7,7,8,800,9,58,10,False,False,41.0,Gangplank,9.0,17272.0,250.0,11.0,0.0,3.5,64.0,LeeSin,10.0,14379.0,33.0,28.0,0.0,24.0,134,Syndra,6,13139,176,14,0,4.0,222.0,Jinx,14.0,15933.0,196.0,30.0,0.0,2.625,89.0,Leona,1.0,9459.0,20.0,66.0,0.0,3.2857142857142856,36,DrMundo,1,10712,222,11,0,0.6666666666666666,9,FiddleSticks,4,10027,35,49,0,1.4444444444444444,80,Pantheon,4,9000,144,21,0,1.125,99,Lux,10,14981,210,24,0,2.25,555.0,Pyke,5.0,8913.0,54.0,71.0,0.0,1.2222222222222223
EUW1_7593024395,1419,True,False,False,False,False,False,0,0,2,0,0,8,1,119,2,90,3,53,4,35,5,False,False,False,True,False,True,True,False,3,0,6,0,1,8,6,221,7,902,8,62,9,121,10,True,False,24.0,Jax,3.0,9848.0,192.0,12.0,0.0,0.5714285714285714,5.0,XinZhao,2.0,8444.0,31.0,20.0,0.0,0.6666666666666666,142,Zoe,6,9298,169,14,0,2.5,145.0,Kaisa,1.0,7500.0,148.0,9.0,0.0,0.5555555555555556,111.0,Nautilus,3.0,6627.0,28.0,49.0,0.0,1.4,86,Garen,14,14841,217,21,0,8.0,234,Viego,6,10860,22,15,0,6.5,103,Ahri,5,9950,161,12,0,4.5,236,Lucian,6,10020,170,9,0,2.4,412.0,Thresh,0.0,6745.0,26.0,53.0,0.0,11.0
EUW1_7593001236,1671,True,False,True,True,False,False,3,0,10,1,0,201,1,200,2,9,3,8,4,67,5,True,False,False,True,False,False,True,False,1,0,3,0,1,246,6,43,7,58,8,134,9,201,10,False,False,897.0,KSante,5.0,12718.0,218.0,16.0,0.0,5.5,19.0,Warwick,13.0,13785.0,24.0,22.0,0.0,4.666666666666667,103,Ahri,12,14344,232,22,0,22.0,119.0,Draven,10.0,16134.0,198.0,27.0,0.0,8.25,53.0,Blitzcrank,5.0,9453.0,23.0,73.0,0.0,8.25,122,Darius,4,9787,163,18,0,0.8181818181818182,59,JarvanIV,2,9921,12,8,0,1.2222222222222223,136,AurelionSol,6,11911,244,23,0,1.8333333333333333,523,Aphelios,3,11016,200,21,0,0.6666666666666666,12.0,Alistar,3.0,8082.0,19.0,59.0,0.0,1.2
EUW1_7592974343,1221,True,True,False,True,True,False,3,0,5,0,1,119,1,59,2,526,3,83,4,24,5,True,False,False,False,False,False,False,False,0,0,0,0,0,432,6,119,7,16,8,131,9,887,10,False,False,98.0,Shen,4.0,8969.0,177.0,9.0,0.0,5.0,11.0,MasterYi,8.0,9520.0,13.0,22.0,0.0,4.0,147,Seraphine,6,8964,153,8,0,15.0,157.0,Yasuo,5.0,9188.0,147.0,12.0,0.0,13.0,267.0,Nami,4.0,7180.0,11.0,37.0,0.0,6.0,114,Fiora,0,6331,151,8,0,0.2,143,Zyra,3,8390,23,10,0,1.8,34,Anivia,3,6393,115,6,0,1.0,222,Jinx,3,7316,120,10,0,0.8333333333333334,89.0,Leona,0.0,4622.0,19.0,44.0,0.0,1.0
