SummonerName,PUUID,LeagueId,LeaguePoints,Wins,Losses,Rank
,-AzdHa4A0QqwiSqcxYqNCGXL9x-hm2pGpOhJvYtWpkhlr_aUlZx977xZIdmxBvbhD91qPd2iE7YmKg,0237d69d-d463-4758-bb2a-b8dee56505a1,75,218,189,I
,oQ-SzANITepxkAbCeCo9r3QoMbzVIV8Ub2AYI8opafddJ4xCPAjM_oMzpdYwgK62zqsb-mlhdYNh9Q,17e10224-a0b7-416a-aee5-273b630c7000,3,80,82,I
,tkjxiWvLnWIE0fuhYi5B70H8GvGfClpMjTbGsFADAzcq9wdrWEwuLpdlPdb3Q57Wrc9VHWsjAZLqfg,5228307d-16dd-41f7-86ba-89d28164f4b1,75,105,94,I
,-lV9JG4HmC2EVmXYdyyoB3udQtiLaM4I5j7FKnuYsa6sNONnnVnd3IV29TLan4BpEA4pSCyew8tTiA,8945c870-d907-4048-867f-8e4ce4cc627c,15,355,349,I
,ve5c6pIimUiObzuHs_hKdq6tjnd16G-95AkuArFi0gDTlJxkNa-Sl5PCBU9vjxfUqAW3kBAcifFnJA,620d1807-e126-4956-aa5d-bd4b865595f9,3,147,151,I
,-BH9UdV_Fi521wpTfl6IqEo1TjRxURtO54Go68DDNki5iRjF2LcviqiAFTfYvaznOAkDg76e_iH3cA,55a22129-96bc-4c47-8930-1c8a6e05f540,8,75,62,I
,hb6JviBYSxwFLfU-gqnasrp9NGW2VXXWsSjEHELdqtRhBleQ-l1YatWzFlP06F35yinLpJ3KPhdCCQ,25e134d3-9330-4102-b7df-2b136fce165c,75,98,54,I
,93w-9w4K27k8WPb_m32su_mfPnf_297A3N5GN-P8OTsfHuHqfJbaugbl6b87SZmLCCs5NKbCCWMA9A,55a22129-96bc-4c47-8930-1c8a6e05f540,5,78,76,I
,GI8vm2uFZ77nCK8vDp9zweU6GNU6oIXOPt4f-nzk_QbjuNffSQl4EzCJYPqRYHpFARm087NmZCcwOA,0237d69d-d463-4758-bb2a-b8dee56505a1,75,41,31,I
,hposfjHryz4-JolaW-tUoh3aAN5BLTdz2kYR1mJt49MguMpXuy7TlCoVcefCbF_bxWwNTWR_NKeDBw,0bcea4f1-7c93-4a3a-9dca-9105241811f2,36,64,59,I
,0M0QAchd0BoYqRGya0X_LF8gtyAA-c1k7XNM6RubCHw7pCnN2RTMIpJyUN-8uuaGTkEYkzDV5mtzDQ,145a56f5-ac5a-4eb9-8dd5-c27b7edc32ce,75,137,128,I
,c2Pon45tHFwzLw3kYTS66d6bSlJI3P6pxT32G6dUAmsVHFU6e0H8ZQ9v0Rn1kbOJ9gos-PQr-E7qfQ,02367dc3-7536-48ce-a449-0f4aa8086ea7,75,66,56,I
,z8YBrQhonFNv909Kxl9SNG1I1MdFMk6DmCbyFhRsWqFOW3hewynrLNN2nxG79t47uInY0xWutEtzDQ,fa1e2a7f-d1aa-4f96-aab5-94aa3009c1bc,46,126,112,I
,f_UW5Xp3NKQmITyovUbUgJAqrp1zy4lexyHlnb8Of_5-kI0xU86TJTNZqTbJiLjTKlTYoOQhjW86Ng,dd18a6cf-1f38-4787-b86d-6f3a277610ef,75,297,269,I
,9FUAqlg49l0rLcwbnX1pgqLS35ZqMZUeJdVuDg88adAT_ROLTdGnCM5DZLE9DaNYy18VFc7NuOsz5g,f00d9f28-0ed0-4fa2-a1a8-c14597f800db,37,232,215,I
,tWQVmLANcLM5LHizUKrZHeaYrwC7LLOWwTZiKe45ztpdVfH5pTtUMvH5GHykekDrtiEhh1b6uhDhMQ,557f8cc9-e745-4ede-9955-16f8ec9df45b,75,39,31,I
,JiTHX4KDP82Aw5sQq7RW5Y0WpBhOBxqVDDfTJ_K6Tkl5V-2omiaK93a0aCWLIi3Ku8x0fMaDT6kXXg,12f459a9-db41-4e3e-a44c-d7e941ff3a6e,75,95,99,I
,COxTajdMZE37AdB5I9Urw7hUXmgsWriD_AxrVGWRZKU8FnfMntevWJTahiPyPnsDR9ZhvdUDvfBrMw,34e8596c-a2d7-4ff4-bff3-a352cfec180b,75,79,68,I
,gMhKaBp5njp-CHTuu7qWtYuFG15yiPlSUSukHFblnxLPNjXaCjNbytECNqxKdGmkV9ZsFXVqj8bTFg,f422e6d3-331e-41c2-ae23-2e7ee910e2a8,75,344,318,I
,4Sqxm4Xef__IpQuN1UbVTE8-2ijfEhk962Zc2iAIucb4ufm-NqLfQBYsRyU6TG4_8dZEUt7qLfLbjw,7b19d87e-1a77-4e1f-bb6f-6607f14a8b4d,75,94,102,I
,jM1CIjUNdoJS49_IGHPYFXGLdQmNqEQJ_lqYx4Wc0Nm58FAsIIZ9GaA_RGGk-o7_1zGbTLHv019zew,dfbe3b24-91d5-4df6-b7d9-5f541c0675a4,75,53,42,I
,xkz197UqA8NVOKMfw1lnmlb2vOR-iMh90D0yASRECEqjKxe6Ou7lZEPdZ8SMRt_xXYxqdI6VPw-g1g,4d4a3bae-b28d-43a9-895d-c8c9c2fb66c4,60,48,32,I
