match_id,game_duration,team_100_win,team_100_first_blood,team_100_first_tower,team_100_first_inhibitor,team_100_first_dragon,team_100_first_rift_herald,team_100_first_baron,team_100_dragon_kills,team_100_baron_kills,team_100_tower_kills,team_100_inhibitor_kills,team_100_rift_herald_kills,team_100_ban_1,team_100_ban_2,team_100_ban_3,team_100_ban_4,team_100_ban_5,team_200_first_blood,team_200_first_tower,team_200_first_inhibitor,team_200_first_dragon,team_200_first_rift_herald,team_200_first_baron,team_200_dragon_kills,team_200_baron_kills,team_200_tower_kills,team_200_inhibitor_kills,team_200_rift_herald_kills,team_200_ban_1,team_200_ban_2,team_200_ban_3,team_200_ban_4,team_200_ban_5,team_100_top_champion_id,team_100_top_champion_name,team_100_top_kills,team_100_top_deaths,team_100_top_assists,team_100_top_gold,team_100_top_cs,team_100_top_vision,team_100_top_kda,team_100_jungle_champion_id,team_100_jungle_champion_name,team_100_jungle_kills,team_100_jungle_deaths,team_100_jungle_assists,team_100_jungle_gold,team_100_jungle_cs,team_100_jungle_vision,team_100_jungle_kda,team_100_mid_champion_id,team_100_mid_champion_name,team_100_mid_kills,team_100_mid_deaths,team_100_mid_assists,team_100_mid_gold,team_100_mid_cs,team_100_mid_vision,team_100_mid_kda,team_100_adc_champion_id,team_100_adc_champion_name,team_100_adc_kills,team_100_adc_deaths,team_100_adc_assists,team_100_adc_gold,team_100_adc_cs,team_100_adc_vision,team_100_adc_kda,team_100_support_champion_id,team_100_support_champion_name,team_100_support_kills,team_100_support_deaths,team_100_support_assists,team_100_support_gold,team_100_support_cs,team_100_support_vision,team_100_support_kda,team_200_top_champion_id,team_200_top_champion_name,team_200_top_kills,team_200_top_deaths,team_200_top_assists,team_200_top_gold,team_200_top_cs,team_200_top_vision,team_200_top_kda,team_200_jungle_champion_id,team_200_jungle_champion_name,team_200_jungle_kills,team_200_jungle_deaths,team_200_jungle_assists,team_200_jungle_gold,team_200_jungle_cs,team_200_jungle_vision,team_200_jungle_kda,team_200_mid_champion_id,team_200_mid_champion_name,team_200_mid_kills,team_200_mid_deaths,team_200_mid_assists,team_200_mid_gold,team_200_mid_cs,team_200_mid_vision,team_200_mid_kda,team_200_adc_champion_id,team_200_adc_champion_name,team_200_adc_kills,team_200_adc_deaths,team_200_adc_assists,team_200_adc_gold,team_200_adc_cs,team_200_adc_vision,team_200_adc_kda,team_200_support_champion_id,team_200_support_champion_name,team_200_support_kills,team_200_support_deaths,team_200_support_assists,team_200_support_gold,team_200_support_cs,team_200_support_vision,team_200_support_kda
KR_7956349652,1848,0,1,0,0,0,0,0,0,0,5,0,0,266,-1,68,142,799,0,1,1,1,1,1,3,1,8,1,1,266,126,804,555,166,887,Gwen,4,8,5,14129,242,35,1.125,246,Qiyana,3,10,9,13270,18,36,1.2,134,Syndra,3,9,9,12409,212,17,1.3333333333333333,901,Smolder,10,11,3,15767,218,23,1.1818181818181819,78.0,Poppy,4.0,10.0,15.0,9425.0,22.0,103.0,1.9,223,TahmKench,5,5,11,11538,161,24,3.2,64,LeeSin,11,10,10,13285,11,36,2.1,61,Orianna,12,3,15,16940,267,33,9.0,202,Jhin,14,4,8,16921,246,20,5.5,432,Bard,6,3,25,11452,21,121,10.333333333333334
KR_7957967897,993,1,0,1,0,1,0,0,2,0,4,0,0,246,-1,39,68,904,1,0,0,0,0,0,0,0,1,0,0,114,518,904,-1,166,887,Gwen,2,3,2,6359,117,8,1.3333333333333333,266,Aatrox,7,1,12,9625,17,19,19.0,61,Orianna,8,1,3,9709,173,13,11.0,110,Varus,3,2,7,9012,151,8,5.0,555.0,Pyke,5.0,4.0,6.0,6165.0,20.0,47.0,2.75,897,KSante,0,2,0,5268,126,2,0.0,799,Ambessa,3,7,1,5575,12,11,0.5714285714285714,268,Azir,2,6,1,6057,125,8,0.5,523,Aphelios,4,6,3,7987,123,16,1.1666666666666667,497,Rakan,2,4,7,5536,14,34,2.25
KR_7956298858,1384,0,0,0,0,0,0,0,1,0,3,0,0,266,-1,-1,166,-1,1,1,0,1,1,0,2,0,3,0,1,119,166,-1,131,799,54,Malphite,3,2,4,7532,139,23,3.5,254,Vi,8,6,4,10832,5,14,2.0,268,Azir,3,5,7,10226,163,14,2.0,42,Corki,4,8,1,10049,191,21,0.625,518.0,Neeko,0.0,10.0,9.0,5906.0,20.0,62.0,0.9,517,Sylas,4,3,4,8399,134,26,2.6666666666666665,246,Qiyana,11,4,7,11530,18,35,4.5,800,Mel,9,3,3,11281,196,17,4.0,236,Lucian,4,5,16,9862,168,22,4.0,267,Nami,3,3,23,7591,13,75,8.666666666666666
KR_7956272396,1708,1,0,0,1,1,1,1,2,1,9,1,1,64,-1,60,-1,9,1,1,0,0,0,0,1,0,1,0,0,904,246,166,164,80,126,Jayce,9,7,9,13225,174,16,2.5714285714285716,266,Aatrox,6,3,11,12186,28,21,5.666666666666667,61,Orianna,6,7,12,12991,211,19,2.5714285714285716,804,Yunara,11,7,14,17532,233,28,3.5714285714285716,117.0,Lulu,7.0,4.0,21.0,10776.0,39.0,102.0,7.0,39,Irelia,6,9,5,12805,210,20,1.2222222222222223,5,XinZhao,7,7,6,11825,16,30,1.8571428571428572,26,Zilean,2,3,9,10377,197,19,3.6666666666666665,21,MissFortune,7,14,5,12613,178,15,0.8571428571428571,555,Pyke,6,6,11,9956,37,111,2.8333333333333335
KR_7956232311,1576,1,1,1,1,0,1,0,1,0,8,1,1,246,-1,799,11,266,0,0,0,1,0,0,2,0,4,0,0,80,78,904,11,9,164,Camille,12,2,6,14045,206,17,9.0,427,Ivern,2,3,12,10501,3,31,4.666666666666667,39,Irelia,2,5,7,9523,174,13,1.8,145,Kaisa,5,6,6,13658,226,23,1.8333333333333333,518.0,Neeko,2.0,4.0,8.0,7512.0,30.0,77.0,2.5,24,Jax,0,10,2,9345,204,14,0.2,64,LeeSin,6,3,12,10359,6,25,6.0,61,Orianna,5,2,10,11650,227,26,7.5,221,Zeri,8,5,7,13769,233,29,3.0,117,Lulu,1,3,14,6857,21,67,5.0
KR_7956172762,1552,0,1,0,0,1,0,0,1,0,3,0,0,-1,-1,76,-1,-1,0,1,1,0,1,0,2,0,9,1,1,-1,266,246,254,166,36,DrMundo,0,5,2,9000,206,19,0.4,126,Jayce,12,8,3,14442,46,29,1.875,61,Orianna,2,8,5,11077,198,16,0.875,81,Ezreal,4,9,9,10173,185,20,1.4444444444444444,78.0,Poppy,5.0,6.0,11.0,7732.0,23.0,73.0,2.6666666666666665,904,Zaahen,13,3,5,15850,193,21,6.0,9,FiddleSticks,6,4,9,11486,27,50,3.75,268,Azir,6,4,2,12278,238,24,2.0,145,Kaisa,11,5,4,14414,200,31,3.0,111,Nautilus,0,7,17,7721,36,68,2.4285714285714284
KR_7956115857,1619,0,0,0,0,0,1,0,0,0,2,0,1,246,78,142,11,-1,1,1,1,1,0,1,3,1,9,1,0,804,-1,266,166,246,14,Sion,3,5,4,10898,239,19,1.4,799,Ambessa,7,6,6,12758,26,37,2.1666666666666665,84,Akali,3,7,3,10150,222,15,0.8571428571428571,110,Varus,3,8,6,10042,198,27,1.125,111.0,Nautilus,1.0,6.0,11.0,6871.0,27.0,74.0,2.0,421,RekSai,4,2,11,14772,221,21,7.5,9,FiddleSticks,5,3,7,10921,16,55,4.0,61,Orianna,6,4,7,13858,251,24,3.25,145,Kaisa,11,6,11,16424,224,21,3.6666666666666665,555,Pyke,6,2,11,10551,33,103,8.5
KR_7958010318,1257,0,0,1,0,0,0,0,0,0,2,0,0,112,-1,145,39,122,1,0,0,1,1,0,2,0,6,0,1,166,-1,68,904,800,799,Ambessa,0,5,0,6546,156,7,0.0,126,Jayce,3,4,1,8097,17,25,1.0,115,Ziggs,0,4,1,7389,173,10,0.25,42,Corki,2,5,1,8890,198,20,0.6,12.0,Alistar,0.0,1.0,2.0,4743.0,21.0,53.0,2.0,14,Sion,2,1,5,8952,196,12,7.0,246,Qiyana,12,1,4,14132,13,27,16.0,517,Sylas,3,0,4,9568,162,14,7.0,110,Varus,0,2,3,8574,181,13,1.5,34,Anivia,2,1,6,6884,57,60,8.0
KR_7956919601,1110,0,0,0,0,0,0,0,0,0,0,0,0,58,7,119,555,246,1,1,0,1,1,0,2,0,6,0,1,30,142,-1,517,126,799,Ambessa,2,8,2,5512,82,2,0.5,36,DrMundo,2,2,2,6117,22,14,2.0,134,Syndra,0,2,2,6207,150,13,1.0,804,Yunara,2,10,0,6539,118,13,0.2,350.0,Yuumi,0.0,10.0,2.0,4000.0,11.0,10.0,0.2,69,Cassiopeia,6,3,0,8843,166,13,2.0,904,Zaahen,10,0,3,9503,9,24,13.0,163,Taliyah,6,0,7,8534,159,13,13.0,145,Kaisa,9,2,8,9814,139,15,8.5,111,Nautilus,1,1,19,5624,20,39,20.0
KR_7957841891,1102,1,1,1,0,1,1,0,2,0,5,0,1,142,266,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,246,-1,39,166,126,904,Zaahen,0,1,5,6628,136,10,5.0,62,MonkeyKing,7,1,5,9083,12,22,12.0,61,Orianna,3,1,4,8666,165,10,7.0,42,Corki,8,1,5,10618,163,17,13.0,518.0,Neeko,1.0,2.0,11.0,6208.0,16.0,51.0,6.0,150,Gnar,1,3,0,6643,169,12,0.3333333333333333,799,Ambessa,1,4,1,5946,3,14,0.5,268,Azir,1,3,1,6429,151,9,0.6666666666666666,145,Kaisa,3,5,0,7407,140,17,0.6,117,Lulu,0,4,4,4458,14,25,1.0
