champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_sup_1_name,matchup_sup_1_winrate,matchup_sup_1_games,matchup_sup_1_lane_quality,matchup_sup_2_name,matchup_sup_2_winrate,matchup_sup_2_games,matchup_sup_2_lane_quality,matchup_sup_3_name,matchup_sup_3_winrate,matchup_sup_3_games,matchup_sup_3_lane_quality,matchup_sup_4_name,matchup_sup_4_winrate,matchup_sup_4_games,matchup_sup_4_lane_quality,matchup_sup_5_name,matchup_sup_5_winrate,matchup_sup_5_games,matchup_sup_5_lane_quality,matchup_sup_6_name,matchup_sup_6_winrate,matchup_sup_6_games,matchup_sup_6_lane_quality,matchup_sup_7_name,matchup_sup_7_winrate,matchup_sup_7_games,matchup_sup_7_lane_quality,matchup_sup_8_name,matchup_sup_8_winrate,matchup_sup_8_games,matchup_sup_8_lane_quality,matchup_sup_9_name,matchup_sup_9_winrate,matchup_sup_9_games,matchup_sup_9_lane_quality,matchup_sup_10_name,matchup_sup_10_winrate,matchup_sup_10_games,matchup_sup_10_lane_quality,matchup_sup_11_name,matchup_sup_11_winrate,matchup_sup_11_games,matchup_sup_11_lane_quality,matchup_sup_12_name,matchup_sup_12_winrate,matchup_sup_12_games,matchup_sup_12_lane_quality,matchup_sup_13_name,matchup_sup_13_winrate,matchup_sup_13_games,matchup_sup_13_lane_quality,matchup_sup_14_name,matchup_sup_14_winrate,matchup_sup_14_games,matchup_sup_14_lane_quality,matchup_sup_15_name,matchup_sup_15_winrate,matchup_sup_15_games,matchup_sup_15_lane_quality,matchup_sup_16_name,matchup_sup_16_winrate,matchup_sup_16_games,matchup_sup_16_lane_quality,matchup_sup_17_name,matchup_sup_17_winrate,matchup_sup_17_games,matchup_sup_17_lane_quality,matchup_sup_18_name,matchup_sup_18_winrate,matchup_sup_18_games,matchup_sup_18_lane_quality,matchup_sup_19_name,matchup_sup_19_winrate,matchup_sup_19_games,matchup_sup_19_lane_quality,matchup_sup_20_name,matchup_sup_20_winrate,matchup_sup_20_games,matchup_sup_20_lane_quality,matchup_sup_21_name,matchup_sup_21_winrate,matchup_sup_21_games,matchup_sup_21_lane_quality,matchup_sup_22_name,matchup_sup_22_winrate,matchup_sup_22_games,matchup_sup_22_lane_quality,matchup_sup_23_name,matchup_sup_23_winrate,matchup_sup_23_games,matchup_sup_23_lane_quality,matchup_sup_24_name,matchup_sup_24_winrate,matchup_sup_24_games,matchup_sup_24_lane_quality,matchup_sup_25_name,matchup_sup_25_winrate,matchup_sup_25_games,matchup_sup_25_lane_quality,matchup_sup_26_name,matchup_sup_26_winrate,matchup_sup_26_games,matchup_sup_26_lane_quality,matchup_sup_27_name,matchup_sup_27_winrate,matchup_sup_27_games,matchup_sup_27_lane_quality,matchup_sup_28_name,matchup_sup_28_winrate,matchup_sup_28_games,matchup_sup_28_lane_quality,matchup_sup_29_name,matchup_sup_29_winrate,matchup_sup_29_games,matchup_sup_29_lane_quality,matchup_sup_30_name,matchup_sup_30_winrate,matchup_sup_30_games,matchup_sup_30_lane_quality,matchup_sup_31_name,matchup_sup_31_winrate,matchup_sup_31_games,matchup_sup_31_lane_quality,matchup_sup_32_name,matchup_sup_32_winrate,matchup_sup_32_games,matchup_sup_32_lane_quality,matchup_sup_33_name,matchup_sup_33_winrate,matchup_sup_33_games,matchup_sup_33_lane_quality,matchup_sup_34_name,matchup_sup_34_winrate,matchup_sup_34_games,matchup_sup_34_lane_quality,matchup_sup_35_name,matchup_sup_35_winrate,matchup_sup_35_games,matchup_sup_35_lane_quality,matchup_sup_36_name,matchup_sup_36_winrate,matchup_sup_36_games,matchup_sup_36_lane_quality,matchup_sup_37_name,matchup_sup_37_winrate,matchup_sup_37_games,matchup_sup_37_lane_quality,matchup_sup_38_name,matchup_sup_38_winrate,matchup_sup_38_games,matchup_sup_38_lane_quality,matchup_sup_39_name,matchup_sup_39_winrate,matchup_sup_39_games,matchup_sup_39_lane_quality,matchup_sup_40_name,matchup_sup_40_winrate,matchup_sup_40_games,matchup_sup_40_lane_quality,matchup_sup_41_name,matchup_sup_41_winrate,matchup_sup_41_games,matchup_sup_41_lane_quality,matchup_sup_42_name,matchup_sup_42_winrate,matchup_sup_42_games,matchup_sup_42_lane_quality,matchup_sup_43_name,matchup_sup_43_winrate,matchup_sup_43_games,matchup_sup_43_lane_quality,matchup_sup_44_name,matchup_sup_44_winrate,matchup_sup_44_games,matchup_sup_44_lane_quality,matchup_sup_45_name,matchup_sup_45_winrate,matchup_sup_45_games,matchup_sup_45_lane_quality,matchup_sup_46_name,matchup_sup_46_winrate,matchup_sup_46_games,matchup_sup_46_lane_quality,matchup_sup_47_name,matchup_sup_47_winrate,matchup_sup_47_games,matchup_sup_47_lane_quality,matchup_sup_48_name,matchup_sup_48_winrate,matchup_sup_48_games,matchup_sup_48_lane_quality
Jayce,top,38.2%,D,45 / 50,47.7 %,2.2 %,4.5 %,110187,https://dpm.lol/champions/Jayce/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Mel,51.73%,2316,,Shen,51.38%,362,,Neeko,51.26%,1791,,Zoe,51.07%,466,,Senna,50.90%,2214,,Sylas,50.13%,770,,Alistar,49.78%,2079,,FiddleSticks,49.60%,379,,Ashe,49.60%,621,,Pyke,49.44%,3665,,Veigar,49.40%,419,,Blitzcrank,49.36%,3430,,Seraphine,48.54%,2783,,Zilean,48.43%,1175,,Karma,48.24%,3729,,Yuumi,48.20%,2890,,Rakan,47.99%,1669,,Lulu,47.94%,4214,,Pantheon,47.89%,2086,,Thresh,47.88%,6151,,Janna,47.74%,1684,,Renata,47.69%,520,,Braum,47.69%,2550,,TahmKench,47.57%,1402,,Rell,47.45%,1431,,Nautilus,47.14%,5206,,Shaco,47.13%,887,,Xerath,46.99%,2358,,Soraka,46.98%,2371,,Swain,46.77%,2337,,Bard,46.69%,2504,,Elise,46.62%,770,,Morgana,46.61%,3776,,Nami,46.44%,5274,,Poppy,46.23%,1220,,Milio,46.15%,3755,,Velkoz,45.73%,1688,,Leona,45.39%,4267,,Taric,45.05%,637,,Sona,45.00%,1349,,Leblanc,44.80%,529,,Teemo,44.78%,967,,Maokai,44.55%,844,,Zyra,43.96%,2054,,Amumu,43.89%,360,,Galio,43.58%,358,,Malphite,43.48%,683,,Brand,43.32%,2380,
Trundle,top,31.9%,D,48 / 50,48.1 %,1.2 %,1.2 %,58311,https://dpm.lol/champions/Trundle/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Ashe,54.29%,326,,Mel,53.36%,1520,,FiddleSticks,53.11%,177,,Neeko,51.49%,870,,Elise,51.47%,204,,Malphite,50.88%,623,,Zoe,50.24%,205,,Alistar,50.17%,895,,Rell,50.15%,664,,Yuumi,50.00%,1248,,Veigar,50.00%,234,,Blitzcrank,49.61%,1538,,Lulu,49.33%,1727,,Senna,49.31%,1160,,Xerath,49.23%,845,,Lux,49.03%,3822,,Rakan,48.88%,712,,Seraphine,48.79%,1947,,Renata,48.66%,337,,Shen,48.53%,340,,Nautilus,48.48%,2669,,Pyke,48.45%,1876,,Bard,48.09%,1154,,Thresh,47.99%,2584,,Morgana,47.81%,2721,,Taric,47.79%,475,,Karma,47.77%,1501,,Pantheon,47.62%,1115,,TahmKench,47.45%,1159,,Maokai,47.16%,581,,Sona,46.98%,745,,Brand,46.84%,1503,,Leona,46.78%,2424,,Swain,46.59%,1818,,Velkoz,46.56%,1033,,Janna,46.27%,765,,Poppy,46.07%,623,,Braum,45.77%,1254,,Zyra,45.55%,1392,,Soraka,45.53%,1377,,Milio,45.48%,2078,,Galio,45.45%,198,,Sylas,44.78%,201,,Nami,44.59%,2810,,Zilean,44.40%,554,,Teemo,43.72%,366,,Shaco,43.59%,429,,Amumu,41.62%,197,
Gragas,top,59.4%,D,49 / 50,47.6 %,1.7 %,0.6 %,84680,https://dpm.lol/champions/Gragas/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Zoe,54.82%,332,,Ashe,53.52%,454,,Malphite,51.32%,604,,Mel,51.07%,1731,,Yuumi,50.78%,2111,,TahmKench,50.56%,1254,,Rakan,50.39%,1296,,Pantheon,50.22%,1569,,Lulu,49.78%,3401,,Pyke,49.27%,2746,,Shen,49.27%,341,,Alistar,48.74%,1504,,Neeko,48.69%,1220,,Karma,48.55%,2859,,Soraka,48.53%,2081,,Lux,48.19%,4345,,Velkoz,48.07%,1350,,Senna,47.97%,1672,,Sylas,47.92%,432,,Nautilus,47.55%,4053,,Poppy,47.53%,932,,Rell,47.52%,1149,,Bard,47.45%,2017,,Zilean,47.22%,898,,Braum,47.15%,2091,,Swain,47.07%,1997,,Janna,46.90%,1437,,Blitzcrank,46.88%,2387,,Nami,46.86%,4784,,Thresh,46.57%,4542,,FiddleSticks,46.55%,290,,Renata,46.51%,458,,Seraphine,46.36%,2306,,Leblanc,46.32%,285,,Morgana,46.27%,3095,,Amumu,46.21%,264,,Elise,46.11%,579,,Xerath,45.68%,1296,,Taric,45.53%,593,,Leona,44.93%,3352,,Veigar,44.67%,291,,Maokai,44.41%,725,,Milio,44.22%,3173,,Sona,44.15%,1094,,Zyra,44.09%,1726,,Shaco,44.09%,685,,Brand,42.23%,1686,,Teemo,40.94%,640,
Taliyah,mid,72.3%,D,46 / 47,48.0 %,1.2 %,0.2 %,62481,https://dpm.lol/champions/Taliyah/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Ashe,53.10%,258,,Sylas,52.89%,450,,Rell,51.86%,968,,Braum,51.78%,1605,,Alistar,51.40%,1317,,Maokai,50.84%,535,,Yuumi,50.46%,1512,,Rakan,50.30%,1155,,Malphite,50.13%,375,,Mel,50.04%,1313,,Lulu,49.92%,2420,,Poppy,49.76%,834,,Pantheon,49.72%,1257,,FiddleSticks,49.54%,216,,Neeko,49.46%,926,,Nautilus,49.25%,3265,,Pyke,49.18%,2072,,Thresh,49.01%,3397,,Swain,48.69%,1302,,Leona,48.61%,2619,,Soraka,48.25%,1513,,Bard,47.94%,1508,,Blitzcrank,47.94%,1792,,Leblanc,47.62%,189,,Taric,47.53%,425,,Amumu,47.51%,221,,Renata,47.44%,352,,Teemo,46.85%,429,,Galio,46.76%,216,,Seraphine,46.54%,1661,,TahmKench,46.40%,985,,Lux,46.30%,2868,,Janna,46.02%,1004,,Nami,45.97%,3298,,Karma,45.92%,1971,,Senna,45.61%,1083,,Zilean,45.56%,665,,Zyra,45.34%,1224,,Xerath,45.25%,915,,Milio,44.92%,2284,,Sona,44.85%,796,,Morgana,44.43%,2210,,Shen,43.73%,279,,Shaco,43.55%,496,,Brand,43.22%,1136,,Velkoz,42.78%,907,,,,,,,,,
Pantheon,jun,20.4%,D,47 / 50,47.2 %,1.7 %,3.1 %,85489,https://dpm.lol/champions/Pantheon/build?lane=jungle&tier=all&platform=all&timeframe=15.24,True,Ashe,51.79%,446,,Yuumi,51.12%,1966,,Mel,50.56%,2134,,Veigar,50.14%,349,,Galio,50.00%,312,,Zoe,50.00%,284,,Shen,50.00%,418,,Neeko,49.78%,1390,,Pyke,49.45%,2821,,Nautilus,49.31%,4230,,Alistar,48.80%,1541,,Blitzcrank,48.74%,2651,,Karma,48.71%,2445,,Lulu,48.23%,2880,,Thresh,48.07%,4229,,Maokai,47.95%,828,,Amumu,47.94%,315,,Sylas,47.57%,473,,Seraphine,47.50%,2720,,Leona,47.39%,3663,,Malphite,47.35%,716,,Poppy,47.21%,1148,,Lux,47.10%,5229,,TahmKench,46.75%,1525,,Bard,46.72%,1725,,Rakan,46.66%,1241,,Senna,46.56%,1613,,Rell,46.52%,1092,,Soraka,46.40%,1931,,Braum,46.17%,2049,,Velkoz,46.03%,1434,,Renata,45.79%,439,,Morgana,45.68%,3693,,Zilean,45.67%,854,,Elise,45.38%,476,,Sona,45.23%,1070,,Janna,44.72%,1080,,Zyra,44.51%,1885,,Brand,44.51%,1966,,Teemo,44.46%,686,,Swain,44.27%,2302,,Nami,44.00%,3868,,Taric,43.97%,680,,Milio,43.69%,2955,,Shaco,43.50%,685,,Leblanc,43.32%,277,,,,,,,,,
