champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_sup_1_name,matchup_sup_1_winrate,matchup_sup_1_games,matchup_sup_1_lane_quality,matchup_sup_2_name,matchup_sup_2_winrate,matchup_sup_2_games,matchup_sup_2_lane_quality,matchup_sup_3_name,matchup_sup_3_winrate,matchup_sup_3_games,matchup_sup_3_lane_quality,matchup_sup_4_name,matchup_sup_4_winrate,matchup_sup_4_games,matchup_sup_4_lane_quality,matchup_sup_5_name,matchup_sup_5_winrate,matchup_sup_5_games,matchup_sup_5_lane_quality,matchup_sup_6_name,matchup_sup_6_winrate,matchup_sup_6_games,matchup_sup_6_lane_quality,matchup_sup_7_name,matchup_sup_7_winrate,matchup_sup_7_games,matchup_sup_7_lane_quality,matchup_sup_8_name,matchup_sup_8_winrate,matchup_sup_8_games,matchup_sup_8_lane_quality,matchup_sup_9_name,matchup_sup_9_winrate,matchup_sup_9_games,matchup_sup_9_lane_quality,matchup_sup_10_name,matchup_sup_10_winrate,matchup_sup_10_games,matchup_sup_10_lane_quality,matchup_sup_11_name,matchup_sup_11_winrate,matchup_sup_11_games,matchup_sup_11_lane_quality,matchup_sup_12_name,matchup_sup_12_winrate,matchup_sup_12_games,matchup_sup_12_lane_quality,matchup_sup_13_name,matchup_sup_13_winrate,matchup_sup_13_games,matchup_sup_13_lane_quality,matchup_sup_14_name,matchup_sup_14_winrate,matchup_sup_14_games,matchup_sup_14_lane_quality,matchup_sup_15_name,matchup_sup_15_winrate,matchup_sup_15_games,matchup_sup_15_lane_quality,matchup_sup_16_name,matchup_sup_16_winrate,matchup_sup_16_games,matchup_sup_16_lane_quality,matchup_sup_17_name,matchup_sup_17_winrate,matchup_sup_17_games,matchup_sup_17_lane_quality,matchup_sup_18_name,matchup_sup_18_winrate,matchup_sup_18_games,matchup_sup_18_lane_quality,matchup_sup_19_name,matchup_sup_19_winrate,matchup_sup_19_games,matchup_sup_19_lane_quality,matchup_sup_20_name,matchup_sup_20_winrate,matchup_sup_20_games,matchup_sup_20_lane_quality,matchup_sup_21_name,matchup_sup_21_winrate,matchup_sup_21_games,matchup_sup_21_lane_quality,matchup_sup_22_name,matchup_sup_22_winrate,matchup_sup_22_games,matchup_sup_22_lane_quality,matchup_sup_23_name,matchup_sup_23_winrate,matchup_sup_23_games,matchup_sup_23_lane_quality,matchup_sup_24_name,matchup_sup_24_winrate,matchup_sup_24_games,matchup_sup_24_lane_quality,matchup_sup_25_name,matchup_sup_25_winrate,matchup_sup_25_games,matchup_sup_25_lane_quality,matchup_sup_26_name,matchup_sup_26_winrate,matchup_sup_26_games,matchup_sup_26_lane_quality,matchup_sup_27_name,matchup_sup_27_winrate,matchup_sup_27_games,matchup_sup_27_lane_quality,matchup_sup_28_name,matchup_sup_28_winrate,matchup_sup_28_games,matchup_sup_28_lane_quality,matchup_sup_29_name,matchup_sup_29_winrate,matchup_sup_29_games,matchup_sup_29_lane_quality,matchup_sup_30_name,matchup_sup_30_winrate,matchup_sup_30_games,matchup_sup_30_lane_quality,matchup_sup_31_name,matchup_sup_31_winrate,matchup_sup_31_games,matchup_sup_31_lane_quality,matchup_sup_32_name,matchup_sup_32_winrate,matchup_sup_32_games,matchup_sup_32_lane_quality,matchup_sup_33_name,matchup_sup_33_winrate,matchup_sup_33_games,matchup_sup_33_lane_quality,matchup_sup_34_name,matchup_sup_34_winrate,matchup_sup_34_games,matchup_sup_34_lane_quality,matchup_sup_35_name,matchup_sup_35_winrate,matchup_sup_35_games,matchup_sup_35_lane_quality,matchup_sup_36_name,matchup_sup_36_winrate,matchup_sup_36_games,matchup_sup_36_lane_quality,matchup_sup_37_name,matchup_sup_37_winrate,matchup_sup_37_games,matchup_sup_37_lane_quality,matchup_sup_38_name,matchup_sup_38_winrate,matchup_sup_38_games,matchup_sup_38_lane_quality,matchup_sup_39_name,matchup_sup_39_winrate,matchup_sup_39_games,matchup_sup_39_lane_quality,matchup_sup_40_name,matchup_sup_40_winrate,matchup_sup_40_games,matchup_sup_40_lane_quality,matchup_sup_41_name,matchup_sup_41_winrate,matchup_sup_41_games,matchup_sup_41_lane_quality,matchup_sup_42_name,matchup_sup_42_winrate,matchup_sup_42_games,matchup_sup_42_lane_quality,matchup_sup_43_name,matchup_sup_43_winrate,matchup_sup_43_games,matchup_sup_43_lane_quality,matchup_sup_44_name,matchup_sup_44_winrate,matchup_sup_44_games,matchup_sup_44_lane_quality,matchup_sup_45_name,matchup_sup_45_winrate,matchup_sup_45_games,matchup_sup_45_lane_quality,matchup_sup_46_name,matchup_sup_46_winrate,matchup_sup_46_games,matchup_sup_46_lane_quality,matchup_sup_47_name,matchup_sup_47_winrate,matchup_sup_47_games,matchup_sup_47_lane_quality,matchup_sup_48_name,matchup_sup_48_winrate,matchup_sup_48_games,matchup_sup_48_lane_quality
Thresh,sup,98.6%,B,13 / 39,49.7 %,9.5 %,3.5 %,624011,https://dpm.lol/champions/Thresh/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Ashe,55.71%,2924,Good Lane,Yuumi,53.86%,12795,Average,Sylas,53.40%,2541,Average,Mel,52.67%,12199,Bad Lane,Zoe,52.38%,2077,Bad Lane,Pyke,52.08%,20097,Average,Senna,52.03%,11012,Bad Lane,Nautilus,51.88%,29870,Good Lane,Pantheon,51.20%,10416,Average,Lulu,51.14%,20656,Good Lane,Veigar,51.10%,1914,Bad Lane,Neeko,50.76%,8399,Bad Lane,Alistar,50.45%,11438,Good Lane,Karma,50.41%,17246,Average,Malphite,50.29%,4102,Bad Lane,TahmKench,50.22%,10009,Bad Lane,Rakan,50.22%,9127,Good Lane,Bard,50.11%,13332,Bad Lane,Blitzcrank,50.06%,17766,Good Lane,Leblanc,49.97%,1683,Average,Lux,49.63%,30536,Bad Lane,Galio,49.56%,1689,Good Lane,Elise,49.38%,3441,Average,Xerath,49.25%,8753,Bad Lane,Rell,49.17%,7769,Good Lane,Poppy,49.15%,6360,Average,Janna,48.95%,8828,Good Lane,Leona,48.79%,26297,Good Lane,Seraphine,48.73%,16355,Bad Lane,Maokai,48.69%,4997,Good Lane,Shen,48.64%,2418,Bad Lane,FiddleSticks,48.40%,1661,Bad Lane,Shaco,48.40%,4481,Average,Amumu,48.34%,1775,Good Lane,Nami,48.32%,28647,Good Lane,Braum,48.31%,16271,Good Lane,Renata,48.25%,3465,Good Lane,Milio,48.24%,20105,Good Lane,Soraka,48.18%,12944,Good Lane,Teemo,48.00%,3898,Good Lane,Velkoz,47.92%,8763,Bad Lane,Sona,47.83%,6517,Good Lane,Zilean,47.43%,5688,Average,Morgana,47.34%,23556,Bad Lane,Brand,47.03%,12411,Bad Lane,Swain,46.49%,16116,Bad Lane,Zyra,46.38%,11784,Bad Lane,Taric,45.91%,4997,Good Lane
Swain,top,15.3%,A,10 / 50,52.0 %,1.7 %,7.3 %,112331,https://dpm.lol/champions/Swain/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Taric,55.91%,787,,Ashe,55.80%,509,,Nautilus,55.47%,4300,,Malphite,55.45%,918,,Senna,55.28%,1950,,Alistar,54.88%,1558,,Elise,54.75%,590,,Sylas,54.57%,372,,TahmKench,54.43%,1670,,Poppy,54.39%,1002,,Mel,54.28%,2010,,Rell,54.23%,1217,,Galio,54.15%,325,,Braum,54.14%,2148,,Rakan,54.01%,1433,,Blitzcrank,53.85%,2531,,Leona,53.58%,3929,,Pantheon,53.54%,1765,,Thresh,53.31%,4718,,Pyke,52.52%,2980,,Veigar,52.37%,359,,Seraphine,52.28%,2896,,Zilean,52.27%,1121,,Lux,51.87%,5190,,Shen,51.85%,596,,Renata,51.65%,577,,Lulu,51.55%,3356,,Bard,51.55%,2330,,Neeko,51.51%,1295,,Yuumi,51.50%,2099,,Morgana,51.37%,3765,,Maokai,50.92%,868,,Soraka,50.67%,2449,,Karma,50.37%,3085,,Janna,50.03%,1771,,Velkoz,49.01%,1663,,Zoe,48.99%,347,,Amumu,48.63%,292,,Nami,48.56%,5490,,Teemo,48.54%,855,,FiddleSticks,48.45%,322,,Xerath,48.43%,1466,,Brand,48.37%,2181,,Zyra,47.94%,2278,,Milio,47.56%,3787,,Shaco,46.40%,737,,,,,,,,,
Darius,top,91.5%,B,15 / 50,48.8 %,8.1 %,17.3 %,532101,https://dpm.lol/champions/Darius/build?lane=top&tier=all&platform=all&timeframe=15.24,True,Sylas,52.39%,2010,,Mel,52.01%,11415,,Veigar,51.57%,1821,,Ashe,50.97%,2617,,Neeko,50.86%,7227,,Galio,50.79%,1642,,Pyke,50.76%,15190,,Rakan,50.70%,6659,,Zoe,50.58%,1641,,Malphite,50.57%,4285,,Blitzcrank,50.41%,13258,,Alistar,50.35%,7365,,Poppy,50.12%,5142,,Yuumi,50.11%,9959,,Bard,49.73%,9234,,Nautilus,49.50%,22018,,Pantheon,49.28%,9529,,Senna,49.26%,9246,,Rell,49.24%,5749,,Shen,49.21%,2335,,Thresh,49.14%,22232,,Braum,49.07%,9676,,Swain,48.88%,13346,,Soraka,48.83%,10660,,Karma,48.63%,12409,,Lulu,48.59%,14106,,Maokai,48.34%,4336,,Lux,48.33%,28613,,Leona,48.18%,19112,,Seraphine,48.01%,15075,,TahmKench,47.92%,8759,,FiddleSticks,47.91%,1461,,Amumu,47.87%,1435,,Shaco,47.84%,3560,,Renata,47.82%,2520,,Xerath,47.77%,7545,,Sona,47.68%,6111,,Zilean,47.64%,4320,,Elise,47.48%,2047,,Nami,46.99%,21458,,Morgana,46.97%,19463,,Janna,46.73%,6281,,Velkoz,46.69%,7713,,Taric,46.47%,3381,,Milio,46.16%,15587,,Zyra,45.87%,10055,,Brand,45.19%,11019,,Teemo,45.07%,3031,
Kai'Sa,adc,96.9%,B,11 / 26,49.0 %,14.6 %,2.7 %,954617,https://dpm.lol/champions/Kaisa/build?lane=bottom&tier=all&platform=all&timeframe=15.24,False,Mel,54.34%,19565,,Ashe,53.20%,4611,,Pyke,52.40%,27695,,Yuumi,52.38%,20744,,Leblanc,51.90%,3112,,Zoe,51.37%,3395,,Neeko,50.82%,12897,,Sylas,50.64%,4733,,Xerath,50.58%,14079,,Nautilus,50.35%,37776,,TahmKench,50.08%,14372,,Senna,50.06%,16262,,Alistar,49.99%,15581,,Blitzcrank,49.94%,22781,,Lux,49.80%,45392,,Bard,49.76%,18896,,Veigar,49.60%,3163,,Karma,49.49%,26395,,Poppy,49.23%,10514,,Amumu,49.17%,2636,,Malphite,49.16%,6650,,Pantheon,49.15%,16170,,Galio,49.00%,2859,,Velkoz,48.97%,12908,,Rell,48.73%,11368,,Morgana,48.55%,32154,,Thresh,48.34%,44299,,Lulu,48.09%,30677,,Rakan,47.96%,13955,,Maokai,47.90%,7753,,Soraka,47.89%,19189,,Shen,47.79%,3576,,FiddleSticks,47.68%,2760,,Swain,47.49%,22068,,Renata,47.33%,4817,,Zyra,47.26%,16606,,Zilean,47.25%,8484,,Leona,46.95%,33866,,Brand,46.92%,17942,,Elise,46.88%,5070,,Braum,46.82%,19966,,Nami,46.79%,40410,,Shaco,46.64%,7397,,Janna,46.15%,12889,,Milio,45.83%,29394,,Teemo,45.57%,6127,,Sona,45.29%,10663,,Taric,44.26%,6005,
