champion,role,role_play_ratio,tier,rank,winrate,pickrate,banrate,nb_games_analyzed,url,collect_coherente,matchup_sup_1_name,matchup_sup_1_winrate,matchup_sup_1_games,matchup_sup_1_lane_quality,matchup_sup_2_name,matchup_sup_2_winrate,matchup_sup_2_games,matchup_sup_2_lane_quality,matchup_sup_3_name,matchup_sup_3_winrate,matchup_sup_3_games,matchup_sup_3_lane_quality,matchup_sup_4_name,matchup_sup_4_winrate,matchup_sup_4_games,matchup_sup_4_lane_quality,matchup_sup_5_name,matchup_sup_5_winrate,matchup_sup_5_games,matchup_sup_5_lane_quality,matchup_sup_6_name,matchup_sup_6_winrate,matchup_sup_6_games,matchup_sup_6_lane_quality,matchup_sup_7_name,matchup_sup_7_winrate,matchup_sup_7_games,matchup_sup_7_lane_quality,matchup_sup_8_name,matchup_sup_8_winrate,matchup_sup_8_games,matchup_sup_8_lane_quality,matchup_sup_9_name,matchup_sup_9_winrate,matchup_sup_9_games,matchup_sup_9_lane_quality,matchup_sup_10_name,matchup_sup_10_winrate,matchup_sup_10_games,matchup_sup_10_lane_quality,matchup_sup_11_name,matchup_sup_11_winrate,matchup_sup_11_games,matchup_sup_11_lane_quality,matchup_sup_12_name,matchup_sup_12_winrate,matchup_sup_12_games,matchup_sup_12_lane_quality,matchup_sup_13_name,matchup_sup_13_winrate,matchup_sup_13_games,matchup_sup_13_lane_quality,matchup_sup_14_name,matchup_sup_14_winrate,matchup_sup_14_games,matchup_sup_14_lane_quality,matchup_sup_15_name,matchup_sup_15_winrate,matchup_sup_15_games,matchup_sup_15_lane_quality,matchup_sup_16_name,matchup_sup_16_winrate,matchup_sup_16_games,matchup_sup_16_lane_quality,matchup_sup_17_name,matchup_sup_17_winrate,matchup_sup_17_games,matchup_sup_17_lane_quality,matchup_sup_18_name,matchup_sup_18_winrate,matchup_sup_18_games,matchup_sup_18_lane_quality,matchup_sup_19_name,matchup_sup_19_winrate,matchup_sup_19_games,matchup_sup_19_lane_quality,matchup_sup_20_name,matchup_sup_20_winrate,matchup_sup_20_games,matchup_sup_20_lane_quality,matchup_sup_21_name,matchup_sup_21_winrate,matchup_sup_21_games,matchup_sup_21_lane_quality,matchup_sup_22_name,matchup_sup_22_winrate,matchup_sup_22_games,matchup_sup_22_lane_quality,matchup_sup_23_name,matchup_sup_23_winrate,matchup_sup_23_games,matchup_sup_23_lane_quality,matchup_sup_24_name,matchup_sup_24_winrate,matchup_sup_24_games,matchup_sup_24_lane_quality,matchup_sup_25_name,matchup_sup_25_winrate,matchup_sup_25_games,matchup_sup_25_lane_quality,matchup_sup_26_name,matchup_sup_26_winrate,matchup_sup_26_games,matchup_sup_26_lane_quality,matchup_sup_27_name,matchup_sup_27_winrate,matchup_sup_27_games,matchup_sup_27_lane_quality,matchup_sup_28_name,matchup_sup_28_winrate,matchup_sup_28_games,matchup_sup_28_lane_quality,matchup_sup_29_name,matchup_sup_29_winrate,matchup_sup_29_games,matchup_sup_29_lane_quality,matchup_sup_30_name,matchup_sup_30_winrate,matchup_sup_30_games,matchup_sup_30_lane_quality,matchup_sup_31_name,matchup_sup_31_winrate,matchup_sup_31_games,matchup_sup_31_lane_quality,matchup_sup_32_name,matchup_sup_32_winrate,matchup_sup_32_games,matchup_sup_32_lane_quality,matchup_sup_33_name,matchup_sup_33_winrate,matchup_sup_33_games,matchup_sup_33_lane_quality,matchup_sup_34_name,matchup_sup_34_winrate,matchup_sup_34_games,matchup_sup_34_lane_quality,matchup_sup_35_name,matchup_sup_35_winrate,matchup_sup_35_games,matchup_sup_35_lane_quality,matchup_sup_36_name,matchup_sup_36_winrate,matchup_sup_36_games,matchup_sup_36_lane_quality,matchup_sup_37_name,matchup_sup_37_winrate,matchup_sup_37_games,matchup_sup_37_lane_quality,matchup_sup_38_name,matchup_sup_38_winrate,matchup_sup_38_games,matchup_sup_38_lane_quality,matchup_sup_39_name,matchup_sup_39_winrate,matchup_sup_39_games,matchup_sup_39_lane_quality,matchup_sup_40_name,matchup_sup_40_winrate,matchup_sup_40_games,matchup_sup_40_lane_quality,matchup_sup_41_name,matchup_sup_41_winrate,matchup_sup_41_games,matchup_sup_41_lane_quality,matchup_sup_42_name,matchup_sup_42_winrate,matchup_sup_42_games,matchup_sup_42_lane_quality,matchup_sup_43_name,matchup_sup_43_winrate,matchup_sup_43_games,matchup_sup_43_lane_quality,matchup_sup_44_name,matchup_sup_44_winrate,matchup_sup_44_games,matchup_sup_44_lane_quality,matchup_sup_45_name,matchup_sup_45_winrate,matchup_sup_45_games,matchup_sup_45_lane_quality,matchup_sup_46_name,matchup_sup_46_winrate,matchup_sup_46_games,matchup_sup_46_lane_quality,matchup_sup_47_name,matchup_sup_47_winrate,matchup_sup_47_games,matchup_sup_47_lane_quality,matchup_sup_48_name,matchup_sup_48_winrate,matchup_sup_48_games,matchup_sup_48_lane_quality
Orianna,mid,96.0%,D,38 / 47,48.6 %,4.2 %,1.3 %,213219,https://dpm.lol/champions/Orianna/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Mel,52.93%,5201,,Sylas,52.62%,1127,,Yuumi,52.08%,5399,,Neeko,51.47%,3536,,Pantheon,50.65%,3773,,Lulu,50.49%,8624,,Malphite,50.42%,1190,,Alistar,50.17%,4116,,Nautilus,49.82%,10908,,Ashe,49.81%,1034,,Senna,49.52%,3970,,Rakan,49.51%,3553,,Amumu,49.37%,715,,Poppy,49.06%,2662,,Rell,48.93%,3029,,Shaco,48.89%,1757,,Pyke,48.83%,6651,,Veigar,48.71%,700,,Thresh,48.68%,11526,,Taric,48.41%,1506,,Maokai,48.36%,1925,,Morgana,48.29%,7631,,Swain,48.05%,4916,,Blitzcrank,47.98%,6548,,Braum,47.94%,5530,,Leona,47.90%,9023,,Bard,47.80%,5090,,FiddleSticks,47.74%,731,,Lux,47.60%,10525,,Zoe,47.59%,746,,Karma,47.54%,7173,,Zilean,47.48%,2338,,Xerath,47.34%,3551,,Brand,47.29%,4011,,Elise,47.23%,1573,,TahmKench,47.07%,3017,,Soraka,47.01%,4882,,Seraphine,46.86%,5862,,Renata,46.77%,1084,,Shen,46.67%,827,,Leblanc,46.47%,652,,Janna,46.44%,3159,,Nami,46.10%,10481,,Zyra,46.01%,4306,,Milio,45.99%,7456,,Teemo,45.75%,1425,,Velkoz,45.70%,3013,,Sona,45.65%,2469,
Ryze,mid,79.9%,D,40 / 47,49.0 %,2.5 %,0.5 %,127412,https://dpm.lol/champions/Ryze/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Ashe,54.73%,687,,Mel,53.23%,2805,,Veigar,52.25%,400,,Neeko,52.07%,1809,,Galio,51.66%,453,,Rakan,51.61%,1926,,Alistar,51.56%,2246,,Lulu,51.24%,4752,,Sylas,51.11%,900,,Yuumi,51.02%,3081,,TahmKench,50.33%,2096,,Nautilus,50.24%,6329,,Zoe,50.13%,389,,Senna,50.10%,2511,,Shen,49.81%,514,,Pyke,49.63%,4052,,Pantheon,49.43%,2375,,Lux,49.30%,6424,,Karma,49.27%,4201,,Blitzcrank,49.02%,3719,,Zilean,48.96%,1295,,Seraphine,48.73%,3573,,Xerath,48.72%,1950,,Malphite,48.71%,1006,,Bard,48.67%,2936,,Leona,48.64%,5331,,Braum,48.45%,3098,,Thresh,48.36%,6815,,Morgana,48.08%,4644,,FiddleSticks,48.05%,410,,Taric,47.86%,934,,Poppy,47.85%,1584,,Renata,47.83%,692,,Shaco,47.70%,1067,,Rell,47.64%,1740,,Soraka,47.39%,2933,,Elise,46.84%,871,,Milio,46.75%,4445,,Leblanc,46.58%,511,,Zyra,46.44%,2638,,Velkoz,46.31%,1818,,Sona,46.31%,1626,,Nami,46.28%,6396,,Brand,46.25%,2612,,Janna,46.14%,1942,,Teemo,45.60%,886,,Maokai,43.78%,1213,,Amumu,43.66%,426,
Aurora,mid,79.1%,D,42 / 47,48.8 %,2.1 %,2.2 %,105480,https://dpm.lol/champions/Aurora/build?lane=middle&tier=all&platform=all&timeframe=15.24,True,Ashe,54.65%,527,,Elise,52.80%,642,,Mel,51.99%,2356,,Zilean,51.61%,1116,,Rell,50.93%,1398,,Lulu,50.91%,3685,,Pyke,50.89%,3321,,Alistar,50.78%,1664,,Sylas,50.70%,503,,Zoe,50.52%,382,,Braum,50.43%,2429,,Bard,50.42%,2366,,Senna,50.26%,2143,,Galio,50.14%,357,,Blitzcrank,50.06%,3158,,Thresh,49.85%,5172,,Neeko,49.70%,1672,,Nautilus,49.51%,5007,,Veigar,49.45%,362,,Pantheon,49.38%,2080,,Rakan,49.22%,1534,,Lux,48.97%,5961,,Karma,48.86%,3125,,Xerath,48.76%,1659,,Amumu,48.75%,359,,Yuumi,48.67%,2369,,Shaco,48.51%,837,,Malphite,48.50%,769,,TahmKench,48.24%,1706,,Leona,48.00%,4306,,Sona,47.75%,1422,,Velkoz,47.65%,1658,,Poppy,47.59%,1139,,Morgana,47.57%,4194,,Swain,47.55%,2736,,Shen,47.38%,458,,Maokai,46.83%,993,,Brand,46.75%,2321,,Seraphine,46.46%,3280,,Milio,46.42%,3990,,FiddleSticks,46.33%,341,,Soraka,45.95%,2505,,Nami,45.94%,5396,,Zyra,45.67%,2319,,Taric,45.66%,784,,Janna,44.95%,1584,,Renata,44.95%,554,,Teemo,44.52%,757,
Alistar,sup,94.6%,D,37 / 39,48.6 %,3.2 %,1.2 %,161751,https://dpm.lol/champions/Alistar/build?lane=utility&tier=all&platform=all&timeframe=15.24,True,Yuumi,54.85%,3776,Average,Mel,53.12%,3464,Bad Lane,Ashe,52.93%,752,Good Lane,Malphite,51.68%,1128,Bad Lane,Blitzcrank,51.53%,5946,Good Lane,Nautilus,51.52%,9711,Good Lane,Zoe,50.99%,553,Bad Lane,Pyke,50.98%,5892,Average,Elise,50.83%,1021,Average,Neeko,50.28%,2345,Bad Lane,Lulu,49.73%,5311,Good Lane,Thresh,49.71%,10100,Good Lane,Pantheon,49.50%,3299,Average,Rell,49.16%,3204,Good Lane,Xerath,48.95%,2149,Bad Lane,Amumu,48.83%,555,Good Lane,Sylas,48.78%,900,Average,TahmKench,48.72%,2810,Bad Lane,Leona,48.70%,9427,Good Lane,Bard,48.57%,3321,Bad Lane,Braum,48.45%,4621,Good Lane,Maokai,48.20%,1610,Good Lane,Galio,48.15%,513,Average,Veigar,48.10%,578,Bad Lane,Karma,48.05%,4160,Average,FiddleSticks,47.60%,605,Bad Lane,Shaco,47.52%,1311,Average,Velkoz,47.49%,2211,Bad Lane,Zyra,47.48%,2734,Bad Lane,Renata,47.22%,934,Good Lane,Poppy,47.15%,2916,Average,Rakan,47.14%,2853,Good Lane,Seraphine,47.09%,3623,Bad Lane,Lux,46.71%,7125,Bad Lane,Teemo,46.64%,1130,Good Lane,Zilean,46.60%,1560,Average,Nami,46.35%,7128,Average,Senna,46.13%,2790,Bad Lane,Morgana,46.10%,5293,Bad Lane,Leblanc,45.98%,572,Average,Milio,45.95%,5284,Good Lane,Sona,45.87%,1657,Good Lane,Taric,45.72%,1531,Good Lane,Shen,45.63%,743,Bad Lane,Soraka,45.05%,3041,Good Lane,Brand,45.03%,3218,Bad Lane,Janna,44.77%,2580,Good Lane,Swain,43.34%,4513,Bad Lane
Yunara,adc,98.3%,D,23 / 26,47.2 %,6.2 %,3.5 %,313383,https://dpm.lol/champions/Yunara/build?lane=bottom&tier=all&platform=all&timeframe=15.24,True,Mel,51.24%,7178,,Veigar,50.04%,1133,,Alistar,49.67%,5675,,Rell,49.65%,4449,,Ashe,49.64%,1690,,Sylas,49.29%,1544,,Zoe,49.25%,1139,,Elise,49.13%,2190,,Nautilus,49.08%,15467,,Rakan,49.03%,4993,,Pyke,48.73%,10159,,Yuumi,48.55%,7689,,Neeko,48.49%,5106,,Pantheon,48.41%,5803,,Shen,48.29%,1317,,Malphite,48.28%,2036,,Galio,48.27%,980,,Blitzcrank,48.05%,9366,,TahmKench,48.01%,4953,,Poppy,47.94%,3638,,Braum,47.79%,7180,,Thresh,47.68%,16182,,Bard,47.64%,7444,,Senna,47.58%,6001,,Karma,47.29%,9770,,Shaco,47.26%,2552,,Maokai,46.91%,2929,,Xerath,46.75%,4928,,Swain,46.68%,7810,,Seraphine,46.56%,9214,,Leona,46.54%,12876,,Leblanc,46.26%,1150,,Lux,46.22%,16144,,Amumu,46.18%,1061,,Sona,45.78%,4111,,Morgana,45.70%,11426,,Zilean,45.67%,3267,,FiddleSticks,45.64%,1032,,Taric,45.61%,2232,,Soraka,45.59%,7373,,Renata,45.03%,1739,,Janna,44.78%,4766,,Nami,44.77%,15570,,Zyra,44.18%,6412,,Velkoz,44.11%,4636,,Brand,43.86%,6323,,Teemo,43.75%,2201,,Milio,43.67%,11110,
